* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 4. 11 오후 10:55:14
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Foam
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.867	-3.1270
20.600000	100.861	-3.3181
20.900000	100.846	-3.6561
21.200001	100.831	-3.9739
21.400000	100.821	-4.1871
21.799999	100.799	-4.6526
22.000000	100.786	-4.9139
22.400000	100.756	-5.4812
22.700001	100.729	-5.9270
23.000000	100.700	-6.3756
23.299999	100.673	-6.8196
23.600000	100.650	-7.2592
24.000000	100.627	-7.8453
24.299999	100.617	-8.2922
24.700001	100.609	-8.9014
25.000000	100.606	-9.3640
25.400000	100.602	-9.9754
25.799999	100.599	-10.5624
26.200001	100.595	-11.1111
26.500000	100.592	-11.4946
26.900000	100.586	-11.9724
27.200001	100.580	-12.3114
27.600000	100.569	-12.7465
28.000000	100.556	-13.1697
28.500000	100.533	-13.6838
29.000000	100.502	-14.1717
29.500000	100.467	-14.6290
30.000000	100.434	-15.0750
30.400000	100.409	-15.4490
30.700001	100.391	-15.7503
31.100000	100.366	-16.1816
31.500000	100.337	-16.6343
32.000000	100.297	-17.1981
32.500000	100.258	-17.7329
33.000000	100.227	-18.2458
33.500000	100.207	-18.7663
34.000000	100.193	-19.3121
34.500000	100.176	-19.8652
35.000000	100.155	-20.3890
35.500000	100.133	-20.8598
36.000000	100.114	-21.2889
36.500000	100.098	-21.7057
37.000000	100.080	-22.1282
37.500000	100.057	-22.5475
38.200001	100.016	-23.0985
38.700001	99.985	-23.4727
39.500000	99.934	-24.0976
40.000000	99.900	-24.5110
40.599998	99.857	-25.0077
41.200001	99.814	-25.4947
41.799999	99.776	-25.9817
42.500000	99.736	-26.5512
43.099998	99.708	-27.0333
43.700001	99.684	-27.5195
44.400002	99.656	-28.0947
45.000000	99.628	-28.5623
45.500000	99.604	-28.9152
46.200001	99.574	-29.3776
46.799999	99.551	-29.7821
47.500000	99.521	-30.2630
48.200001	99.489	-30.7308
48.700001	99.466	-31.0668
49.400002	99.433	-31.5574
50.000000	99.399	-31.9735
50.799999	99.353	-32.4771
51.500000	99.320	-32.8960
52.200001	99.291	-33.3331
53.000000	99.258	-33.8414
53.799999	99.225	-34.3482
54.500000	99.195	-34.8002
55.200001	99.161	-35.2441
56.000000	99.124	-35.7416
57.000000	99.072	-36.3874
58.000000	99.007	-36.9707
59.000000	98.950	-37.4740
60.000000	98.898	-38.0082
60.799999	98.856	-38.4449
61.500000	98.823	-38.8341
62.200001	98.788	-39.2314
63.000000	98.747	-39.6652
64.000000	98.701	-40.1768
65.000000	98.658	-40.7006
66.000000	98.615	-41.2180
67.000000	98.571	-41.7099
68.000000	98.528	-42.1916
69.000000	98.483	-42.6743
70.000000	98.434	-43.1378
71.000000	98.385	-43.5838
72.000000	98.338	-44.0444
73.000000	98.288	-44.4969
74.000000	98.242	-44.9255
75.000000	98.202	-45.3711
76.199997	98.154	-45.9431
77.500000	98.095	-46.5617
78.800003	98.035	-47.1238
80.000000	97.983	-47.6276
81.199997	97.933	-48.1393
82.500000	97.878	-48.6772
83.800003	97.828	-49.2056
85.000000	97.780	-49.6899
86.199997	97.732	-50.1417
87.500000	97.684	-50.6150
88.500000	97.650	-50.9903
90.000000	97.597	-51.6118
91.199997	97.548	-52.1014
92.500000	97.500	-52.5876
93.800003	97.457	-53.0792
95.000000	97.416	-53.5297
96.199997	97.372	-53.9391
97.500000	97.328	-54.3453
98.800003	97.288	-54.7858
100.000000	97.248	-55.2239
101.500000	97.196	-55.7676
103.000000	97.146	-56.3229
104.400002	97.097	-56.8153
106.000000	97.045	-57.3116
107.500000	97.003	-57.7657
109.000000	96.963	-58.2327
110.599998	96.919	-58.7405
112.000000	96.882	-59.1949
113.800003	96.833	-59.7989
115.000000	96.799	-60.1927
117.199997	96.736	-60.8960
118.000000	96.714	-61.1422
120.599998	96.647	-61.9298
122.000000	96.613	-62.3238
124.099998	96.564	-62.8799
125.000000	96.542	-63.1208
126.500000	96.502	-63.5294
128.000000	96.463	-63.9580
131.500000	96.382	-65.0784
132.000000	96.372	-65.2335
134.000000	96.341	-65.8447
136.000000	96.303	-66.4270
138.000000	96.256	-66.9652
140.000000	96.203	-67.5004
