* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 4. 11 오후 10:53:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Foam
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.917	172.6017
20.600000	101.912	172.3785
20.900000	101.899	171.9860
21.200001	101.881	171.6272
21.400000	101.867	171.4016
21.799999	101.836	170.9492
22.000000	101.819	170.7117
22.400000	101.785	170.2129
22.700001	101.759	169.8187
23.000000	101.733	169.4057
23.299999	101.709	168.9741
23.600000	101.687	168.5252
24.000000	101.661	167.9044
24.299999	101.643	167.4300
24.700001	101.620	166.7998
25.000000	101.604	166.3396
25.400000	101.585	165.7519
25.799999	101.569	165.1958
26.200001	101.556	164.6654
26.500000	101.547	164.2802
26.900000	101.533	163.7818
27.200001	101.519	163.4211
27.600000	101.499	162.9619
28.000000	101.477	162.5284
28.500000	101.448	162.0126
29.000000	101.419	161.5034
29.500000	101.386	160.9849
30.000000	101.350	160.4586
30.400000	101.319	160.0403
30.700001	101.295	159.7311
31.100000	101.264	159.3228
31.500000	101.234	158.9122
32.000000	101.198	158.3840
32.500000	101.163	157.8349
33.000000	101.127	157.2789
33.500000	101.092	156.7396
34.000000	101.060	156.2347
34.500000	101.031	155.7605
35.000000	101.005	155.2981
35.500000	100.982	154.8314
36.000000	100.957	154.3617
36.500000	100.931	153.9010
37.000000	100.903	153.4550
37.500000	100.874	153.0168
38.200001	100.830	152.4019
38.700001	100.795	151.9654
39.500000	100.737	151.2858
40.000000	100.702	150.8671
40.599998	100.661	150.3645
41.200001	100.620	149.8652
41.799999	100.582	149.3693
42.500000	100.539	148.7880
43.099998	100.502	148.2975
43.700001	100.464	147.8313
44.400002	100.422	147.3105
45.000000	100.386	146.8671
45.500000	100.353	146.5080
46.200001	100.306	146.0444
46.799999	100.270	145.6659
47.500000	100.235	145.1825
48.200001	100.196	144.6500
48.700001	100.164	144.2764
49.400002	100.120	143.7893
50.000000	100.086	143.3791
50.799999	100.043	142.8163
51.500000	100.004	142.3414
52.200001	99.966	141.8943
53.000000	99.926	141.3850
53.799999	99.880	140.8914
54.500000	99.838	140.4998
55.200001	99.799	140.1239
56.000000	99.756	139.6767
57.000000	99.700	139.0941
58.000000	99.639	138.4987
59.000000	99.573	137.9176
60.000000	99.509	137.3737
60.799999	99.465	136.9371
61.500000	99.431	136.5361
62.200001	99.395	136.1267
63.000000	99.353	135.6739
64.000000	99.299	135.1445
65.000000	99.244	134.6607
66.000000	99.194	134.2146
67.000000	99.151	133.7323
68.000000	99.102	133.1867
69.000000	99.045	132.6330
70.000000	98.985	132.1063
71.000000	98.928	131.6161
72.000000	98.878	131.1530
73.000000	98.834	130.6926
74.000000	98.791	130.2368
75.000000	98.746	129.7970
76.199997	98.690	129.2939
77.500000	98.626	128.7321
78.800003	98.553	128.1858
80.000000	98.491	127.7206
81.199997	98.439	127.2231
82.500000	98.387	126.6414
83.800003	98.332	126.0623
85.000000	98.280	125.5629
86.199997	98.229	125.1028
87.500000	98.175	124.6375
88.500000	98.138	124.2797
90.000000	98.083	123.6844
91.199997	98.032	123.1986
92.500000	97.978	122.7201
93.800003	97.928	122.2531
95.000000	97.883	121.8215
96.199997	97.839	121.3893
97.500000	97.789	120.9229
98.800003	97.742	120.4575
100.000000	97.697	120.0248
101.500000	97.643	119.5017
103.000000	97.591	118.9896
104.400002	97.544	118.4985
106.000000	97.487	117.9174
107.500000	97.433	117.4137
109.000000	97.390	116.9410
110.599998	97.353	116.4121
112.000000	97.319	115.9303
113.800003	97.267	115.3410
115.000000	97.230	114.9805
117.199997	97.166	114.3237
118.000000	97.144	114.0632
120.599998	97.068	113.2053
122.000000	97.027	112.7607
124.099998	96.969	112.1459
125.000000	96.948	111.8854
126.500000	96.913	111.4422
128.000000	96.881	111.0018
131.500000	96.812	109.9338
132.000000	96.800	109.7823
134.000000	96.747	109.2139
136.000000	96.696	108.6698
138.000000	96.648	108.0832
140.000000	96.603	107.4922
143.000000	96.543	106.6069
145.000000	96.504	106.0642
147.500000	96.458	105.3537
150.000000	96.400	104.5894
152.500000	96.340	103.8782
155.000000	96.293	103.2527
157.500000	96.254	102.6390
160.000000	96.207	101.9607
162.500000	96.155	101.2924
165.000000	96.113	100.6128
167.500000	96.070	99.8889
170.000000	96.019	99.1934
172.500000	95.975	98.5638
175.000000	95.940	97.9298
177.500000	95.902	97.3129
180.000000	95.861	96.7222
182.500000	95.818	96.0935
185.000000	95.773	95.4466
187.500000	95.735	94.8241
190.000000	95.705	94.2228
192.500000	95.674	93.6374
195.000000	95.636	93.0721
197.500000	95.599	92.4926
200.000000	95.560	91.8654
203.000000	95.513	91.1217
206.000000	95.472	90.4164
209.000000	95.430	89.7299
212.000000	95.393	89.0429
214.000000	95.372	88.5640
218.000000	95.329	87.6407
220.000000	95.305	87.1927
224.000000	95.252	86.3041
227.000000	95.219	85.6491
230.000000	95.182	84.9706
233.000000	95.139	84.3129
236.000000	95.098	83.6737
240.000000	95.039	82.8616
243.000000	95.000	82.2683
247.000000	94.953	81.4509
250.000000	94.916	80.8704
254.000000	94.863	80.1068
258.000000	94.807	79.3067
262.000000	94.759	78.4946
265.000000	94.727	77.9124
269.000000	94.683	77.1772
272.000000	94.651	76.6300
276.000000	94.612	75.8830
280.000000	94.570	75.1346
285.000000	94.514	74.2258
290.000000	94.454	73.4208
295.000000	94.407	72.6150
300.000000	94.367	71.7915
304.000000	94.331	71.1640
307.000000	94.297	70.7040
311.000000	94.247	70.0820
315.000000	94.208	69.4383
320.000000	94.165	68.6600
325.000000	94.127	67.9407
330.000000	94.081	67.1972
335.000000	94.033	66.4813
340.000000	93.995	65.8146
345.000000	93.956	65.1653
350.000000	93.906	64.5802
355.000000	93.855	63.9985
360.000000	93.815	63.3743
365.000000	93.779	62.7327
370.000000	93.735	62.1278
375.000000	93.690	61.5681
382.000000	93.630	60.8003
387.000000	93.584	60.2800
395.000000	93.513	59.4715
400.000000	93.470	58.9528
406.000000	93.419	58.3873
412.000000	93.367	57.8763
418.000000	93.323	57.3343
425.000000	93.277	56.6800
431.000000	93.240	56.1779
437.000000	93.206	55.6652
444.000000	93.168	55.0714
450.000000	93.132	54.6036
455.000000	93.097	54.2382
462.000000	93.049	53.7827
468.000000	93.012	53.4093
475.000000	92.974	52.9543
482.000000	92.940	52.4967
487.000000	92.917	52.1930
494.000000	92.888	51.8073
500.000000	92.864	51.4937
508.000000	92.826	51.0499
515.000000	92.787	50.7079
522.000000	92.758	50.4416
530.000000	92.734	50.1623
538.000000	92.709	49.8771
545.000000	92.690	49.6420
552.000000	92.672	49.4143
560.000000	92.656	49.1680
570.000000	92.653	48.8794
580.000000	92.646	48.6041
590.000000	92.629	48.3818
600.000000	92.611	48.2465
608.000000	92.603	48.1757
615.000000	92.599	48.1030
622.000000	92.598	48.0074
630.000000	92.607	47.8943
640.000000	92.624	47.7850
650.000000	92.638	47.7562
660.000000	92.658	47.7545
670.000000	92.673	47.6965
680.000000	92.693	47.6570
690.000000	92.720	47.6488
700.000000	92.746	47.6867
710.000000	92.791	47.7612
720.000000	92.843	47.7927
730.000000	92.895	47.7897
740.000000	92.947	47.8017
750.000000	93.002	47.8837
762.000000	93.087	48.0445
775.000000	93.190	48.0817
788.000000	93.305	48.1034
800.000000	93.421	48.1093
812.000000	93.544	48.0522
825.000000	93.676	47.9939
838.000000	93.817	47.8847
850.000000	93.963	47.6970
862.000000	94.117	47.4493
875.000000	94.289	47.1213
885.000000	94.418	46.7871
900.000000	94.615	46.1634
912.000000	94.777	45.5642
925.000000	94.943	44.8102
938.000000	95.103	44.0109
950.000000	95.242	43.2150
962.000000	95.366	42.3321
975.000000	95.489	41.3123
988.000000	95.598	40.2836
1000.000000	95.687	39.3387
1015.000000	95.786	38.1622
1030.000000	95.867	36.9893
