* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 4. 11 오후 10:49:15
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.051	-5.6583
20.600000	101.042	-5.8698
20.900000	101.023	-6.2391
21.200001	101.000	-6.5700
21.400000	100.984	-6.7772
21.799999	100.952	-7.1969
22.000000	100.935	-7.4222
22.400000	100.903	-7.9062
22.700001	100.879	-8.2965
23.000000	100.856	-8.7093
23.299999	100.835	-9.1417
23.600000	100.817	-9.5909
24.000000	100.797	-10.2096
24.299999	100.785	-10.6804
24.700001	100.771	-11.3038
25.000000	100.763	-11.7583
25.400000	100.754	-12.3371
25.799999	100.748	-12.8811
26.200001	100.745	-13.3928
26.500000	100.743	-13.7589
26.900000	100.737	-14.2266
27.200001	100.730	-14.5634
27.600000	100.718	-14.9945
28.000000	100.701	-15.4054
28.500000	100.675	-15.8928
29.000000	100.643	-16.3571
29.500000	100.608	-16.8084
30.000000	100.570	-17.2605
30.400000	100.541	-17.6312
30.700001	100.519	-17.9175
31.100000	100.490	-18.3137
31.500000	100.462	-18.7283
32.000000	100.427	-19.2716
32.500000	100.392	-19.8320
33.000000	100.359	-20.3892
33.500000	100.330	-20.9274
34.000000	100.307	-21.4441
34.500000	100.286	-21.9445
35.000000	100.266	-22.4259
35.500000	100.247	-22.8773
36.000000	100.229	-23.2969
36.500000	100.214	-23.7032
37.000000	100.198	-24.1212
37.500000	100.178	-24.5537
38.200001	100.135	-25.1371
38.700001	100.101	-25.5147
39.500000	100.052	-26.1119
40.000000	100.024	-26.5315
40.599998	99.986	-27.0794
41.200001	99.941	-27.6220
41.799999	99.897	-28.1261
42.500000	99.853	-28.6854
43.099998	99.822	-29.1635
43.700001	99.791	-29.6295
44.400002	99.757	-30.1374
45.000000	99.731	-30.5521
45.500000	99.709	-30.8999
46.200001	99.675	-31.3924
46.799999	99.641	-31.8008
47.500000	99.599	-32.2444
48.200001	99.561	-32.6706
48.700001	99.536	-32.9831
49.400002	99.501	-33.4430
50.000000	99.471	-33.8461
50.799999	99.431	-34.3741
51.500000	99.400	-34.8362
52.200001	99.369	-35.3099
53.000000	99.331	-35.8352
53.799999	99.293	-36.3194
54.500000	99.263	-36.7406
55.200001	99.232	-37.1805
56.000000	99.192	-37.6908
57.000000	99.137	-38.3159
58.000000	99.079	-38.9017
59.000000	99.024	-39.4691
60.000000	98.968	-40.0499
60.799999	98.923	-40.4829
61.500000	98.888	-40.8410
62.200001	98.858	-41.2105
63.000000	98.824	-41.6546
64.000000	98.777	-42.2131
65.000000	98.727	-42.7640
66.000000	98.674	-43.2909
67.000000	98.622	-43.7704
68.000000	98.577	-44.2412
69.000000	98.531	-44.7262
70.000000	98.484	-45.2082
71.000000	98.434	-45.6729
72.000000	98.384	-46.1097
73.000000	98.337	-46.5350
74.000000	98.294	-46.9794
75.000000	98.249	-47.4770
76.199997	98.183	-48.0586
77.500000	98.118	-48.5991
78.800003	98.063	-49.1413
80.000000	98.016	-49.6700
81.199997	97.962	-50.1890
82.500000	97.905	-50.6878
83.800003	97.850	-51.2140
85.000000	97.793	-51.6906
86.199997	97.737	-52.1690
87.500000	97.670	-52.6688
88.500000	97.625	-52.9648
90.000000	97.590	-53.5047
91.199997	97.558	-54.0417
92.500000	97.516	-54.5944
93.800003	97.471	-55.0905
