* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 4. 11 오후 10:50:36
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.842	170.8105
20.600000	101.832	170.6317
20.900000	101.813	170.3172
21.200001	101.793	170.0262
21.400000	101.780	169.8334
21.799999	101.753	169.4158
22.000000	101.738	169.1819
22.400000	101.706	168.6722
22.700001	101.680	168.2638
23.000000	101.653	167.8382
23.299999	101.627	167.3983
23.600000	101.602	166.9466
24.000000	101.572	166.3341
24.299999	101.552	165.8771
24.700001	101.529	165.2844
25.000000	101.514	164.8567
25.400000	101.501	164.3043
25.799999	101.493	163.7582
26.200001	101.486	163.2085
26.500000	101.479	162.7975
26.900000	101.462	162.2661
27.200001	101.445	161.8936
27.600000	101.419	161.4428
28.000000	101.392	161.0412
28.500000	101.362	160.5756
29.000000	101.336	160.1008
29.500000	101.309	159.5887
30.000000	101.276	159.0456
30.400000	101.246	158.6048
30.700001	101.221	158.2766
31.100000	101.188	157.8454
31.500000	101.154	157.4213
32.000000	101.112	156.9012
32.500000	101.072	156.3934
33.000000	101.038	155.8943
33.500000	101.010	155.3945
34.000000	100.986	154.8884
34.500000	100.960	154.3832
35.000000	100.933	153.8924
35.500000	100.904	153.4222
36.000000	100.877	152.9675
36.500000	100.849	152.5216
37.000000	100.820	152.0812
37.500000	100.790	151.6455
38.200001	100.743	151.0381
38.700001	100.708	150.6039
39.500000	100.648	149.9130
40.000000	100.609	149.4895
40.599998	100.563	148.9976
41.200001	100.518	148.5262
41.799999	100.477	148.0638
42.500000	100.431	147.5230
43.099998	100.391	147.0791
43.700001	100.353	146.6753
44.400002	100.317	146.2179
45.000000	100.289	145.7801
45.500000	100.262	145.3810
46.200001	100.213	144.8305
46.799999	100.166	144.4106
47.500000	100.118	143.9635
48.200001	100.076	143.5192
48.700001	100.050	143.1963
49.400002	100.015	142.7372
50.000000	99.988	142.3276
50.799999	99.950	141.7565
51.500000	99.912	141.2660
52.200001	99.872	140.8028
53.000000	99.825	140.2853
53.799999	99.774	139.7825
54.500000	99.728	139.3725
55.200001	99.684	138.9705
56.000000	99.635	138.5001
57.000000	99.576	137.9251
58.000000	99.523	137.3387
59.000000	99.467	136.7331
60.000000	99.407	136.1583
60.799999	99.360	135.7191
61.500000	99.320	135.3487
62.200001	99.283	134.9830
63.000000	99.240	134.5569
64.000000	99.184	134.0145
65.000000	99.124	133.4816
66.000000	99.062	132.9972
67.000000	99.010	132.5434
68.000000	98.963	132.0543
69.000000	98.914	131.5385
70.000000	98.862	131.0293
71.000000	98.809	130.5415
72.000000	98.755	130.0836
73.000000	98.703	129.6537
74.000000	98.655	129.2350
75.000000	98.610	128.8055
76.199997	98.556	128.2543
77.500000	98.487	127.6705
78.800003	98.421	127.1410
80.000000	98.363	126.6266
81.199997	98.300	126.1196
82.500000	98.232	125.5929
83.800003	98.166	125.0682
85.000000	98.107	124.5830
86.199997	98.053	124.0894
87.500000	97.997	123.5315
88.500000	97.955	123.1292
90.000000	97.905	122.5444
91.199997	97.864	122.0753
92.500000	97.819	121.6080
93.800003	97.773	121.1552
95.000000	97.727	120.7450
96.199997	97.680	120.3570
97.500000	97.634	119.9104
98.800003	97.586	119.4208
100.000000	97.539	118.9898
101.500000	97.485	118.4783
103.000000	97.431	117.9431
104.400002	97.375	117.4623
106.000000	97.314	116.9436
107.500000	97.265	116.4626
109.000000	97.221	115.9670
110.599998	97.172	115.4467
112.000000	97.126	115.0078
113.800003	97.066	114.4232
115.000000	97.028	114.0227
117.199997	96.986	113.2656
118.000000	96.977	112.9495
120.599998	96.912	111.9478
122.000000	96.860	111.6428
124.099998	96.792	111.2436
125.000000	96.765	111.0331
126.500000	96.723	110.6119
128.000000	96.686	110.1463
131.500000	96.615	109.1021
132.000000	96.604	108.9687
134.000000	96.555	108.4439
136.000000	96.504	107.9021
138.000000	96.465	107.3192
140.000000	96.432	106.6684
143.000000	96.372	105.7389
145.000000	96.329	105.1475
147.500000	96.276	104.3810
150.000000	96.223	103.6769
152.500000	96.179	103.0473
155.000000	96.135	102.3991
157.500000	96.084	101.7325
160.000000	96.035	101.0589
162.500000	95.988	100.3691
165.000000	95.941	99.7087
167.500000	95.898	99.0636
170.000000	95.854	98.3974
172.500000	95.809	97.7287
175.000000	95.761	97.0637
177.500000	95.712	96.4406
180.000000	95.672	95.8193
182.500000	95.632	95.1601
185.000000	95.582	94.5170
187.500000	95.530	93.9086
190.000000	95.485	93.3050
192.500000	95.450	92.6898
195.000000	95.417	92.0965
197.500000	95.377	91.5340
200.000000	95.334	90.9781
203.000000	95.288	90.2682
206.000000	95.249	89.5949
209.000000	95.208	88.9977
212.000000	95.158	88.3960
214.000000	95.121	87.9748
218.000000	95.064	87.1599
220.000000	95.047	86.7513
224.000000	95.023	85.9315
227.000000	95.003	85.2702
