* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.490
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 11. 13 ¿ÀÀü 11:59:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Sprial SF
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	105.051	-151.1844
20.600000	105.065	-151.3980
20.900000	105.097	-151.7961
21.200001	105.131	-152.2261
21.400000	105.152	-152.5433
21.799999	105.186	-153.2570
22.000000	105.196	-153.6422
22.400000	105.203	-154.4105
22.700001	105.201	-154.9491
23.000000	105.200	-155.4478
23.299999	105.203	-155.9253
23.600000	105.212	-156.4034
24.000000	105.228	-157.0639
24.299999	105.239	-157.5701
24.700001	105.249	-158.2209
25.000000	105.254	-158.6615
25.400000	105.264	-159.1720
25.799999	105.282	-159.6275
26.200001	105.308	-160.0867
26.500000	105.326	-160.4544
26.900000	105.341	-160.9652
27.200001	105.344	-161.3358
27.600000	105.339	-161.7757
28.000000	105.333	-162.1463
28.500000	105.336	-162.5768
29.000000	105.346	-163.0768
29.500000	105.352	-163.6778
30.000000	105.345	-164.3161
30.400000	105.335	-164.8067
30.700001	105.329	-165.1607
31.100000	105.326	-165.6388
31.500000	105.326	-166.1517
32.000000	105.323	-166.8496
32.500000	105.307	-167.5498
33.000000	105.283	-168.1554
33.500000	105.265	-168.6251
34.000000	105.264	-169.0053
34.500000	105.276	-169.3842
35.000000	105.293	-169.8100
35.500000	105.304	-170.2689
36.000000	105.307	-170.7209
36.500000	105.303	-171.1479
37.000000	105.294	-171.5537
37.500000	105.280	-171.9414
38.200001	105.256	-172.4551
38.700001	105.237	-172.8226
39.500000	105.205	-173.4609
40.000000	105.179	-173.8644
40.599998	105.149	-174.3098
