* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.490
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 11. 13 ¿ÀÈÄ 12:02:18
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Spiral SF
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.309	-156.6448
20.600000	106.326	-156.8583
20.900000	106.362	-157.2635
21.200001	106.395	-157.7160
21.400000	106.412	-158.0464
21.799999	106.432	-158.7648
22.000000	106.435	-159.1398
22.400000	106.428	-159.8819
22.700001	106.418	-160.4238
23.000000	106.405	-160.9600
23.299999	106.389	-161.4906
23.600000	106.373	-162.0043
24.000000	106.352	-162.6379
24.299999	106.343	-163.0646
24.700001	106.345	-163.5919
25.000000	106.359	-163.9973
25.400000	106.388	-164.6052
25.799999	106.417	-165.3028
26.200001	106.433	-166.0334
26.500000	106.436	-166.5514
26.900000	106.434	-167.1646
27.200001	106.433	-167.5769
27.600000	106.436	-168.1151
28.000000	106.439	-168.7004
28.500000	106.423	-169.4914
29.000000	106.376	-170.1939
29.500000	106.315	-170.6573
30.000000	106.275	-170.9187
30.400000	106.269	-171.1259
30.700001	106.276	-171.3514
31.100000	106.285	-171.7751
31.500000	106.282	-172.2956
32.000000	106.256	-172.9485
32.500000	106.219	-173.4901
33.000000	106.192	-173.9272
33.500000	106.183	-174.3462
34.000000	106.184	-174.8072
34.500000	106.184	-175.2990
35.000000	106.182	-175.7884
35.500000	106.180	-176.2720
36.000000	106.179	-176.7743
36.500000	106.170	-177.3013
37.000000	106.149	-177.8139
37.500000	106.117	-178.2570
38.200001	106.070	-178.7263
38.700001	106.046	-179.0077
39.500000	106.023	-179.5414
40.000000	106.005	-179.9548
40.599998	105.971	179.5349
41.200001	105.930	179.0972
41.799999	105.897	178.7260
42.500000	105.875	178.2551
43.099998	105.854	177.7765
43.700001	105.822	177.3208
44.400002	105.783	176.8963
45.000000	105.759	176.5565
45.500000	105.738	176.2427
46.200001	105.701	175.8147
46.799999	105.669	175.5134
47.500000	105.644	175.1503
48.200001	105.617	174.6917
48.700001	105.589	174.3604
49.400002	105.543	173.9827
50.000000	105.512	173.7046
50.799999	105.478	173.3058
51.500000	105.447	172.9497
52.200001	105.419	172.5945
53.000000	105.386	172.1313
53.799999	105.335	171.6512
54.500000	105.279	171.3066
55.200001	105.226	171.0300
56.000000	105.173	170.7245
57.000000	105.111	170.3087
58.000000	105.051	169.8282
59.000000	104.972	169.2342
60.000000	104.851	168.7995
60.799999	104.761	168.7026
61.500000	104.704	168.6281
62.200001	104.645	168.4756
63.000000	104.560	168.3684
64.000000	104.471	168.4371
65.000000	104.417	168.3075
66.000000	104.330	167.9140
67.000000	104.201	167.6077
68.000000	104.056	167.4769
69.000000	103.903	167.4958
70.000000	103.744	167.6552
71.000000	103.571	167.9207
72.000000	103.347	168.4406
73.000000	103.080	169.8454
74.000000	102.897	172.3655
75.000000	102.913	175.5685
76.199997	103.310	179.1681
77.500000	104.002	-179.6679
78.800003	104.522	178.7982
80.000000	104.794	176.6518
81.199997	104.923	174.4726
82.500000	104.943	172.3723
