* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 24 오후 10:22:13
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_50ohm
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.790	163.4262
20.600000	91.777	163.3208
20.900000	91.750	163.1393
21.200001	91.722	162.9805
21.400000	91.704	162.8757
21.799999	91.669	162.6306
22.000000	91.651	162.4761
22.400000	91.613	162.0952
22.700001	91.578	161.7597
23.000000	91.538	161.4061
23.299999	91.493	161.0615
23.600000	91.450	160.7403
24.000000	91.399	160.3481
24.299999	91.370	160.0601
24.700001	91.339	159.6532
25.000000	91.317	159.3258
25.400000	91.285	158.8848
25.799999	91.249	158.4826
26.200001	91.217	158.1328
26.500000	91.196	157.8831
26.900000	91.170	157.5303
27.200001	91.144	157.2442
27.600000	91.096	156.8703
28.000000	91.032	156.5882
28.500000	90.952	156.4440
29.000000	90.898	156.4303
29.500000	90.876	156.3190
30.000000	90.859	155.9821
30.400000	90.834	155.6057
30.700001	90.807	155.3155
31.100000	90.767	154.9567
31.500000	90.728	154.6189
32.000000	90.684	154.1698
32.500000	90.638	153.6729
33.000000	90.582	153.1942
33.500000	90.526	152.8015
34.000000	90.482	152.4847
34.500000	90.448	152.1702
35.000000	90.414	151.8155
35.500000	90.371	151.4528
36.000000	90.321	151.1402
36.500000	90.270	150.8898
37.000000	90.222	150.6653
37.500000	90.173	150.4360
38.200001	90.095	150.1229
38.700001	90.038	149.9272
39.500000	89.957	149.5912
40.000000	89.909	149.3059
40.599998	89.843	148.9130
41.200001	89.767	148.5636
41.799999	89.696	148.2863
42.500000	89.626	147.9793
43.099998	89.572	147.7030
43.700001	89.518	147.4474
44.400002	89.459	147.1567
45.000000	89.404	146.8763
45.500000	89.350	146.6512
46.200001	89.264	146.4344
46.799999	89.197	146.3397
47.500000	89.131	146.2271
48.200001	89.073	146.0508
48.700001	89.033	145.8953
49.400002	88.977	145.6400
50.000000	88.926	145.3817
50.799999	88.849	145.0507
51.500000	88.784	144.8427
52.200001	88.733	144.6459
53.000000	88.679	144.3219
53.799999	88.605	143.9864
54.500000	88.532	143.7980
55.200001	88.466	143.6693
56.000000	88.397	143.5076
57.000000	88.306	143.2860
58.000000	88.214	143.0487
59.000000	88.118	142.8175
60.000000	88.023	142.6288
60.799999	87.953	142.4891
61.500000	87.895	142.3735
62.200001	87.841	142.2616
63.000000	87.782	142.1217
64.000000	87.704	141.9328
65.000000	87.621	141.7720
66.000000	87.543	141.6156
67.000000	87.464	141.4351
68.000000	87.380	141.2637
69.000000	87.295	141.1391
70.000000	87.218	141.0640
71.000000	87.150	140.9674
72.000000	87.079	140.8450
73.000000	87.003	140.7590
74.000000	86.926	140.7055
75.000000	86.848	140.6653
76.199997	86.755	140.5881
77.500000	86.640	140.4509
78.800003	86.529	140.4006
80.000000	86.445	140.2560
81.199997	86.349	140.0166
82.500000	86.239	139.8659
83.800003	86.146	139.8422
85.000000	86.073	139.8618
86.199997	85.998	139.9413
87.500000	85.926	140.1530
88.500000	85.880	140.2634
90.000000	85.796	140.1208
91.199997	85.692	139.8734
92.500000	85.569	139.5950
93.800003	85.449	139.3744
95.000000	85.360	139.2428
96.199997	85.287	139.2601
97.500000	85.247	139.4758
98.800003	85.221	139.5705
100.000000	85.161	139.6583
101.500000	85.065	139.8846
103.000000	84.957	139.9554
104.400002	84.848	139.9823
106.000000	84.756	140.0462
107.500000	84.703	140.0554
109.000000	84.650	140.0978
110.599998	84.584	140.2318
112.000000	84.508	140.3360
113.800003	84.395	140.4164
115.000000	84.326	140.4220
117.199997	84.233	140.2797
118.000000	84.204	140.1771
120.599998	84.059	140.2194
122.000000	83.999	140.5717
124.099998	83.922	140.8880
125.000000	83.880	140.9760
126.500000	83.808	141.1262
128.000000	83.744	141.2408
131.500000	83.590	141.4444
132.000000	83.568	141.4821
134.000000	83.483	141.6152
136.000000	83.398	141.7191
138.000000	83.316	141.8806
140.000000	83.235	142.1148
143.000000	83.106	142.5307
145.000000	83.016	142.7853
147.500000	82.907	142.9739
150.000000	82.796	143.1846
152.500000	82.697	143.5479
155.000000	82.600	143.9492
157.500000	82.506	144.3461
160.000000	82.426	144.7449
162.500000	82.359	145.2761
165.000000	82.300	145.8852
167.500000	82.242	146.4376
170.000000	82.209	146.8413
172.500000	82.204	147.0617
175.000000	82.195	147.1746
177.500000	82.161	147.2583
180.000000	82.120	147.3293
182.500000	82.079	147.3365
185.000000	82.030	147.3525
187.500000	81.973	147.3997
190.000000	81.898	147.4900
192.500000	81.820	147.6690
195.000000	81.755	147.8059
197.500000	81.695	147.9028
200.000000	81.636	148.0647
203.000000	81.562	148.3404
206.000000	81.484	148.5777
209.000000	81.406	148.8000
212.000000	81.333	149.0632
214.000000	81.283	149.2792
218.000000	81.189	149.7607
220.000000	81.149	149.9715
224.000000	81.066	150.3370
227.000000	81.009	150.6235
230.000000	80.959	150.8968
233.000000	80.909	151.1773
236.000000	80.852	151.5143
240.000000	80.771	151.9977
243.000000	80.717	152.3028
247.000000	80.650	152.7082
250.000000	80.593	153.0365
254.000000	80.520	153.4822
258.000000	80.458	153.9025
262.000000	80.403	154.2986
265.000000	80.364	154.6189
269.000000	80.310	155.0795
272.000000	80.266	155.4099
276.000000	80.209	155.8448
280.000000	80.157	156.2878
285.000000	80.100	156.7781
290.000000	80.049	157.2328
295.000000	80.003	157.7506
300.000000	79.971	158.1598
304.000000	79.949	158.5352
307.000000	79.925	158.8364
311.000000	79.884	159.2001
315.000000	79.844	159.5282
320.000000	79.812	159.8598
325.000000	79.774	160.1991
330.000000	79.715	160.6306
335.000000	79.674	161.0764
340.000000	79.640	161.4623
345.000000	79.600	161.8820
350.000000	79.561	162.3641
355.000000	79.510	162.7859
360.000000	79.469	163.1620
365.000000	79.439	163.5835
370.000000	79.403	164.0548
375.000000	79.367	164.4972
382.000000	79.312	165.1095
