* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 24 오후 10:12:41
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	92.383	163.2219
20.600000	92.374	163.0971
20.900000	92.355	162.8674
21.200001	92.330	162.6305
21.400000	92.310	162.4691
21.799999	92.261	162.1415
22.000000	92.234	161.9803
22.400000	92.178	161.6772
22.700001	92.138	161.4592
23.000000	92.104	161.2272
23.299999	92.074	160.9617
23.600000	92.048	160.6580
24.000000	92.014	160.2072
24.299999	91.988	159.8607
24.700001	91.952	159.4196
25.000000	91.926	159.1130
25.400000	91.895	158.7265
25.799999	91.867	158.3474
26.200001	91.840	157.9760
26.500000	91.819	157.7148
26.900000	91.790	157.3982
27.200001	91.770	157.1706
27.600000	91.745	156.8386
28.000000	91.716	156.4337
28.500000	91.656	155.8619
29.000000	91.562	155.3972
29.500000	91.458	155.1906
30.000000	91.388	155.1643
30.400000	91.365	155.0941
30.700001	91.359	154.9360
31.100000	91.349	154.5743
31.500000	91.323	154.1154
32.000000	91.269	153.5714
32.500000	91.209	153.1545
33.000000	91.163	152.8060
33.500000	91.129	152.4369
34.000000	91.095	152.0453
34.500000	91.054	151.6891
35.000000	91.010	151.3940
35.500000	90.968	151.1382
36.000000	90.927	150.8908
36.500000	90.885	150.6408
37.000000	90.837	150.3953
37.500000	90.785	150.1658
38.200001	90.706	149.8676
38.700001	90.651	149.6432
39.500000	90.561	149.2094
40.000000	90.501	148.9053
40.599998	90.426	148.5495
41.200001	90.353	148.2271
41.799999	90.287	147.9310
42.500000	90.222	147.5953
43.099998	90.175	147.2950
43.700001	90.128	146.9823
44.400002	90.065	146.6461
45.000000	90.009	146.4220
45.500000	89.964	146.2719
46.200001	89.906	146.0783
46.799999	89.857	145.9115
47.500000	89.802	145.6946
48.200001	89.747	145.4134
