* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 24 오후 9:49:21
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Xelastec
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.647	157.7489
20.600000	89.654	157.6324
20.900000	89.667	157.4657
21.200001	89.680	157.4032
21.400000	89.694	157.3743
21.799999	89.734	157.2185
22.000000	89.755	157.0454
22.400000	89.780	156.4968
22.700001	89.773	155.9870
23.000000	89.743	155.4942
23.299999	89.701	155.0806
23.600000	89.658	154.7492
24.000000	89.614	154.3741
24.299999	89.593	154.0665
24.700001	89.568	153.5609
25.000000	89.542	153.1276
25.400000	89.489	152.5599
25.799999	89.425	152.0981
26.200001	89.367	151.7567
26.500000	89.334	151.5326
26.900000	89.302	151.1978
27.200001	89.279	150.8849
27.600000	89.239	150.3957
28.000000	89.180	149.9049
28.500000	89.092	149.4288
29.000000	89.015	149.1250
29.500000	88.969	148.8166
30.000000	88.938	148.2873
30.400000	88.900	147.6985
30.700001	88.852	147.2349
31.100000	88.765	146.7290
31.500000	88.671	146.4445
32.000000	88.582	146.3597
32.500000	88.546	146.3088
33.000000	88.542	146.0184
33.500000	88.528	145.4798
34.000000	88.483	144.8955
34.500000	88.416	144.4402
35.000000	88.342	144.1335
35.500000	88.272	143.9191
36.000000	88.207	143.7649
36.500000	88.148	143.6617
37.000000	88.101	143.5715
37.500000	88.066	143.4261
38.200001	88.021	143.0184
38.700001	87.976	142.5750
39.500000	87.870	141.7774
40.000000	87.791	141.3360
40.599998	87.704	140.8779
41.200001	87.633	140.4058
41.799999	87.571	139.8674
42.500000	87.500	139.2145
43.099998	87.441	138.7125
43.700001	87.387	138.3206
44.400002	87.346	138.0222
45.000000	87.341	137.7866
45.500000	87.348	137.4860
46.200001	87.336	136.9559
46.799999	87.304	136.6017
47.500000	87.274	136.2850
48.200001	87.237	135.7784
48.700001	87.173	135.3515
49.400002	87.029	135.0347
50.000000	86.905	135.0995
50.799999	86.779	135.2559
51.500000	86.676	135.2682
52.200001	86.571	135.2556
