* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 24 오후 9:57:39
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_50ohm
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.530	150.3183
20.600000	84.503	150.2890
20.900000	84.454	150.2304
21.200001	84.416	150.1463
21.400000	84.395	150.0518
21.799999	84.355	149.7555
22.000000	84.330	149.5593
22.400000	84.269	149.1189
22.700001	84.215	148.7866
23.000000	84.161	148.4706
23.299999	84.110	148.1606
23.600000	84.066	147.8384
24.000000	84.016	147.3637
24.299999	83.981	146.9678
24.700001	83.932	146.4049
25.000000	83.891	145.9830
25.400000	83.830	145.4575
25.799999	83.767	145.0029
26.200001	83.709	144.6249
26.500000	83.669	144.3802
26.900000	83.623	144.0774
27.200001	83.592	143.8417
27.600000	83.551	143.4880
28.000000	83.504	143.0872
28.500000	83.426	142.5817
29.000000	83.331	142.1743
29.500000	83.236	141.8978
30.000000	83.157	141.6684
30.400000	83.105	141.4405
30.700001	83.068	141.2261
31.100000	83.015	140.9018
31.500000	82.957	140.5732
32.000000	82.884	140.2012
32.500000	82.820	139.8492
33.000000	82.767	139.4429
33.500000	82.714	138.9581
34.000000	82.651	138.4586
34.500000	82.579	138.0287
35.000000	82.507	137.6891
35.500000	82.443	137.3947
36.000000	82.385	137.0902
36.500000	82.327	136.7624
37.000000	82.263	136.4429
37.500000	82.197	136.1607
38.200001	82.106	135.7901
38.700001	82.040	135.4906
39.500000	81.922	134.9948
40.000000	81.844	134.7483
40.599998	81.762	134.4972
41.200001	81.691	134.1857
41.799999	81.615	133.8031
42.500000	81.517	133.4151
43.099998	81.445	133.1704
43.700001	81.388	132.8718
44.400002	81.314	132.3851
45.000000	81.228	131.9998
45.500000	81.153	131.8008
46.200001	81.071	131.6285
46.799999	81.021	131.4222
47.500000	80.963	131.0661
48.200001	80.896	130.6855
48.700001	80.846	130.4316
49.400002	80.775	130.0925
50.000000	80.710	129.8160
50.799999	80.617	129.5037
51.500000	80.534	129.3119
52.200001	80.460	129.1680
53.000000	80.382	128.9742
53.799999	80.300	128.7340
54.500000	80.224	128.5329
55.200001	80.154	128.3313
56.000000	80.080	128.0629
57.000000	79.992	127.6498
58.000000	79.897	127.1607
59.000000	79.794	126.7630
60.000000	79.699	126.3615
60.799999	79.599	126.0589
61.500000	79.503	126.0007
62.200001	79.430	126.0756
63.000000	79.368	126.0759
64.000000	79.278	125.9692
65.000000	79.191	125.8971
66.000000	79.113	125.6497
67.000000	79.014	125.2826
68.000000	78.906	124.9703
69.000000	78.809	124.6293
70.000000	78.715	124.2414
71.000000	78.629	123.8708
72.000000	78.553	123.5065
73.000000	78.481	123.1920
74.000000	78.410	122.9600
75.000000	78.329	122.8448
76.199997	78.224	122.9491
77.500000	78.115	123.1090
78.800003	77.994	123.1018
80.000000	77.877	122.9218
81.199997	77.783	122.5379
82.500000	77.693	121.8808
83.800003	77.601	121.6182
85.000000	77.570	121.8367
86.199997	77.540	121.9848
87.500000	77.399	122.3147
88.500000	77.279	122.7514
90.000000	77.089	122.5322
91.199997	76.878	122.5887
92.500000	76.948	123.6115
93.800003	77.326	123.2232
95.000000	77.576	121.7672
96.199997	77.603	120.2081
97.500000	77.259	119.6540
98.800003	76.824	120.8357
100.000000	76.572	121.2608
101.500000	76.354	120.0236
103.000000	76.308	118.4570
104.400002	76.453	116.9419
106.000000	76.422	116.0739
107.500000	76.217	117.3022
109.000000	75.998	118.7178
110.599998	75.819	118.8750
112.000000	75.742	118.3125
113.800003	75.805	118.8460
115.000000	75.858	120.3369
117.199997	75.527	126.0651
118.000000	75.304	129.8753
120.599998	75.523	138.1849
122.000000	75.355	130.2693
124.099998	74.664	119.8948
125.000000	74.665	118.2213
126.500000	74.936	118.1249
128.000000	75.112	119.7394
131.500000	74.247	128.0496
132.000000	74.173	129.3451
134.000000	74.273	130.5480
136.000000	74.493	127.3995
138.000000	74.755	123.4108
140.000000	74.809	121.0434
143.000000	75.081	121.1941
145.000000	75.057	120.2412
147.500000	74.697	119.6444
150.000000	74.531	119.0233
152.500000	74.488	118.2634
155.000000	74.457	118.1700
157.500000	74.388	118.0015
160.000000	74.305	117.5013
162.500000	74.212	117.2735
165.000000	74.135	117.4004
167.500000	74.072	117.3472
170.000000	74.028	117.2218
172.500000	73.972	117.2230
175.000000	73.905	117.3259
177.500000	73.838	117.0954
180.000000	73.759	116.7733
182.500000	73.669	116.6544
185.000000	73.589	116.6950
187.500000	73.536	116.6528
190.000000	73.489	116.6203
192.500000	73.435	116.7398
195.000000	73.379	116.7302
197.500000	73.317	116.4961
200.000000	73.267	116.3155
203.000000	73.232	116.2506
206.000000	73.195	116.1493
209.000000	73.170	116.0959
212.000000	73.147	116.0636
214.000000	73.113	116.0254
218.000000	73.020	115.8908
220.000000	72.985	115.8832
