* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 24 오후 9:32:29
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.005	158.5170
20.600000	89.993	158.3857
20.900000	89.968	158.1439
21.200001	89.938	157.8919
21.400000	89.916	157.7132
21.799999	89.864	157.3245
22.000000	89.834	157.1179
22.400000	89.769	156.7025
22.700001	89.719	156.3993
23.000000	89.672	156.0992
23.299999	89.631	155.7886
23.600000	89.596	155.4546
24.000000	89.559	154.9605
24.299999	89.534	154.5575
24.700001	89.502	154.0005
25.000000	89.478	153.5906
25.400000	89.444	153.0775
25.799999	89.415	152.6053
26.200001	89.392	152.1553
26.500000	89.376	151.8207
26.900000	89.352	151.3776
27.200001	89.328	151.0586
27.600000	89.289	150.6723
28.000000	89.245	150.3476
28.500000	89.191	150.0156
29.000000	89.141	149.7020
29.500000	89.091	149.3463
30.000000	89.036	148.9393
30.400000	88.985	148.5982
30.700001	88.945	148.3436
31.100000	88.890	148.0088
31.500000	88.834	147.6768
32.000000	88.765	147.2657
32.500000	88.698	146.8661
33.000000	88.638	146.4760
33.500000	88.588	146.0766
34.000000	88.544	145.6516
34.500000	88.500	145.2094
35.000000	88.450	144.7835
35.500000	88.398	144.4117
36.000000	88.349	144.0976
36.500000	88.307	143.8049
37.000000	88.268	143.4923
37.500000	88.225	143.1554
38.200001	88.148	142.6988
38.700001	88.086	142.4186
39.500000	87.993	142.0219
40.000000	87.941	141.7487
40.599998	87.877	141.3615
41.200001	87.805	140.9491
41.799999	87.728	140.5810
42.500000	87.647	140.2275
43.099998	87.593	139.9271
43.700001	87.545	139.5763
44.400002	87.483	139.1200
45.000000	87.421	138.7480
45.500000	87.366	138.4826
46.200001	87.293	138.1766
46.799999	87.236	137.9388
47.500000	87.174	137.6256
48.200001	87.109	137.2537
48.700001	87.055	136.9884
49.400002	86.975	136.6814
50.000000	86.912	136.4655
50.799999	86.838	136.1395
51.500000	86.771	135.8051
52.200001	86.699	135.5018
53.000000	86.623	135.2020
53.799999	86.552	134.8855
54.500000	86.487	134.6051
55.200001	86.422	134.3532
56.000000	86.351	134.1006
57.000000	86.273	133.7812
58.000000	86.192	133.3349
59.000000	86.078	132.9213
60.000000	85.957	132.7675
60.799999	85.881	132.7074
61.500000	85.825	132.6203
62.200001	85.775	132.4823
63.000000	85.717	132.2411
64.000000	85.628	131.8919
65.000000	85.539	131.6161
66.000000	85.468	131.2927
67.000000	85.397	130.8625
68.000000	85.311	130.4568
69.000000	85.218	130.1506
70.000000	85.124	129.9615
71.000000	85.035	129.8751
72.000000	84.962	129.8289
73.000000	84.901	129.6362
74.000000	84.823	129.2812
75.000000	84.727	128.9428
76.199997	84.611	128.5598
77.500000	84.489	128.2660
78.800003	84.395	128.0930
80.000000	84.326	128.0013
81.199997	84.266	127.8699
82.500000	84.183	127.6485
83.800003	84.069	127.4484
85.000000	83.954	127.4270
86.199997	83.863	127.4443
87.500000	83.786	127.4380
88.500000	83.748	127.3869
90.000000	83.691	127.1416
91.199997	83.645	126.9677
92.500000	83.595	126.5635
93.800003	83.480	126.0995
95.000000	83.346	125.9748
96.199997	83.230	126.0354
97.500000	83.137	126.1401
98.800003	83.072	126.1018
100.000000	83.018	125.9289
101.500000	82.945	125.5636
103.000000	82.844	125.1776
104.400002	82.729	125.0345
106.000000	82.621	125.2730
107.500000	82.570	125.3934
109.000000	82.508	125.2326
110.599998	82.425	124.9862
112.000000	82.359	124.7556
113.800003	82.272	124.6330
115.000000	82.220	124.8014
117.199997	82.117	125.5782
118.000000	82.082	125.9781
120.599998	82.031	126.4077
122.000000	81.946	125.7499
124.099998	81.773	124.7749
