* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 24 오후 9:29:20
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.863	157.8568
20.600000	89.850	157.7110
20.900000	89.820	157.4507
21.200001	89.786	157.2022
21.400000	89.761	157.0395
21.799999	89.708	156.7025
22.000000	89.680	156.5221
22.400000	89.623	156.1362
22.700001	89.582	155.8213
23.000000	89.541	155.4801
23.299999	89.501	155.1148
23.600000	89.462	154.7323
24.000000	89.415	154.2105
24.299999	89.382	153.8218
24.700001	89.343	153.3158
25.000000	89.316	152.9466
25.400000	89.283	152.4664
25.799999	89.252	151.9993
26.200001	89.222	151.5512
26.500000	89.199	151.2346
26.900000	89.165	150.8459
27.200001	89.137	150.5800
27.600000	89.099	150.2523
28.000000	89.059	149.9425
28.500000	89.005	149.5689
29.000000	88.945	149.2130
29.500000	88.882	148.8792
30.000000	88.822	148.5471
30.400000	88.779	148.2509
30.700001	88.748	147.9957
31.100000	88.705	147.6058
31.500000	88.656	147.1753
32.000000	88.585	146.6336
32.500000	88.508	146.1476
33.000000	88.436	145.7343
33.500000	88.378	145.3610
34.000000	88.332	144.9821
34.500000	88.289	144.5816
35.000000	88.241	144.1866
35.500000	88.191	143.8386
36.000000	88.146	143.5323
36.500000	88.106	143.2119
37.000000	88.061	142.8431
37.500000	88.002	142.4729
38.200001	87.902	142.0835
38.700001	87.837	141.8801
39.500000	87.749	141.4733
40.000000	87.693	141.1464
40.599998	87.621	140.7393
41.200001	87.547	140.3330
41.799999	87.472	139.9427
42.500000	87.390	139.5766
43.099998	87.339	139.2980
43.700001	87.296	138.9431
44.400002	87.229	138.5074
45.000000	87.168	138.2518
45.500000	87.131	138.0523
46.200001	87.081	137.6050
46.799999	87.008	137.1521
47.500000	86.900	136.8208
48.200001	86.811	136.6353
48.700001	86.759	136.4806
49.400002	86.691	136.2436
50.000000	86.644	136.0212
50.799999	86.588	135.5754
51.500000	86.520	135.1669
52.200001	86.454	134.9047
53.000000	86.398	134.6021
53.799999	86.326	134.2308
54.500000	86.247	134.0371
55.200001	86.175	133.9286
56.000000	86.091	133.7647
57.000000	85.965	133.6270
58.000000	85.857	133.6095
59.000000	85.788	133.3643
60.000000	85.698	132.7131
60.799999	85.585	132.2427
61.500000	85.487	132.0571
62.200001	85.419	131.9766
63.000000	85.367	131.8229
64.000000	85.302	131.5434
65.000000	85.237	131.3234
66.000000	85.180	131.0508
67.000000	85.105	130.7083
68.000000	85.015	130.4367
69.000000	84.923	130.2054
70.000000	84.835	130.0586
71.000000	84.775	129.9401
72.000000	84.730	129.6611
73.000000	84.668	129.3026
74.000000	84.590	129.0421
75.000000	84.512	128.8717
76.199997	84.417	128.7031
77.500000	84.316	128.5274
78.800003	84.218	128.1980
80.000000	84.112	127.8664
81.199997	84.014	127.6078
82.500000	83.928	127.3131
83.800003	83.854	127.0870
85.000000	83.797	126.8840
86.199997	83.725	126.6944
87.500000	83.643	126.6101
88.500000	83.577	126.4937
90.000000	83.449	126.3591
91.199997	83.353	126.2998
92.500000	83.244	126.1781
93.800003	83.123	126.1581
95.000000	83.015	126.2124
96.199997	82.920	126.3592
97.500000	82.874	126.4303
98.800003	82.852	125.9574
100.000000	82.779	125.3305
101.500000	82.634	124.9400
103.000000	82.477	125.1699
104.400002	82.394	125.7810
106.000000	82.397	125.7585
107.500000	82.328	125.0701
109.000000	82.257	124.8300
110.599998	82.235	124.8506
112.000000	82.187	125.0949
113.800003	82.051	125.3828
115.000000	81.911	125.0466
117.199997	81.612	122.2130
118.000000	81.466	120.5597
120.599998	80.938	120.0457
122.000000	81.182	122.2186
124.099998	81.592	123.3816
125.000000	81.641	123.7116
126.500000	81.608	124.2505
128.000000	81.509	124.4288
131.500000	81.319	123.8726
132.000000	81.314	123.8323
134.000000	81.299	123.6768
136.000000	81.206	123.5581
138.000000	81.079	123.5128
140.000000	80.996	123.5026
143.000000	80.981	123.6563
145.000000	80.948	123.7661
147.500000	80.870	123.8344
150.000000	80.779	123.6638
152.500000	80.698	123.6034
155.000000	80.629	123.6252
157.500000	80.566	123.6407
160.000000	80.496	123.5747
162.500000	80.419	123.4998
165.000000	80.352	123.4069
167.500000	80.304	123.2805
170.000000	80.264	123.2349
172.500000	80.231	123.2886
175.000000	80.202	123.2001
177.500000	80.152	122.9916
180.000000	80.091	122.9397
182.500000	80.035	122.9651
185.000000	79.974	122.8895
187.500000	79.914	122.7623
190.000000	79.866	122.7094
192.500000	79.828	122.7575
195.000000	79.786	122.7135
197.500000	79.727	122.5677
200.000000	79.672	122.4333
203.000000	79.618	122.3218
206.000000	79.570	122.2974
209.000000	79.526	122.3260
212.000000	79.484	122.3378
214.000000	79.454	122.3365
218.000000	79.399	122.3612
220.000000	79.376	122.3719
224.000000	79.331	122.3537
227.000000	79.302	122.3037
230.000000	79.276	122.2937
233.000000	79.243	122.2925
236.000000	79.203	122.2859
240.000000	79.160	122.2612
243.000000	79.127	122.2217
247.000000	79.081	122.2129
250.000000	79.057	122.2425
254.000000	79.030	122.2341
258.000000	78.998	122.2076
262.000000	78.975	122.2661
265.000000	78.961	122.3253
269.000000	78.938	122.3536
272.000000	78.925	122.3656
276.000000	78.916	122.3648
280.000000	78.909	122.3714
285.000000	78.891	122.3998
290.000000	78.880	122.4545
295.000000	78.896	122.6065
300.000000	78.905	122.6401
304.000000	78.918	122.6299
307.000000	78.933	122.6273
311.000000	78.952	122.5650
315.000000	78.963	122.4905
320.000000	78.976	122.4327
325.000000	79.001	122.3390
330.000000	79.023	122.2280
335.000000	79.046	122.0981
340.000000	79.074	122.0008
345.000000	79.090	121.9757
350.000000	79.103	121.9410
355.000000	79.116	121.9040
360.000000	79.124	121.8606
365.000000	79.137	121.8239
370.000000	79.163	121.7910
375.000000	79.198	121.7289
382.000000	79.249	121.6865
387.000000	79.273	121.6771
395.000000	79.309	121.6346
400.000000	79.340	121.5051
406.000000	79.382	121.3629
412.000000	79.422	121.3351
418.000000	79.468	121.2988
425.000000	79.533	121.2099
431.000000	79.588	121.1521
437.000000	79.647	121.0990
444.000000	79.716	120.9843
450.000000	79.766	120.9178
455.000000	79.811	120.8548
462.000000	79.883	120.7165
468.000000	79.955	120.6485
475.000000	80.043	120.5806
482.000000	80.125	120.4905
487.000000	80.178	120.4123
494.000000	80.253	120.2900
500.000000	80.322	120.2105
508.000000	80.418	120.1312
515.000000	80.509	120.0237
522.000000	80.604	119.9163
530.000000	80.710	119.7649
538.000000	80.816	119.5820
545.000000	80.910	119.4693
552.000000	81.005	119.3715
560.000000	81.114	119.2276
570.000000	81.256	119.0078
580.000000	81.404	118.7505
590.000000	81.556	118.5182
600.000000	81.702	118.3029
608.000000	81.818	118.1013
615.000000	81.923	117.9128
622.000000	82.030	117.7225
