* Measurement data measured by REW V5.20.13
* Source: Analog (1+2)(2- RME ADI-2 Pro), LINE_IN (마스), L, volume: 0.250. Timing signal peak level -24.6 dBFS, measurement signal peak level -24.5 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2023. 1. 5 오후 1:40:47
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.1893 ms (-65 mm, -2.56 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: 27.9 ppm
* Measurement: L (정착용)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	76.079	-68.8992
20.299999	76.564	-73.3445
20.600000	76.964	-77.6798
20.900000	77.305	-81.6719
21.200001	77.625	-85.2350
21.400000	77.844	-87.4222
21.799999	78.301	-91.5175
22.000000	78.537	-93.5095
22.400000	79.007	-97.4965
22.700001	79.339	-100.4716
23.000000	79.648	-103.3651
23.299999	79.936	-106.1166
23.600000	80.209	-108.7009
24.000000	80.560	-111.8863
24.299999	80.822	-114.1135
24.700001	81.175	-116.9443
25.000000	81.445	-119.0427
25.400000	81.802	-121.9186
25.799999	82.134	-124.9448
26.200001	82.420	-128.0344
26.500000	82.606	-130.2759
26.900000	82.839	-133.0662
27.200001	83.023	-135.0489
27.600000	83.291	-137.7282
28.000000	83.562	-140.6506
28.500000	83.843	-144.5524
29.000000	84.065	-148.1637
29.500000	84.322	-151.2639
30.000000	84.666	-154.4766
30.400000	84.938	-157.5357
30.700001	85.094	-160.0217
31.100000	85.226	-163.1249
31.500000	85.330	-165.6375
32.000000	85.540	-168.2171
32.500000	85.822	-171.2193
33.000000	85.988	-174.8847
33.500000	85.965	-177.9306
34.000000	85.962	-179.3823
34.500000	86.202	179.4886
35.000000	86.537	176.7448
35.500000	86.622	172.6389
36.000000	86.400	169.6375
36.500000	86.196	168.9994
37.000000	86.325	168.8453
37.500000	86.580	166.9039
38.200001	86.533	163.1322
38.700001	86.403	162.7458
39.500000	86.940	162.6976
40.000000	87.314	159.5416
40.599998	87.249	155.0810
41.200001	87.008	154.3200
41.799999	87.282	155.0823
42.500000	87.807	152.1387
43.099998	87.757	148.5710
43.700001	87.598	148.1139
44.400002	87.967	148.5959
45.000000	88.371	145.9270
45.500000	88.388	142.8893
46.200001	88.176	141.1437
46.799999	88.272	141.1745
47.500000	88.570	139.2756
48.200001	88.587	136.2979
48.700001	88.496	135.1899
49.400002	88.540	134.6662
50.000000	88.706	133.6386
50.799999	88.868	131.6857
51.500000	89.065	130.3364
52.200001	89.388	128.1693
53.000000	89.618	123.9379
53.799999	89.561	119.8367
54.500000	89.452	117.2066
55.200001	89.349	114.8220
56.000000	89.148	112.4661
57.000000	88.860	111.0882
58.000000	88.710	110.7069
59.000000	88.695	110.6499
60.000000	88.813	110.2525
60.799999	88.921	109.4372
61.500000	89.008	108.5677
62.200001	89.093	107.5359
63.000000	89.154	106.1703
64.000000	89.164	104.7302
65.000000	89.196	103.8778
66.000000	89.292	103.0195
67.000000	89.369	101.9599
68.000000	89.429	101.1491
69.000000	89.531	100.3561
70.000000	89.624	99.2600
71.000000	89.679	98.2209
72.000000	89.746	97.3739
73.000000	89.837	96.4946
74.000000	89.926	95.4976
75.000000	89.995	94.5056
76.199997	90.070	93.4562
77.500000	90.167	92.3468
78.800003	90.261	91.1006
80.000000	90.333	89.9496
81.199997	90.410	88.8803
82.500000	90.501	87.6880
83.800003	90.569	86.4782
85.000000	90.616	85.5175
86.199997	90.675	84.5926
87.500000	90.729	83.4439
88.500000	90.752	82.5893
90.000000	90.795	81.4685
91.199997	90.845	80.5587
92.500000	90.892	79.5596
93.800003	90.931	78.6349
95.000000	90.963	77.8315
96.199997	90.993	77.0742
97.500000	91.032	76.2536
98.800003	91.069	75.3834
100.000000	91.097	74.6054
101.500000	91.135	73.7255
103.000000	91.181	72.8766
104.400002	91.219	72.0813
106.000000	91.256	71.1806
107.500000	91.284	70.3439
109.000000	91.310	69.5287
110.599998	91.340	68.6948
112.000000	91.367	67.9957
113.800003	91.402	67.1544
115.000000	91.425	66.6120
117.199997	91.466	65.6660
118.000000	91.483	65.3224
120.599998	91.533	64.1384
122.000000	91.552	63.5067
124.099998	91.580	62.5945
125.000000	91.591	62.2079
126.500000	91.608	61.5887
128.000000	91.624	61.0040
131.500000	91.659	59.6629
132.000000	91.662	59.4739
134.000000	91.670	58.7606
136.000000	91.682	58.1020
138.000000	91.699	57.4582
140.000000	91.715	56.8392
143.000000	91.735	55.9582
145.000000	91.749	55.3714
147.500000	91.765	54.6433
150.000000	91.775	53.9196
152.500000	91.771	53.2102
155.000000	91.760	52.5913
157.500000	91.755	52.1024
160.000000	91.766	51.7231
162.500000	91.792	51.3357
165.000000	91.824	50.8840
167.500000	91.856	50.3782
170.000000	91.884	49.8496
172.500000	91.911	49.2722
175.000000	91.929	48.6505
177.500000	91.940	48.0450
180.000000	91.944	47.4778
182.500000	91.942	46.9597
185.000000	91.936	46.4738
187.500000	91.925	46.0026
190.000000	91.910	45.5566
192.500000	91.895	45.1589
195.000000	91.885	44.8177
197.500000	91.886	44.5117
200.000000	91.894	44.1935
203.000000	91.905	43.7361
206.000000	91.907	43.1757
209.000000	91.895	42.5648
212.000000	91.862	41.9734
214.000000	91.826	41.6198
218.000000	91.726	41.1147
220.000000	91.670	41.0168
224.000000	91.582	41.1590
227.000000	91.558	41.4220
230.000000	91.572	41.6685
233.000000	91.613	41.8128
236.000000	91.667	41.7951
240.000000	91.738	41.5304
243.000000	91.780	41.1914
247.000000	91.820	40.6183
250.000000	91.838	40.1198
254.000000	91.842	39.4103
258.000000	91.826	38.6950
262.000000	91.789	37.9913
265.000000	91.746	37.4839
269.000000	91.669	36.8323
272.000000	91.591	36.3849
276.000000	91.459	35.9154
280.000000	91.296	35.6844
285.000000	91.065	35.9766
290.000000	90.876	37.1822
295.000000	90.862	38.8406
