* Measurement data measured by REW V5.20.13
* Source: Analog (1+2)(2- RME ADI-2 Pro), LINE_IN (마스), R, volume: 0.250. Timing signal peak level -24.9 dBFS, measurement signal peak level -24.7 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2023. 1. 5 오후 1:40:03
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0.0237 ms (8.1 mm, 0.32 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 27.8 ppm
* Measurement: R (정착용)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	81.497	-108.8662
20.299999	81.842	-111.4865
20.600000	82.202	-114.1783
20.900000	82.566	-117.0267
21.200001	82.918	-120.0552
21.400000	83.139	-122.1454
21.799999	83.544	-126.4033
22.000000	83.728	-128.5197
22.400000	84.070	-132.6367
22.700001	84.312	-135.5952
23.000000	84.551	-138.4492
23.299999	84.789	-141.2254
23.600000	85.026	-143.9453
24.000000	85.337	-147.5064
24.299999	85.564	-150.1320
24.700001	85.856	-153.5694
25.000000	86.065	-156.0980
25.400000	86.328	-159.4017
25.799999	86.571	-162.6169
26.200001	86.795	-165.7190
26.500000	86.951	-167.9601
26.900000	87.151	-170.8424
27.200001	87.297	-172.9518
27.600000	87.486	-175.7430
28.000000	87.660	-178.5454
28.500000	87.847	177.9724
29.000000	88.002	174.6407
29.500000	88.149	171.5156
30.000000	88.310	168.4600
30.400000	88.440	165.9307
30.700001	88.526	163.9652
31.100000	88.611	161.3435
31.500000	88.663	158.8813
32.000000	88.712	156.2372
32.500000	88.800	154.0300
33.000000	88.952	151.8997
33.500000	89.139	149.5291
34.000000	89.309	146.9124
34.500000	89.442	144.2886
35.000000	89.558	141.8165
35.500000	89.679	139.4373
36.000000	89.799	137.0111
36.500000	89.900	134.5273
37.000000	89.973	132.1113
37.500000	90.035	129.8522
38.200001	90.132	126.8399
38.700001	90.206	124.6465
39.500000	90.297	121.0089
40.000000	90.324	118.7414
40.599998	90.324	116.1409
41.200001	90.302	113.8106
41.799999	90.294	111.7618
42.500000	90.338	109.3277
43.099998	90.371	106.7909
43.700001	90.316	104.0022
44.400002	90.125	101.2140
45.000000	89.930	99.6140
45.500000	89.802	98.6582
46.200001	89.670	97.5196
46.799999	89.572	96.7434
47.500000	89.503	96.2817
48.200001	89.543	96.0497
48.700001	89.634	95.7243
49.400002	89.800	94.8501
50.000000	89.942	93.8097
50.799999	90.129	92.1841
51.500000	90.295	90.4683
52.200001	90.433	88.3843
53.000000	90.520	85.7540
53.799999	90.542	83.1510
54.500000	90.526	80.8934
55.200001	90.466	78.6551
56.000000	90.344	76.2997
57.000000	90.146	73.7944
58.000000	89.931	71.7542
59.000000	89.738	69.9213
60.000000	89.511	67.8909
60.799999	89.249	66.4756
61.500000	88.980	65.6771
62.200001	88.701	65.3237
63.000000	88.393	65.5042
64.000000	88.087	66.5651
65.000000	87.923	68.0772
66.000000	87.886	69.6006
67.000000	87.945	70.8858
68.000000	88.055	71.8090
69.000000	88.184	72.4541
70.000000	88.329	72.9279
71.000000	88.500	73.2332
72.000000	88.693	73.2734
73.000000	88.889	73.0086
74.000000	89.070	72.5381
75.000000	89.235	71.9721
76.199997	89.421	71.2256
77.500000	89.612	70.3021
78.800003	89.778	69.2499
80.000000	89.912	68.2455
81.199997	90.037	67.2155
82.500000	90.166	66.0483
83.800003	90.276	64.8143
85.000000	90.357	63.7349
86.199997	90.436	62.7591
87.500000	90.523	61.7048
88.500000	90.585	60.8647
90.000000	90.668	59.5906
91.199997	90.724	58.5510
92.500000	90.770	57.4630
93.800003	90.813	56.4652
95.000000	90.856	55.5648
96.199997	90.899	54.6691
97.500000	90.944	53.6890
98.800003	90.981	52.6960
100.000000	91.009	51.8022
101.500000	91.038	50.7311
103.000000	91.064	49.6984
104.400002	91.086	48.7212
106.000000	91.098	47.5729
107.500000	91.092	46.4916
109.000000	91.068	45.4344
