* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 6 오후 8:54:18
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	92.253	-152.4418
20.600000	92.274	-152.9052
20.900000	92.316	-153.7290
21.200001	92.353	-154.5097
21.400000	92.373	-155.0236
21.799999	92.403	-156.0920
22.000000	92.411	-156.6536
22.400000	92.408	-157.7816
22.700001	92.392	-158.5854
23.000000	92.370	-159.3264
23.299999	92.348	-160.0036
23.600000	92.331	-160.6314
24.000000	92.318	-161.4262
24.299999	92.316	-162.0154
24.700001	92.318	-162.8065
25.000000	92.320	-163.4012
25.400000	92.321	-164.1819
25.799999	92.319	-164.9280
26.200001	92.312	-165.6219
26.500000	92.305	-166.1011
26.900000	92.293	-166.6835
27.200001	92.283	-167.0829
27.600000	92.271	-167.5799
28.000000	92.261	-168.0583
28.500000	92.248	-168.6575
29.000000	92.231	-169.2654
29.500000	92.206	-169.8659
30.000000	92.177	-170.4397
30.400000	92.153	-170.8763
30.700001	92.136	-171.1938
31.100000	92.115	-171.6101
31.500000	92.096	-172.0238
32.000000	92.075	-172.5424
32.500000	92.057	-173.0656
33.000000	92.044	-173.5956
33.500000	92.035	-174.1327
34.000000	92.026	-174.6701
34.500000	92.015	-175.1927
35.000000	92.000	-175.6834
35.500000	91.983	-176.1312
36.000000	91.968	-176.5401
36.500000	91.955	-176.9276
37.000000	91.943	-177.3148
37.500000	91.928	-177.7097
38.200001	91.899	-178.2577
38.700001	91.876	-178.6326
39.500000	91.840	-179.2318
40.000000	91.820	-179.6333
40.599998	91.792	179.8607
41.200001	91.761	179.3613
41.799999	91.733	178.8821
42.500000	91.705	178.3238
43.099998	91.684	177.8290
43.700001	91.661	177.3328
44.400002	91.629	176.7768
45.000000	91.598	176.3310
45.500000	91.570	175.9835
46.200001	91.529	175.5252
46.799999	91.494	175.1404
47.500000	91.449	174.6894
48.200001	91.402	174.2508
48.700001	91.367	173.9492
49.400002	91.320	173.5319
50.000000	91.278	173.1759
50.799999	91.222	172.7267
51.500000	91.173	172.3705
52.200001	91.127	172.0383
53.000000	91.074	171.6715
53.799999	91.015	171.3194
54.500000	90.956	171.0469
55.200001	90.894	170.8169
56.000000	90.824	170.5647
57.000000	90.729	170.2287
58.000000	90.629	169.9223
59.000000	90.534	169.6118
60.000000	90.436	169.3079
60.799999	90.363	169.1223
61.500000	90.308	168.9883
62.200001	90.257	168.8685
63.000000	90.200	168.7594
64.000000	90.129	168.6703
65.000000	90.054	168.6328
66.000000	89.977	168.6297
67.000000	89.897	168.6142
68.000000	89.812	168.5875
69.000000	89.726	168.5682
70.000000	89.648	168.5472
71.000000	89.579	168.5085
72.000000	89.516	168.4674
73.000000	89.460	168.4442
74.000000	89.407	168.4220
75.000000	89.349	168.4182
76.199997	89.276	168.4949
77.500000	89.204	168.6443
78.800003	89.141	168.7651
80.000000	89.084	168.8472
81.199997	89.029	168.9048
82.500000	88.969	168.9517
83.800003	88.907	169.0133
85.000000	88.851	169.0941
86.199997	88.799	169.1845
87.500000	88.748	169.2834
88.500000	88.712	169.3626
90.000000	88.669	169.4947
91.199997	88.644	169.5851
92.500000	88.615	169.6459
93.800003	88.578	169.7142
95.000000	88.537	169.8051
96.199997	88.495	169.9131
97.500000	88.450	169.9971
98.800003	88.405	170.0508
100.000000	88.367	170.0912
101.500000	88.324	170.1231
103.000000	88.279	170.1741
104.400002	88.235	170.2845
106.000000	88.187	170.4574
107.500000	88.141	170.6232
109.000000	88.097	170.7868
110.599998	88.058	170.9513
112.000000	88.031	171.0586
113.800003	87.990	171.1683
115.000000	87.958	171.2656
117.199997	87.895	171.4890
118.000000	87.871	171.5826
120.599998	87.809	171.9544
122.000000	87.788	172.1212
124.099998	87.756	172.3372
125.000000	87.742	172.4302
126.500000	87.718	172.5798
128.000000	87.693	172.7354
131.500000	87.643	173.1548
132.000000	87.637	173.2174
134.000000	87.613	173.4919
136.000000	87.596	173.7603
138.000000	87.577	173.9762
140.000000	87.550	174.2083
143.000000	87.512	174.5859
145.000000	87.489	174.7911
147.500000	87.469	174.9731
150.000000	87.457	175.1104
152.500000	87.457	175.2807
155.000000	87.462	175.4391
157.500000	87.459	175.6302
160.000000	87.449	175.8827
162.500000	87.425	176.1425
165.000000	87.384	176.3559
167.500000	87.343	176.4862
170.000000	87.319	176.5846
172.500000	87.304	176.7128
175.000000	87.275	176.8978
177.500000	87.234	177.0579
180.000000	87.193	177.1845
182.500000	87.165	177.4077
185.000000	87.149	177.7693
187.500000	87.139	178.1538
190.000000	87.133	178.4419
192.500000	87.128	178.6564
195.000000	87.125	178.8928
197.500000	87.125	179.1481
200.000000	87.124	179.4050
203.000000	87.117	179.7274
206.000000	87.105	-179.9386
209.000000	87.097	-179.6367
212.000000	87.098	-179.3980
214.000000	87.103	-179.2589
218.000000	87.122	-178.9779
220.000000	87.132	-178.8308
224.000000	87.142	-178.5123
227.000000	87.144	-178.2839
230.000000	87.148	-178.0969
233.000000	87.155	-177.9568
236.000000	87.166	-177.8571
240.000000	87.184	-177.7778
243.000000	87.197	-177.7688
247.000000	87.206	-177.6957
250.000000	87.205	-177.4980
254.000000	87.185	-177.1150
258.000000	87.148	-176.8595
262.000000	87.118	-176.7917
265.000000	87.102	-176.7091
269.000000	87.082	-176.4972
272.000000	87.075	-176.3332
276.000000	87.077	-176.0981
280.000000	87.079	-175.7808
285.000000	87.080	-175.3545
290.000000	87.090	-174.9767
295.000000	87.111	-174.5648
300.000000	87.132	-174.1164
304.000000	87.143	-173.7659
307.000000	87.148	-173.5206
311.000000	87.157	-173.2415
315.000000	87.179	-172.9615
320.000000	87.216	-172.5388
325.000000	87.259	-172.1404
330.000000	87.326	-171.7487
335.000000	87.398	-171.2873
340.000000	87.461	-170.9200
345.000000	87.522	-170.6993
350.000000	87.584	-170.5318
355.000000	87.641	-170.3497
360.000000	87.698	-170.1534
365.000000	87.752	-170.0371
370.000000	87.806	-170.0238
375.000000	87.866	-170.0773
382.000000	87.954	-170.1939
387.000000	88.011	-170.2868
395.000000	88.091	-170.4658
400.000000	88.131	-170.6194
406.000000	88.166	-170.8833
412.000000	88.199	-171.2728
418.000000	88.228	-171.6439
425.000000	88.236	-171.9539
431.000000	88.227	-172.2020
437.000000	88.224	-172.4445
444.000000	88.214	-172.6740
450.000000	88.192	-172.8889
455.000000	88.169	-173.0599
462.000000	88.133	-173.2905
468.000000	88.107	-173.4445
475.000000	88.077	-173.5285
482.000000	88.048	-173.4759
487.000000	88.019	-173.3456
494.000000	87.964	-173.2112
500.000000	87.932	-173.1812
508.000000	87.928	-173.0377
515.000000	87.936	-172.8342
522.000000	87.951	-172.6881
530.000000	87.975	-172.5240
538.000000	87.988	-172.2736
545.000000	87.982	-172.1662
552.000000	87.979	-172.2264
560.000000	87.980	-172.3392
570.000000	87.984	-172.5001
580.000000	87.996	-172.7100
590.000000	88.004	-172.7843
600.000000	87.957	-172.8871
608.000000	87.902	-173.0416
615.000000	87.855	-173.1322
622.000000	87.812	-173.1249
630.000000	87.764	-172.9984
640.000000	87.698	-172.7805
650.000000	87.632	-172.5286
660.000000	87.590	-172.1021
670.000000	87.567	-171.4332
680.000000	87.536	-170.7460
690.000000	87.503	-170.2574
700.000000	87.490	-169.8901
710.000000	87.518	-169.5462
720.000000	87.568	-169.2800
730.000000	87.602	-169.0971
740.000000	87.622	-169.0016
750.000000	87.648	-168.9694
762.000000	87.678	-169.0012
775.000000	87.694	-169.1651
788.000000	87.691	-169.4540
800.000000	87.659	-169.7601
812.000000	87.593	-169.9874
825.000000	87.510	-170.1881
838.000000	87.422	-170.2906
850.000000	87.328	-170.1585
862.000000	87.228	-169.8448
875.000000	87.132	-169.4839
885.000000	87.061	-169.2194
900.000000	86.948	-168.6198
912.000000	86.856	-168.0095
925.000000	86.757	-167.2895
938.000000	86.686	-166.5768
950.000000	86.654	-165.9213
962.000000	86.627	-165.2277
975.000000	86.595	-164.4182
988.000000	86.566	-163.5337
1000.000000	86.547	-162.6964
1015.000000	86.547	-161.6475
1030.000000	86.566	-160.6225
1044.000000	86.610	-159.7135
1060.000000	86.667	-158.8548
1075.000000	86.714	-158.1972
1090.000000	86.783	-157.5722
1106.000000	86.883	-157.1387
1120.000000	86.969	-156.9821
1138.000000	87.050	-156.7785
1150.000000	87.094	-156.6076
1172.000000	87.162	-156.3267
1180.000000	87.180	-156.2379
1206.000000	87.263	-155.9089
1220.000000	87.304	-155.6762
1241.000000	87.334	-155.3225
1250.000000	87.339	-155.1593
1265.000000	87.345	-154.8783
1280.000000	87.361	-154.5600
1315.000000	87.410	-153.9299
1320.000000	87.417	-153.8797
1340.000000	87.440	-153.6903
1360.000000	87.431	-153.2867
1380.000000	87.428	-152.7004
1400.000000	87.458	-152.0396
1430.000000	87.503	-151.3034
1450.000000	87.551	-150.8862
1475.000000	87.669	-150.4317
1500.000000	87.777	-150.0091
1525.000000	87.866	-149.5957
1550.000000	87.940	-149.3804
1575.000000	88.014	-149.2105
1600.000000	88.090	-148.8510
1625.000000	88.127	-148.3907
1650.000000	88.134	-148.0611
1675.000000	88.160	-147.9215
1700.000000	88.194	-147.8368
1725.000000	88.221	-147.5810
1750.000000	88.249	-147.0966
1775.000000	88.289	-146.5739
1800.000000	88.333	-146.0522
1825.000000	88.394	-145.5407
1850.000000	88.438	-145.0622
1875.000000	88.465	-144.6544
1900.000000	88.494	-144.3222
1925.000000	88.507	-144.1611
1950.000000	88.531	-143.9205
1975.000000	88.573	-143.4706
2000.000000	88.605	-143.0624
2030.000000	88.651	-142.7778
2060.000000	88.714	-142.3026
2090.000000	88.783	-141.6649
2120.000000	88.814	-141.1674
2140.000000	88.828	-140.9162
2180.000000	88.891	-140.2618
2200.000000	88.943	-139.8190
2240.000000	89.060	-139.0112
2270.000000	89.114	-138.5607
2300.000000	89.163	-138.0149
2330.000000	89.253	-137.3786
2360.000000	89.365	-136.6943
2400.000000	89.502	-135.6114
2430.000000	89.613	-134.8053
2470.000000	89.787	-134.0446
2500.000000	89.923	-133.6177
2540.000000	90.113	-132.9937
2580.000000	90.327	-132.3624
2620.000000	90.547	-132.0991
2650.000000	90.727	-132.2059
2690.000000	90.972	-132.4795
2720.000000	91.144	-132.7118
2760.000000	91.365	-133.2875
2800.000000	91.597	-133.9636
2850.000000	91.869	-134.9725
2900.000000	92.073	-136.0799
2950.000000	92.241	-137.3478
3000.000000	92.416	-138.8203
3040.000000	92.522	-140.0920
3070.000000	92.583	-141.0084
3110.000000	92.646	-142.1716
3150.000000	92.688	-143.4321
3200.000000	92.695	-145.1116
3250.000000	92.659	-146.6423
3300.000000	92.610	-148.0182
3350.000000	92.547	-149.3203
3400.000000	92.455	-150.5082
3450.000000	92.343	-151.4977
3500.000000	92.246	-152.3503
3550.000000	92.150	-153.1579
3600.000000	92.029	-153.7721
3650.000000	91.899	-154.0800
3700.000000	91.759	-154.3865
3750.000000	91.624	-154.6544
3820.000000	91.461	-154.6148
3870.000000	91.360	-154.5798
3950.000000	91.197	-154.6007
4000.000000	91.103	-154.4864
4060.000000	91.010	-154.2910
4120.000000	90.913	-154.1939
4180.000000	90.811	-153.9819
4250.000000	90.703	-153.6019
4310.000000	90.607	-153.3348
4370.000000	90.506	-153.0289
4440.000000	90.398	-152.5807
4500.000000	90.293	-152.1741
4550.000000	90.195	-151.8324
4620.000000	90.062	-151.3132
4680.000000	89.961	-150.7937
4750.000000	89.844	-150.1483
4820.000000	89.750	-149.4956
4870.000000	89.694	-148.9266
4940.000000	89.616	-147.9609
5000.000000	89.551	-147.0538
5080.000000	89.466	-145.8931
5150.000000	89.413	-144.9104
5220.000000	89.379	-143.8364
5300.000000	89.344	-142.5645
5380.000000	89.336	-141.1032
5450.000000	89.350	-139.8168
5520.000000	89.388	-138.5140
5600.000000	89.473	-136.9146
5700.000000	89.636	-134.9878
5800.000000	89.832	-133.1143
5900.000000	90.115	-131.1353
6000.000000	90.541	-129.5507
6080.000000	90.958	-128.6041
6150.000000	91.371	-128.0910
6220.000000	91.820	-128.0207
6300.000000	92.353	-128.6011
6400.000000	93.011	-130.4417
6500.000000	93.598	-133.5787
6600.000000	94.030	-137.6850
6700.000000	94.300	-142.3152
6800.000000	94.414	-146.7770
6900.000000	94.412	-150.7790
7000.000000	94.347	-154.2723
7100.000000	94.259	-157.2709
7200.000000	94.188	-159.7382
7300.000000	94.177	-161.8187
7400.000000	94.195	-163.8549
7500.000000	94.248	-166.0188
7620.000000	94.380	-168.9831
7750.000000	94.575	-172.9626
7880.000000	94.721	-177.8607
8000.000000	94.790	176.6099
8120.000000	94.743	170.0803
8250.000000	94.441	162.1665
8380.000000	93.826	153.9941
