* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 30 오후 6:34:53
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_72db
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	76.808	174.9232
20.600000	76.826	174.8174
20.900000	76.837	174.6146
21.200001	76.787	174.4238
21.400000	76.726	174.3839
21.799999	76.581	174.5604
22.000000	76.514	174.7539
22.400000	76.414	175.1820
22.700001	76.367	175.3888
23.000000	76.332	175.4232
23.299999	76.300	175.3052
23.600000	76.271	175.0695
24.000000	76.239	174.6016
24.299999	76.223	174.1152
24.700001	76.203	173.2355
25.000000	76.173	172.4123
25.400000	76.093	171.2236
25.799999	75.958	170.2180
26.200001	75.796	169.6933
26.500000	75.687	169.6756
26.900000	75.601	170.0163
27.200001	75.593	170.3254
27.600000	75.637	170.5096
28.000000	75.691	170.2877
28.500000	75.699	169.7013
29.000000	75.638	169.3551
29.500000	75.581	169.4402
30.000000	75.572	169.5403
30.400000	75.570	169.3522
30.700001	75.543	169.0891
31.100000	75.464	168.8349
31.500000	75.363	168.9285
32.000000	75.289	169.5060
32.500000	75.327	169.9907
33.000000	75.414	169.7651
33.500000	75.448	168.9104
34.000000	75.388	168.0347
34.500000	75.285	167.5995
35.000000	75.204	167.5696
35.500000	75.173	167.6369
36.000000	75.171	167.5936
36.500000	75.175	167.4197
37.000000	75.170	167.1641
37.500000	75.147	166.8932
38.200001	75.082	166.6987
38.700001	75.037	166.7820
39.500000	75.009	167.0177
40.000000	75.001	167.0330
40.599998	74.970	166.9693
41.200001	74.914	167.0138
41.799999	74.856	167.2495
42.500000	74.818	167.7122
43.099998	74.837	168.0593
43.700001	74.886	168.0125
44.400002	74.898	167.4027
45.000000	74.831	166.9097
45.500000	74.767	166.8083
46.200001	74.741	166.8055
46.799999	74.752	166.4563
47.500000	74.719	165.8503
48.200001	74.673	165.5510
48.700001	74.672	165.3868
49.400002	74.671	164.8577
50.000000	74.603	164.4166
50.799999	74.477	164.6446
51.500000	74.463	165.2785
52.200001	74.518	165.4108
53.000000	74.514	164.8590
53.799999	74.399	164.2930
54.500000	74.256	164.0453
55.200001	74.107	164.0039
56.000000	73.964	164.2098
57.000000	73.886	164.5719
58.000000	73.899	164.6027
59.000000	73.941	164.4124
60.000000	74.007	164.1553
60.799999	74.049	163.7177
61.500000	74.030	163.2635
62.200001	73.955	163.0509
63.000000	73.849	163.2229
64.000000	73.746	163.6819
65.000000	73.670	163.9309
66.000000	73.561	164.0020
67.000000	73.454	164.4770
68.000000	73.460	164.9696
69.000000	73.492	164.9210
70.000000	73.493	164.8833
71.000000	73.506	164.8997
72.000000	73.488	164.8060
73.000000	73.426	164.8867
74.000000	73.356	165.1268
75.000000	73.284	165.3465
76.199997	73.193	165.4707
77.500000	73.087	165.4785
78.800003	73.027	165.4230
80.000000	72.995	165.0461
81.199997	72.967	164.9583
82.500000	72.997	164.8201
83.800003	72.933	164.9192
85.000000	72.857	165.6774
86.199997	72.773	166.7843
87.500000	72.739	168.0548
88.500000	72.756	168.6553
90.000000	72.848	168.2834
91.199997	72.812	166.8719
92.500000	72.608	166.0097
93.800003	72.445	166.8623
95.000000	72.493	168.2471
96.199997	72.648	169.1507
97.500000	72.790	169.5117
98.800003	72.882	169.5607
100.000000	72.883	169.2163
101.500000	72.741	169.1834
103.000000	72.631	169.5158
104.400002	72.579	169.2525
106.000000	72.478	168.5558
107.500000	72.448	168.5744
109.000000	72.510	168.8762
110.599998	72.555	169.6495
112.000000	72.555	170.3335
113.800003	72.478	170.1324
115.000000	72.448	169.2969
117.199997	72.878	166.5126
118.000000	73.177	164.7745
120.599998	73.190	160.4349
122.000000	72.816	164.0269
124.099998	72.591	169.4303
125.000000	72.443	170.6690
126.500000	72.138	171.9004
128.000000	71.949	172.4252
131.500000	72.225	172.5443
132.000000	72.277	172.5490
134.000000	72.308	172.9565
136.000000	72.210	174.1494
138.000000	72.239	174.7423
140.000000	72.344	174.4350
143.000000	72.438	174.3276
145.000000	72.421	174.5437
147.500000	72.373	174.4669
150.000000	72.353	174.1301
152.500000	72.356	173.8407
155.000000	72.314	173.8515
157.500000	72.304	173.9984
160.000000	72.346	174.1198
162.500000	72.364	174.2614
165.000000	72.319	174.5123
167.500000	72.273	174.6625
170.000000	72.272	174.6411
172.500000	72.276	174.5743
175.000000	72.254	174.6176
177.500000	72.235	174.5798
180.000000	72.229	174.5283
182.500000	72.221	174.7172
185.000000	72.185	175.2018
187.500000	72.148	175.7456
190.000000	72.137	175.9209
192.500000	72.139	175.7991
195.000000	72.144	175.7347
197.500000	72.142	175.8880
200.000000	72.119	176.1584
203.000000	72.089	176.5876
206.000000	72.099	177.0044
209.000000	72.098	177.3965
212.000000	72.070	177.7742
214.000000	72.055	178.0167
218.000000	72.065	178.5687
220.000000	72.073	178.8094
224.000000	72.081	178.9138
227.000000	72.103	178.7761
230.000000	72.145	178.6946
233.000000	72.188	178.8854
236.000000	72.236	179.4357
240.000000	72.288	179.9554
243.000000	72.304	179.8612
247.000000	72.344	179.9274
250.000000	72.382	-179.7686
254.000000	72.434	-179.4782
258.000000	72.499	-179.4096
262.000000	72.503	-179.4664
265.000000	72.502	-179.5832
269.000000	72.531	-179.5677
272.000000	72.567	-179.4243
276.000000	72.621	-179.2897
280.000000	72.684	-179.1357
285.000000	72.779	-179.1482
290.000000	72.832	-179.3386
295.000000	72.845	-179.4944
300.000000	72.894	-179.6121
304.000000	72.939	-179.6989
307.000000	72.974	-179.7990
311.000000	73.016	-179.9977
315.000000	73.036	179.7651
320.000000	73.031	179.4724
325.000000	73.047	179.3068
330.000000	73.070	179.1540
335.000000	73.100	178.7230
340.000000	73.113	178.3174
345.000000	73.111	177.9642
350.000000	73.123	177.7122
355.000000	73.130	177.3622
360.000000	73.112	176.9098
365.000000	73.092	176.6118
370.000000	73.085	176.3242
375.000000	73.060	176.0056
382.000000	73.026	175.6776
387.000000	73.013	175.4203
395.000000	72.987	174.9781
400.000000	72.960	174.6844
406.000000	72.923	174.4394
412.000000	72.878	174.2769
418.000000	72.824	174.1101
425.000000	72.753	173.8459
431.000000	72.702	173.5622
437.000000	72.652	173.3494
444.000000	72.610	173.1793
450.000000	72.560	172.9072
455.000000	72.491	172.6791
462.000000	72.408	172.4993
468.000000	72.368	172.2718
475.000000	72.313	172.0459
482.000000	72.232	172.0675
487.000000	72.178	172.1407
494.000000	72.102	172.1296
500.000000	72.037	172.0308
508.000000	71.945	171.7660
515.000000	71.860	171.6381
522.000000	71.762	171.7131
530.000000	71.665	171.7623
538.000000	71.593	171.8444
545.000000	71.509	172.0339
552.000000	71.412	172.2404
560.000000	71.329	172.3478
570.000000	71.230	172.4897
580.000000	71.118	172.7498
590.000000	71.026	173.0200
600.000000	70.926	173.4351
608.000000	70.832	173.7541
615.000000	70.747	174.0259
622.000000	70.653	174.3562
630.000000	70.566	174.8071
640.000000	70.484	175.3539
650.000000	70.398	175.9044
660.000000	70.299	176.5374
670.000000	70.200	177.0926
680.000000	70.115	177.6089
690.000000	70.054	178.2790
700.000000	70.008	179.0006
710.000000	69.947	179.6598
720.000000	69.888	-179.6512
730.000000	69.842	-178.8649
740.000000	69.807	-178.0600
750.000000	69.779	-177.3725
762.000000	69.771	-176.6679
775.000000	69.759	-175.9585
788.000000	69.773	-175.3642
800.000000	69.797	-175.0255
812.000000	69.782	-174.7202
825.000000	69.733	-174.4185
838.000000	69.688	-174.1977
850.000000	69.645	-173.9281
862.000000	69.569	-173.6575
875.000000	69.453	-173.3857
885.000000	69.354	-172.9568
900.000000	69.232	-172.0001
912.000000	69.150	-171.1251
925.000000	69.051	-170.1429
938.000000	68.969	-169.0733
950.000000	68.926	-167.9699
962.000000	68.899	-166.9651
975.000000	68.871	-165.8281
988.000000	68.828	-164.6013
1000.000000	68.801	-163.5179
1015.000000	68.839	-162.3929
1030.000000	68.889	-161.2280
1044.000000	68.934	-160.2267
1060.000000	68.990	-159.1257
1075.000000	69.052	-158.0676
1090.000000	69.122	-157.2523
1106.000000	69.213	-156.4383
1120.000000	69.290	-155.7749
1138.000000	69.369	-154.9780
1150.000000	69.424	-154.4473
1172.000000	69.554	-153.6177
1180.000000	69.600	-153.3996
1206.000000	69.702	-152.7816
1220.000000	69.747	-152.3471
1241.000000	69.828	-151.6194
1250.000000	69.852	-151.3827
1265.000000	69.875	-151.1011
1280.000000	69.910	-150.7659
1315.000000	70.054	-149.7042
1320.000000	70.071	-149.5365
1340.000000	70.139	-148.8192
1360.000000	70.204	-148.1592
1380.000000	70.254	-147.4635
1400.000000	70.319	-146.8588
1430.000000	70.476	-145.9413
1450.000000	70.589	-145.3198
1475.000000	70.722	-144.6796
1500.000000	70.851	-144.1990
1525.000000	70.984	-144.0206
1550.000000	71.105	-143.9785
1575.000000	71.193	-143.9489
1600.000000	71.252	-143.9254
1625.000000	71.310	-143.7549
1650.000000	71.352	-143.4124
1675.000000	71.385	-143.0348
1700.000000	71.409	-142.7109
1725.000000	71.428	-142.2663
1750.000000	71.455	-141.7415
1775.000000	71.492	-141.2404
1800.000000	71.543	-140.7531
1825.000000	71.593	-140.1784
1850.000000	71.636	-139.5155
1875.000000	71.689	-138.9080
1900.000000	71.765	-138.3019
1925.000000	71.850	-137.6730
1950.000000	71.920	-137.0891
1975.000000	72.003	-136.5403
2000.000000	72.097	-135.9763
2030.000000	72.210	-135.2867
2060.000000	72.328	-134.6380
2090.000000	72.450	-134.0092
2120.000000	72.573	-133.4487
2140.000000	72.659	-133.1093
2180.000000	72.831	-132.4171
2200.000000	72.924	-132.0664
2240.000000	73.115	-131.4349
2270.000000	73.254	-131.0679
2300.000000	73.395	-130.8040
2330.000000	73.537	-130.5252
2360.000000	73.689	-130.1637
2400.000000	73.902	-129.7782
2430.000000	74.063	-129.5312
2470.000000	74.292	-129.2864
2500.000000	74.480	-129.1570
2540.000000	74.755	-129.0555
2580.000000	75.045	-129.2213
2620.000000	75.332	-129.7780
2650.000000	75.536	-130.3619
2690.000000	75.780	-131.2618
2720.000000	75.942	-132.0646
2760.000000	76.135	-133.3262
2800.000000	76.295	-134.6309
2850.000000	76.462	-136.2295
2900.000000	76.605	-137.7997
2950.000000	76.721	-139.3597
3000.000000	76.810	-141.0038
3040.000000	76.865	-142.3444
3070.000000	76.894	-143.3832
3110.000000	76.914	-144.8362
3150.000000	76.912	-146.2841
3200.000000	76.879	-147.9420
3250.000000	76.823	-149.5130
3300.000000	76.740	-151.0123
3350.000000	76.632	-152.3818
3400.000000	76.501	-153.5637
3450.000000	76.361	-154.6144
3500.000000	76.220	-155.5330
3550.000000	76.073	-156.2759
3600.000000	75.919	-156.8675
3650.000000	75.761	-157.2839
3700.000000	75.604	-157.5869
3750.000000	75.452	-157.7957
3820.000000	75.251	-157.9162
3870.000000	75.108	-157.9126
3950.000000	74.887	-157.6446
4000.000000	74.768	-157.3633
4060.000000	74.629	-157.0271
4120.000000	74.497	-156.6871
4180.000000	74.374	-156.2629
4250.000000	74.238	-155.7169
4310.000000	74.120	-155.1671
4370.000000	74.006	-154.4328
4440.000000	73.891	-153.5241
4500.000000	73.811	-152.7714
4550.000000	73.752	-152.1335
4620.000000	73.665	-151.2185
4680.000000	73.597	-150.3958
4750.000000	73.540	-149.3261
4820.000000	73.512	-148.2632
4870.000000	73.505	-147.5092
4940.000000	73.505	-146.4183
5000.000000	73.516	-145.4866
5080.000000	73.562	-144.2155
5150.000000	73.635	-143.1033
5220.000000	73.730	-142.2230
5300.000000	73.859	-141.4692
5380.000000	74.003	-140.7573
5450.000000	74.150	-140.2086
5520.000000	74.316	-139.7654
5600.000000	74.511	-139.3694
5700.000000	74.780	-139.1312
5800.000000	75.104	-139.2500
5900.000000	75.449	-139.9247
6000.000000	75.772	-141.1516
6080.000000	76.004	-142.5873
6150.000000	76.175	-144.0808
6220.000000	76.315	-145.7113
6300.000000	76.437	-147.7367
6400.000000	76.514	-150.4120
6500.000000	76.500	-153.0563
6600.000000	76.423	-155.4118
6700.000000	76.297	-157.4050
6800.000000	76.162	-159.0035
6900.000000	76.053	-160.1660
7000.000000	75.996	-160.9381
7100.000000	76.009	-161.5521
7200.000000	76.095	-162.1818
7300.000000	76.246	-162.9863
7400.000000	76.456	-164.1234
7500.000000	76.717	-165.7083
7620.000000	77.082	-168.4267
7750.000000	77.489	-172.6972
7880.000000	77.775	-178.3602
8000.000000	77.860	175.2500
8120.000000	77.726	167.9771
8250.000000	77.282	159.7909
8380.000000	76.522	152.2520
8500.000000	75.603	146.5191
8620.000000	74.558	142.1646
8750.000000	73.349	139.0303
8850.000000	72.405	137.6192
9000.000000	71.040	136.7733
9120.000000	70.021	136.9273
9250.000000	69.001	137.6410
9380.000000	68.077	138.8210
9500.000000	67.297	140.3004
9620.000000	66.578	142.0354
9750.000000	65.860	143.9995
9880.000000	65.201	145.9444
10000.000000	64.636	147.8997
10150.000000	63.997	150.4774
10300.000000	63.474	152.8536
10440.000000	63.020	154.9899
10600.000000	62.476	157.3705
10750.000000	61.946	159.6374
10900.000000	61.435	162.1501
11060.000000	60.951	165.4264
11200.000000	60.580	168.8958
11380.000000	60.178	173.8665
11500.000000	60.035	177.0875
11720.000000	60.023	-177.4245
11800.000000	60.057	-175.7786
12060.000000	60.217	-171.1776
12200.000000	60.341	-169.0361
12410.000000	60.559	-166.2138
12500.000000	60.650	-165.0809
12650.000000	60.801	-163.2250
12800.000000	60.976	-161.2014
13150.000000	61.776	-155.9387
13200.000000	61.971	-155.2297
13400.000000	62.984	-152.7664
13600.000000	64.359	-151.5161
13800.000000	66.112	-152.7719
14000.000000	68.142	-158.1895
14300.000000	70.870	-178.1818
14500.000000	71.633	160.4247
14750.000000	70.899	133.4051
15000.000000	68.881	115.0416
15250.000000	66.634	105.0220
15500.000000	64.801	99.3541
15750.000000	63.456	95.6368
16000.000000	62.470	93.0721
16250.000000	61.829	90.9983
16500.000000	61.568	88.8512
16750.000000	61.659	85.7370
17000.000000	62.103	80.5072
17250.000000	62.838	71.7438
17500.000000	63.448	58.5454
17750.000000	63.644	42.3521
18000.000000	63.429	24.5667
18250.000000	62.680	5.8799
18500.000000	61.372	-11.2043
18750.000000	59.695	-25.1507
19000.000000	57.939	-36.4711
19250.000000	56.286	-45.8831
19500.000000	54.747	-56.5474
19750.000000	53.232	-77.8841
20000.000000	51.845	-109.8916
