* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 30 오후 6:30:15
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_86db
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	87.679	-177.9742
20.600000	87.656	-177.7916
20.900000	87.614	-177.4679
21.200001	87.587	-177.1811
21.400000	87.573	-177.0370
21.799999	87.546	-176.8433
22.000000	87.527	-176.7715
22.400000	87.484	-176.6066
22.700001	87.458	-176.4322
23.000000	87.449	-176.2374
23.299999	87.461	-176.0970
23.600000	87.490	-176.0762
24.000000	87.539	-176.2868
24.299999	87.568	-176.5912
24.700001	87.584	-177.0679
25.000000	87.581	-177.3781
25.400000	87.568	-177.6484
25.799999	87.563	-177.7664
26.200001	87.572	-177.8060
26.500000	87.584	-177.8154
26.900000	87.600	-177.7963
27.200001	87.612	-177.7455
27.600000	87.634	-177.6443
28.000000	87.665	-177.5888
28.500000	87.694	-177.7143
29.000000	87.669	-177.9591
29.500000	87.579	-177.9363
30.000000	87.488	-177.3454
30.400000	87.475	-176.6243
30.700001	87.513	-176.1604
31.100000	87.602	-175.9255
31.500000	87.684	-176.2157
32.000000	87.713	-177.0544
32.500000	87.649	-177.8625
33.000000	87.551	-178.2558
33.500000	87.484	-178.3159
34.000000	87.463	-178.3484
34.500000	87.463	-178.5221
35.000000	87.457	-178.7742
35.500000	87.442	-178.9535
36.000000	87.433	-178.9798
36.500000	87.446	-178.8983
37.000000	87.485	-178.8576
37.500000	87.531	-178.9887
38.200001	87.548	-179.3856
38.700001	87.514	-179.5609
39.500000	87.449	-179.3569
40.000000	87.432	-179.1024
40.599998	87.429	-178.8552
41.200001	87.434	-178.6398
41.799999	87.462	-178.4825
42.500000	87.518	-178.6260
43.099998	87.539	-179.0443
43.700001	87.522	-179.4446
44.400002	87.488	-179.6999
45.000000	87.465	-179.8264
45.500000	87.442	-179.8663
46.200001	87.418	-179.6913
46.799999	87.440	-179.4274
47.500000	87.507	-179.4033
48.200001	87.547	-179.7511
48.700001	87.544	179.9781
49.400002	87.517	179.7603
50.000000	87.495	179.6626
50.799999	87.468	179.5588
51.500000	87.447	179.5216
52.200001	87.438	179.5130
53.000000	87.442	179.4937
53.799999	87.460	179.4734
54.500000	87.489	179.3887
55.200001	87.518	179.1739
56.000000	87.530	178.8252
57.000000	87.502	178.4546
58.000000	87.446	178.3465
59.000000	87.399	178.3903
60.000000	87.350	178.4902
60.799999	87.329	178.6691
61.500000	87.342	178.7413
62.200001	87.361	178.5904
63.000000	87.355	178.2639
64.000000	87.312	177.9690
65.000000	87.265	177.9169
66.000000	87.242	178.0319
67.000000	87.238	178.0676
68.000000	87.215	178.0428
69.000000	87.190	178.1240
70.000000	87.174	178.1621
71.000000	87.153	178.1554
72.000000	87.136	178.1551
73.000000	87.117	178.1198
74.000000	87.092	178.1334
75.000000	87.073	178.2155
76.199997	87.056	178.3078
77.500000	87.038	178.4411
78.800003	87.041	178.5760
80.000000	87.045	178.5281
81.199997	87.034	178.4885
82.500000	87.031	178.4785
83.800003	87.021	178.4328
85.000000	87.007	178.4451
86.199997	86.993	178.4499
87.500000	86.972	178.4888
88.500000	86.960	178.5750
90.000000	86.963	178.7216
91.199997	86.980	178.6989
92.500000	86.973	178.5124
93.800003	86.938	178.3681
95.000000	86.892	178.2896
96.199997	86.847	178.3383
97.500000	86.833	178.4333
98.800003	86.837	178.3562
100.000000	86.827	178.3215
101.500000	86.816	178.5121
103.000000	86.817	178.8454
104.400002	86.825	179.1290
106.000000	86.825	179.1952
107.500000	86.794	179.0561
109.000000	86.756	178.9786
110.599998	86.745	178.9827
112.000000	86.748	178.9700
113.800003	86.705	179.0412
115.000000	86.633	179.3484
117.199997	86.470	-179.5686
118.000000	86.413	-179.0554
120.599998	86.413	-177.4892
122.000000	86.485	-177.4434
124.099998	86.577	-177.4599
125.000000	86.630	-177.3761
126.500000	86.726	-177.2259
128.000000	86.804	-177.1185
131.500000	86.892	-177.0772
132.000000	86.902	-177.0900
134.000000	86.951	-177.2435
136.000000	86.995	-177.5022
138.000000	87.015	-177.7386
140.000000	87.016	-177.9035
143.000000	87.022	-178.0811
145.000000	87.037	-178.1976
147.500000	87.041	-178.3190
150.000000	87.041	-178.3959
152.500000	87.037	-178.5022
155.000000	87.033	-178.5294
157.500000	87.026	-178.5051
160.000000	87.019	-178.4581
162.500000	87.018	-178.4625
165.000000	87.019	-178.4865
167.500000	87.012	-178.4896
170.000000	87.002	-178.4230
172.500000	86.996	-178.4092
175.000000	86.989	-178.4320
177.500000	86.989	-178.4171
180.000000	86.988	-178.3716
182.500000	86.976	-178.3087
185.000000	86.959	-178.2508
187.500000	86.946	-178.2179
190.000000	86.935	-178.1738
192.500000	86.926	-178.0569
195.000000	86.923	-177.9118
197.500000	86.921	-177.7982
200.000000	86.916	-177.7026
203.000000	86.910	-177.5770
206.000000	86.911	-177.4309
209.000000	86.913	-177.2570
212.000000	86.913	-177.0489
214.000000	86.914	-176.9071
218.000000	86.926	-176.6152
220.000000	86.933	-176.4602
224.000000	86.951	-176.1695
227.000000	86.970	-175.9834
230.000000	86.990	-175.7933
233.000000	87.011	-175.6127
236.000000	87.036	-175.4970
240.000000	87.071	-175.3528
243.000000	87.102	-175.1900
247.000000	87.157	-174.9576
250.000000	87.198	-174.8283
254.000000	87.232	-174.7380
258.000000	87.271	-174.7068
262.000000	87.317	-174.6475
265.000000	87.352	-174.5735
269.000000	87.402	-174.5388
272.000000	87.440	-174.5840
276.000000	87.487	-174.7047
280.000000	87.535	-174.8195
285.000000	87.600	-174.9290
290.000000	87.657	-175.1133
295.000000	87.701	-175.3693
300.000000	87.748	-175.6557
304.000000	87.786	-175.8690
307.000000	87.811	-176.0340
311.000000	87.840	-176.2725
315.000000	87.869	-176.5270
320.000000	87.907	-176.8373
325.000000	87.938	-177.1410
330.000000	87.957	-177.4907
335.000000	87.975	-177.8652
340.000000	87.989	-178.2283
345.000000	87.994	-178.5625
350.000000	87.994	-178.8812
355.000000	87.992	-179.2204
360.000000	87.987	-179.5592
365.000000	87.978	-179.8968
370.000000	87.964	179.7675
375.000000	87.950	179.4410
382.000000	87.924	178.9942
387.000000	87.903	178.6870
395.000000	87.858	178.1966
400.000000	87.824	177.8916
406.000000	87.782	177.5472
412.000000	87.739	177.2379
418.000000	87.695	176.9422
425.000000	87.636	176.6145
431.000000	87.580	176.3743
437.000000	87.526	176.1532
444.000000	87.465	175.8959
450.000000	87.413	175.6817
455.000000	87.368	175.5148
462.000000	87.300	175.3014
468.000000	87.240	175.1648
475.000000	87.171	175.0456
482.000000	87.101	174.8994
487.000000	87.048	174.7936
494.000000	86.976	174.6945
500.000000	86.910	174.6529
508.000000	86.819	174.6241
515.000000	86.741	174.6033
522.000000	86.664	174.6160
530.000000	86.573	174.6786
538.000000	86.485	174.7635
545.000000	86.411	174.8247
552.000000	86.336	174.8937
560.000000	86.249	175.0406
570.000000	86.139	175.2602
580.000000	86.030	175.5331
590.000000	85.925	175.8796
600.000000	85.824	176.2741
608.000000	85.739	176.5932
615.000000	85.666	176.8845
622.000000	85.595	177.2061
630.000000	85.515	177.6005
640.000000	85.422	178.1323
650.000000	85.337	178.7047
660.000000	85.255	179.3132
670.000000	85.179	179.9238
680.000000	85.111	-179.4366
690.000000	85.050	-178.7465
700.000000	84.995	-178.0364
710.000000	84.949	-177.3134
720.000000	84.912	-176.5801
730.000000	84.886	-175.8484
740.000000	84.868	-175.1467
750.000000	84.859	-174.5023
762.000000	84.855	-173.7689
775.000000	84.862	-173.0417
788.000000	84.883	-172.4586
800.000000	84.901	-172.0939
812.000000	84.911	-171.8399
825.000000	84.905	-171.6436
838.000000	84.874	-171.5038
850.000000	84.825	-171.3434
862.000000	84.760	-171.0972
875.000000	84.672	-170.7428
885.000000	84.599	-170.3984
900.000000	84.491	-169.7341
912.000000	84.406	-169.0597
925.000000	84.324	-168.2204
938.000000	84.258	-167.3143
950.000000	84.210	-166.4508
962.000000	84.177	-165.5513
975.000000	84.160	-164.5593
988.000000	84.161	-163.5970
1000.000000	84.171	-162.7376
1015.000000	84.183	-161.6638
1030.000000	84.206	-160.6724
1044.000000	84.237	-159.8208
1060.000000	84.282	-158.9090
1075.000000	84.332	-158.1361
1090.000000	84.386	-157.4194
1106.000000	84.449	-156.7085
1120.000000	84.506	-156.1598
1138.000000	84.578	-155.5249
1150.000000	84.621	-155.1402
1172.000000	84.695	-154.4900
1180.000000	84.720	-154.2541
1206.000000	84.788	-153.4934
1220.000000	84.821	-153.0922
1241.000000	84.867	-152.4679
1250.000000	84.884	-152.1763
1265.000000	84.909	-151.6541
1280.000000	84.934	-151.0882
1315.000000	85.023	-149.6238
1320.000000	85.041	-149.4046
1340.000000	85.126	-148.5562
1360.000000	85.225	-147.8178
1380.000000	85.332	-147.2174
1400.000000	85.436	-146.7023
1430.000000	85.587	-145.9933
1450.000000	85.685	-145.5865
1475.000000	85.806	-145.1567
1500.000000	85.926	-144.8181
1525.000000	86.049	-144.5997
1550.000000	86.159	-144.4839
1575.000000	86.244	-144.4546
1600.000000	86.307	-144.4323
1625.000000	86.349	-144.3816
1650.000000	86.368	-144.2435
1675.000000	86.376	-143.9613
1700.000000	86.386	-143.5720
1725.000000	86.400	-143.0711
1750.000000	86.421	-142.4882
1775.000000	86.449	-141.9052
1800.000000	86.481	-141.2833
1825.000000	86.515	-140.5917
1850.000000	86.556	-139.8605
1875.000000	86.607	-139.1026
1900.000000	86.669	-138.2816
1925.000000	86.747	-137.4282
1950.000000	86.845	-136.5940
1975.000000	86.963	-135.8305
2000.000000	87.091	-135.1754
2030.000000	87.253	-134.5595
2060.000000	87.412	-134.0958
2090.000000	87.561	-133.7108
2120.000000	87.704	-133.3517
2140.000000	87.797	-133.1208
2180.000000	87.975	-132.6809
2200.000000	88.063	-132.4671
2240.000000	88.240	-132.0245
2270.000000	88.378	-131.7028
2300.000000	88.520	-131.3970
2330.000000	88.669	-131.1185
2360.000000	88.825	-130.9045
2400.000000	89.039	-130.7233
2430.000000	89.203	-130.6415
2470.000000	89.422	-130.5934
2500.000000	89.589	-130.6178
2540.000000	89.816	-130.7460
2580.000000	90.043	-130.9519
2620.000000	90.275	-131.2659
2650.000000	90.453	-131.5954
2690.000000	90.695	-132.1409
2720.000000	90.879	-132.6565
2760.000000	91.117	-133.5617
2800.000000	91.338	-134.7401
2850.000000	91.575	-136.4760
2900.000000	91.758	-138.3606
2950.000000	91.894	-140.3257
3000.000000	91.986	-142.3165
3040.000000	92.033	-143.9034
3070.000000	92.055	-145.0723
3110.000000	92.065	-146.5934
3150.000000	92.051	-148.0703
3200.000000	92.001	-149.8659
3250.000000	91.922	-151.5664
3300.000000	91.822	-153.1075
3350.000000	91.709	-154.5034
3400.000000	91.582	-155.7801
3450.000000	91.442	-156.9177
3500.000000	91.295	-157.9029
3550.000000	91.143	-158.7686
3600.000000	90.984	-159.5241
3650.000000	90.819	-160.1371
3700.000000	90.647	-160.6211
3750.000000	90.472	-160.9374
3820.000000	90.239	-161.0896
3870.000000	90.074	-161.0768
3950.000000	89.820	-160.8848
4000.000000	89.672	-160.6545
4060.000000	89.505	-160.2782
4120.000000	89.354	-159.8354
4180.000000	89.219	-159.3385
4250.000000	89.072	-158.7005
4310.000000	88.951	-158.0783
4370.000000	88.830	-157.4003
4440.000000	88.695	-156.5326
4500.000000	88.595	-155.7477
4550.000000	88.520	-155.0595
4620.000000	88.430	-154.0488
4680.000000	88.369	-153.1609
4750.000000	88.317	-152.1235
4820.000000	88.280	-151.0860
4870.000000	88.262	-150.3330
4940.000000	88.254	-149.2730
5000.000000	88.263	-148.3658
5080.000000	88.296	-147.1479
5150.000000	88.348	-146.1343
5220.000000	88.422	-145.1647
5300.000000	88.527	-144.1057
5380.000000	88.664	-143.1291
5450.000000	88.812	-142.3916
5520.000000	88.985	-141.8140
5600.000000	89.205	-141.3260
5700.000000	89.509	-140.9874
5800.000000	89.854	-141.0879
5900.000000	90.215	-141.7512
6000.000000	90.574	-142.9790
6080.000000	90.848	-144.3508
6150.000000	91.073	-145.8586
6220.000000	91.273	-147.6779
6300.000000	91.452	-150.1063
6400.000000	91.579	-153.4529
6500.000000	91.586	-156.8346
6600.000000	91.489	-159.9902
6700.000000	91.318	-162.7372
6800.000000	91.109	-164.9837
6900.000000	90.911	-166.6931
7000.000000	90.754	-167.8912
7100.000000	90.653	-168.7192
7200.000000	90.624	-169.4012
7300.000000	90.668	-170.1462
7400.000000	90.779	-171.1271
7500.000000	90.952	-172.5163
7620.000000	91.235	-174.9277
7750.000000	91.572	-178.7271
7880.000000	91.796	176.0378
8000.000000	91.836	169.9824
8120.000000	91.671	163.0989
8250.000000	91.211	155.3663
8380.000000	90.459	148.1662
8500.000000	89.551	142.5547
8620.000000	88.499	138.2536
8750.000000	87.270	135.1283
8850.000000	86.308	133.7028
9000.000000	84.904	132.9043
9120.000000	83.851	133.2017
9250.000000	82.787	134.2004
9380.000000	81.808	135.6865
9500.000000	80.984	137.3860
9620.000000	80.231	139.3347
9750.000000	79.485	141.6226
9880.000000	78.804	144.0897
10000.000000	78.233	146.4973
10150.000000	77.603	149.5261
10300.000000	77.056	152.5002
10440.000000	76.606	155.2386
10600.000000	76.151	158.2036
10750.000000	75.760	160.7361
10900.000000	75.384	163.1128
11060.000000	74.972	165.5750
11200.000000	74.599	167.8931
11380.000000	74.128	171.4455
11500.000000	73.846	174.2433
11720.000000	73.518	-179.8514
11800.000000	73.479	-177.6367
12060.000000	73.612	-171.0597
12200.000000	73.782	-168.2254
12410.000000	74.073	-164.9128
12500.000000	74.197	-163.7386
12650.000000	74.408	-161.8744
12800.000000	74.646	-159.9415
13150.000000	75.537	-154.9556
13200.000000	75.730	-154.2699
13400.000000	76.732	-152.0194
13600.000000	78.116	-151.2273
13800.000000	79.877	-153.0311
14000.000000	81.882	-159.1458
14300.000000	84.401	179.1169
14500.000000	84.887	157.0233
14750.000000	83.764	131.1624
15000.000000	81.487	115.2778
15250.000000	79.161	107.6443
15500.000000	77.359	104.1225
15750.000000	76.147	102.1115
16000.000000	75.384	100.4159
16250.000000	74.963	98.5382
16500.000000	74.840	96.0923
16750.000000	75.015	92.4811
17000.000000	75.483	86.9853
17250.000000	76.185	78.6310
17500.000000	76.931	66.1609
17750.000000	77.364	49.0849
18000.000000	77.150	28.9569
