* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 31 오전 11:46:05
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_56db
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	63.552	158.8767
20.600000	63.609	158.6127
20.900000	63.703	158.1738
21.200001	63.747	157.8807
21.400000	63.762	157.8308
21.799999	63.799	158.0142
22.000000	63.835	158.1708
22.400000	63.945	158.3696
22.700001	64.040	158.2695
23.000000	64.123	157.9126
23.299999	64.179	157.3480
23.600000	64.203	156.6296
24.000000	64.179	155.5151
24.299999	64.116	154.6362
24.700001	63.971	153.5529
25.000000	63.830	152.9421
25.400000	63.637	152.5077
25.799999	63.505	152.3473
26.200001	63.472	151.9467
26.500000	63.472	151.1457
26.900000	63.449	149.2602
27.200001	63.341	147.4611
27.600000	63.029	145.2515
28.000000	62.563	144.3084
28.500000	62.009	145.8319
29.000000	61.883	149.1775
29.500000	62.240	151.5791
30.000000	62.686	151.3837
30.400000	62.871	149.9764
30.700001	62.879	148.9056
31.100000	62.776	148.2268
31.500000	62.655	148.5957
32.000000	62.635	149.8017
32.500000	62.745	150.5464
33.000000	62.818	150.3758
33.500000	62.763	149.9867
34.000000	62.649	150.0637
34.500000	62.587	150.3352
35.000000	62.580	150.0586
35.500000	62.526	149.0048
36.000000	62.360	147.7546
36.500000	62.127	146.9627
37.000000	61.936	146.6987
37.500000	61.848	146.4888
38.200001	61.840	145.4211
38.700001	61.825	143.9934
39.500000	61.627	141.4266
40.000000	61.392	140.4827
40.599998	61.115	140.5245
41.200001	60.982	141.1436
41.799999	60.944	141.2333
42.500000	60.808	140.7906
43.099998	60.624	141.0460
43.700001	60.556	141.7129
44.400002	60.628	141.4591
45.000000	60.627	140.0191
45.500000	60.512	138.7112
46.200001	60.276	137.6362
46.799999	60.128	137.3378
47.500000	60.056	137.0357
48.200001	60.015	136.5191
48.700001	59.960	136.2055
49.400002	59.854	136.3349
50.000000	59.811	137.0524
50.799999	59.884	137.8945
51.500000	59.933	137.8604
52.200001	59.873	137.7930
53.000000	59.813	138.1464
53.799999	59.817	137.7636
54.500000	59.728	136.6581
55.200001	59.543	135.6758
56.000000	59.327	134.8050
57.000000	59.051	133.9639
58.000000	58.878	133.6781
59.000000	58.744	132.6645
60.000000	58.436	132.6212
60.799999	58.298	133.7856
61.500000	58.312	134.6423
62.200001	58.376	134.9113
63.000000	58.407	134.3803
64.000000	58.225	133.6131
65.000000	58.042	134.3753
66.000000	58.059	134.5736
67.000000	57.948	133.9949
68.000000	57.773	134.2445
69.000000	57.644	134.9417
70.000000	57.613	135.8628
71.000000	57.644	135.7338
72.000000	57.478	135.2198
73.000000	57.270	135.9566
74.000000	57.239	136.7993
75.000000	57.242	136.6002
76.199997	57.036	135.9261
77.500000	56.677	136.8265
78.800003	56.508	138.2108
80.000000	56.431	138.2706
81.199997	56.266	137.6180
82.500000	56.124	137.0018
83.800003	56.024	135.9391
85.000000	55.923	135.4953
86.199997	55.869	135.6444
87.500000	55.882	136.3324
88.500000	55.924	136.5009
90.000000	55.789	136.4490
91.199997	55.663	137.8978
92.500000	55.857	139.0679
93.800003	55.972	137.9258
95.000000	55.773	137.3308
96.199997	55.511	138.7017
97.500000	55.407	140.8929
98.800003	55.339	141.8854
100.000000	55.124	142.0628
101.500000	54.732	142.4366
103.000000	54.450	142.4048
104.400002	54.160	141.6497
106.000000	53.874	142.4487
107.500000	53.930	143.5634
109.000000	54.029	143.6391
110.599998	54.010	143.2469
112.000000	53.922	142.7203
113.800003	53.887	141.7216
115.000000	53.865	140.9527
