* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 30 오후 6:41:12
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 67
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	74.354	165.9659
20.600000	74.359	165.8023
20.900000	74.337	165.6821
21.200001	74.258	166.1144
21.400000	74.224	166.8026
21.799999	74.308	168.5881
22.000000	74.444	169.2639
22.400000	74.819	169.1543
22.700001	75.034	167.5363
23.000000	75.070	165.0193
23.299999	74.888	162.4946
23.600000	74.520	160.7868
24.000000	73.888	160.6829
24.299999	73.493	162.1709
24.700001	73.278	165.0698
25.000000	73.353	166.8076
25.400000	73.613	167.6237
25.799999	73.864	166.8247
26.200001	74.035	165.0601
26.500000	74.118	163.3462
26.900000	74.170	160.5543
27.200001	74.139	158.0684
27.600000	73.955	154.4479
28.000000	73.562	151.2023
28.500000	72.822	149.2307
29.000000	72.088	150.6664
29.500000	71.764	154.5707
30.000000	72.014	158.3452
30.400000	72.468	159.8705
30.700001	72.844	159.9203
31.100000	73.281	158.7279
31.500000	73.572	156.5774
32.000000	73.685	153.6013
32.500000	73.575	151.5331
33.000000	73.414	150.9366
33.500000	73.355	151.1771
34.000000	73.356	151.2052
34.500000	73.286	150.9417
35.000000	73.085	151.3487
35.500000	72.903	153.1281
36.000000	72.935	155.5109
36.500000	73.166	156.9476
37.000000	73.375	156.6741
37.500000	73.389	155.3808
38.200001	73.100	154.0977
38.700001	72.845	154.0693
39.500000	72.550	154.0508
40.000000	72.359	153.7396
40.599998	72.119	153.7556
41.200001	72.042	154.1670
41.799999	72.160	153.6692
42.500000	72.250	151.3815
43.099998	72.145	149.6799
43.700001	72.068	149.3755
44.400002	72.223	149.4567
45.000000	72.414	148.5351
45.500000	72.463	147.3957
46.200001	72.375	146.4184
46.799999	72.271	146.2866
47.500000	72.147	146.1876
48.200001	71.939	146.0790
48.700001	71.745	146.3103
49.400002	71.504	147.1257
50.000000	71.392	147.7704
50.799999	71.329	147.7422
51.500000	71.249	147.0382
52.200001	71.142	146.3537
53.000000	71.061	145.7670
53.799999	71.020	145.0920
54.500000	70.967	144.5041
55.200001	70.888	144.0966
56.000000	70.779	143.9350
57.000000	70.659	143.9029
58.000000	70.497	143.2563
59.000000	70.165	142.8464
60.000000	69.882	143.5511
60.799999	69.801	143.9535
61.500000	69.762	143.8351
62.200001	69.688	143.5534
63.000000	69.555	143.5862
64.000000	69.436	144.4795
65.000000	69.441	145.1033
66.000000	69.364	144.9751
67.000000	69.188	145.1731
68.000000	69.054	145.4409
69.000000	68.925	145.3635
70.000000	68.797	145.3922
71.000000	68.738	145.4962
72.000000	68.712	145.3583
73.000000	68.661	145.2280
74.000000	68.594	145.2224
75.000000	68.484	145.2856
76.199997	68.316	145.8007
77.500000	68.178	146.4390
78.800003	68.043	146.9564
80.000000	67.969	147.4540
81.199997	67.928	147.4108
82.500000	67.796	147.2665
83.800003	67.702	147.6970
85.000000	67.680	147.6265
86.199997	67.593	147.4189
87.500000	67.524	147.7585
88.500000	67.518	147.8666
90.000000	67.423	148.0318
91.199997	67.364	148.7424
92.500000	67.333	149.0441
93.800003	67.182	149.2241
95.000000	67.027	150.0268
96.199997	66.969	150.8378
97.500000	66.954	151.1559
98.800003	66.960	151.1517
100.000000	66.964	150.7444
101.500000	66.861	150.4462
103.000000	66.774	151.3047
104.400002	66.788	152.1260
106.000000	66.734	152.6603
107.500000	66.652	153.2956
109.000000	66.591	153.4009
110.599998	66.459	153.0569
112.000000	66.311	153.0279
113.800003	66.143	153.5248
115.000000	66.070	154.1266
117.199997	65.973	155.0203
118.000000	65.924	155.2954
120.599998	65.778	156.6878
122.000000	65.784	157.3505
124.099998	65.822	157.8075
125.000000	65.845	157.8943
126.500000	65.885	157.7961
128.000000	65.870	157.5146
131.500000	65.650	158.3895
132.000000	65.628	158.6311
134.000000	65.549	159.4014
136.000000	65.507	160.0779
138.000000	65.553	160.2673
140.000000	65.539	160.1415
143.000000	65.407	161.1700
145.000000	65.364	162.0062
147.500000	65.262	162.6769
150.000000	65.205	163.5615
152.500000	65.233	164.2537
155.000000	65.282	164.5033
157.500000	65.257	164.6904
160.000000	65.194	165.1941
162.500000	65.150	165.8937
165.000000	65.140	166.5331
167.500000	65.124	167.0952
170.000000	65.107	167.5950
172.500000	65.091	167.9141
175.000000	65.078	168.3095
177.500000	65.069	168.7574
180.000000	65.003	169.0355
182.500000	64.906	169.5198
185.000000	64.910	170.0865
187.500000	64.996	170.4361
190.000000	65.046	170.6830
192.500000	65.018	171.3014
195.000000	64.984	172.0257
197.500000	64.932	172.4837
200.000000	64.872	172.8410
203.000000	64.800	173.2604
206.000000	64.769	173.7486
209.000000	64.793	173.9844
212.000000	64.822	174.2368
214.000000	64.847	174.6195
218.000000	64.901	175.1956
220.000000	64.893	175.4409
224.000000	64.883	176.1942
227.000000	64.858	176.5195
230.000000	64.802	176.7247
233.000000	64.812	177.2860
236.000000	64.901	177.9926
240.000000	64.976	178.6619
243.000000	64.982	178.8974
247.000000	64.989	179.2915
250.000000	64.947	179.3078
254.000000	64.889	179.2533
258.000000	64.980	179.4495
262.000000	64.978	179.7103
265.000000	64.923	179.9292
269.000000	64.924	-179.6543
272.000000	64.931	-179.3077
276.000000	64.916	-178.8570
280.000000	64.908	-178.5248
285.000000	64.912	-177.9832
290.000000	64.930	-177.0971
295.000000	64.958	-176.5626
300.000000	64.939	-176.3123
304.000000	64.935	-175.8535
307.000000	64.961	-175.4520
311.000000	64.998	-174.9785
315.000000	65.039	-174.5697
320.000000	65.080	-174.2652
325.000000	65.107	-173.8715
330.000000	65.155	-173.0682
335.000000	65.227	-172.5985
340.000000	65.277	-172.6121
345.000000	65.352	-172.4373
350.000000	65.412	-172.0952
355.000000	65.494	-171.9038
360.000000	65.593	-171.9741
365.000000	65.657	-171.8688
370.000000	65.707	-171.5119
375.000000	65.761	-171.1621
382.000000	65.830	-171.2973
387.000000	65.891	-171.4675
395.000000	66.016	-171.6156
400.000000	66.042	-171.5406
406.000000	66.033	-171.5738
412.000000	66.075	-171.9540
418.000000	66.134	-172.2948
425.000000	66.138	-172.7136
431.000000	66.138	-172.8186
