* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 31 오후 1:16:41
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 12월 31
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	79.990	169.9607
20.600000	79.965	169.8321
20.900000	79.914	169.6249
21.200001	79.870	169.4751
21.400000	79.846	169.3718
21.799999	79.807	169.0648
22.000000	79.786	168.8309
22.400000	79.733	168.2057
22.700001	79.674	167.6664
23.000000	79.601	167.1555
23.299999	79.524	166.7338
23.600000	79.454	166.4063
24.000000	79.392	166.0482
24.299999	79.369	165.7463
24.700001	79.355	165.2253
25.000000	79.340	164.7854
25.400000	79.307	164.2855
25.799999	79.278	164.0408
26.200001	79.286	164.0021
26.500000	79.318	163.9602
26.900000	79.370	163.7378
27.200001	79.387	163.4820
27.600000	79.362	163.2641
28.000000	79.313	163.4840
28.500000	79.313	164.2424
29.000000	79.391	164.5928
29.500000	79.376	164.0917
30.000000	79.118	164.0838
30.400000	78.841	165.7356
30.700001	78.747	168.0103
31.100000	78.942	171.2056
31.500000	79.430	172.8659
32.000000	80.025	171.2904
32.500000	80.209	166.9143
33.000000	79.911	162.9051
33.500000	79.370	161.3267
34.000000	78.962	161.7755
34.500000	78.831	162.2540
35.000000	78.804	161.6917
35.500000	78.710	160.6536
36.000000	78.577	160.0130
36.500000	78.503	159.7540
37.000000	78.497	159.3647
37.500000	78.489	158.7537
38.200001	78.437	158.1916
38.700001	78.423	158.1294
39.500000	78.451	157.8678
40.000000	78.436	157.5505
40.599998	78.372	157.3504
41.200001	78.304	157.4022
41.799999	78.253	157.4262
42.500000	78.186	157.2077
43.099998	78.104	156.8818
43.700001	78.005	156.5207
44.400002	77.877	156.1657
45.000000	77.784	155.9993
45.500000	77.739	155.8932
46.200001	77.726	155.5409
46.799999	77.721	154.9467
47.500000	77.678	154.1686
48.200001	77.607	153.6244
48.700001	77.556	153.4167
49.400002	77.496	153.3151
50.000000	77.460	153.3319
50.799999	77.437	153.2545
51.500000	77.400	152.9453
52.200001	77.314	152.6519
53.000000	77.201	152.6316
53.799999	77.123	152.7035
54.500000	77.067	152.6338
55.200001	77.007	152.5137
56.000000	76.941	152.3417
57.000000	76.836	152.0741
58.000000	76.706	152.0954
59.000000	76.612	152.2589
60.000000	76.518	152.1796
60.799999	76.414	152.1165
61.500000	76.323	152.1742
62.200001	76.249	152.2677
63.000000	76.180	152.2796
64.000000	76.086	152.1598
65.000000	75.978	152.1724
66.000000	75.893	152.3184
67.000000	75.816	152.3929
68.000000	75.720	152.5046
69.000000	75.626	152.7586
70.000000	75.553	152.9947
71.000000	75.478	153.0919
72.000000	75.385	153.2127
73.000000	75.298	153.4650
74.000000	75.226	153.7125
75.000000	75.152	153.9464
76.199997	75.069	154.2650
77.500000	74.986	154.5268
78.800003	74.900	154.7473
80.000000	74.824	154.9197
81.199997	74.751	155.0870
82.500000	74.681	155.2911
83.800003	74.620	155.4708
85.000000	74.556	155.6306
86.199997	74.491	155.9102
87.500000	74.444	156.2602
88.500000	74.414	156.4779
90.000000	74.367	156.7953
91.199997	74.335	157.0034
92.500000	74.298	157.1154
93.800003	74.241	157.1219
95.000000	74.172	157.2339
96.199997	74.115	157.4576
97.500000	74.062	157.7162
98.800003	74.007	158.0079
100.000000	73.955	158.3689
101.500000	73.914	158.7748
103.000000	73.866	158.8917
104.400002	73.794	158.9429
106.000000	73.706	159.1297
107.500000	73.639	159.4263
109.000000	73.593	159.7246
110.599998	73.544	159.9334
