* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 30 오후 6:40:28
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_87db
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.474	-174.4880
20.600000	91.445	-174.8418
20.900000	91.383	-175.3966
21.200001	91.319	-175.7226
21.400000	91.281	-175.8322
21.799999	91.223	-175.9282
22.000000	91.205	-175.9756
22.400000	91.189	-176.1446
22.700001	91.186	-176.3618
23.000000	91.184	-176.6571
23.299999	91.178	-176.9982
23.600000	91.170	-177.3469
24.000000	91.159	-177.7697
24.299999	91.159	-178.0410
24.700001	91.178	-178.3804
25.000000	91.206	-178.6785
25.400000	91.249	-179.2050
25.799999	91.279	-179.8779
26.200001	91.279	179.4210
26.500000	91.259	178.9829
26.900000	91.219	178.6067
27.200001	91.194	178.4740
27.600000	91.183	178.3940
28.000000	91.197	178.2585
28.500000	91.223	177.8680
29.000000	91.225	177.3085
29.500000	91.202	176.7408
30.000000	91.169	176.2075
30.400000	91.138	175.7699
30.700001	91.110	175.4339
31.100000	91.065	175.0175
31.500000	91.019	174.6808
32.000000	90.977	174.3587
32.500000	90.963	174.0069
33.000000	90.963	173.4914
33.500000	90.951	172.8517
34.000000	90.920	172.2539
34.500000	90.882	171.8035
35.000000	90.857	171.4550
35.500000	90.846	171.0937
36.000000	90.835	170.6723
36.500000	90.816	170.2297
37.000000	90.791	169.8080
37.500000	90.766	169.3911
38.200001	90.723	168.7490
38.700001	90.680	168.2706
39.500000	90.602	167.6037
40.000000	90.561	167.2220
40.599998	90.522	166.6926
41.200001	90.475	166.0754
41.799999	90.411	165.5005
42.500000	90.335	165.0002
43.099998	90.286	164.6367
43.700001	90.243	164.2404
44.400002	90.181	163.7875
45.000000	90.124	163.4765
45.500000	90.081	163.2406
46.200001	90.020	162.8620
46.799999	89.959	162.4946
47.500000	89.876	162.0842
48.200001	89.792	161.6880
48.700001	89.732	161.3876
49.400002	89.642	160.9583
50.000000	89.560	160.6259
50.799999	89.452	160.2543
51.500000	89.365	159.9799
52.200001	89.284	159.7384
53.000000	89.199	159.4659
53.799999	89.111	159.1638
54.500000	89.021	158.9004
55.200001	88.922	158.6760
56.000000	88.802	158.4833
57.000000	88.653	158.3239
58.000000	88.509	158.2023
59.000000	88.373	158.0592
60.000000	88.237	157.9013
60.799999	88.128	157.7885
61.500000	88.033	157.7224
62.200001	87.940	157.7130
63.000000	87.841	157.7646
64.000000	87.732	157.8149
