* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 30 오후 6:45:39
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 86
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.326	176.6119
20.600000	89.270	176.4119
20.900000	89.166	176.1655
21.200001	89.095	176.1813
21.400000	89.070	176.2235
21.799999	89.045	176.1626
22.000000	89.031	176.0089
22.400000	88.976	175.5522
22.700001	88.910	175.2418
23.000000	88.840	175.0600
23.299999	88.784	174.9829
23.600000	88.751	174.9263
24.000000	88.742	174.7343
24.299999	88.744	174.4426
24.700001	88.739	173.9079
25.000000	88.721	173.5000
25.400000	88.684	173.0788
25.799999	88.656	172.8520
26.200001	88.656	172.7445
26.500000	88.675	172.6525
26.900000	88.717	172.4167
27.200001	88.747	172.1242
27.600000	88.768	171.6049
28.000000	88.757	171.0437
28.500000	88.699	170.4979
29.000000	88.625	170.2842
29.500000	88.573	170.3330
30.000000	88.560	170.3830
30.400000	88.564	170.2797
30.700001	88.565	170.1095
31.100000	88.551	169.8241
31.500000	88.522	169.5582
32.000000	88.479	169.3352
32.500000	88.448	169.2054
33.000000	88.433	169.0773
33.500000	88.429	168.9155
34.000000	88.427	168.7492
34.500000	88.429	168.5875
35.000000	88.436	168.3828
35.500000	88.437	168.1018
36.000000	88.418	167.8107
36.500000	88.385	167.6181
37.000000	88.359	167.5321
37.500000	88.349	167.4177
38.200001	88.334	166.9821
38.700001	88.290	166.5614
39.500000	88.179	166.1889
40.000000	88.130	166.1730
40.599998	88.115	166.1209
41.200001	88.123	165.8260
41.799999	88.118	165.3619
42.500000	88.088	164.8754
43.099998	88.067	164.5986
43.700001	88.061	164.3655
44.400002	88.060	164.0505
45.000000	88.055	163.7388
45.500000	88.043	163.4517
46.200001	88.007	163.0048
46.799999	87.947	162.6472
47.500000	87.857	162.4037
48.200001	87.777	162.3311
48.700001	87.735	162.2805
49.400002	87.686	162.1123
50.000000	87.644	161.8866
50.799999	87.582	161.5128
51.500000	87.518	161.1762
52.200001	87.449	160.9241
53.000000	87.382	160.7387
53.799999	87.327	160.5342
54.500000	87.272	160.3291
55.200001	87.208	160.1602
56.000000	87.132	160.0217
57.000000	87.035	159.9186
58.000000	86.941	159.8764
59.000000	86.853	159.7990
60.000000	86.760	159.7107
60.799999	86.687	159.6604
61.500000	86.626	159.6213
62.200001	86.565	159.5982
63.000000	86.494	159.6174
64.000000	86.415	159.6905
65.000000	86.345	159.7496
66.000000	86.274	159.8014
67.000000	86.199	159.8625
68.000000	86.119	159.9407
69.000000	86.039	160.0696
70.000000	85.964	160.2223
71.000000	85.896	160.3411
72.000000	85.824	160.4348
73.000000	85.751	160.5663
74.000000	85.686	160.7128
75.000000	85.624	160.8398
76.199997	85.552	161.0067
77.500000	85.482	161.2032
78.800003	85.417	161.3953
80.000000	85.357	161.5763
81.199997	85.298	161.7709
82.500000	85.238	161.9910
83.800003	85.181	162.2133
85.000000	85.133	162.3875
86.199997	85.084	162.5435
87.500000	85.034	162.7105
88.500000	84.996	162.8419
90.000000	84.940	163.0481
91.199997	84.895	163.2113
92.500000	84.848	163.3916
93.800003	84.806	163.5652
95.000000	84.771	163.7023
96.199997	84.736	163.8152
97.500000	84.693	163.9575
98.800003	84.646	164.1676
100.000000	84.607	164.4026
101.500000	84.561	164.6709
103.000000	84.511	164.8868
104.400002	84.461	165.0696
106.000000	84.407	165.2874
107.500000	84.363	165.5081
109.000000	84.323	165.7447
110.599998	84.278	166.0233
112.000000	84.239	166.2789
113.800003	84.193	166.5540
115.000000	84.162	166.7014
117.199997	84.110	166.9830
118.000000	84.093	167.0922
120.599998	84.034	167.5482
122.000000	84.009	167.8526
124.099998	83.970	168.2370
125.000000	83.949	168.4073
126.500000	83.919	168.7349
128.000000	83.899	169.0597
131.500000	83.863	169.6489
132.000000	83.856	169.7213
134.000000	83.823	170.0380
136.000000	83.793	170.3955
138.000000	83.768	170.7432
140.000000	83.748	171.0995
143.000000	83.725	171.5724
145.000000	83.706	171.8453
147.500000	83.684	172.2297
150.000000	83.676	172.6627
152.500000	83.673	173.0835
155.000000	83.663	173.4670
157.500000	83.646	173.8029
160.000000	83.631	174.1438
162.500000	83.626	174.5007
165.000000	83.626	174.8179
167.500000	83.623	175.1280
170.000000	83.623	175.3780
172.500000	83.615	175.5751
175.000000	83.602	175.8284
177.500000	83.595	176.0876
180.000000	83.588	176.3195
182.500000	83.576	176.5585
185.000000	83.559	176.8513
187.500000	83.545	177.1546
190.000000	83.530	177.3871
192.500000	83.512	177.6268
195.000000	83.497	177.9485
197.500000	83.490	178.2962
200.000000	83.485	178.6324
203.000000	83.484	179.0199
206.000000	83.488	179.3855
209.000000	83.499	179.7384
212.000000	83.517	-179.8947
214.000000	83.528	-179.6301
218.000000	83.549	-179.1786
220.000000	83.558	-179.0016
224.000000	83.587	-178.6339
227.000000	83.615	-178.4001
230.000000	83.638	-178.1974
233.000000	83.654	-178.0067
236.000000	83.659	-177.8146
240.000000	83.669	-177.5747
243.000000	83.682	-177.4077
247.000000	83.693	-177.1868
250.000000	83.692	-177.0360
254.000000	83.689	-176.8757
258.000000	83.688	-176.7020
262.000000	83.687	-176.4921
265.000000	83.688	-176.3179
269.000000	83.691	-176.0445
272.000000	83.691	-175.8215
276.000000	83.688	-175.5384
280.000000	83.691	-175.2213
285.000000	83.706	-174.8199
290.000000	83.722	-174.4559
295.000000	83.730	-174.0568
300.000000	83.751	-173.6165
304.000000	83.777	-173.2896
307.000000	83.795	-173.0461
311.000000	83.821	-172.6934
315.000000	83.851	-172.3401
320.000000	83.894	-171.9607
325.000000	83.941	-171.5970
330.000000	83.989	-171.2464
335.000000	84.043	-170.9271
340.000000	84.101	-170.6468
345.000000	84.163	-170.3740
350.000000	84.228	-170.1187
355.000000	84.296	-169.9280
360.000000	84.363	-169.7922
365.000000	84.429	-169.7115
370.000000	84.491	-169.6993
375.000000	84.553	-169.7469
382.000000	84.635	-169.8746
387.000000	84.687	-169.9982
395.000000	84.764	-170.2820
400.000000	84.802	-170.5142
406.000000	84.839	-170.8607
412.000000	84.872	-171.2342
418.000000	84.889	-171.5855
425.000000	84.894	-171.9537
431.000000	84.891	-172.2613
437.000000	84.879	-172.5654
444.000000	84.849	-172.9120
450.000000	84.816	-173.1633
455.000000	84.785	-173.3177
462.000000	84.736	-173.4371
468.000000	84.692	-173.4897
475.000000	84.646	-173.5052
482.000000	84.602	-173.4695
487.000000	84.573	-173.4122
494.000000	84.533	-173.2629
500.000000	84.497	-173.0879
508.000000	84.463	-172.8368
515.000000	84.446	-172.6370
522.000000	84.433	-172.4388
530.000000	84.421	-172.1939
538.000000	84.416	-171.9835
545.000000	84.421	-171.8534
552.000000	84.427	-171.7688
560.000000	84.427	-171.7113
570.000000	84.416	-171.7023
580.000000	84.397	-171.7617
590.000000	84.369	-171.8091
600.000000	84.329	-171.7895
608.000000	84.285	-171.7328
615.000000	84.234	-171.6603
622.000000	84.177	-171.5642
630.000000	84.113	-171.3947
640.000000	84.040	-171.0432
650.000000	83.976	-170.5429
660.000000	83.927	-169.9497
670.000000	83.893	-169.3112
680.000000	83.872	-168.6440
690.000000	83.870	-167.9940
700.000000	83.891	-167.3544
710.000000	83.931	-166.7808
720.000000	83.977	-166.3483
730.000000	84.028	-166.0378
740.000000	84.079	-165.8398
750.000000	84.122	-165.8012
762.000000	84.158	-165.8971
775.000000	84.179	-166.1005
788.000000	84.180	-166.3698
800.000000	84.158	-166.6394
812.000000	84.114	-166.8842
825.000000	84.040	-167.0852
838.000000	83.946	-167.1970
850.000000	83.849	-167.1667
862.000000	83.741	-166.9984
875.000000	83.622	-166.6875
885.000000	83.534	-166.3655
900.000000	83.409	-165.7705
912.000000	83.313	-165.2036
925.000000	83.218	-164.5052
938.000000	83.136	-163.7466
950.000000	83.069	-163.0268
962.000000	83.009	-162.2405
975.000000	82.948	-161.3241
988.000000	82.898	-160.3882
1000.000000	82.864	-159.4737
1015.000000	82.840	-158.2464
1030.000000	82.842	-157.0418
1044.000000	82.864	-155.9559
1060.000000	82.913	-154.7677
1075.000000	82.978	-153.8057
1090.000000	83.056	-153.0164
1106.000000	83.144	-152.3346
1120.000000	83.218	-151.8211
1138.000000	83.303	-151.2426
1150.000000	83.347	-150.9036
1172.000000	83.410	-150.3269
1180.000000	83.432	-150.1125
1206.000000	83.507	-149.3313
1220.000000	83.547	-148.8862
1241.000000	83.607	-148.2583
1250.000000	83.635	-148.0004
1265.000000	83.681	-147.5960
1280.000000	83.727	-147.2477
1315.000000	83.801	-146.5395
1320.000000	83.806	-146.4278
1340.000000	83.815	-145.9099
1360.000000	83.816	-145.3043
1380.000000	83.825	-144.6072
1400.000000	83.854	-143.8498
1430.000000	83.889	-142.8282
1450.000000	83.895	-142.1684
1475.000000	83.897	-141.3194
1500.000000	83.919	-140.6561
1525.000000	83.972	-140.2361
1550.000000	84.048	-139.8997
1575.000000	84.147	-139.4531
1600.000000	84.251	-138.7928
1625.000000	84.339	-138.1124
1650.000000	84.417	-137.5135
1675.000000	84.492	-136.8921
1700.000000	84.555	-136.2204
1725.000000	84.616	-135.4512
1750.000000	84.683	-134.5782
1775.000000	84.765	-133.6582
1800.000000	84.864	-132.7734
1825.000000	84.973	-131.9356
1850.000000	85.085	-131.1536
1875.000000	85.197	-130.4570
1900.000000	85.309	-129.7864
1925.000000	85.418	-129.0882
1950.000000	85.525	-128.3782
1975.000000	85.634	-127.6641
2000.000000	85.751	-126.9558
2030.000000	85.897	-126.1123
2060.000000	86.048	-125.2736
2090.000000	86.204	-124.4024
2120.000000	86.372	-123.4934
2140.000000	86.494	-122.8770
2180.000000	86.766	-121.6458
2200.000000	86.918	-121.0720
2240.000000	87.254	-120.0985
2270.000000	87.520	-119.5743
2300.000000	87.784	-119.2344
2330.000000	88.042	-119.0084
2360.000000	88.299	-118.8541
2400.000000	88.649	-118.7787
2430.000000	88.918	-118.8060
2470.000000	89.274	-118.9760
2500.000000	89.544	-119.2334
2540.000000	89.912	-119.7719
2580.000000	90.282	-120.5489
2620.000000	90.643	-121.6378
2650.000000	90.897	-122.6482
2690.000000	91.207	-124.1612
2720.000000	91.418	-125.3571
2760.000000	91.674	-127.0314
2800.000000	91.913	-128.8404
2850.000000	92.184	-131.2566
2900.000000	92.419	-133.8241
2950.000000	92.621	-136.6257
3000.000000	92.765	-139.7135
3040.000000	92.825	-142.2842
3070.000000	92.838	-144.1905
3110.000000	92.820	-146.6525
3150.000000	92.766	-149.0310
3200.000000	92.641	-151.9023
3250.000000	92.458	-154.5066
3300.000000	92.243	-156.7485
3350.000000	92.012	-158.7385
3400.000000	91.760	-160.5168
3450.000000	91.488	-161.9789
3500.000000	91.214	-163.0999
3550.000000	90.943	-164.0039
3600.000000	90.671	-164.6878
3650.000000	90.406	-165.0866
3700.000000	90.157	-165.3030
3750.000000	89.921	-165.4066
3820.000000	89.610	-165.2712
3870.000000	89.400	-165.0212
3950.000000	89.087	-164.4726
4000.000000	88.904	-163.9876
4060.000000	88.711	-163.2859
4120.000000	88.552	-162.5599
4180.000000	88.418	-161.8133
4250.000000	88.288	-160.9579
4310.000000	88.187	-160.2954
4370.000000	88.079	-159.6505
4440.000000	87.956	-158.8800
4500.000000	87.859	-158.2744
4550.000000	87.775	-157.7812
4620.000000	87.661	-157.0457
4680.000000	87.568	-156.3951
4750.000000	87.461	-155.5484
4820.000000	87.365	-154.6099
4870.000000	87.303	-153.9010
4940.000000	87.231	-152.8113
5000.000000	87.189	-151.8043
5080.000000	87.163	-150.4523
5150.000000	87.172	-149.3848
5220.000000	87.192	-148.4129
5300.000000	87.219	-147.3121
5380.000000	87.263	-146.2372
5450.000000	87.312	-145.3192
5520.000000	87.376	-144.3559
5600.000000	87.474	-143.1610
5700.000000	87.653	-141.5255
5800.000000	87.942	-139.9590
5900.000000	88.337	-138.8390
6000.000000	88.816	-138.4018
6080.000000	89.239	-138.6187
6150.000000	89.628	-139.3293
6220.000000	90.018	-140.5915
6300.000000	90.436	-142.7554
6400.000000	90.855	-146.4536
6500.000000	91.103	-150.8424
6600.000000	91.165	-155.4093
6700.000000	91.067	-159.6799
6800.000000	90.856	-163.3327
6900.000000	90.606	-166.2261
7000.000000	90.365	-168.3861
7100.000000	90.159	-169.9991
7200.000000	90.003	-171.2918
7300.000000	89.900	-172.4969
7400.000000	89.838	-173.7490
7500.000000	89.809	-175.0975
7620.000000	89.834	-176.8815
7750.000000	89.926	-179.2025
7880.000000	90.003	177.8299
8000.000000	90.047	174.2924
8120.000000	90.037	169.8297
8250.000000	89.891	164.0132
8380.000000	89.535	157.5499
8500.000000	88.983	151.5463
8620.000000	88.210	146.1291
8750.000000	87.172	141.4654
8850.000000	86.286	138.8763
9000.000000	84.911	136.6056
9120.000000	83.828	135.9865
9250.000000	82.706	136.2569
9380.000000	81.660	137.3185
9500.000000	80.772	138.8341
9620.000000	79.961	140.7661
9750.000000	79.171	143.2161
9880.000000	78.469	145.8611
10000.000000	77.898	148.3517
10150.000000	77.264	151.5067
10300.000000	76.707	154.7656
10440.000000	76.262	157.8025
10600.000000	75.802	161.2676
10750.000000	75.422	164.6662
10900.000000	75.112	168.2699
11060.000000	74.900	172.3540
11200.000000	74.874	176.0161
11380.000000	75.087	-179.8698
11500.000000	75.360	-177.9959
11720.000000	75.944	-177.2659
11800.000000	76.117	-177.8921
12060.000000	76.322	177.9917
12200.000000	76.140	175.3690
12410.000000	75.506	172.5712
12500.000000	75.139	172.1523
12650.000000	74.483	172.7789
12800.000000	73.880	175.0668
13150.000000	73.285	-175.2363
13200.000000	73.324	-173.6547
13400.000000	73.807	-167.7427
13600.000000	74.757	-163.1934
13800.000000	76.121	-160.7251
14000.000000	77.826	-161.1553
14300.000000	80.694	-169.4509
14500.000000	82.386	178.0769
14750.000000	83.554	154.5820
15000.000000	83.219	128.1091
15250.000000	81.563	106.5373
15500.000000	79.252	92.7344
15750.000000	76.921	85.3334
16000.000000	74.899	82.2860
16250.000000	73.345	81.9672
16500.000000	72.321	82.8861
16750.000000	71.846	83.9118
17000.000000	71.889	84.1308
17250.000000	72.411	82.6079
17500.000000	73.364	78.4425
17750.000000	74.683	70.9039
18000.000000	76.205	57.8269
18250.000000	77.338	36.5376
18500.000000	77.390	8.6975
18750.000000	76.056	-18.1817
19000.000000	73.613	-36.9683
19250.000000	70.841	-47.5435
19500.000000	68.452	-53.7741
19750.000000	66.466	-55.0856
20000.000000	64.764	-50.5538
