* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 31 오전 11:43:05
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_96db
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.567	-171.8543
20.600000	101.586	-172.1013
20.900000	101.622	-172.5419
21.200001	101.647	-172.9611
21.400000	101.659	-173.2326
21.799999	101.673	-173.7832
22.000000	101.676	-174.0679
22.400000	101.676	-174.6436
22.700001	101.672	-175.0712
23.000000	101.666	-175.4921
23.299999	101.661	-175.9071
23.600000	101.659	-176.3191
24.000000	101.659	-176.8681
24.299999	101.664	-177.2816
24.700001	101.673	-177.8350
25.000000	101.681	-178.2499
25.400000	101.693	-178.7999
25.799999	101.705	-179.3423
26.200001	101.716	-179.8734
26.500000	101.722	179.7397
26.900000	101.724	179.2480
27.200001	101.722	178.9035
27.600000	101.715	178.4803
28.000000	101.706	178.0941
28.500000	101.696	177.6451
29.000000	101.686	177.2057
29.500000	101.674	176.7530
30.000000	101.657	176.2826
30.400000	101.639	175.9068
30.700001	101.624	175.6340
31.100000	101.604	175.2858
31.500000	101.589	174.9440
32.000000	101.575	174.4900
32.500000	101.565	173.9724
33.000000	101.555	173.3956
33.500000	101.540	172.7952
34.000000	101.520	172.2069
34.500000	101.495	171.6481
35.000000	101.468	171.1227
35.500000	101.439	170.6312
36.000000	101.410	170.1727
36.500000	101.381	169.7399
37.000000	101.353	169.3157
37.500000	101.325	168.8829
38.200001	101.277	168.2586
38.700001	101.235	167.8171
39.500000	101.165	167.1422
40.000000	101.122	166.7241
40.599998	101.069	166.2053
41.200001	101.015	165.6741
41.799999	100.959	165.1505
42.500000	100.895	164.5537
43.099998	100.842	164.0398
43.700001	100.787	163.5235
44.400002	100.717	162.9427
45.000000	100.654	162.4778
45.500000	100.600	162.1086
46.200001	100.519	161.6121
46.799999	100.445	161.2131
47.500000	100.355	160.7956
48.200001	100.268	160.4225
48.700001	100.211	160.1622
49.400002	100.132	159.7805
