* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 31 오후 12:28:42
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 12월 31
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.525	176.9272
20.600000	98.527	176.8368
20.900000	98.529	176.6680
21.200001	98.525	176.4852
21.400000	98.519	176.3511
21.799999	98.497	176.0516
22.000000	98.482	175.8908
22.400000	98.443	175.5695
22.700001	98.411	175.3424
23.000000	98.379	175.1298
23.299999	98.350	174.9256
23.600000	98.325	174.7251
24.000000	98.297	174.4621
24.299999	98.281	174.2740
24.700001	98.266	174.0445
25.000000	98.260	173.8893
25.400000	98.261	173.6947
25.799999	98.269	173.4930
26.200001	98.282	173.2691
26.500000	98.291	173.0894
26.900000	98.296	172.8503
27.200001	98.296	172.6844
27.600000	98.289	172.4895
28.000000	98.280	172.3207
28.500000	98.263	172.1372
29.000000	98.241	171.9901
29.500000	98.218	171.8885
30.000000	98.199	171.8078
30.400000	98.190	171.7194
30.700001	98.184	171.6224
31.100000	98.175	171.4484
31.500000	98.162	171.2390
32.000000	98.138	170.9675
32.500000	98.112	170.7159
33.000000	98.092	170.4812
33.500000	98.079	170.2417
34.000000	98.068	169.9927
34.500000	98.056	169.7564
35.000000	98.044	169.5536
35.500000	98.037	169.3774
36.000000	98.035	169.2011
36.500000	98.034	169.0058
37.000000	98.031	168.7890
37.500000	98.023	168.5570
38.200001	98.003	168.2234
38.700001	97.982	167.9924
39.500000	97.944	167.6495
40.000000	97.922	167.4370
40.599998	97.897	167.1614
41.200001	97.872	166.8579
41.799999	97.847	166.5364
42.500000	97.815	166.1515
43.099998	97.788	165.8251
43.700001	97.760	165.5134
44.400002	97.727	165.1707
45.000000	97.697	164.8869
45.500000	97.670	164.6563
46.200001	97.628	164.3493
46.799999	97.590	164.0981
47.500000	97.543	163.8064
48.200001	97.494	163.5226
48.700001	97.457	163.3307
49.400002	97.407	163.0728
50.000000	97.364	162.8566
50.799999	97.305	162.5868
51.500000	97.255	162.3793
52.200001	97.208	162.1908
53.000000	97.155	161.9869
53.799999	97.096	161.8007
54.500000	97.039	161.6646
55.200001	96.979	161.5547
56.000000	96.910	161.4435
57.000000	96.819	161.3080
58.000000	96.723	161.1890
59.000000	96.629	161.0841
60.000000	96.537	160.9917
60.799999	96.468	160.9365
61.500000	96.412	160.9079
62.200001	96.360	160.8988
63.000000	96.302	160.9084
64.000000	96.231	160.9362
65.000000	96.157	160.9833
66.000000	96.078	161.0620
67.000000	95.995	161.1499
68.000000	95.908	161.2375
69.000000	95.823	161.3255
70.000000	95.743	161.4021
71.000000	95.670	161.4768
72.000000	95.606	161.5668
73.000000	95.552	161.6694
74.000000	95.504	161.7698
75.000000	95.456	161.8700
76.199997	95.394	162.0199
77.500000	95.328	162.2102
78.800003	95.260	162.4150
80.000000	95.201	162.6052
81.199997	95.145	162.7670
82.500000	95.085	162.9399
83.800003	95.029	163.1238
85.000000	94.979	163.2799
86.199997	94.927	163.4354
87.500000	94.873	163.6362
88.500000	94.837	163.8044
90.000000	94.792	164.0287
91.199997	94.760	164.1822
92.500000	94.725	164.3394
93.800003	94.689	164.4987
95.000000	94.654	164.6467
96.199997	94.615	164.7817
97.500000	94.568	164.9263
98.800003	94.519	165.0684
100.000000	94.474	165.1895
101.500000	94.421	165.3307
103.000000	94.373	165.4783
104.400002	94.332	165.6266
106.000000	94.285	165.8256
107.500000	94.240	166.0468
109.000000	94.199	166.2946
110.599998	94.160	166.5567
112.000000	94.129	166.7596
113.800003	94.089	166.9851
115.000000	94.060	167.1324
117.199997	94.006	167.4346
118.000000	93.987	167.5539
120.599998	93.928	167.9737
122.000000	93.898	168.2166
124.099998	93.852	168.5767
125.000000	93.831	168.7251
126.500000	93.797	168.9724
128.000000	93.768	169.2189
131.500000	93.721	169.7868
132.000000	93.716	169.8740
134.000000	93.698	170.2419
136.000000	93.680	170.6048
138.000000	93.658	170.9364
140.000000	93.632	171.2535
143.000000	93.594	171.7375
145.000000	93.574	172.0553
147.500000	93.552	172.4273
150.000000	93.534	172.7792
152.500000	93.526	173.0795
155.000000	93.528	173.3463
157.500000	93.538	173.6179
160.000000	93.541	173.9709
162.500000	93.528	174.3942
165.000000	93.497	174.7666
167.500000	93.467	175.0102
170.000000	93.456	175.1587
172.500000	93.458	175.3157
175.000000	93.449	175.5189
177.500000	93.426	175.7036
180.000000	93.401	175.8569
182.500000	93.385	176.0613
185.000000	93.373	176.3402
187.500000	93.354	176.6599
190.000000	93.335	176.9882
192.500000	93.322	177.3062
195.000000	93.317	177.5854
197.500000	93.312	177.8488
200.000000	93.307	178.1603
203.000000	93.298	178.6159
206.000000	93.284	179.0744
209.000000	93.275	179.4569
212.000000	93.272	179.7860
214.000000	93.277	179.9901
218.000000	93.300	-179.6036
220.000000	93.315	-179.3799
224.000000	93.338	-178.9554
227.000000	93.347	-178.7221
230.000000	93.352	-178.5281
233.000000	93.357	-178.3578
236.000000	93.369	-178.2274
240.000000	93.394	-178.0812
243.000000	93.414	-177.9758
247.000000	93.433	-177.7764
250.000000	93.441	-177.5124
254.000000	93.435	-177.0704
258.000000	93.408	-176.7735
262.000000	93.381	-176.6378
265.000000	93.368	-176.4909
269.000000	93.359	-176.2135
272.000000	93.359	-176.0169
276.000000	93.371	-175.7585
280.000000	93.382	-175.4227
285.000000	93.388	-174.9414
290.000000	93.401	-174.4653
295.000000	93.432	-173.9932
300.000000	93.466	-173.4728
304.000000	93.480	-173.0472
307.000000	93.486	-172.7609
311.000000	93.500	-172.4384
315.000000	93.531	-172.1222
320.000000	93.581	-171.6835
325.000000	93.638	-171.2952
330.000000	93.715	-170.8658
335.000000	93.796	-170.3630
340.000000	93.867	-169.9760
345.000000	93.939	-169.7259
350.000000	94.009	-169.5101
355.000000	94.075	-169.2855
