* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 31 오후 7:00:32
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 12월 31
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	86.542	-132.7439
20.600000	86.584	-133.0354
20.900000	86.671	-133.5442
21.200001	86.752	-134.0043
21.400000	86.804	-134.3029
21.799999	86.905	-134.9411
22.000000	86.953	-135.2957
22.400000	87.041	-136.0543
22.700001	87.097	-136.6291
23.000000	87.149	-137.1779
23.299999	87.201	-137.6897
23.600000	87.256	-138.1730
24.000000	87.342	-138.8070
24.299999	87.413	-139.3080
24.700001	87.509	-140.0371
25.000000	87.576	-140.6223
25.400000	87.651	-141.4081
25.799999	87.712	-142.1241
26.200001	87.768	-142.7236
26.500000	87.815	-143.1147
26.900000	87.887	-143.6288
27.200001	87.944	-144.0673
27.600000	88.011	-144.7584
28.000000	88.055	-145.5134
28.500000	88.080	-146.3483
29.000000	88.109	-146.9516
29.500000	88.182	-147.5506
30.000000	88.276	-148.5297
30.400000	88.320	-149.6210
30.700001	88.315	-150.4852
31.100000	88.264	-151.4247
31.500000	88.198	-151.9380
32.000000	88.172	-152.0585
32.500000	88.248	-152.1068
33.000000	88.384	-152.5701
33.500000	88.509	-153.4457
34.000000	88.592	-154.4146
34.500000	88.650	-155.2639
35.000000	88.704	-156.0246
35.500000	88.749	-156.7711
36.000000	88.774	-157.4540
36.500000	88.788	-157.9921
37.000000	88.811	-158.4340
37.500000	88.842	-158.9215
38.200001	88.861	-159.7457
38.700001	88.849	-160.2762
39.500000	88.841	-160.8555
40.000000	88.864	-161.2311
40.599998	88.902	-161.8612
41.200001	88.929	-162.6099
41.799999	88.948	-163.3612
42.500000	88.966	-164.2388
43.099998	88.968	-164.9448
43.700001	88.966	-165.4649
44.400002	88.996	-165.8977
45.000000	89.047	-166.3911
45.500000	89.077	-166.9488
46.200001	89.079	-167.6898
46.799999	89.074	-168.1077
47.500000	89.102	-168.5840
48.200001	89.134	-169.3515
48.700001	89.130	-169.9976
49.400002	89.092	-170.7512
50.000000	89.062	-171.1889
50.799999	89.056	-171.6844
51.500000	89.072	-172.2216
52.200001	89.085	-172.8907
53.000000	89.072	-173.6977
53.799999	89.034	-174.3391
54.500000	89.006	-174.7513
55.200001	88.992	-175.1931
56.000000	88.969	-175.8296
57.000000	88.911	-176.5825
58.000000	88.866	-177.1678
59.000000	88.854	-177.8658
60.000000	88.837	-178.7190
60.799999	88.814	-179.3559
61.500000	88.799	-179.8414
62.200001	88.789	179.7029
63.000000	88.774	179.2028
64.000000	88.749	178.6563
65.000000	88.731	178.1051
66.000000	88.693	177.4442
67.000000	88.627	176.8509
68.000000	88.564	176.3619
69.000000	88.510	175.8464
70.000000	88.459	175.3292
71.000000	88.414	174.8132
72.000000	88.367	174.3028
73.000000	88.317	173.8632
74.000000	88.272	173.4714
75.000000	88.226	173.0754
76.199997	88.162	172.6073
77.500000	88.090	172.2247
78.800003	88.042	171.9304
80.000000	88.014	171.5787
81.199997	87.973	171.1625
82.500000	87.916	170.8049
83.800003	87.857	170.4859
85.000000	87.800	170.1928
86.199997	87.744	169.8954
87.500000	87.689	169.5709
88.500000	87.649	169.3123
90.000000	87.595	168.9868
91.199997	87.567	168.7010
92.500000	87.527	168.2838
93.800003	87.465	167.9367
95.000000	87.410	167.6960
96.199997	87.354	167.4604
97.500000	87.290	167.2680
98.800003	87.236	167.1057
100.000000	87.192	166.8787
101.500000	87.125	166.5546
103.000000	87.054	166.3319
104.400002	87.000	166.2022
106.000000	86.947	166.0707
107.500000	86.894	165.8916
109.000000	86.824	165.6928
110.599998	86.746	165.5226
112.000000	86.686	165.3615
113.800003	86.614	165.1982
115.000000	86.565	165.1771
117.199997	86.453	165.3857
118.000000	86.408	165.5896
120.599998	86.345	166.1731
122.000000	86.314	165.9911
124.099998	86.245	165.7853
125.000000	86.229	165.7479
126.500000	86.215	165.6729
128.000000	86.200	165.5974
131.500000	86.147	165.4395
132.000000	86.138	165.4163
134.000000	86.102	165.3895
136.000000	86.078	165.4645
138.000000	86.056	165.4908
140.000000	86.017	165.4553
143.000000	85.947	165.3865
145.000000	85.905	165.3035
147.500000	85.860	165.2366
150.000000	85.828	165.1874
152.500000	85.805	165.1236
155.000000	85.781	165.0752
157.500000	85.758	165.0878
160.000000	85.734	165.1901
162.500000	85.702	165.3438
165.000000	85.657	165.4621
167.500000	85.619	165.4661
170.000000	85.597	165.3943
172.500000	85.588	165.3984
175.000000	85.577	165.4236
177.500000	85.553	165.3646
180.000000	85.531	165.2344
182.500000	85.517	165.1491
185.000000	85.502	165.1939
187.500000	85.486	165.2746
190.000000	85.474	165.2767
192.500000	85.472	165.2230
195.000000	85.476	165.1329
197.500000	85.475	165.0327
200.000000	85.472	164.9523
203.000000	85.468	164.8947
206.000000	85.457	164.8428
209.000000	85.437	164.7325
212.000000	85.415	164.5573
214.000000	85.408	164.4332
218.000000	85.416	164.1468
220.000000	85.415	164.0207
224.000000	85.391	163.8409
227.000000	85.364	163.6993
230.000000	85.349	163.5347
233.000000	85.342	163.3055
236.000000	85.333	163.0277
240.000000	85.317	162.6263
243.000000	85.301	162.2967
247.000000	85.285	161.8810
250.000000	85.274	161.6920
254.000000	85.237	161.5938
258.000000	85.175	161.3557
262.000000	85.109	160.8849
265.000000	85.068	160.5526
269.000000	85.015	160.2230
272.000000	84.978	160.0372
276.000000	84.949	159.7547
280.000000	84.920	159.4445
285.000000	84.866	159.0952
290.000000	84.814	158.7418
295.000000	84.762	158.3618
300.000000	84.710	158.0191
304.000000	84.647	157.7991
307.000000	84.591	157.6127
311.000000	84.518	157.3036
315.000000	84.458	157.0229
320.000000	84.382	156.7675
325.000000	84.302	156.4639
330.000000	84.243	156.2000
335.000000	84.181	156.0976
340.000000	84.101	155.9677
345.000000	84.017	155.7616
350.000000	83.931	155.5675
355.000000	83.834	155.4430
360.000000	83.733	155.4013
365.000000	83.626	155.3515
370.000000	83.523	155.2475
375.000000	83.426	155.1533
382.000000	83.301	155.0807
387.000000	83.219	155.1281
395.000000	83.081	155.3239
400.000000	82.988	155.3980
406.000000	82.870	155.4621
412.000000	82.769	155.4968
418.000000	82.677	155.6166
425.000000	82.553	155.8811
431.000000	82.446	156.0934
437.000000	82.359	156.3475
444.000000	82.266	156.6860
450.000000	82.181	156.9049
455.000000	82.106	157.0761
462.000000	82.008	157.2851
468.000000	81.932	157.4501
475.000000	81.851	157.7018
482.000000	81.773	158.0475
487.000000	81.707	158.3335
494.000000	81.593	158.6652
500.000000	81.511	158.8403
508.000000	81.436	159.1177
515.000000	81.374	159.4619
522.000000	81.316	159.8235
530.000000	81.253	160.2772
538.000000	81.180	160.8394
545.000000	81.104	161.2411
552.000000	81.029	161.4325
560.000000	80.952	161.6152
570.000000	80.867	161.9920
580.000000	80.799	162.4030
590.000000	80.742	162.8883
600.000000	80.648	163.3300
608.000000	80.559	163.5764
615.000000	80.488	163.8068
622.000000	80.423	164.0881
630.000000	80.356	164.4702
640.000000	80.265	164.8876
650.000000	80.166	165.2421
660.000000	80.078	165.6677
670.000000	79.990	166.2673
680.000000	79.876	166.9066
690.000000	79.746	167.4288
700.000000	79.620	167.9005
710.000000	79.528	168.4293
720.000000	79.450	168.9669
730.000000	79.347	169.6069
740.000000	79.228	170.3813
750.000000	79.123	171.2112
762.000000	79.018	172.1755
775.000000	78.915	173.2309
788.000000	78.813	174.2926
800.000000	78.731	175.2948
812.000000	78.646	176.3909
825.000000	78.558	177.5921
838.000000	78.500	178.9168
850.000000	78.458	-179.7705
862.000000	78.420	-178.5150
875.000000	78.397	-177.2285
885.000000	78.391	-176.2932
900.000000	78.389	-174.8871
912.000000	78.385	-173.7482
925.000000	78.376	-172.5233
938.000000	78.394	-171.4069
950.000000	78.440	-170.4337
962.000000	78.485	-169.4954
975.000000	78.534	-168.5303
988.000000	78.596	-167.5970
1000.000000	78.652	-166.7830
1015.000000	78.698	-165.7827
1030.000000	78.732	-164.8625
1044.000000	78.771	-164.0192
1060.000000	78.810	-163.0467
1075.000000	78.849	-162.1282
1090.000000	78.921	-161.1795
1106.000000	79.025	-160.3067
1120.000000	79.121	-159.7806
1138.000000	79.227	-159.1330
1150.000000	79.291	-158.6487
1172.000000	79.401	-157.7619
1180.000000	79.439	-157.4638
1206.000000	79.614	-156.4970
1220.000000	79.720	-155.9145
1241.000000	79.850	-155.1385
1250.000000	79.900	-154.8579
1265.000000	79.986	-154.4123
1280.000000	80.077	-153.9521
1315.000000	80.281	-153.0768
1320.000000	80.313	-152.9888
1340.000000	80.450	-152.6765
1360.000000	80.558	-152.3662
1380.000000	80.654	-152.0577
1400.000000	80.764	-151.7723
1430.000000	80.893	-151.6356
1450.000000	80.969	-151.5983
1475.000000	81.103	-151.4576
1500.000000	81.221	-151.1954
1525.000000	81.321	-150.8951
1550.000000	81.426	-150.7048
1575.000000	81.543	-150.5165
1600.000000	81.667	-150.1336
1625.000000	81.761	-149.6535
1650.000000	81.834	-149.3495
1675.000000	81.939	-149.2795
1700.000000	82.055	-149.2889
1725.000000	82.166	-149.2330
1750.000000	82.275	-149.0581
1775.000000	82.386	-148.8930
1800.000000	82.489	-148.7820
1825.000000	82.602	-148.7043
1850.000000	82.700	-148.6306
1875.000000	82.781	-148.5801
1900.000000	82.864	-148.5735
1925.000000	82.934	-148.7640
1950.000000	83.021	-148.9395
1975.000000	83.118	-148.9655
2000.000000	83.194	-149.0829
2030.000000	83.289	-149.4713
2060.000000	83.400	-149.7148
2090.000000	83.512	-149.7811
2120.000000	83.585	-149.9754
2140.000000	83.626	-150.1985
2180.000000	83.729	-150.5861
2200.000000	83.796	-150.7139
2240.000000	83.935	-151.0450
2270.000000	84.003	-151.4876
2300.000000	84.059	-151.9550
2330.000000	84.149	-152.4486
2360.000000	84.246	-152.9497
2400.000000	84.338	-153.4931
2430.000000	84.399	-153.8772
2470.000000	84.476	-154.5782
2500.000000	84.519	-155.1299
2540.000000	84.559	-155.7251
2580.000000	84.589	-156.2187
2620.000000	84.604	-156.8335
2650.000000	84.629	-157.4065
2690.000000	84.685	-158.1149
2720.000000	84.728	-158.6089
2760.000000	84.785	-159.5070
2800.000000	84.857	-160.5044
2850.000000	84.920	-161.8458
2900.000000	84.908	-163.2084
2950.000000	84.847	-164.5690
3000.000000	84.802	-165.9294
3040.000000	84.747	-166.9797
3070.000000	84.694	-167.6790
3110.000000	84.607	-168.5254
3150.000000	84.504	-169.3841
3200.000000	84.349	-170.3754
3250.000000	84.185	-171.1489
3300.000000	84.028	-171.8178
3350.000000	83.877	-172.4089
3400.000000	83.728	-172.8856
3450.000000	83.581	-173.3048
3500.000000	83.459	-173.6748
3550.000000	83.343	-174.0380
3600.000000	83.215	-174.3294
3650.000000	83.077	-174.4956
3700.000000	82.913	-174.7173
3750.000000	82.749	-174.9330
3820.000000	82.538	-174.8579
3870.000000	82.389	-174.7928
3950.000000	82.130	-174.7517
4000.000000	81.977	-174.5543
4060.000000	81.806	-174.2251
4120.000000	81.628	-173.8838
4180.000000	81.459	-173.3786
4250.000000	81.282	-172.6963
4310.000000	81.132	-172.1368
4370.000000	80.983	-171.5107
4440.000000	80.821	-170.7131
4500.000000	80.687	-169.9609
4550.000000	80.575	-169.3478
4620.000000	80.417	-168.5819
4680.000000	80.295	-167.8797
4750.000000	80.155	-167.0487
4820.000000	80.030	-166.2120
4870.000000	79.952	-165.4334
4940.000000	79.872	-164.0450
5000.000000	79.857	-162.8121
5080.000000	79.879	-161.7449
5150.000000	79.881	-161.3559
5220.000000	79.854	-160.9514
5300.000000	79.808	-160.3998
5380.000000	79.780	-159.7552
5450.000000	79.780	-159.3531
5520.000000	79.781	-159.2206
5600.000000	79.747	-159.1709
5700.000000	79.648	-159.0170
5800.000000	79.502	-158.5318
5900.000000	79.380	-157.6097
6000.000000	79.332	-156.6680
6080.000000	79.338	-155.8327
6150.000000	79.378	-155.0491
6220.000000	79.457	-154.3904
6300.000000	79.580	-153.9437
6400.000000	79.759	-153.9516
6500.000000	79.930	-154.7333
6600.000000	80.027	-156.1079
6700.000000	80.035	-157.8924
6800.000000	79.958	-159.6414
6900.000000	79.798	-161.0992
7000.000000	79.582	-162.1656
7100.000000	79.345	-162.8425
7200.000000	79.104	-163.0442
7300.000000	78.887	-162.7006
7400.000000	78.681	-162.0013
7500.000000	78.503	-161.0009
7620.000000	78.374	-159.4561
7750.000000	78.354	-157.5321
7880.000000	78.408	-155.4509
8000.000000	78.562	-153.6111
8120.000000	78.825	-152.0506
8250.000000	79.205	-150.8374
8380.000000	79.698	-150.4849
8500.000000	80.240	-151.2248
8620.000000	80.825	-153.1906
8750.000000	81.430	-157.0027
8850.000000	81.824	-161.3158
9000.000000	82.145	-169.8708
9120.000000	82.068	-177.8044
9250.000000	81.619	173.7233
9380.000000	80.820	166.5454
9500.000000	79.874	161.6310
9620.000000	78.845	158.4657
9750.000000	77.743	156.7061
9880.000000	76.744	156.1335
10000.000000	75.947	156.2688
10150.000000	75.067	156.6624
10300.000000	74.213	157.0846
10440.000000	73.446	157.8424
10600.000000	72.642	159.1571
10750.000000	71.939	160.8242
10900.000000	71.299	162.8785
11060.000000	70.688	165.2282
11200.000000	70.190	167.3216
11380.000000	69.627	170.0541
11500.000000	69.316	171.9113
11720.000000	68.840	175.4520
11800.000000	68.687	176.7475
12060.000000	68.258	-179.2332
12200.000000	68.065	-176.9886
12410.000000	67.827	-173.6397
12500.000000	67.744	-172.2843
12650.000000	67.656	-170.0668
12800.000000	67.624	-167.9110
13150.000000	67.762	-163.8479
13200.000000	67.802	-163.3349
13400.000000	68.004	-161.3514
13600.000000	68.296	-159.6977
13800.000000	68.683	-158.5488
14000.000000	69.141	-158.0056
14300.000000	70.019	-157.5870
14500.000000	70.797	-157.9204
14750.000000	72.033	-159.5916
15000.000000	73.555	-163.6877
15250.000000	75.293	-171.6198
15500.000000	76.953	175.2112
15750.000000	78.079	156.4064
16000.000000	78.256	134.7088
16250.000000	77.480	115.1327
16500.000000	76.161	100.4783
16750.000000	74.775	90.1116
17000.000000	73.581	82.2332
17250.000000	72.646	75.4505
17500.000000	71.963	68.9279
17750.000000	71.485	62.0543
18000.000000	71.144	54.2587
