* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 31 오후 6:49:14
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 12월 31
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	86.537	-132.3153
20.600000	86.584	-132.6174
20.900000	86.675	-133.1460
21.200001	86.750	-133.6188
21.400000	86.794	-133.9051
21.799999	86.878	-134.4589
22.000000	86.920	-134.7469
22.400000	87.004	-135.3651
22.700001	87.065	-135.8694
23.000000	87.123	-136.4009
23.299999	87.177	-136.9385
23.600000	87.230	-137.4644
24.000000	87.306	-138.1340
24.299999	87.371	-138.6243
24.700001	87.471	-139.3039
25.000000	87.551	-139.8648
25.400000	87.655	-140.6955
25.799999	87.748	-141.5798
26.200001	87.824	-142.4364
26.500000	87.875	-143.0193
26.900000	87.939	-143.7062
27.200001	87.987	-144.1751
27.600000	88.052	-144.7791
28.000000	88.113	-145.3722
28.500000	88.179	-146.0333
29.000000	88.253	-146.5417
29.500000	88.358	-147.0250
30.000000	88.485	-147.7692
30.400000	88.571	-148.6404
30.700001	88.609	-149.3973
31.100000	88.620	-150.3723
31.500000	88.599	-151.1531
32.000000	88.573	-151.7978
32.500000	88.580	-152.2796
33.000000	88.615	-152.8652
33.500000	88.648	-153.5950
34.000000	88.664	-154.3361
34.500000	88.674	-155.0067
35.000000	88.687	-155.6517
35.500000	88.697	-156.3144
36.000000	88.697	-156.9353
36.500000	88.695	-157.4398
37.000000	88.710	-157.8666
37.500000	88.742	-158.3378
38.200001	88.786	-159.1585
38.700001	88.805	-159.7579
39.500000	88.842	-160.5998
40.000000	88.880	-161.1511
40.599998	88.926	-161.9172
41.200001	88.959	-162.7087
41.799999	88.987	-163.4337
42.500000	89.025	-164.2567
43.099998	89.050	-165.0110
43.700001	89.053	-165.7162
44.400002	89.046	-166.3483
45.000000	89.047	-166.7988
45.500000	89.048	-167.2023
46.200001	89.032	-167.7645
46.799999	89.010	-168.1335
47.500000	89.006	-168.5261
48.200001	89.012	-169.1004
48.700001	89.002	-169.5895
49.400002	88.969	-170.1703
50.000000	88.949	-170.5233
50.799999	88.954	-170.9504
51.500000	88.979	-171.3535
52.200001	89.021	-171.7931
53.000000	89.076	-172.4181
53.799999	89.118	-173.1465
54.500000	89.139	-173.8331
55.200001	89.137	-174.6064
56.000000	89.086	-175.4561
57.000000	88.990	-176.1349
58.000000	88.924	-176.6245
59.000000	88.889	-177.1519
60.000000	88.893	-177.8460
60.799999	88.898	-178.6303
61.500000	88.886	-179.3396
62.200001	88.866	-179.9564
63.000000	88.842	179.4240
64.000000	88.798	178.7558
65.000000	88.746	178.3123
66.000000	88.706	177.8978
67.000000	88.645	177.3675
68.000000	88.562	176.9685
69.000000	88.503	176.6382
70.000000	88.464	176.2049
71.000000	88.433	175.6784
72.000000	88.397	175.1462
73.000000	88.361	174.7425
74.000000	88.337	174.3878
75.000000	88.307	173.9943
76.199997	88.256	173.5485
77.500000	88.191	173.0428
78.800003	88.109	172.5760
80.000000	88.051	172.3266
81.199997	88.041	171.9951
82.500000	88.024	171.3485
83.800003	87.967	170.7952
