* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 31 오후 7:04:10
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 12월 31
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.654	-131.5506
20.600000	84.706	-131.7955
20.900000	84.811	-132.2310
21.200001	84.909	-132.6492
21.400000	84.971	-132.9381
21.799999	85.082	-133.5758
22.000000	85.131	-133.9226
22.400000	85.210	-134.6140
22.700001	85.258	-135.0793
23.000000	85.305	-135.4813
23.299999	85.357	-135.8498
23.600000	85.416	-136.2270
24.000000	85.503	-136.7979
24.299999	85.566	-137.2833
24.700001	85.641	-137.9665
25.000000	85.693	-138.4751
25.400000	85.761	-139.1474
25.799999	85.831	-139.8626
26.200001	85.892	-140.6475
26.500000	85.927	-141.2436
26.900000	85.960	-141.9643
27.200001	85.986	-142.4204
27.600000	86.038	-142.9762
28.000000	86.111	-143.6357
28.500000	86.195	-144.7228
29.000000	86.231	-145.7749
29.500000	86.268	-146.3352
30.000000	86.416	-146.6296
30.400000	86.623	-147.3222
30.700001	86.784	-148.3863
31.100000	86.915	-150.4504
31.500000	86.892	-152.6912
32.000000	86.664	-154.4940
32.500000	86.406	-154.4045
33.000000	86.356	-153.1772
33.500000	86.533	-152.3542
34.000000	86.742	-152.6900
34.500000	86.836	-153.6048
35.000000	86.828	-154.2719
35.500000	86.806	-154.4832
36.000000	86.808	-154.5734
36.500000	86.807	-154.7433
37.000000	86.785	-154.8514
37.500000	86.768	-154.7628
38.200001	86.814	-154.6321
38.700001	86.880	-154.8593
39.500000	86.964	-155.7524
40.000000	87.000	-156.4437
40.599998	87.035	-157.3546
41.200001	87.055	-158.3437
41.799999	87.056	-159.2829
42.500000	87.049	-160.1590
43.099998	87.058	-160.7398
43.700001	87.084	-161.2434
44.400002	87.127	-161.7982
45.000000	87.170	-162.2820
45.500000	87.202	-162.6984
46.200001	87.241	-163.2873
46.799999	87.270	-163.8122
47.500000	87.293	-164.4998
48.200001	87.293	-165.2276
48.700001	87.281	-165.7052
49.400002	87.261	-166.2863
50.000000	87.246	-166.7546
50.799999	87.225	-167.3660
51.500000	87.209	-167.8383
52.200001	87.207	-168.2818
53.000000	87.214	-168.8521
53.799999	87.216	-169.4717
54.500000	87.214	-170.0465
55.200001	87.199	-170.6952
56.000000	87.145	-171.3837
57.000000	87.060	-171.7972
58.000000	87.026	-171.8798
59.000000	87.055	-172.0759
60.000000	87.091	-172.6639
60.799999	87.083	-173.2384
61.500000	87.065	-173.6266
62.200001	87.052	-173.9991
63.000000	87.023	-174.4822
64.000000	86.958	-174.8792
65.000000	86.928	-175.1230
66.000000	86.906	-175.5741
67.000000	86.864	-176.0462
68.000000	86.827	-176.4990
69.000000	86.786	-177.0143
70.000000	86.740	-177.4818
71.000000	86.702	-177.8910
72.000000	86.671	-178.2791
73.000000	86.644	-178.6451
74.000000	86.615	-178.9837
75.000000	86.583	-179.2864
76.199997	86.540	-179.6138
77.500000	86.486	-179.9461
78.800003	86.430	179.7244
80.000000	86.373	179.3638
81.199997	86.306	179.0648
82.500000	86.254	178.8597
83.800003	86.215	178.5596
85.000000	86.162	178.3137
86.199997	86.108	178.1734
87.500000	86.050	178.0207
88.500000	86.002	177.9178
90.000000	85.944	177.7802
91.199997	85.915	177.5698
92.500000	85.882	177.2597
93.800003	85.841	177.0471
95.000000	85.813	176.9636
96.199997	85.787	176.8196
97.500000	85.727	176.5900
98.800003	85.638	176.4788
100.000000	85.563	176.4893
101.500000	85.502	176.4753
103.000000	85.462	176.3646
104.400002	85.427	176.2832
106.000000	85.382	176.2704
107.500000	85.330	176.2958
109.000000	85.272	176.3178
110.599998	85.214	176.3327
112.000000	85.177	176.3444
113.800003	85.141	176.3624
115.000000	85.113	176.4066
117.199997	85.039	176.5242
118.000000	85.002	176.5837
120.599998	84.921	176.9426
122.000000	84.921	176.9478
124.099998	84.912	176.8079
125.000000	84.899	176.7934
126.500000	84.870	176.8592
128.000000	84.831	176.9828
131.500000	84.729	177.3424
132.000000	84.716	177.4003
134.000000	84.677	177.6813
136.000000	84.661	177.9794
138.000000	84.654	178.2116
140.000000	84.641	178.3584
143.000000	84.593	178.5860
145.000000	84.560	178.8151
147.500000	84.530	179.0592
150.000000	84.507	179.1959
152.500000	84.495	179.3421
155.000000	84.498	179.5332
157.500000	84.509	179.8154
160.000000	84.518	-179.8380
162.500000	84.508	-179.4920
165.000000	84.484	-179.2073
167.500000	84.461	-179.0288
170.000000	84.456	-178.8671
172.500000	84.468	-178.6383
175.000000	84.477	-178.3861
177.500000	84.468	-178.1849
180.000000	84.461	-177.9976
182.500000	84.476	-177.8240
185.000000	84.498	-177.6646
187.500000	84.515	-177.4437
190.000000	84.533	-177.1731
192.500000	84.555	-176.9332
195.000000	84.582	-176.7938
197.500000	84.614	-176.7340
200.000000	84.650	-176.6389
203.000000	84.684	-176.4651
206.000000	84.695	-176.2863
209.000000	84.702	-176.1592
212.000000	84.715	-176.1352
214.000000	84.731	-176.1711
218.000000	84.779	-176.2190
220.000000	84.803	-176.1806
224.000000	84.817	-176.0962
227.000000	84.814	-176.0274
230.000000	84.833	-175.9354
233.000000	84.868	-175.8856
236.000000	84.903	-175.9320
240.000000	84.945	-176.1328
243.000000	84.978	-176.3599
247.000000	85.005	-176.6891
250.000000	85.000	-176.8964
254.000000	84.958	-177.0313
258.000000	84.869	-176.9058
262.000000	84.792	-176.5348
265.000000	84.786	-176.1078
269.000000	84.829	-175.5108
272.000000	84.877	-175.2408
276.000000	84.955	-175.1500
280.000000	85.023	-175.1616
285.000000	85.088	-175.2566
290.000000	85.148	-175.4627
295.000000	85.206	-175.7161
300.000000	85.243	-175.9328
304.000000	85.244	-176.0586
307.000000	85.233	-176.1433
311.000000	85.216	-176.2205
315.000000	85.219	-176.2269
320.000000	85.253	-176.2037
325.000000	85.296	-176.2698
330.000000	85.342	-176.3580
335.000000	85.382	-176.3775
340.000000	85.410	-176.4925
345.000000	85.429	-176.6969
350.000000	85.437	-176.8708
355.000000	85.439	-176.9887
360.000000	85.436	-177.0720
365.000000	85.425	-177.1559
370.000000	85.412	-177.2686
375.000000	85.405	-177.3736
382.000000	85.401	-177.5197
387.000000	85.402	-177.5993
395.000000	85.406	-177.5913
400.000000	85.402	-177.5496
406.000000	85.393	-177.5578
412.000000	85.390	-177.6740
418.000000	85.397	-177.7543
425.000000	85.398	-177.7122
431.000000	85.399	-177.6915
437.000000	85.408	-177.7056
444.000000	85.418	-177.6971
450.000000	85.423	-177.7265
455.000000	85.429	-177.7677
462.000000	85.438	-177.8674
468.000000	85.453	-177.9730
475.000000	85.471	-178.0894
482.000000	85.491	-178.1543
487.000000	85.495	-178.1227
494.000000	85.481	-178.1283
500.000000	85.479	-178.2838
508.000000	85.505	-178.4991
515.000000	85.532	-178.6198
522.000000	85.565	-178.7652
530.000000	85.601	-178.8651
538.000000	85.619	-178.8741
545.000000	85.618	-179.0056
552.000000	85.618	-179.2737
560.000000	85.619	-179.5872
570.000000	85.623	179.9948
580.000000	85.647	179.5807
590.000000	85.675	179.3323
600.000000	85.659	179.0403
608.000000	85.637	178.6496
615.000000	85.619	178.2886
622.000000	85.604	177.9860
630.000000	85.586	177.7155
640.000000	85.548	177.3232
650.000000	85.498	176.8538
660.000000	85.456	176.4783
670.000000	85.414	176.3031
680.000000	85.346	176.1356
690.000000	85.251	175.8167
700.000000	85.152	175.4749
710.000000	85.081	175.1756
720.000000	85.017	174.9091
730.000000	84.926	174.7606
740.000000	84.822	174.7031
750.000000	84.724	174.7092
762.000000	84.614	174.7562
775.000000	84.506	174.8144
788.000000	84.399	174.9140
800.000000	84.294	175.0408
812.000000	84.183	175.2910
825.000000	84.074	175.6671
838.000000	83.983	176.0990
850.000000	83.903	176.5961
862.000000	83.828	177.1582
875.000000	83.763	177.6694
885.000000	83.722	177.9692
900.000000	83.656	178.5427
912.000000	83.597	179.0558
925.000000	83.529	179.5825
938.000000	83.485	-179.9419
950.000000	83.477	-179.5420
962.000000	83.472	-179.1193
975.000000	83.459	-178.6461
988.000000	83.450	-178.1299
1000.000000	83.439	-177.6888
1015.000000	83.419	-177.2099
1030.000000	83.404	-176.7636
1044.000000	83.404	-176.4019
1060.000000	83.397	-176.1028
1075.000000	83.375	-175.8259
1090.000000	83.371	-175.4966
1106.000000	83.391	-175.2661
1120.000000	83.406	-175.1636
1138.000000	83.413	-174.9339
1150.000000	83.418	-174.7349
1172.000000	83.435	-174.4379
1180.000000	83.437	-174.3672
1206.000000	83.471	-174.1734
1220.000000	83.489	-174.0219
1241.000000	83.488	-173.8288
1250.000000	83.475	-173.7459
1265.000000	83.447	-173.5817
1280.000000	83.428	-173.3338
1315.000000	83.412	-172.7220
1320.000000	83.413	-172.6700
1340.000000	83.423	-172.4910
1360.000000	83.417	-172.1962
1380.000000	83.405	-171.8826
1400.000000	83.412	-171.5956
1430.000000	83.404	-171.3612
1450.000000	83.394	-171.2227
1475.000000	83.425	-170.9726
1500.000000	83.449	-170.5476
1525.000000	83.472	-170.0412
1550.000000	83.508	-169.7794
1575.000000	83.553	-169.5687
1600.000000	83.600	-169.1942
1625.000000	83.617	-168.7229
1650.000000	83.611	-168.3982
1675.000000	83.629	-168.2549
1700.000000	83.658	-168.2033
1725.000000	83.686	-168.0907
1750.000000	83.714	-167.8142
1775.000000	83.743	-167.5437
1800.000000	83.763	-167.2977
1825.000000	83.796	-167.0185
1850.000000	83.813	-166.7190
1875.000000	83.816	-166.4566
1900.000000	83.827	-166.1885
1925.000000	83.826	-166.0170
1950.000000	83.843	-165.7935
1975.000000	83.886	-165.4173
2000.000000	83.930	-165.1216
2030.000000	84.010	-165.0451
2060.000000	84.115	-164.9481
2090.000000	84.215	-164.8379
2120.000000	84.265	-164.9504
2140.000000	84.286	-165.1534
2180.000000	84.337	-165.4830
2200.000000	84.374	-165.5445
2240.000000	84.447	-165.7331
2270.000000	84.457	-166.0597
2300.000000	84.454	-166.3971
2330.000000	84.485	-166.7215
2360.000000	84.518	-167.0045
2400.000000	84.521	-167.1135
2430.000000	84.517	-167.0569
2470.000000	84.530	-167.0634
2500.000000	84.543	-167.0737
2540.000000	84.566	-166.9792
2580.000000	84.610	-166.8505
2620.000000	84.658	-167.0138
2650.000000	84.713	-167.3925
2690.000000	84.795	-168.0240
2720.000000	84.837	-168.5357
2760.000000	84.865	-169.4073
2800.000000	84.892	-170.2643
2850.000000	84.906	-171.2819
2900.000000	84.859	-172.2091
2950.000000	84.774	-173.1404
3000.000000	84.710	-174.0610
3040.000000	84.651	-174.7328
3070.000000	84.601	-175.1586
3110.000000	84.525	-175.6625
3150.000000	84.437	-176.2037
3200.000000	84.304	-176.8987
3250.000000	84.167	-177.4729
3300.000000	84.042	-178.0135
3350.000000	83.910	-178.5232
3400.000000	83.765	-178.9525
3450.000000	83.614	-179.2982
3500.000000	83.474	-179.5860
3550.000000	83.336	-179.8611
3600.000000	83.185	-179.9796
3650.000000	83.029	-179.8710
3700.000000	82.861	-179.7906
3750.000000	82.707	-179.7271
3820.000000	82.519	-179.3200
3870.000000	82.390	-179.0956
3950.000000	82.159	-178.9027
4000.000000	82.019	-178.6532
4060.000000	81.861	-178.2463
4120.000000	81.691	-177.8502
