* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 31 오후 6:53:00
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 12월 31
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.559	-133.0328
20.600000	84.602	-133.2428
20.900000	84.687	-133.6298
21.200001	84.764	-134.0330
21.400000	84.810	-134.3170
21.799999	84.890	-134.9326
22.000000	84.926	-135.2606
22.400000	84.992	-135.9285
22.700001	85.040	-136.4288
23.000000	85.092	-136.9388
23.299999	85.148	-137.4815
23.600000	85.206	-138.0680
24.000000	85.280	-138.9026
24.299999	85.331	-139.5198
24.700001	85.397	-140.2547
25.000000	85.453	-140.7198
25.400000	85.551	-141.2812
25.799999	85.672	-141.9204
26.200001	85.792	-142.7401
26.500000	85.862	-143.4313
26.900000	85.915	-144.2923
27.200001	85.934	-144.7681
27.600000	85.957	-145.1210
28.000000	86.006	-145.3000
28.500000	86.094	-145.6396
29.000000	86.144	-146.1571
29.500000	86.134	-146.3651
30.000000	86.159	-145.9182
30.400000	86.282	-145.4501
30.700001	86.436	-145.4047
31.100000	86.658	-146.1081
31.500000	86.814	-147.6415
32.000000	86.835	-150.0133
32.500000	86.690	-151.8582
33.000000	86.517	-152.7221
33.500000	86.425	-153.0292
34.000000	86.413	-153.4032
34.500000	86.417	-153.9737
35.000000	86.417	-154.5030
35.500000	86.438	-154.8785
36.000000	86.494	-155.2451
36.500000	86.566	-155.7222
37.000000	86.633	-156.2658
37.500000	86.692	-156.8102
38.200001	86.756	-157.6056
38.700001	86.774	-158.1677
39.500000	86.769	-158.8034
40.000000	86.772	-159.1124
40.599998	86.779	-159.6249
41.200001	86.756	-160.2647
41.799999	86.711	-160.8399
42.500000	86.669	-161.4803
43.099998	86.636	-162.1476
43.700001	86.593	-162.7830
44.400002	86.569	-163.3880
45.000000	86.578	-164.0129
45.500000	86.576	-164.6255
46.200001	86.554	-165.2440
46.799999	86.575	-165.4757
47.500000	86.660	-165.9785
48.200001	86.710	-166.8715
48.700001	86.700	-167.3880
49.400002	86.689	-167.6962
50.000000	86.716	-167.8820
50.799999	86.763	-168.3219
51.500000	86.800	-168.7549
52.200001	86.845	-169.3201
53.000000	86.862	-170.1746
53.799999	86.837	-170.8264
54.500000	86.832	-171.2242
55.200001	86.836	-171.7409
56.000000	86.806	-172.3696
57.000000	86.748	-172.8636
58.000000	86.694	-173.3370
59.000000	86.614	-173.7205
60.000000	86.567	-173.9585
60.799999	86.555	-174.3771
61.500000	86.538	-174.8468
62.200001	86.525	-175.2884
63.000000	86.526	-175.8541
64.000000	86.517	-176.6499
65.000000	86.507	-177.2802
66.000000	86.503	-177.9791
67.000000	86.442	-178.6738
68.000000	86.348	-178.9821
69.000000	86.279	-179.0847
70.000000	86.230	-179.2698
71.000000	86.184	-179.5286
72.000000	86.153	-179.8181
73.000000	86.134	179.7596
74.000000	86.102	179.2709
75.000000	86.057	178.8622
76.199997	85.994	178.4853
77.500000	85.926	178.2622
78.800003	85.876	178.0517
80.000000	85.829	177.8091
81.199997	85.795	177.5555
82.500000	85.758	177.1016
83.800003	85.689	176.6880
85.000000	85.619	176.4653
86.199997	85.552	176.3120
87.500000	85.487	176.2206
88.500000	85.448	176.1569
90.000000	85.403	175.9996
91.199997	85.364	175.7627
92.500000	85.296	175.5743
93.800003	85.230	175.5826
95.000000	85.186	175.5774
96.199997	85.133	175.4722
97.500000	85.065	175.4051
98.800003	85.005	175.3447
100.000000	84.955	175.3049
101.500000	84.909	175.2561
103.000000	84.864	175.1667
104.400002	84.818	175.1125
106.000000	84.765	175.0727
107.500000	84.712	175.0582
109.000000	84.664	175.1236
110.599998	84.622	175.2397
112.000000	84.588	175.3548
113.800003	84.540	175.4492
