* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 31 오후 6:56:18
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 12월 31
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	80.038	-159.5106
20.600000	80.021	-159.6832
20.900000	79.984	-159.9344
21.200001	79.949	-160.0274
21.400000	79.931	-160.0228
21.799999	79.911	-159.9491
22.000000	79.909	-159.9194
22.400000	79.920	-159.9115
22.700001	79.937	-159.9571
23.000000	79.962	-160.0530
23.299999	79.992	-160.2058
23.600000	80.027	-160.4195
24.000000	80.075	-160.7916
24.299999	80.109	-161.1133
24.700001	80.149	-161.5561
25.000000	80.176	-161.8714
25.400000	80.211	-162.2540
25.799999	80.249	-162.6049
26.200001	80.291	-162.9531
26.500000	80.322	-163.2256
26.900000	80.356	-163.6035
27.200001	80.375	-163.8847
27.600000	80.392	-164.2309
28.000000	80.405	-164.5245
28.500000	80.430	-164.8514
29.000000	80.469	-165.2756
29.500000	80.504	-165.9294
30.000000	80.499	-166.7414
30.400000	80.459	-167.3101
30.700001	80.419	-167.5922
31.100000	80.377	-167.7536
31.500000	80.370	-167.7772
32.000000	80.415	-167.8890
32.500000	80.486	-168.2763
33.000000	80.550	-168.8499
33.500000	80.604	-169.4321
34.000000	80.661	-169.9877
34.500000	80.718	-170.5895
35.000000	80.759	-171.2269
35.500000	80.781	-171.7822
36.000000	80.800	-172.1990
36.500000	80.828	-172.5692
37.000000	80.859	-173.0241
37.500000	80.873	-173.5781
38.200001	80.851	-174.3490
38.700001	80.817	-174.8200
39.500000	80.752	-175.5037
40.000000	80.704	-175.9077
40.599998	80.641	-176.3183
41.200001	80.584	-176.5963
41.799999	80.552	-176.7604
42.500000	80.562	-176.9552
43.099998	80.602	-177.2872
43.700001	80.643	-177.7949
44.400002	80.678	-178.4841
45.000000	80.697	-179.1099
45.500000	80.697	-179.6705
