* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 31 오후 6:49:02
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 12월 31
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	79.529	-167.8014
20.600000	79.549	-167.5771
20.900000	79.585	-167.2361
21.200001	79.607	-167.0615
21.400000	79.610	-167.0045
21.799999	79.593	-166.9109
22.000000	79.579	-166.8329
22.400000	79.555	-166.6115
22.700001	79.550	-166.4498
23.000000	79.557	-166.3583
23.299999	79.568	-166.3611
23.600000	79.578	-166.4381
24.000000	79.588	-166.5902
24.299999	79.597	-166.6938
24.700001	79.620	-166.8090
25.000000	79.649	-166.9091
25.400000	79.697	-167.1059
25.799999	79.747	-167.3755
26.200001	79.793	-167.6618
26.500000	79.825	-167.8513
26.900000	79.871	-168.0618
27.200001	79.910	-168.2137
27.600000	79.966	-168.4597
28.000000	80.017	-168.7891
28.500000	80.061	-169.2719
29.000000	80.077	-169.6939
29.500000	80.082	-169.9598
30.000000	80.099	-170.1115
30.400000	80.127	-170.2455
30.700001	80.154	-170.3989
31.100000	80.190	-170.6970
31.500000	80.217	-171.0802
32.000000	80.230	-171.5884
32.500000	80.232	-172.0254
33.000000	80.239	-172.3711
33.500000	80.262	-172.7021
34.000000	80.291	-173.0964
34.500000	80.311	-173.5355
35.000000	80.319	-173.9361
35.500000	80.324	-174.2446
36.000000	80.337	-174.4903
36.500000	80.359	-174.7357
37.000000	80.385	-175.0235
37.500000	80.412	-175.3657
38.200001	80.444	-175.9413
38.700001	80.459	-176.4148
39.500000	80.464	-177.2274
40.000000	80.457	-177.7281
40.599998	80.439	-178.2645
41.200001	80.424	-178.6915
41.799999	80.425	-179.0771
42.500000	80.432	-179.6273
43.099998	80.418	179.8752
43.700001	80.391	179.5500
44.400002	80.387	179.3210
45.000000	80.405	178.9415
45.500000	80.400	178.4449
46.200001	80.340	177.8031
46.799999	80.279	177.5107
47.500000	80.247	177.2131
48.200001	80.229	176.6915
48.700001	80.204	176.2726
49.400002	80.167	175.8087
50.000000	80.155	175.4706
50.799999	80.158	174.9211
51.500000	80.154	174.3962
52.200001	80.140	173.9574
53.000000	80.124	173.5837
53.799999	80.109	173.2653
54.500000	80.090	172.9549
55.200001	80.053	172.6169
56.000000	79.993	172.2976
57.000000	79.926	171.9722
58.000000	79.861	171.4885
59.000000	79.776	171.0712
60.000000	79.724	170.8444
60.799999	79.708	170.5589
61.500000	79.688	170.2518
62.200001	79.662	169.9922
63.000000	79.630	169.7310
64.000000	79.574	169.3935
65.000000	79.501	169.1683
66.000000	79.437	168.9703
67.000000	79.366	168.6389
68.000000	79.278	168.3416
69.000000	79.203	168.1276
70.000000	79.143	167.8574
71.000000	79.078	167.5638
72.000000	79.009	167.3576
73.000000	78.945	167.2297
74.000000	78.884	167.1266
75.000000	78.827	167.0443
76.199997	78.765	166.8628
77.500000	78.678	166.6205
78.800003	78.595	166.5571
80.000000	78.533	166.4242
81.199997	78.456	166.2702
82.500000	78.364	166.1591
83.800003	78.265	166.1179
85.000000	78.187	166.1231
86.199997	78.123	166.0366
87.500000	78.052	165.8728
88.500000	77.992	165.7979
90.000000	77.909	165.8893
91.199997	77.866	166.0635
92.500000	77.829	166.1581
93.800003	77.768	166.1913
95.000000	77.698	166.2760
96.199997	77.626	166.3564
97.500000	77.546	166.4317
98.800003	77.477	166.4932
100.000000	77.421	166.5051
101.500000	77.352	166.5461
103.000000	77.283	166.6414
104.400002	77.214	166.7938
106.000000	77.127	166.9932
107.500000	77.046	167.1928
109.000000	76.969	167.3445
110.599998	76.888	167.5211
112.000000	76.825	167.7436
113.800003	76.759	168.1023
115.000000	76.722	168.3235
117.199997	76.655	168.6790
118.000000	76.632	168.7731
120.599998	76.514	169.1149
122.000000	76.450	169.5755
124.099998	76.386	170.1750
125.000000	76.354	170.3557
126.500000	76.288	170.6390
128.000000	76.219	170.9747
131.500000	76.125	171.8733
132.000000	76.117	171.9871
134.000000	76.085	172.4157
136.000000	76.041	172.8036
138.000000	75.984	173.0990
140.000000	75.909	173.3682
143.000000	75.841	174.0600
145.000000	75.836	174.5375
147.500000	75.804	175.1337
150.000000	75.743	175.7480
152.500000	75.697	176.2441
155.000000	75.684	176.7173
157.500000	75.679	177.2913
160.000000	75.656	177.9858
162.500000	75.621	178.6409
165.000000	75.586	179.2153
167.500000	75.547	179.7344
170.000000	75.516	-179.7184
172.500000	75.508	-179.1829
175.000000	75.510	-178.6504
177.500000	75.503	-178.1285
180.000000	75.492	-177.6306
182.500000	75.493	-177.1965
185.000000	75.491	-176.7234
187.500000	75.488	-176.1665
190.000000	75.485	-175.6021
192.500000	75.491	-175.0406
195.000000	75.508	-174.5117
197.500000	75.525	-174.0965
200.000000	75.534	-173.7441
203.000000	75.552	-173.2193
206.000000	75.572	-172.5791
209.000000	75.583	-171.9178
212.000000	75.588	-171.3287
214.000000	75.595	-170.9939
218.000000	75.636	-170.4852
220.000000	75.670	-170.2204
224.000000	75.737	-169.4590
227.000000	75.752	-168.9965
230.000000	75.740	-168.6889
233.000000	75.751	-168.3436
236.000000	75.781	-167.9730
240.000000	75.821	-167.5051
243.000000	75.860	-167.1594
247.000000	75.933	-166.6862
250.000000	75.977	-166.2647
254.000000	76.017	-165.5506
258.000000	76.047	-164.9944
262.000000	76.077	-164.7290
265.000000	76.100	-164.5699
269.000000	76.120	-164.2211
272.000000	76.144	-163.9062
276.000000	76.196	-163.5350
280.000000	76.260	-163.1176
285.000000	76.327	-162.6241
290.000000	76.391	-162.1920
