* Measurement data measured by REW V5.20.13
* Source: C:\Users\DABKING\Downloads\vxrighttreble.txt
* Format: Comma/Tab/Space delimited data
* Dated: 2022. 12. 26 ¿ÀÈÄ 12:08:40
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\DABKING\Downloads\vxrighttreble.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 19,967 Hz log spaced
* Measurement: vxrighttreble
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	70.314
20.299999	70.372
20.600000	70.423
20.900000	70.502
21.200001	70.594
21.400000	70.650
21.799999	70.756
22.000000	70.788
22.400000	70.813
22.700001	70.859
23.000000	70.895
23.299999	70.907
23.600000	70.947
24.000000	71.051
24.299999	71.130
24.700001	71.198
25.000000	71.237
25.400000	71.329
25.799999	71.392
26.200001	71.400
26.500000	71.400
26.900000	71.396
27.200001	71.373
27.600000	71.316
28.000000	71.300
28.500000	71.300
29.000000	71.308
29.500000	71.363
30.000000	71.398
30.400000	71.400
30.700001	71.400
31.100000	71.404
31.500000	71.436
32.000000	71.495
32.500000	71.555
33.000000	71.702
33.500000	71.845
34.000000	71.895
34.500000	71.899
35.000000	71.890
35.500000	71.845
36.000000	71.806
36.500000	71.801
37.000000	71.806
37.500000	71.844
38.200001	71.949
38.700001	71.985
39.500000	71.879
40.000000	71.750
40.599998	71.652
41.200001	71.674
41.799999	71.735
42.500000	71.924
43.099998	72.103
43.700001	72.117
44.400002	72.075
45.000000	72.004
45.500000	71.953
46.200001	71.971
46.799999	72.008
47.500000	72.051
48.200001	72.048
48.700001	72.061
49.400002	72.138
50.000000	72.187
50.799999	72.188
51.500000	72.084
52.200001	71.907
53.000000	71.804
53.799999	71.725
54.500000	71.701
55.200001	71.796
56.000000	71.880
57.000000	71.900
58.000000	71.900
59.000000	71.900
60.000000	71.900
60.799999	71.897
61.500000	71.877
62.200001	71.806
63.000000	71.722
64.000000	71.696
65.000000	71.660
66.000000	71.664
67.000000	71.747
68.000000	71.795
69.000000	71.810
70.000000	71.856
71.000000	71.880
72.000000	71.801
73.000000	71.709
74.000000	71.648
75.000000	71.568
76.199997	71.515
77.500000	71.558
78.800003	71.570
80.000000	71.451
81.199997	71.336
82.500000	71.303
83.800003	71.321
85.000000	71.358
86.199997	71.367
87.500000	71.455
88.500000	71.477
90.000000	71.423
91.199997	71.399
92.500000	71.333
93.800003	71.130
95.000000	71.053
96.199997	71.155
97.500000	71.215
98.800003	71.117
100.000000	71.027
101.500000	71.001
103.000000	70.996
104.400002	70.969
106.000000	70.860
107.500000	70.731
109.000000	70.676
110.599998	70.646
112.000000	70.622
113.800003	70.517
115.000000	70.483
117.199997	70.456
118.000000	70.475
120.599998	70.495
122.000000	70.443
124.099998	70.281
125.000000	70.268
126.500000	70.324
128.000000	70.339
131.500000	70.158
132.000000	70.091
134.000000	69.828
136.000000	69.714
138.000000	69.694
140.000000	69.657
143.000000	69.652
145.000000	69.575
147.500000	69.431
150.000000	69.401
152.500000	69.400
155.000000	69.399
157.500000	69.381
160.000000	69.288
162.500000	69.127
165.000000	68.958
167.500000	68.916
170.000000	68.947
172.500000	68.914
175.000000	68.875
177.500000	68.819
180.000000	68.799
182.500000	68.730
185.000000	68.517
187.500000	68.410
190.000000	68.391
192.500000	68.348
195.000000	68.289
197.500000	68.200
200.000000	68.121
203.000000	68.101
206.000000	68.095
209.000000	68.055
212.000000	67.971
214.000000	67.922
218.000000	67.815
220.000000	67.729
224.000000	67.620
227.000000	67.602
230.000000	67.600
233.000000	67.563
236.000000	67.424
240.000000	67.267
243.000000	67.168
247.000000	67.082
250.000000	67.013
254.000000	66.902
258.000000	66.950
262.000000	66.912
265.000000	66.756
269.000000	66.665
272.000000	66.645
276.000000	66.606
280.000000	66.586
285.000000	66.458
290.000000	66.305
295.000000	66.208
300.000000	66.110
304.000000	65.995
307.000000	65.951
311.000000	65.956
315.000000	65.933
320.000000	65.894
325.000000	65.787
330.000000	65.492
335.000000	65.333
340.000000	65.347
345.000000	65.454
350.000000	65.474
355.000000	65.430
360.000000	65.472
365.000000	65.586
370.000000	65.507
375.000000	65.297
382.000000	65.123
387.000000	65.083
395.000000	65.129
400.000000	65.184
406.000000	65.116
412.000000	65.061
418.000000	65.011
425.000000	64.993
431.000000	64.950
437.000000	64.903
444.000000	64.851
450.000000	64.799
455.000000	64.739
462.000000	64.623
468.000000	64.575
475.000000	64.541
482.000000	64.526
487.000000	64.460
494.000000	64.441
500.000000	64.522
508.000000	64.544
515.000000	64.406
522.000000	64.313
530.000000	64.313
538.000000	64.363
545.000000	64.381
552.000000	64.342
560.000000	64.305
570.000000	64.298
580.000000	64.255
590.000000	64.163
600.000000	64.191
608.000000	64.200
615.000000	64.202
622.000000	64.219
630.000000	64.266
640.000000	64.311
650.000000	64.353
660.000000	64.345
670.000000	64.382
680.000000	64.446
690.000000	64.580
700.000000	64.695
710.000000	64.752
720.000000	64.726
730.000000	64.766
740.000000	64.955
750.000000	65.129
762.000000	65.197
775.000000	65.235
788.000000	65.395
800.000000	65.582
812.000000	65.763
825.000000	65.966
838.000000	66.008
850.000000	66.090
862.000000	66.338
875.000000	66.578
885.000000	66.670
900.000000	66.816
912.000000	67.012
925.000000	67.250
938.000000	67.336
950.000000	67.399
962.000000	67.509
975.000000	67.734
988.000000	67.869
1000.000000	67.949
1015.000000	68.162
1030.000000	68.351
1044.000000	68.556
1060.000000	68.715
1075.000000	68.815
1090.000000	68.878
1106.000000	69.049
1120.000000	69.178
1138.000000	69.225
1150.000000	69.302
1172.000000	69.530
1180.000000	69.599
1206.000000	69.696
1220.000000	69.700
1241.000000	69.700
1250.000000	69.700
1265.000000	69.704
1280.000000	69.734
1315.000000	69.915
1320.000000	69.937
1340.000000	70.032
1360.000000	70.019
1380.000000	70.002
1400.000000	70.000
1430.000000	70.000
1450.000000	69.994
1475.000000	69.963
1500.000000	70.037
1525.000000	70.075
1550.000000	70.024
1575.000000	70.064
1600.000000	70.170
1625.000000	70.158
1650.000000	70.115
1675.000000	70.148
1700.000000	70.186
1725.000000	70.152
1750.000000	70.129
1775.000000	70.240
1800.000000	70.341
1825.000000	70.396
1850.000000	70.479
1875.000000	70.507
1900.000000	70.561
1925.000000	70.640
1950.000000	70.664
1975.000000	70.744
2000.000000	70.807
2030.000000	70.893
2060.000000	71.029
2090.000000	71.108
2120.000000	71.165
2140.000000	71.191
2180.000000	71.235
2200.000000	71.316
2240.000000	71.429
2270.000000	71.414
2300.000000	71.450
2330.000000	71.522
2360.000000	71.558
2400.000000	71.593
2430.000000	71.668
2470.000000	71.659
2500.000000	71.619
2540.000000	71.637
2580.000000	71.690
2620.000000	71.706
2650.000000	71.737
2690.000000	71.823
2720.000000	71.877
2760.000000	71.900
2800.000000	71.928
2850.000000	72.062
2900.000000	72.231
2950.000000	72.284
3000.000000	72.232
3040.000000	72.191
3070.000000	72.156
3110.000000	72.108
3150.000000	72.066
3200.000000	71.973
3250.000000	71.871
3300.000000	71.810
3350.000000	71.788
3400.000000	71.692
3450.000000	71.519
3500.000000	71.416
3550.000000	71.395
3600.000000	71.360
3650.000000	71.354
3700.000000	71.390
3750.000000	71.403
3820.000000	71.469
3870.000000	71.599
3950.000000	71.872
4000.000000	72.020
4060.000000	72.111
4120.000000	72.227
4180.000000	72.477
4250.000000	72.667
4310.000000	72.716
4370.000000	72.750
4440.000000	72.658
4500.000000	72.423
4550.000000	72.182
4620.000000	71.884
4680.000000	71.318
4750.000000	70.467
4820.000000	69.735
4870.000000	69.376
4940.000000	68.939
5000.000000	68.160
5080.000000	66.802
5150.000000	66.126
5220.000000	65.790
5300.000000	65.162
5380.000000	64.596
5450.000000	64.487
5520.000000	64.571
5600.000000	64.765
5700.000000	65.715
5800.000000	67.048
5900.000000	67.693
6000.000000	68.608
6080.000000	69.763
6150.000000	70.594
6220.000000	71.150
6300.000000	71.520
6400.000000	71.738
6500.000000	71.866
6600.000000	71.729
6700.000000	71.611
6800.000000	71.534
6900.000000	71.363
7000.000000	71.225
7100.000000	71.210
7200.000000	71.287
7300.000000	71.585
7400.000000	72.033
7500.000000	72.473
7620.000000	72.923
7750.000000	73.746
7880.000000	74.834
8000.000000	75.463
8120.000000	75.720
8250.000000	75.789
8380.000000	75.328
8500.000000	74.587
8620.000000	73.880
8750.000000	73.301
8850.000000	72.482
9000.000000	71.360
9120.000000	70.893
9250.000000	70.662
9380.000000	70.463
9500.000000	70.409
9620.000000	70.546
9750.000000	70.679
9880.000000	70.701
10000.000000	70.488
10150.000000	69.635
10300.000000	68.461
10440.000000	67.626
10600.000000	67.229
10750.000000	67.018
10900.000000	67.278
11060.000000	67.766
11200.000000	68.384
11380.000000	69.954
11500.000000	70.882
11720.000000	72.242
11800.000000	72.610
12060.000000	73.454
12200.000000	74.118
12410.000000	74.497
12500.000000	74.472
12650.000000	74.374
12800.000000	74.129
13150.000000	72.744
13200.000000	72.496
13400.000000	71.668
13600.000000	70.070
13800.000000	67.327
14000.000000	64.984
14300.000000	62.451
14500.000000	61.474
14750.000000	59.082
15000.000000	56.566
15250.000000	55.025
15500.000000	53.574
15750.000000	51.598
16000.000000	50.342
16250.000000	49.513
16500.000000	49.108
16750.000000	48.651
17000.000000	48.280
17250.000000	48.132
17500.000000	48.081
17750.000000	48.005
18000.000000	47.880
18250.000000	47.687
18500.000000	47.271
18750.000000	45.658
19000.000000	42.656
19250.000000	38.496
19500.000000	32.875
19750.000000	25.564
