* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 4:28:30
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_AET07
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	75.002	-137.4001
20.600000	75.037	-137.7017
20.900000	75.105	-138.2665
21.200001	75.155	-138.8670
21.400000	75.177	-139.2683
21.799999	75.202	-140.0511
22.000000	75.210	-140.4240
22.400000	75.224	-141.1329
22.700001	75.238	-141.6699
23.000000	75.254	-142.2501
23.299999	75.267	-142.8749
23.600000	75.274	-143.5183
24.000000	75.275	-144.3441
24.299999	75.275	-144.8974
24.700001	75.280	-145.5321
25.000000	75.294	-145.9485
25.400000	75.327	-146.4621
25.799999	75.376	-146.9666
26.200001	75.438	-147.4944
26.500000	75.489	-147.9260
26.900000	75.555	-148.5686
27.200001	75.598	-149.0979
27.600000	75.639	-149.8298
28.000000	75.662	-150.5200
28.500000	75.679	-151.2509
29.000000	75.703	-151.8927
29.500000	75.733	-152.5910
30.000000	75.750	-153.3945
30.400000	75.743	-154.0282
30.700001	75.729	-154.4381
31.100000	75.710	-154.8636
31.500000	75.705	-155.1870
32.000000	75.727	-155.5822
32.500000	75.766	-156.0979
33.000000	75.803	-156.7390
33.500000	75.828	-157.4083
34.000000	75.843	-158.0135
34.500000	75.857	-158.5374
35.000000	75.873	-159.0122
35.500000	75.889	-159.4688
36.000000	75.903	-159.9112
36.500000	75.915	-160.3323
37.000000	75.925	-160.7331
37.500000	75.937	-161.1291
38.200001	75.961	-161.7433
38.700001	75.978	-162.2846
39.500000	75.981	-163.3239
40.000000	75.961	-163.9462
40.599998	75.931	-164.5181
41.200001	75.922	-164.9279
41.799999	75.936	-165.3069
42.500000	75.968	-165.7441
43.099998	76.009	-166.0734
43.700001	76.066	-166.4819
44.400002	76.110	-167.2236
45.000000	76.079	-167.9042
45.500000	76.008	-168.2046
46.200001	75.911	-168.0467
46.799999	75.893	-167.7000
47.500000	75.935	-167.7338
48.200001	75.947	-168.3674
48.700001	75.912	-168.8831
49.400002	75.854	-169.3416
50.000000	75.856	-169.7089
50.799999	75.892	-170.8135
51.500000	75.837	-172.0696
52.200001	75.714	-172.5789
53.000000	75.705	-172.1121
53.799999	75.892	-172.1327
54.500000	76.019	-173.1473
55.200001	76.008	-174.1691
56.000000	75.943	-174.5345
57.000000	75.934	-174.6453
58.000000	75.922	-175.0226
59.000000	75.895	-175.5132
60.000000	75.840	-176.1468
60.799999	75.792	-176.5324
61.500000	75.770	-176.8355
62.200001	75.758	-177.1584
63.000000	75.750	-177.4527
64.000000	75.769	-177.7597
65.000000	75.793	-178.2084
66.000000	75.783	-178.6837
67.000000	75.750	-179.0367
68.000000	75.710	-179.3185
69.000000	75.673	-179.5685
70.000000	75.649	-179.8553
71.000000	75.629	179.7708
72.000000	75.610	179.4192
73.000000	75.599	179.0783
74.000000	75.587	178.7133
75.000000	75.568	178.3461
76.199997	75.526	177.8866
77.500000	75.462	177.4698
78.800003	75.400	177.0638
80.000000	75.340	176.7325
81.199997	75.304	176.5399
82.500000	75.305	176.2250
83.800003	75.296	175.7419
85.000000	75.273	175.3423
86.199997	75.244	174.9927
87.500000	75.211	174.6909
88.500000	75.193	174.4686
90.000000	75.162	174.0840
91.199997	75.124	173.8362
92.500000	75.086	173.6607
93.800003	75.052	173.4419
95.000000	75.011	173.1913
96.199997	74.966	172.9435
97.500000	74.926	172.6656
98.800003	74.893	172.3099
100.000000	74.853	172.0135
101.500000	74.811	171.8420
103.000000	74.791	171.7014
104.400002	74.771	171.4421
106.000000	74.723	171.0921
107.500000	74.675	170.8552
109.000000	74.643	170.6255
110.599998	74.610	170.3818
112.000000	74.576	170.2308
113.800003	74.528	170.0369
115.000000	74.486	169.8382
117.199997	74.406	169.3668
118.000000	74.381	169.1404
120.599998	74.282	168.6073
122.000000	74.255	168.6335
124.099998	74.229	168.6825
125.000000	74.211	168.7083
126.500000	74.168	168.7021
128.000000	74.109	168.6163
131.500000	73.975	168.2065
132.000000	73.959	168.1182
134.000000	73.900	167.7991
136.000000	73.852	167.6096
138.000000	73.807	167.4800
140.000000	73.740	167.4591
143.000000	73.624	167.6676
145.000000	73.532	167.7426
147.500000	73.391	167.7873
150.000000	73.276	167.9929
152.500000	73.234	168.5481
155.000000	73.228	169.5070
157.500000	73.234	170.5352
160.000000	73.278	170.8747
162.500000	73.360	170.5185
165.000000	73.451	170.1030
167.500000	73.493	169.8453
170.000000	73.468	169.5308
172.500000	73.428	169.0830
175.000000	73.404	168.6371
177.500000	73.377	168.3917
180.000000	73.334	168.2448
182.500000	73.276	168.0322
185.000000	73.208	167.7939
187.500000	73.143	167.6578
190.000000	73.090	167.6000
192.500000	73.040	167.5542
195.000000	72.990	167.5693
197.500000	72.952	167.5966
200.000000	72.910	167.5597
203.000000	72.851	167.4880
206.000000	72.798	167.3831
209.000000	72.747	167.3312
212.000000	72.698	167.3555
214.000000	72.663	167.3975
218.000000	72.597	167.5681
220.000000	72.567	167.6393
224.000000	72.507	167.7413
227.000000	72.472	167.8127
230.000000	72.443	167.8829
233.000000	72.412	167.9430
236.000000	72.362	167.9909
240.000000	72.276	168.1350
243.000000	72.215	168.2213
247.000000	72.150	168.3720
250.000000	72.110	168.5560
254.000000	72.058	168.7542
258.000000	72.015	168.8588
262.000000	71.965	169.0628
265.000000	71.924	169.2199
269.000000	71.886	169.4309
272.000000	71.862	169.6251
276.000000	71.829	169.8251
280.000000	71.796	169.9499
285.000000	71.750	170.0636
290.000000	71.699	170.2093
295.000000	71.644	170.5156
300.000000	71.607	170.8528
304.000000	71.582	170.9918
307.000000	71.551	171.0646
311.000000	71.507	171.2068
315.000000	71.481	171.3745
320.000000	71.452	171.6417
325.000000	71.415	171.9431
330.000000	71.381	172.1285
335.000000	71.340	172.3387
340.000000	71.299	172.6277
345.000000	71.257	172.9246
350.000000	71.224	173.2236
355.000000	71.191	173.5073
360.000000	71.152	173.7823
365.000000	71.113	174.0338
370.000000	71.082	174.2880
375.000000	71.054	174.5862
382.000000	71.005	175.0085
387.000000	70.972	175.2443
395.000000	70.923	175.6436
400.000000	70.887	175.9706
406.000000	70.844	176.3293
412.000000	70.805	176.6818
418.000000	70.774	177.0252
425.000000	70.749	177.4300
431.000000	70.724	177.7519
437.000000	70.699	178.0682
444.000000	70.673	178.4616
450.000000	70.641	178.8564
455.000000	70.611	179.2080
462.000000	70.575	179.6406
468.000000	70.557	179.9624
475.000000	70.535	-179.6027
482.000000	70.509	-179.1836
487.000000	70.490	-178.9525
494.000000	70.464	-178.6574
500.000000	70.445	-178.3836
508.000000	70.424	-177.8933
515.000000	70.406	-177.4628
522.000000	70.392	-177.0457
530.000000	70.380	-176.5714
538.000000	70.369	-176.0410
545.000000	70.352	-175.5785
552.000000	70.334	-175.1622
560.000000	70.315	-174.7348
570.000000	70.296	-174.1470
580.000000	70.271	-173.5342
590.000000	70.259	-172.9641
600.000000	70.257	-172.3586
608.000000	70.244	-171.8543
615.000000	70.224	-171.4212
622.000000	70.206	-170.9901
630.000000	70.197	-170.5102
640.000000	70.185	-169.9169
650.000000	70.182	-169.2533
660.000000	70.190	-168.6077
670.000000	70.190	-167.9768
680.000000	70.192	-167.3531
690.000000	70.186	-166.6952
700.000000	70.181	-166.0638
710.000000	70.181	-165.4551
720.000000	70.181	-164.8311
730.000000	70.178	-164.2216
740.000000	70.186	-163.5482
750.000000	70.198	-162.8937
762.000000	70.207	-162.1596
775.000000	70.223	-161.3599
788.000000	70.245	-160.4754
800.000000	70.266	-159.6338
812.000000	70.291	-158.8639
825.000000	70.320	-158.0215
838.000000	70.353	-157.1317
850.000000	70.396	-156.3158
862.000000	70.447	-155.4956
875.000000	70.506	-154.6366
885.000000	70.559	-153.9411
900.000000	70.670	-152.9947
912.000000	70.756	-152.5273
925.000000	70.813	-152.0412
938.000000	70.862	-151.3778
950.000000	70.921	-150.7121
962.000000	70.991	-150.0758
975.000000	71.069	-149.4309
988.000000	71.142	-148.7616
1000.000000	71.213	-148.1324
1015.000000	71.332	-147.4524
1030.000000	71.458	-146.7652
1044.000000	71.577	-146.1661
1060.000000	71.718	-145.5618
1075.000000	71.852	-145.0538
1090.000000	71.997	-144.6516
1106.000000	72.164	-144.2814
1120.000000	72.313	-144.0634
1138.000000	72.499	-143.9183
1150.000000	72.613	-143.8670
1172.000000	72.804	-143.8319
1180.000000	72.870	-143.8504
1206.000000	73.073	-144.0063
1220.000000	73.173	-144.0851
1241.000000	73.311	-144.2399
1250.000000	73.365	-144.3092
1265.000000	73.452	-144.3990
1280.000000	73.537	-144.4767
1315.000000	73.714	-144.7260
1320.000000	73.737	-144.7572
1340.000000	73.830	-144.8339
1360.000000	73.919	-144.8771
1380.000000	74.004	-144.9399
1400.000000	74.087	-144.9970
1430.000000	74.216	-145.0716
1450.000000	74.306	-145.1115
1475.000000	74.415	-145.1452
1500.000000	74.518	-145.1563
1525.000000	74.617	-145.1873
1550.000000	74.718	-145.2145
1575.000000	74.820	-145.2189
1600.000000	74.920	-145.2310
1625.000000	75.018	-145.2518
1650.000000	75.118	-145.2812
1675.000000	75.218	-145.2965
1700.000000	75.318	-145.3168
1725.000000	75.417	-145.3340
1750.000000	75.515	-145.3736
1775.000000	75.615	-145.4447
1800.000000	75.713	-145.5036
1825.000000	75.812	-145.5721
1850.000000	75.914	-145.6664
1875.000000	76.013	-145.7712
1900.000000	76.109	-145.8920
1925.000000	76.205	-146.0178
1950.000000	76.300	-146.1533
1975.000000	76.396	-146.3136
2000.000000	76.495	-146.4800
2030.000000	76.612	-146.6746
2060.000000	76.727	-146.9195
2090.000000	76.840	-147.2141
2120.000000	76.952	-147.5195
2140.000000	77.025	-147.7219
2180.000000	77.171	-148.1803
2200.000000	77.242	-148.4298
2240.000000	77.382	-148.9540
2270.000000	77.484	-149.3687
2300.000000	77.583	-149.7908
2330.000000	77.679	-150.2367
2360.000000	77.774	-150.7078
2400.000000	77.898	-151.3639
2430.000000	77.986	-151.8737
2470.000000	78.099	-152.5697
2500.000000	78.182	-153.1196
2540.000000	78.289	-153.8775
2580.000000	78.392	-154.6601
2620.000000	78.486	-155.4668
2650.000000	78.552	-156.0880
2690.000000	78.635	-156.9340
2720.000000	78.693	-157.5803
2760.000000	78.763	-158.4451
2800.000000	78.827	-159.3239
2850.000000	78.901	-160.4284
2900.000000	78.968	-161.5360
2950.000000	79.028	-162.6542
3000.000000	79.076	-163.7690
3040.000000	79.107	-164.6586
3070.000000	79.129	-165.3210
3110.000000	79.155	-166.1974
3150.000000	79.178	-167.0727
3200.000000	79.200	-168.1678
3250.000000	79.216	-169.2578
3300.000000	79.224	-170.3314
3350.000000	79.226	-171.4117
3400.000000	79.225	-172.4957
3450.000000	79.224	-173.5710
3500.000000	79.224	-174.6255
3550.000000	79.219	-175.6787
3600.000000	79.208	-176.7247
3650.000000	79.190	-177.7706
3700.000000	79.165	-178.8108
3750.000000	79.135	-179.8380
3820.000000	79.080	178.7426
3870.000000	79.026	177.7489
3950.000000	78.920	176.2262
4000.000000	78.847	175.3450
4060.000000	78.759	174.3329
4120.000000	78.674	173.3167
4180.000000	78.584	172.2673
4250.000000	78.463	171.0158
4310.000000	78.341	169.9527
4370.000000	78.196	168.9333
4440.000000	78.008	167.8120
4500.000000	77.834	166.9182
4550.000000	77.681	166.2153
4620.000000	77.457	165.3114
4680.000000	77.258	164.6272
4750.000000	77.020	163.9391
4820.000000	76.775	163.3679
4870.000000	76.595	163.0305
4940.000000	76.338	162.6785
5000.000000	76.118	162.4850
5080.000000	75.833	162.3611
5150.000000	75.589	162.3705
5220.000000	75.350	162.4737
5300.000000	75.084	162.7057
5380.000000	74.825	163.0643
5450.000000	74.606	163.4618
5520.000000	74.397	163.9324
5600.000000	74.173	164.5753
5700.000000	73.916	165.4901
5800.000000	73.681	166.5346
5900.000000	73.470	167.6970
6000.000000	73.287	168.9448
6080.000000	73.170	169.9865
6150.000000	73.090	170.9455
6220.000000	73.027	171.9285
6300.000000	72.969	173.0391
6400.000000	72.924	174.4127
6500.000000	72.915	175.7614
6600.000000	72.953	177.0892
6700.000000	73.036	178.3336
6800.000000	73.170	179.4322
6900.000000	73.367	-179.6396
7000.000000	73.626	-178.9560
7100.000000	73.930	-178.5589
7200.000000	74.271	-178.5187
7300.000000	74.645	-178.8994
7400.000000	75.045	-179.7694
7500.000000	75.463	178.7982
7620.000000	75.988	176.2025
7750.000000	76.545	172.0251
7880.000000	76.939	166.1853
8000.000000	77.068	159.3818
8120.000000	76.904	151.7581
8250.000000	76.361	143.6540
8380.000000	75.485	136.7659
8500.000000	74.471	131.9845
8620.000000	73.354	128.7800
8750.000000	72.103	126.9433
8850.000000	71.152	126.5303
9000.000000	69.791	127.0917
9120.000000	68.772	128.2269
9250.000000	67.720	130.1057
9380.000000	66.713	132.5992
9500.000000	65.836	135.3713
9620.000000	65.006	138.6339
9750.000000	64.171	142.6176
9880.000000	63.403	147.0063
10000.000000	62.743	151.5184
10150.000000	61.993	157.8281
10300.000000	61.366	165.0840
10440.000000	60.955	172.7041
10600.000000	60.789	-178.0005
10750.000000	60.988	-169.4382
10900.000000	61.501	-161.9208
11060.000000	62.264	-156.1805
11200.000000	62.940	-153.3837
11380.000000	63.616	-151.9326
11500.000000	63.908	-151.5952
11720.000000	64.181	-150.9081
11800.000000	64.231	-150.4312
12060.000000	64.340	-147.7108
12200.000000	64.405	-145.6633
12410.000000	64.567	-142.1180
12500.000000	64.673	-140.4954
12650.000000	64.919	-137.7401
12800.000000	65.261	-134.9823
13150.000000	66.489	-129.3342
13200.000000	66.716	-128.7061
13400.000000	67.767	-126.9068
13600.000000	69.054	-126.8073
13800.000000	70.522	-129.4175
14000.000000	71.965	-135.9039
14300.000000	73.331	-153.6501
14500.000000	73.317	-168.0384
14750.000000	72.297	176.9716
15000.000000	70.698	168.2015
15250.000000	69.119	164.4964
15500.000000	67.890	163.6000
15750.000000	67.073	163.9538
16000.000000	66.619	164.5380
16250.000000	66.460	164.2409
16500.000000	66.484	162.0292
16750.000000	66.480	157.2829
17000.000000	66.191	150.4283
17250.000000	65.457	143.1521
17500.000000	64.336	137.3707
17750.000000	63.017	133.9760
18000.000000	61.671	132.4983
18250.000000	60.339	132.1208
18500.000000	58.930	133.3571
18750.000000	57.558	137.2977
19000.000000	56.498	142.7989
19250.000000	55.740	148.2363
19500.000000	55.189	153.1095
19750.000000	54.802	157.0682
20000.000000	54.563	159.3875
