* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 4:29:46
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_AET07
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	74.745	-137.0063
20.600000	74.784	-137.1355
20.900000	74.869	-137.3983
21.200001	74.959	-137.7457
21.400000	75.017	-138.0469
21.799999	75.122	-138.8134
22.000000	75.165	-139.2580
22.400000	75.227	-140.1827
22.700001	75.258	-140.8405
23.000000	75.283	-141.4349
23.299999	75.312	-141.9798
23.600000	75.347	-142.5056
24.000000	75.403	-143.2273
24.299999	75.448	-143.8051
24.700001	75.504	-144.6115
25.000000	75.539	-145.2141
25.400000	75.579	-145.9754
25.799999	75.615	-146.6686
26.200001	75.652	-147.3080
26.500000	75.680	-147.7721
26.900000	75.714	-148.3891
27.200001	75.735	-148.8506
27.600000	75.754	-149.4472
28.000000	75.767	-149.9967
28.500000	75.785	-150.6159
29.000000	75.811	-151.2345
29.500000	75.837	-151.9336
30.000000	75.847	-152.6845
30.400000	75.843	-153.2332
30.700001	75.839	-153.5786
31.100000	75.843	-153.9673
31.500000	75.865	-154.3490
32.000000	75.906	-154.9441
32.500000	75.938	-155.6830
33.000000	75.948	-156.4159
33.500000	75.950	-157.0158
34.000000	75.962	-157.5161
34.500000	75.982	-158.0348
35.000000	75.993	-158.5929
35.500000	75.990	-159.0947
36.000000	75.986	-159.4773
36.500000	75.997	-159.8083
37.000000	76.020	-160.2131
37.500000	76.040	-160.7346
38.200001	76.045	-161.5574
38.700001	76.036	-162.1367
39.500000	76.009	-162.9866
40.000000	75.993	-163.4232
40.599998	75.993	-163.8575
41.200001	76.021	-164.3529
41.799999	76.050	-165.0248
42.500000	76.046	-165.8118
43.099998	76.030	-166.1770
43.700001	76.053	-166.3303
44.400002	76.127	-166.6920
45.000000	76.174	-167.2846
45.500000	76.178	-167.7704
46.200001	76.167	-168.2012
46.799999	76.179	-168.4782
47.500000	76.201	-169.0168
48.200001	76.185	-169.7107
48.700001	76.147	-170.1152
49.400002	76.088	-170.4300
50.000000	76.059	-170.5403
50.799999	76.065	-170.6869
51.500000	76.098	-171.0079
52.200001	76.125	-171.5569
53.000000	76.122	-172.2637
53.799999	76.098	-172.8161
