* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 4:27:47
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_AEX70
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	75.075	-138.5451
20.600000	75.062	-138.8303
20.900000	75.044	-139.2770
21.200001	75.054	-139.5631
21.400000	75.076	-139.7379
21.799999	75.145	-140.2130
22.000000	75.182	-140.5569
22.400000	75.239	-141.4123
22.700001	75.263	-142.0984
23.000000	75.276	-142.7407
23.299999	75.287	-143.3181
23.600000	75.304	-143.8514
24.000000	75.338	-144.5485
24.299999	75.368	-145.0884
24.700001	75.407	-145.8133
25.000000	75.433	-146.3240
25.400000	75.469	-146.9305
25.799999	75.514	-147.4845
26.200001	75.567	-148.0625
26.500000	75.601	-148.5335
26.900000	75.628	-149.1728
27.200001	75.633	-149.5960
27.600000	75.629	-150.0081
28.000000	75.634	-150.2457
28.500000	75.675	-150.4795
29.000000	75.745	-150.9243
29.500000	75.804	-151.6725
30.000000	75.825	-152.5688
30.400000	75.817	-153.2536
30.700001	75.805	-153.7146
31.100000	75.788	-154.2695
31.500000	75.776	-154.7905
32.000000	75.768	-155.4454
32.500000	75.765	-156.1297
33.000000	75.764	-156.8308
33.500000	75.764	-157.5080
34.000000	75.769	-158.1257
34.500000	75.784	-158.7086
35.000000	75.804	-159.3210
35.500000	75.815	-159.9624
36.000000	75.808	-160.5082
36.500000	75.797	-160.8324
37.000000	75.812	-160.9821
37.500000	75.861	-161.1633
38.200001	75.935	-161.7208
38.700001	75.961	-162.2174
39.500000	75.988	-162.8336
40.000000	76.023	-163.2455
40.599998	76.061	-164.0128
41.200001	76.043	-164.9522
41.799999	75.969	-165.6343
42.500000	75.900	-165.8972
43.099998	75.906	-166.0933
43.700001	75.920	-166.6158
44.400002	75.876	-167.2996
45.000000	75.815	-167.4729
45.500000	75.807	-167.3963
46.200001	75.866	-167.5146
46.799999	75.916	-168.0690
47.500000	75.908	-168.8881
48.200001	75.850	-169.4241
48.700001	75.813	-169.5428
49.400002	75.813	-169.4963
50.000000	75.872	-169.6010
50.799999	75.961	-170.3249
51.500000	75.976	-171.1842
52.200001	75.958	-171.7772
53.000000	75.966	-172.2699
53.799999	75.979	-172.9345
54.500000	75.957	-173.5207
