* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 4:25:48
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_AEX70
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	74.941	-138.0841
20.600000	74.955	-138.2999
20.900000	74.989	-138.6664
21.200001	75.032	-138.9803
21.400000	75.066	-139.1986
21.799999	75.138	-139.7375
22.000000	75.173	-140.0773
22.400000	75.230	-140.8667
22.700001	75.259	-141.5013
23.000000	75.280	-142.1291
23.299999	75.296	-142.7322
23.600000	75.314	-143.3102
24.000000	75.341	-144.0518
24.299999	75.367	-144.5951
24.700001	75.405	-145.3058
25.000000	75.437	-145.8275
25.400000	75.483	-146.5081
25.799999	75.530	-147.1736
26.200001	75.577	-147.8185
26.500000	75.609	-148.2785
26.900000	75.650	-148.8480
27.200001	75.680	-149.2438
27.600000	75.724	-149.7518
28.000000	75.773	-150.2827
28.500000	75.833	-151.0394
29.000000	75.876	-151.9020
29.500000	75.893	-152.7956
30.000000	75.889	-153.6192
30.400000	75.879	-154.1934
30.700001	75.874	-154.5815
31.100000	75.872	-155.0758
31.500000	75.874	-155.5792
32.000000	75.874	-156.2368
32.500000	75.863	-156.8606
33.000000	75.849	-157.3532
33.500000	75.852	-157.7151
34.000000	75.876	-158.0662
34.500000	75.905	-158.5038
35.000000	75.920	-158.9773
35.500000	75.924	-159.3583
36.000000	75.938	-159.6360
36.500000	75.973	-159.9597
37.000000	76.010	-160.4746
37.500000	76.023	-161.1415
38.200001	75.993	-161.9944
38.700001	75.967	-162.4191
39.500000	75.973	-163.0304
40.000000	75.997	-163.5305
40.599998	76.026	-164.2265
41.200001	76.056	-164.9102
41.799999	76.099	-165.5955
42.500000	76.155	-166.5628
43.099998	76.164	-167.5052
43.700001	76.116	-168.2236
44.400002	76.039	-168.4378
45.000000	76.016	-168.2000
45.500000	76.046	-167.9825
46.200001	76.137	-168.0012
46.799999	76.221	-168.5214
47.500000	76.250	-169.7037
48.200001	76.150	-170.9239
48.700001	76.027	-171.3616
49.400002	75.895	-171.2697
50.000000	75.878	-171.0699
50.799999	75.923	-171.3280
51.500000	75.937	-171.8257
52.200001	75.939	-172.1929
53.000000	75.962	-172.5345
53.799999	75.985	-172.9942
54.500000	75.981	-173.4429
55.200001	75.951	-173.8150
56.000000	75.907	-174.0320
57.000000	75.892	-174.2328
58.000000	75.883	-174.7964
59.000000	75.845	-175.3284
60.000000	75.846	-175.8505
60.799999	75.847	-176.5018
61.500000	75.824	-177.0456
62.200001	75.795	-177.4227
63.000000	75.777	-177.6960
64.000000	75.791	-177.9951
65.000000	75.821	-178.5582
66.000000	75.801	-179.2830
67.000000	75.751	-179.7176
68.000000	75.725	179.9865
69.000000	75.704	179.6223
70.000000	75.673	179.1838
71.000000	75.604	178.7232
72.000000	75.511	178.5134
73.000000	75.440	178.4034
74.000000	75.376	178.2309
75.000000	75.329	178.1162
76.199997	75.321	177.8284
77.500000	75.319	177.2238
78.800003	75.294	176.6849
80.000000	75.299	176.3926
81.199997	75.335	175.7246
82.500000	75.290	174.7678
83.800003	75.225	174.2930
85.000000	75.209	174.0490
86.199997	75.213	173.7224
87.500000	75.147	173.5273
88.500000	75.083	173.8997
90.000000	75.042	174.4836
91.199997	74.983	174.7179
92.500000	74.936	174.9280
93.800003	74.929	174.6152
95.000000	74.891	173.9750
96.199997	74.838	173.5085
97.500000	74.806	173.1730
98.800003	74.791	172.8531
100.000000	74.773	172.5024
101.500000	74.740	172.1405
103.000000	74.720	171.7448
104.400002	74.672	171.4431
106.000000	74.612	171.3953
107.500000	74.555	171.3154
109.000000	74.492	171.1061
110.599998	74.448	170.7237
112.000000	74.434	170.3914
113.800003	74.426	170.2966
115.000000	74.389	170.4984
117.199997	74.150	171.5240
118.000000	74.025	172.2194
120.599998	73.968	173.7455
122.000000	74.011	172.2506
124.099998	73.938	170.1721
125.000000	73.922	169.8106
126.500000	73.924	169.6954
128.000000	73.921	169.8603
131.500000	73.865	170.2675
132.000000	73.864	170.2931
134.000000	73.893	170.4114
136.000000	73.948	170.6262
138.000000	73.979	170.8521
140.000000	73.976	170.9041
143.000000	73.915	170.4939
145.000000	73.866	170.1633
147.500000	73.850	169.8012
150.000000	73.857	169.3113
152.500000	73.838	169.0300
155.000000	73.799	168.8795
157.500000	73.739	168.6238
160.000000	73.677	168.2961
162.500000	73.626	168.0522
165.000000	73.587	167.8843
167.500000	73.544	167.7038
170.000000	73.494	167.5609
172.500000	73.450	167.4399
175.000000	73.405	167.3007
177.500000	73.353	167.2276
180.000000	73.297	167.2216
182.500000	73.240	167.2094
185.000000	73.186	167.2041
187.500000	73.135	167.2059
190.000000	73.075	167.2395
192.500000	73.021	167.2624
195.000000	72.983	167.2101
197.500000	72.949	167.1318
200.000000	72.907	167.1305
203.000000	72.858	167.1853
206.000000	72.814	167.2772
209.000000	72.767	167.4699
212.000000	72.721	167.5698
214.000000	72.694	167.4830
218.000000	72.643	167.3199
220.000000	72.620	167.3483
224.000000	72.566	167.5360
227.000000	72.520	167.6509
230.000000	72.462	167.6826
233.000000	72.407	167.7344
236.000000	72.369	167.8014
240.000000	72.329	167.8416
243.000000	72.289	167.8670
247.000000	72.223	168.0436
250.000000	72.185	168.2056
254.000000	72.138	168.3444
258.000000	72.081	168.4873
262.000000	72.033	168.5882
265.000000	71.992	168.6499
269.000000	71.939	168.8112
272.000000	71.906	168.9709
276.000000	71.853	169.1715
280.000000	71.797	169.3462
285.000000	71.746	169.5148
290.000000	71.694	169.7076
295.000000	71.639	169.9314
300.000000	71.586	170.1547
304.000000	71.561	170.3819
307.000000	71.549	170.5413
311.000000	71.533	170.7450
315.000000	71.504	170.9673
320.000000	71.454	171.2365
325.000000	71.413	171.4740
330.000000	71.378	171.6761
335.000000	71.344	171.9382
340.000000	71.308	172.2375
345.000000	71.273	172.5372
350.000000	71.237	172.7935
355.000000	71.204	173.0225
360.000000	71.169	173.2714
365.000000	71.123	173.5303
370.000000	71.080	173.8246
375.000000	71.050	174.1423
382.000000	71.001	174.5767
387.000000	70.961	174.8419
395.000000	70.910	175.2687
400.000000	70.870	175.6072
406.000000	70.835	176.0190
412.000000	70.806	176.2853
418.000000	70.777	176.5518
425.000000	70.747	176.9883
431.000000	70.718	177.3279
437.000000	70.697	177.6464
444.000000	70.657	178.0663
450.000000	70.616	178.4141
455.000000	70.593	178.7032
462.000000	70.581	179.1525
468.000000	70.568	179.5364
475.000000	70.536	179.8766
482.000000	70.509	-179.7844
487.000000	70.499	-179.5015
494.000000	70.478	-179.1092
500.000000	70.452	-178.7834
508.000000	70.430	-178.2932
515.000000	70.414	-177.8557
522.000000	70.399	-177.4564
530.000000	70.379	-176.9989
538.000000	70.355	-176.5364
545.000000	70.337	-176.0776
552.000000	70.328	-175.6309
560.000000	70.318	-175.1336
570.000000	70.294	-174.5231
580.000000	70.271	-173.9451
590.000000	70.258	-173.3632
600.000000	70.242	-172.7737
608.000000	70.231	-172.3392
615.000000	70.228	-171.9599
622.000000	70.226	-171.5458
630.000000	70.226	-171.0411
640.000000	70.220	-170.3875
650.000000	70.210	-169.7300
660.000000	70.198	-169.1596
670.000000	70.181	-168.5662
680.000000	70.168	-167.8923
690.000000	70.171	-167.2636
