* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 4:17:28
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Crystal
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	74.867	-136.7271
20.600000	74.935	-136.8748
20.900000	75.069	-137.2488
21.200001	75.182	-137.8964
21.400000	75.236	-138.4522
21.799999	75.288	-139.6878
22.000000	75.289	-140.2711
22.400000	75.259	-141.1990
22.700001	75.237	-141.6664
23.000000	75.235	-142.0170
23.299999	75.259	-142.3768
23.600000	75.299	-142.8262
24.000000	75.360	-143.6021
24.299999	75.398	-144.2578
24.700001	75.436	-145.1100
25.000000	75.463	-145.6848
25.400000	75.510	-146.3924
25.799999	75.570	-147.1345
26.200001	75.626	-147.9689
26.500000	75.653	-148.6164
26.900000	75.664	-149.4020
27.200001	75.664	-149.8651
27.600000	75.667	-150.2988
28.000000	75.693	-150.6264
28.500000	75.756	-151.1298
29.000000	75.814	-151.8750
29.500000	75.834	-152.7236
30.000000	75.823	-153.4160
30.400000	75.815	-153.7963
30.700001	75.822	-154.0267
31.100000	75.848	-154.3729
31.500000	75.882	-154.8430
32.000000	75.906	-155.5809
32.500000	75.899	-156.2814
33.000000	75.885	-156.7420
33.500000	75.903	-157.0019
34.000000	75.967	-157.3237
34.500000	76.048	-157.9380
35.000000	76.101	-158.8265
35.500000	76.106	-159.7551
36.000000	76.075	-160.4980
36.500000	76.037	-161.0004
37.000000	76.013	-161.3490
37.500000	76.005	-161.6408
38.200001	76.019	-162.0656
38.700001	76.047	-162.4810
39.500000	76.079	-163.5240
40.000000	76.059	-164.2672
40.599998	75.997	-164.9112
41.200001	75.951	-165.1629
41.799999	75.958	-165.2863
42.500000	76.009	-165.6326
43.099998	76.053	-166.0837
43.700001	76.094	-166.5740
44.400002	76.137	-167.2534
45.000000	76.150	-167.9501
45.500000	76.132	-168.5025
46.200001	76.081	-169.0567
46.799999	76.039	-169.3015
47.500000	76.023	-169.4558
48.200001	76.048	-169.6995
48.700001	76.078	-170.0432
49.400002	76.102	-170.7407
50.000000	76.094	-171.3505
50.799999	76.072	-171.9751
51.500000	76.062	-172.4376
52.200001	76.046	-172.8680
53.000000	76.019	-173.1186
53.799999	76.033	-173.1687
54.500000	76.077	-173.4228
55.200001	76.096	-173.9712
56.000000	76.061	-174.6127
57.000000	75.991	-175.1249
58.000000	75.934	-175.5742
59.000000	75.885	-175.9912
60.000000	75.868	-176.4200
60.799999	75.869	-176.8625
61.500000	75.873	-177.2519
62.200001	75.883	-177.6155
63.000000	75.899	-178.0459
64.000000	75.905	-178.5574
65.000000	75.898	-179.0107
66.000000	75.863	-179.4731
67.000000	75.799	-179.7916
68.000000	75.739	179.9749
69.000000	75.689	179.6818
70.000000	75.654	179.2912
71.000000	75.630	178.7523
72.000000	75.603	178.1288
73.000000	75.570	177.5773
74.000000	75.543	177.0858
75.000000	75.495	176.6356
76.199997	75.424	176.4865
77.500000	75.398	176.3908
78.800003	75.371	176.0470
80.000000	75.336	175.6838
81.199997	75.314	175.3643
82.500000	75.310	174.8626
83.800003	75.259	174.3702
85.000000	75.208	174.3531
86.199997	75.205	174.2752
87.500000	75.150	173.8983
88.500000	75.076	173.8537
90.000000	75.003	173.9437
91.199997	74.967	173.9576
92.500000	74.943	173.9218
93.800003	74.937	173.8256
95.000000	74.936	173.6137
96.199997	74.927	173.3549
97.500000	74.917	173.0416
98.800003	74.896	172.6931
100.000000	74.871	172.4284
101.500000	74.851	172.0878
103.000000	74.824	171.6791
104.400002	74.796	171.3026
106.000000	74.756	170.9176
107.500000	74.717	170.6602
109.000000	74.674	170.4200
110.599998	74.612	170.1566
112.000000	74.557	169.8949
113.800003	74.504	169.5065
115.000000	74.487	169.2973
117.199997	74.499	169.3108
118.000000	74.524	169.4148
