* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 4:13:15
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Final
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	75.052	-138.7035
20.600000	75.062	-138.9736
20.900000	75.087	-139.4519
21.200001	75.123	-139.9108
21.400000	75.150	-140.2379
21.799999	75.203	-140.9849
22.000000	75.223	-141.3997
22.400000	75.247	-142.2298
22.700001	75.257	-142.7861
23.000000	75.269	-143.2614
23.299999	75.291	-143.6828
23.600000	75.328	-144.0951
24.000000	75.395	-144.7025
24.299999	75.451	-145.2356
24.700001	75.523	-146.0484
25.000000	75.566	-146.7072
25.400000	75.603	-147.5959
25.799999	75.615	-148.4136
26.200001	75.607	-149.0666
26.500000	75.596	-149.4100
26.900000	75.591	-149.6844
27.200001	75.605	-149.8199
27.600000	75.651	-150.0488
28.000000	75.714	-150.4887
28.500000	75.772	-151.3836
29.000000	75.770	-152.3983
29.500000	75.723	-153.1781
30.000000	75.688	-153.6310
30.400000	75.697	-153.9355
30.700001	75.722	-154.2479
31.100000	75.757	-154.8414
31.500000	75.774	-155.5739
32.000000	75.761	-156.4513
32.500000	75.733	-157.0824
33.000000	75.730	-157.5080
33.500000	75.761	-157.9298
34.000000	75.804	-158.4713
34.500000	75.833	-159.0719
35.000000	75.850	-159.6191
35.500000	75.865	-160.0811
36.000000	75.887	-160.5142
36.500000	75.913	-160.9756
37.000000	75.938	-161.4918
37.500000	75.955	-162.0728
38.200001	75.952	-162.9606
38.700001	75.924	-163.5404
39.500000	75.873	-164.1402
40.000000	75.868	-164.3903
40.599998	75.889	-164.7878
41.200001	75.910	-165.3514
41.799999	75.915	-165.9274
42.500000	75.924	-166.5122
43.099998	75.942	-167.0682
43.700001	75.944	-167.7219
44.400002	75.913	-168.4112
45.000000	75.875	-168.7961
45.500000	75.855	-169.0107
46.200001	75.850	-169.2917
46.799999	75.859	-169.5960
47.500000	75.874	-170.0402
48.200001	75.886	-170.5307
48.700001	75.895	-170.8756
49.400002	75.912	-171.3632
50.000000	75.925	-171.8201
50.799999	75.925	-172.4163
51.500000	75.914	-172.8057
52.200001	75.912	-173.1033
53.000000	75.917	-173.4861
53.799999	75.904	-173.9389
54.500000	75.875	-174.3056
55.200001	75.839	-174.6017
56.000000	75.806	-174.9165
57.000000	75.769	-175.4231
58.000000	75.714	-175.9606
59.000000	75.663	-176.3161
60.000000	75.662	-176.6395
60.799999	75.685	-177.1382
61.500000	75.692	-177.7556
62.200001	75.672	-178.3746
63.000000	75.631	-178.9191
64.000000	75.585	-179.3636
65.000000	75.557	-179.6804
66.000000	75.544	-179.9114
67.000000	75.555	179.8222
68.000000	75.562	179.3448
69.000000	75.537	178.7951
70.000000	75.488	178.2860
71.000000	75.420	177.9490
72.000000	75.376	177.8561
73.000000	75.375	177.6888
74.000000	75.375	177.3415
75.000000	75.355	176.9772
76.199997	75.311	176.6771
77.500000	75.261	176.3657
78.800003	75.177	176.0025
80.000000	75.101	175.8027
81.199997	75.066	175.4973
82.500000	75.052	174.9929
83.800003	75.059	174.4776
85.000000	75.068	174.0083
86.199997	75.040	173.6971
87.500000	74.985	173.7328
88.500000	74.946	173.8201
90.000000	74.863	173.6778
91.199997	74.767	173.4447
92.500000	74.669	173.1093
93.800003	74.589	172.9316
95.000000	74.596	172.9150
96.199997	74.645	172.6396
97.500000	74.673	172.3243
98.800003	74.684	172.1373
100.000000	74.679	171.9890
101.500000	74.656	171.7113
103.000000	74.604	171.2720
104.400002	74.539	170.9598
106.000000	74.488	170.7307
107.500000	74.442	170.5406
109.000000	74.387	170.3788
110.599998	74.321	170.1460
112.000000	74.266	169.8407
113.800003	74.207	169.4537
115.000000	74.183	169.3730
117.199997	74.180	169.9589
118.000000	74.207	170.3449
120.599998	74.264	170.3322
122.000000	74.115	169.9814
124.099998	73.891	170.0235
125.000000	73.836	170.0103
126.500000	73.786	169.9010
128.000000	73.769	169.7867
131.500000	73.732	169.8471
132.000000	73.724	169.8845
134.000000	73.677	170.0748
136.000000	73.637	170.4407
138.000000	73.633	170.8633
140.000000	73.659	171.1080
143.000000	73.709	171.0702
145.000000	73.765	170.7985
147.500000	73.815	170.1478
150.000000	73.794	169.5428
152.500000	73.751	169.1361
155.000000	73.701	168.6500
157.500000	73.639	168.2777
160.000000	73.588	168.0671
162.500000	73.536	167.8126
165.000000	73.472	167.5504
167.500000	73.420	167.3478
170.000000	73.368	167.2349
172.500000	73.301	167.1971
175.000000	73.229	167.1348
177.500000	73.167	167.0181
180.000000	73.116	166.9578
182.500000	73.076	166.9569
185.000000	73.029	166.9471
187.500000	72.969	166.9771
190.000000	72.910	167.0098
192.500000	72.859	166.9725
195.000000	72.822	166.8858
197.500000	72.791	166.8037
200.000000	72.753	166.7905
203.000000	72.698	166.8427
206.000000	72.635	166.9401
209.000000	72.577	167.0164
212.000000	72.521	167.0466
214.000000	72.490	167.0717
218.000000	72.432	167.1758
220.000000	72.401	167.2571
224.000000	72.342	167.3701
227.000000	72.300	167.4436
230.000000	72.251	167.5796
233.000000	72.205	167.6813
236.000000	72.167	167.6789
240.000000	72.113	167.7332
243.000000	72.064	167.8842
247.000000	71.999	168.1254
250.000000	71.958	168.2585
254.000000	71.909	168.3641
258.000000	71.862	168.4797
262.000000	71.814	168.7082
265.000000	71.775	168.8475
269.000000	71.710	168.9829
272.000000	71.670	169.1450
276.000000	71.636	169.3893
280.000000	71.599	169.5616
285.000000	71.551	169.7579
290.000000	71.505	170.0761
295.000000	71.445	170.3721
300.000000	71.393	170.5880
304.000000	71.368	170.7095
307.000000	71.349	170.8503
311.000000	71.317	171.0987
315.000000	71.281	171.3228
320.000000	71.241	171.5560
325.000000	71.197	171.8495
330.000000	71.161	172.1738
335.000000	71.135	172.4135
340.000000	71.102	172.7104
345.000000	71.061	173.0569
350.000000	71.026	173.3406
355.000000	70.988	173.6153
360.000000	70.941	173.9403
365.000000	70.898	174.2250
370.000000	70.857	174.4481
375.000000	70.824	174.7184
382.000000	70.791	175.0899
387.000000	70.768	175.4003
395.000000	70.722	175.9579
400.000000	70.689	176.2874
406.000000	70.645	176.6238
412.000000	70.607	176.9176
418.000000	70.573	177.2140
425.000000	70.527	177.5881
431.000000	70.489	177.9261
437.000000	70.462	178.3420
444.000000	70.440	178.8323
450.000000	70.422	179.2019
455.000000	70.410	179.5117
462.000000	70.385	179.8711
468.000000	70.360	-179.8185
475.000000	70.330	-179.3663
482.000000	70.301	-178.8980
487.000000	70.285	-178.6080
494.000000	70.269	-178.1808
500.000000	70.263	-177.7760
508.000000	70.247	-177.2878
515.000000	70.228	-176.9135
522.000000	70.218	-176.5117
530.000000	70.205	-176.0356
538.000000	70.176	-175.4951
545.000000	70.151	-175.0110
552.000000	70.132	-174.5445
560.000000	70.116	-174.0757
570.000000	70.098	-173.4964
580.000000	70.090	-172.9167
590.000000	70.082	-172.3803
600.000000	70.074	-171.7502
608.000000	70.063	-171.2580
615.000000	70.052	-170.8023
622.000000	70.044	-170.3534
630.000000	70.040	-169.8713
640.000000	70.033	-169.2576
650.000000	70.022	-168.5927
660.000000	70.008	-167.9247
670.000000	70.009	-167.2753
680.000000	70.015	-166.6306
690.000000	70.015	-166.0013
700.000000	70.016	-165.3611
710.000000	70.019	-164.7413
720.000000	70.025	-164.1051
730.000000	70.031	-163.4677
740.000000	70.035	-162.8269
750.000000	70.038	-162.1499
762.000000	70.040	-161.3266
775.000000	70.053	-160.5012
788.000000	70.075	-159.6745
800.000000	70.104	-158.8438
812.000000	70.134	-157.9992
825.000000	70.168	-157.1303
838.000000	70.202	-156.2785
850.000000	70.237	-155.4699
862.000000	70.282	-154.6702
875.000000	70.343	-153.7620
885.000000	70.401	-153.0320
900.000000	70.519	-152.1022
912.000000	70.602	-151.6319
925.000000	70.652	-151.0909
938.000000	70.702	-150.3976
950.000000	70.762	-149.7760
962.000000	70.827	-149.1631
975.000000	70.899	-148.4664
988.000000	70.973	-147.7157
1000.000000	71.049	-147.0468
1015.000000	71.171	-146.4173
1030.000000	71.305	-145.7989
1044.000000	71.426	-145.1771
1060.000000	71.565	-144.5182
1075.000000	71.704	-144.0399
1090.000000	71.848	-143.6698
1106.000000	72.005	-143.3361
1120.000000	72.145	-143.1436
1138.000000	72.323	-143.0382
1150.000000	72.434	-143.0123
1172.000000	72.620	-143.0034
1180.000000	72.683	-143.0170
1206.000000	72.869	-143.0969
