* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 4:05:55
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Spring
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	74.555	-138.1353
20.600000	74.566	-137.5179
20.900000	74.621	-136.5579
21.200001	74.743	-136.0739
21.400000	74.841	-136.0982
21.799999	75.028	-136.8501
22.000000	75.095	-137.4726
22.400000	75.162	-138.9251
22.700001	75.168	-139.9800
23.000000	75.159	-140.8812
23.299999	75.157	-141.6515
23.600000	75.172	-142.3654
24.000000	75.220	-143.3572
24.299999	75.265	-144.1805
24.700001	75.316	-145.3362
25.000000	75.344	-146.1579
25.400000	75.374	-147.0865
25.799999	75.413	-147.7973
26.200001	75.474	-148.3729
26.500000	75.532	-148.7924
26.900000	75.613	-149.4023
27.200001	75.668	-149.9074
27.600000	75.722	-150.6131
28.000000	75.751	-151.2887
28.500000	75.759	-151.9952
29.000000	75.753	-152.5072
29.500000	75.755	-152.8950
30.000000	75.772	-153.3200
30.400000	75.788	-153.7702
30.700001	75.795	-154.1716
31.100000	75.793	-154.7366
31.500000	75.782	-155.2719
32.000000	75.771	-155.8629
32.500000	75.778	-156.4359
33.000000	75.798	-157.0760
33.500000	75.823	-157.7637
34.000000	75.848	-158.4316
34.500000	75.877	-159.0806
35.000000	75.903	-159.7480
35.500000	75.912	-160.3862
36.000000	75.909	-160.8883
36.500000	75.914	-161.2658
37.000000	75.930	-161.6953
37.500000	75.929	-162.2886
38.200001	75.850	-163.0793
38.700001	75.764	-163.2813
39.500000	75.711	-163.1566
40.000000	75.748	-163.3000
40.599998	75.814	-164.0450
41.200001	75.832	-165.3658
41.799999	75.749	-166.8248
42.500000	75.547	-167.7153
43.099998	75.439	-167.3566
43.700001	75.525	-166.7970
44.400002	75.761	-167.2935
45.000000	75.878	-168.6573
45.500000	75.875	-169.6844
46.200001	75.826	-170.3073
46.799999	75.840	-170.3781
47.500000	75.910	-170.6261
48.200001	75.957	-171.1756
48.700001	75.954	-171.5623
49.400002	75.921	-171.8333
50.000000	75.909	-171.8557
50.799999	75.930	-172.0274
51.500000	75.935	-172.4451
52.200001	75.913	-172.8382
53.000000	75.902	-173.2108
53.799999	75.906	-173.7457
54.500000	75.898	-174.2759
55.200001	75.889	-174.7778
