* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 4:21:43
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_UC
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	74.995	-137.6440
20.600000	75.035	-138.0266
20.900000	75.108	-138.7237
21.200001	75.152	-139.4135
21.400000	75.168	-139.8458
21.799999	75.178	-140.6349
22.000000	75.178	-140.9892
22.400000	75.184	-141.6245
22.700001	75.196	-142.0796
23.000000	75.217	-142.5676
23.299999	75.243	-143.1118
23.600000	75.270	-143.7077
24.000000	75.303	-144.5453
24.299999	75.326	-145.1636
24.700001	75.359	-145.9379
25.000000	75.389	-146.4848
25.400000	75.440	-147.2066
25.799999	75.498	-147.9702
26.200001	75.549	-148.7845
26.500000	75.576	-149.3942
26.900000	75.594	-150.1358
27.200001	75.597	-150.5941
27.600000	75.602	-151.0581
28.000000	75.619	-151.4103
28.500000	75.660	-151.8540
29.000000	75.703	-152.4280
29.500000	75.722	-153.0748
30.000000	75.721	-153.6253
30.400000	75.723	-153.9549
30.700001	75.734	-154.1779
31.100000	75.764	-154.5388
31.500000	75.796	-155.0354
32.000000	75.817	-155.8080
32.500000	75.808	-156.5559
33.000000	75.793	-157.1172
33.500000	75.801	-157.5444
34.000000	75.838	-158.0223
34.500000	75.879	-158.6475
35.000000	75.902	-159.3518
35.500000	75.908	-160.0094
36.000000	75.905	-160.5626
36.500000	75.901	-161.0147
37.000000	75.900	-161.3756
37.500000	75.910	-161.6727
38.200001	75.945	-162.1427
38.700001	75.970	-162.6143
39.500000	75.973	-163.4482
40.000000	75.963	-163.8688
40.599998	75.965	-164.3116
