* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 4:23:29
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_UC
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	74.858	-136.2033
20.600000	74.909	-136.5505
20.900000	75.008	-137.1907
21.200001	75.092	-137.8522
21.400000	75.138	-138.3032
21.799999	75.212	-139.2394
22.000000	75.241	-139.7211
22.400000	75.285	-140.6819
22.700001	75.308	-141.3823
23.000000	75.324	-142.0540
23.299999	75.338	-142.6895
23.600000	75.352	-143.2884
24.000000	75.375	-144.0386
24.299999	75.397	-144.5788
24.700001	75.433	-145.2855
25.000000	75.460	-145.8069
25.400000	75.496	-146.4748
25.799999	75.531	-147.0791
26.200001	75.570	-147.5992
26.500000	75.606	-147.9461
26.900000	75.665	-148.3980
27.200001	75.716	-148.7777
27.600000	75.785	-149.3951
28.000000	75.840	-150.1559
28.500000	75.867	-151.2058
29.000000	75.840	-152.1145
29.500000	75.788	-152.6711
30.000000	75.762	-152.9027
30.400000	75.779	-153.0370
30.700001	75.811	-153.2130
31.100000	75.861	-153.6161
31.500000	75.902	-154.1819
32.000000	75.929	-154.9625
32.500000	75.940	-155.6709
33.000000	75.959	-156.3071
33.500000	75.992	-156.9784
34.000000	76.021	-157.7297
34.500000	76.032	-158.4719
35.000000	76.031	-159.0918
35.500000	76.034	-159.5714
36.000000	76.052	-159.9995
36.500000	76.077	-160.4642
37.000000	76.096	-160.9757
37.500000	76.103	-161.4834
38.200001	76.098	-162.1245
38.700001	76.088	-162.5377
39.500000	76.066	-163.0986
40.000000	76.060	-163.3697
40.599998	76.077	-163.7061
