* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 4:03:48
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	75.012	-137.9895
20.600000	75.042	-138.2453
20.900000	75.104	-138.7077
21.200001	75.164	-139.1698
21.400000	75.200	-139.4914
21.799999	75.260	-140.1811
22.000000	75.283	-140.5411
22.400000	75.316	-141.2397
22.700001	75.335	-141.7271
23.000000	75.356	-142.1999
23.299999	75.380	-142.6900
23.600000	75.404	-143.2142
24.000000	75.431	-143.9575
24.299999	75.445	-144.5071
24.700001	75.461	-145.1668
25.000000	75.477	-145.5944
25.400000	75.518	-146.1233
25.799999	75.578	-146.7164
26.200001	75.642	-147.4518
26.500000	75.678	-148.0762
26.900000	75.703	-148.9098
27.200001	75.706	-149.4543
27.600000	75.705	-150.0112
28.000000	75.719	-150.4128
28.500000	75.769	-150.8889
29.000000	75.837	-151.5405
29.500000	75.889	-152.3799
30.000000	75.908	-153.2554
30.400000	75.904	-153.8802
30.700001	75.896	-154.2820
31.100000	75.884	-154.7332
31.500000	75.878	-155.1147
32.000000	75.882	-155.5609
32.500000	75.897	-156.0553
33.000000	75.911	-156.6331
33.500000	75.917	-157.2419
34.000000	75.918	-157.8014
34.500000	75.924	-158.3139
35.000000	75.939	-158.8585
35.500000	75.954	-159.4744
36.000000	75.960	-160.0967
36.500000	75.969	-160.6717
37.000000	75.991	-161.2776
37.500000	76.012	-162.0314
38.200001	75.984	-163.1797
38.700001	75.925	-163.7182
39.500000	75.883	-163.9180
40.000000	75.920	-164.0542
40.599998	75.976	-164.5444
41.200001	75.989	-165.1320
41.799999	75.985	-165.4834
42.500000	76.019	-165.7323
43.099998	76.072	-166.1614
43.700001	76.100	-166.8146
44.400002	76.081	-167.5854
45.000000	76.039	-168.0799
45.500000	76.003	-168.3696
46.200001	75.967	-168.6825
46.799999	75.949	-168.9525
47.500000	75.941	-169.2919
48.200001	75.952	-169.6700
48.700001	75.970	-170.0228
49.400002	75.987	-170.6560
50.000000	75.980	-171.1898
50.799999	75.962	-171.6899
51.500000	75.961	-172.0062
52.200001	75.967	-172.3138
53.000000	75.971	-172.6345
53.799999	75.976	-172.9640
54.500000	75.971	-173.2971
55.200001	75.956	-173.6206
56.000000	75.944	-173.9848
57.000000	75.943	-174.6436
58.000000	75.915	-175.6510
59.000000	75.822	-176.5954
60.000000	75.726	-177.0697
60.799999	75.689	-177.3124
61.500000	75.676	-177.5411
62.200001	75.674	-177.7733
63.000000	75.682	-178.0997
64.000000	75.675	-178.6089
65.000000	75.644	-178.9284
66.000000	75.639	-179.0970
67.000000	75.648	-179.3976
68.000000	75.641	-179.8140
69.000000	75.607	179.7685
70.000000	75.552	179.4594
71.000000	75.494	179.2548
72.000000	75.443	179.0232
73.000000	75.387	178.6989
74.000000	75.333	178.4050
75.000000	75.313	178.0636
76.199997	75.311	177.4330
77.500000	75.313	176.7540
78.800003	75.324	176.2225
80.000000	75.328	175.9108
81.199997	75.327	175.7351
82.500000	75.303	175.4974
83.800003	75.243	175.2289
85.000000	75.167	175.1586
86.199997	75.165	175.4357
87.500000	75.277	175.1317
88.500000	75.288	174.3903
90.000000	75.159	174.1714
91.199997	75.085	174.6586
92.500000	75.031	174.8793
93.800003	74.934	174.7175
95.000000	74.860	174.3999
96.199997	74.821	173.7103
97.500000	74.794	172.9401
98.800003	74.811	172.5068
100.000000	74.851	172.3654
101.500000	74.866	172.4295
103.000000	74.815	172.6592
104.400002	74.728	172.6706
106.000000	74.614	172.2263
107.500000	74.536	171.4827
109.000000	74.485	170.9205
110.599998	74.483	170.8861
112.000000	74.488	171.0565
113.800003	74.425	171.1498
115.000000	74.343	171.0368
117.199997	74.222	170.0824
118.000000	74.182	169.5071
120.599998	74.010	169.1092
122.000000	74.057	170.1042
124.099998	74.220	171.0344
125.000000	74.266	171.1306
126.500000	74.294	170.9951
128.000000	74.282	170.7139
131.500000	74.275	170.3757
132.000000	74.278	170.3447
134.000000	74.268	170.1588
136.000000	74.220	169.8406
138.000000	74.156	169.4422
140.000000	74.107	169.0599
143.000000	74.047	168.5790
145.000000	74.000	168.4039
147.500000	73.943	168.3178
150.000000	73.899	168.2372
152.500000	73.844	167.9937
155.000000	73.777	167.8273
157.500000	73.724	167.7640
160.000000	73.673	167.6771
162.500000	73.610	167.5294
165.000000	73.546	167.3973
167.500000	73.490	167.2613
170.000000	73.438	167.1793
172.500000	73.393	167.1487
175.000000	73.342	167.1486
177.500000	73.280	167.1525
180.000000	73.216	167.1406
182.500000	73.166	167.0995
185.000000	73.123	167.0807
187.500000	73.079	167.1317
190.000000	73.031	167.2166
192.500000	72.984	167.2770
195.000000	72.943	167.3058
197.500000	72.911	167.3234
200.000000	72.878	167.3398
203.000000	72.828	167.3845
206.000000	72.784	167.4188
209.000000	72.747	167.4408
212.000000	72.705	167.5173
214.000000	72.679	167.5718
218.000000	72.634	167.6624
220.000000	72.606	167.7375
224.000000	72.538	167.8410
227.000000	72.485	167.7949
230.000000	72.437	167.8127
233.000000	72.394	167.8904
236.000000	72.349	167.9514
240.000000	72.294	168.0807
243.000000	72.263	168.2296
247.000000	72.221	168.3300
250.000000	72.179	168.4130
254.000000	72.124	168.6052
258.000000	72.069	168.8115
262.000000	72.019	169.0141
265.000000	71.983	169.1317
269.000000	71.933	169.2832
272.000000	71.897	169.4052
276.000000	71.850	169.5719
280.000000	71.808	169.7254
285.000000	71.763	169.9232
290.000000	71.713	170.1402
295.000000	71.671	170.3475
300.000000	71.628	170.6125
304.000000	71.589	170.8630
307.000000	71.563	171.0594
311.000000	71.528	171.2681
315.000000	71.495	171.4615
320.000000	71.463	171.7218
325.000000	71.431	171.9385
330.000000	71.391	172.2194
335.000000	71.357	172.5263
340.000000	71.328	172.7895
345.000000	71.291	173.0337
350.000000	71.256	173.2770
355.000000	71.219	173.5289
360.000000	71.176	173.7752
365.000000	71.131	174.0454
370.000000	71.088	174.3206
375.000000	71.055	174.6041
382.000000	71.009	174.9792
387.000000	70.979	175.2982
395.000000	70.930	175.8788
400.000000	70.901	176.1476
406.000000	70.868	176.4773
412.000000	70.841	176.7910
418.000000	70.814	177.0999
425.000000	70.774	177.6089
431.000000	70.737	178.0563
437.000000	70.706	178.4473
444.000000	70.680	178.8329
450.000000	70.657	179.1146
455.000000	70.638	179.3769
462.000000	70.611	179.7766
468.000000	70.590	-179.8854
475.000000	70.563	-179.4778
482.000000	70.538	-179.0598
487.000000	70.528	-178.7924
494.000000	70.506	-178.4206
500.000000	70.479	-178.0641
508.000000	70.447	-177.5215
515.000000	70.430	-177.0648
522.000000	70.422	-176.6745
530.000000	70.410	-176.2119
538.000000	70.389	-175.7217
545.000000	70.368	-175.3161
552.000000	70.354	-174.8651
560.000000	70.343	-174.2903
570.000000	70.322	-173.6872
580.000000	70.304	-173.2137
590.000000	70.297	-172.5965
600.000000	70.285	-171.9193
608.000000	70.274	-171.4385
615.000000	70.267	-171.0231
622.000000	70.259	-170.5905
630.000000	70.252	-170.1045
640.000000	70.239	-169.4618
650.000000	70.228	-168.7892
660.000000	70.224	-168.1742
670.000000	70.224	-167.5423
680.000000	70.224	-166.8860
690.000000	70.224	-166.2233
700.000000	70.222	-165.5893
710.000000	70.218	-165.0128
720.000000	70.222	-164.4183
730.000000	70.232	-163.7178
740.000000	70.242	-163.0351
750.000000	70.252	-162.4249
762.000000	70.262	-161.6584
775.000000	70.274	-160.7667
788.000000	70.294	-159.8988
800.000000	70.313	-159.0651
812.000000	70.334	-158.2595
825.000000	70.372	-157.3894
838.000000	70.418	-156.5405
850.000000	70.457	-155.8225
