* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 4:01:51
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	75.002	-137.0226
20.600000	75.032	-137.3918
20.900000	75.086	-138.0690
21.200001	75.120	-138.7476
21.400000	75.129	-139.1656
21.799999	75.131	-139.8824
22.000000	75.132	-140.1725
22.400000	75.148	-140.6406
22.700001	75.182	-140.9843
23.000000	75.232	-141.4225
23.299999	75.285	-141.9914
23.600000	75.331	-142.6632
24.000000	75.371	-143.6095
24.299999	75.390	-144.2562
24.700001	75.417	-144.9724
25.000000	75.451	-145.4371
25.400000	75.518	-146.0784
25.799999	75.595	-146.8606
26.200001	75.654	-147.7724
26.500000	75.678	-148.4553
26.900000	75.684	-149.2407
27.200001	75.681	-149.6904
27.600000	75.685	-150.1327
28.000000	75.704	-150.5091
28.500000	75.739	-151.0259
29.000000	75.764	-151.5636
29.500000	75.783	-152.0006
30.000000	75.820	-152.3681
30.400000	75.869	-152.7487
30.700001	75.906	-153.1414
31.100000	75.942	-153.7897
31.500000	75.951	-154.4779
32.000000	75.934	-155.2029
32.500000	75.917	-155.7056
33.000000	75.925	-156.1186
33.500000	75.955	-156.6060
34.000000	75.984	-157.1975
34.500000	75.999	-157.7959
35.000000	76.006	-158.3193
35.500000	76.019	-158.7760
36.000000	76.041	-159.2397
36.500000	76.064	-159.7706
37.000000	76.072	-160.3542
37.500000	76.058	-160.8895
38.200001	76.024	-161.3364
38.700001	76.026	-161.4614
39.500000	76.101	-161.9058
40.000000	76.146	-162.5595
40.599998	76.144	-163.5094
41.200001	76.094	-164.2045
41.799999	76.061	-164.5877
42.500000	76.076	-165.1184
43.099998	76.079	-165.8973
43.700001	76.027	-166.6821
44.400002	75.931	-167.1124
45.000000	75.891	-167.0664
45.500000	75.914	-167.0378
46.200001	75.992	-167.4124
46.799999	76.036	-168.1166
47.500000	76.029	-168.9545
48.200001	76.001	-169.4858
48.700001	75.993	-169.7079
49.400002	76.008	-169.9509
50.000000	76.037	-170.1535
50.799999	76.097	-170.4818
51.500000	76.157	-170.9259
52.200001	76.199	-171.5366
53.000000	76.203	-172.3227
53.799999	76.160	-172.9785
54.500000	76.112	-173.3396
55.200001	76.079	-173.6497
56.000000	76.044	-174.1104
57.000000	75.984	-174.5856
58.000000	75.966	-174.9316
59.000000	75.973	-175.5134
60.000000	75.959	-176.1762
60.799999	75.938	-176.6240
61.500000	75.922	-176.9584
62.200001	75.907	-177.2847
63.000000	75.879	-177.6336
64.000000	75.846	-177.9431
65.000000	75.834	-178.3188
66.000000	75.809	-178.8615
67.000000	75.770	-179.3369
68.000000	75.738	-179.8119
69.000000	75.691	179.7255
70.000000	75.646	179.4740
71.000000	75.642	179.2431
72.000000	75.651	178.7734
