* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 30 오후 3:46:36
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	87.518	-146.3028
20.600000	87.653	-146.4810
20.900000	87.903	-147.0712
21.200001	88.080	-148.3163
21.400000	88.138	-149.3642
21.799999	88.124	-151.4578
22.000000	88.069	-152.2544
22.400000	87.931	-153.0247
22.700001	87.877	-152.9778
23.000000	87.923	-152.7611
23.299999	88.057	-152.8310
23.600000	88.228	-153.4512
24.000000	88.414	-155.1818
24.299999	88.457	-156.8133
24.700001	88.369	-158.6929
25.000000	88.236	-159.4048
25.400000	88.077	-159.2146
25.799999	88.068	-158.2400
26.200001	88.227	-157.4725
26.500000	88.387	-157.4613
26.900000	88.548	-158.1741
27.200001	88.581	-158.8682
27.600000	88.523	-159.3523
28.000000	88.453	-158.9309
28.500000	88.530	-157.7226
29.000000	88.789	-157.4182
29.500000	88.993	-158.7996
30.000000	88.944	-160.6994
30.400000	88.771	-161.3551
30.700001	88.661	-161.1163
31.100000	88.671	-160.4452
31.500000	88.858	-160.4688
32.000000	89.104	-162.6221
32.500000	89.065	-166.3454
33.000000	88.675	-169.1436
33.500000	88.181	-169.4247
34.000000	87.940	-168.0234
34.500000	87.999	-167.0435
35.000000	88.125	-167.2128
35.500000	88.190	-167.6651
36.000000	88.277	-167.8025
36.500000	88.448	-168.1763
37.000000	88.599	-169.3504
37.500000	88.613	-170.8025
38.200001	88.497	-171.5528
38.700001	88.512	-171.2600
39.500000	88.734	-171.7418
40.000000	88.834	-172.9014
40.599998	88.857	-174.4868
41.200001	88.813	-175.9321
41.799999	88.713	-177.0891
42.500000	88.577	-177.6176
43.099998	88.559	-177.5179
43.700001	88.634	-177.6876
44.400002	88.699	-178.3860
45.000000	88.699	-178.7459
45.500000	88.721	-178.6980
46.200001	88.836	-178.6845
46.799999	88.952	-179.2399
47.500000	88.997	179.5650
48.200001	88.914	178.4209
48.700001	88.804	177.9531
49.400002	88.659	177.8386
50.000000	88.589	177.8950
50.799999	88.539	177.6602
51.500000	88.477	177.3461
52.200001	88.431	177.3168
53.000000	88.479	177.2969
53.799999	88.573	176.6012
54.500000	88.593	175.6274
55.200001	88.554	174.8283
56.000000	88.504	174.2221
57.000000	88.455	173.5006
58.000000	88.378	172.6446
59.000000	88.256	171.9629
60.000000	88.167	171.7021
60.799999	88.161	171.4276
61.500000	88.171	170.9882
62.200001	88.175	170.4874
63.000000	88.174	169.9227
64.000000	88.146	169.2051
65.000000	88.072	168.7843
66.000000	88.017	168.7436
67.000000	87.999	168.5881
68.000000	87.976	168.1982
69.000000	87.939	167.7191
70.000000	87.906	167.3815
71.000000	87.921	167.0713
72.000000	87.936	166.5226
73.000000	87.915	166.0632
74.000000	87.873	165.6902
75.000000	87.782	165.4698
76.199997	87.693	165.5295
77.500000	87.634	164.9606
78.800003	87.513	164.1816
80.000000	87.452	163.7019
81.199997	87.462	163.0272
82.500000	87.446	162.1166
83.800003	87.350	161.7084
85.000000	87.255	161.9224
86.199997	87.185	162.1819
87.500000	87.111	162.1158
88.500000	87.042	161.8681
90.000000	86.981	161.2799
91.199997	86.946	160.4492
92.500000	86.864	159.8635
93.800003	86.834	159.9554
95.000000	86.861	159.9765
96.199997	86.869	159.7909
97.500000	86.837	159.3764
98.800003	86.744	158.9962
100.000000	86.674	158.8983
101.500000	86.637	158.6104
103.000000	86.581	158.1697
104.400002	86.504	157.9951
106.000000	86.432	157.8934
107.500000	86.369	157.8620
109.000000	86.352	157.8016
110.599998	86.344	157.5391
112.000000	86.309	157.2792
113.800003	86.228	156.9815
115.000000	86.164	156.6532
117.199997	86.053	155.5008
118.000000	86.008	154.9036
120.599998	85.778	154.2805
122.000000	85.790	155.0978
124.099998	85.891	155.6779
125.000000	85.893	155.7375
126.500000	85.848	155.8011
128.000000	85.783	155.7469
131.500000	85.625	154.9773
132.000000	85.600	154.8817
134.000000	85.508	154.7811
136.000000	85.453	154.8853
138.000000	85.396	154.8782
140.000000	85.331	154.8115
143.000000	85.240	154.6397
145.000000	85.194	154.4714
147.500000	85.130	154.3332
150.000000	85.085	154.2753
152.500000	85.019	154.1333
155.000000	84.930	154.1567
157.500000	84.860	154.1874
160.000000	84.792	154.1124
162.500000	84.731	154.0549
165.000000	84.665	154.0247
167.500000	84.600	154.0358
170.000000	84.542	154.0231
172.500000	84.483	153.9883
175.000000	84.418	153.9808
177.500000	84.359	153.9279
180.000000	84.295	153.8119
182.500000	84.229	153.8548
185.000000	84.183	153.9972
187.500000	84.132	154.0385
190.000000	84.063	154.0930
192.500000	84.008	154.2076
195.000000	83.968	154.2731
197.500000	83.926	154.2784
200.000000	83.875	154.2977
203.000000	83.822	154.3798
206.000000	83.782	154.4072
209.000000	83.735	154.4348
212.000000	83.677	154.5690
214.000000	83.640	154.6912
218.000000	83.564	154.7960
220.000000	83.522	154.8064
224.000000	83.447	154.8924
227.000000	83.404	154.9576
230.000000	83.361	155.0330
233.000000	83.317	155.1638
236.000000	83.273	155.3116
240.000000	83.216	155.4757
243.000000	83.157	155.6142
247.000000	83.074	155.8318
250.000000	83.036	155.9220
254.000000	82.989	156.0341
258.000000	82.946	156.2621
262.000000	82.909	156.4727
265.000000	82.870	156.5617
269.000000	82.803	156.6694
272.000000	82.754	156.7992
276.000000	82.700	157.0093
280.000000	82.660	157.2231
285.000000	82.612	157.4964
290.000000	82.561	157.8057
295.000000	82.509	158.0765
300.000000	82.457	158.3053
304.000000	82.411	158.4994
307.000000	82.384	158.6669
311.000000	82.358	158.9023
315.000000	82.327	159.1522
320.000000	82.285	159.4655
325.000000	82.244	159.7647
330.000000	82.211	160.0363
335.000000	82.183	160.2653
340.000000	82.152	160.5235
