* Measurement data measured by REW V5.20.7
* Source: 마이크(Realtek High Definition Audi, MICROPHONE (마스), L, volume: 0.050
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 5, 2023 5:30:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Craftears C4 L
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.145 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.144928	85.084	39.4443
20.290907	85.102	39.2743
20.437943	85.119	39.0314
20.586044	85.136	38.7783
20.735220	85.150	38.5021
20.885475	85.161	38.2126
21.036821	85.167	37.9105
21.189262	85.170	37.6024
21.342808	85.171	37.3028
21.497467	85.169	37.0083
21.653246	85.166	36.7288
21.810154	85.161	36.4678
21.968201	85.157	36.2166
22.127390	85.155	35.9754
22.287735	85.155	35.7369
22.449242	85.158	35.4844
22.611917	85.164	35.2206
22.775772	85.170	34.9316
22.940815	85.178	34.6162
23.107054	85.185	34.2817
23.274498	85.189	33.9243
23.443153	85.192	33.5605
23.613033	85.192	33.1974
23.784142	85.191	32.8408
23.956491	85.190	32.5044
24.130091	85.191	32.1834
24.304947	85.195	31.8789
24.481071	85.202	31.5866
24.658470	85.213	31.2905
24.837156	85.228	30.9907
25.017136	85.244	30.6707
25.198421	85.263	30.3327
25.381020	85.279	29.9776
25.564941	85.295	29.6074
25.750195	85.307	29.2409
25.936790	85.315	28.8791
26.124741	85.322	28.5423
26.314051	85.327	28.2292
26.504732	85.332	27.9448
26.696796	85.339	27.6844
26.890253	85.346	27.4362
27.085112	85.355	27.1952
27.281382	85.366	26.9462
27.479073	85.377	26.6907
27.678198	85.387	26.4230
27.878765	85.395	26.1543
28.080786	85.400	25.8877
28.284271	85.404	25.6359
28.489231	85.405	25.4018
28.695675	85.407	25.1852
28.903616	85.410	24.9820
29.113064	85.416	24.7790
29.324028	85.423	24.5686
29.536524	85.431	24.3401
29.750557	85.437	24.0952
29.966141	85.441	23.8341
30.183289	85.443	23.5733
30.402010	85.442	23.3182
30.622314	85.439	23.0828
30.844217	85.437	22.8626
31.067726	85.437	22.6567
31.292856	85.442	22.4439
31.519617	85.448	22.2148
31.748020	85.457	21.9533
31.978081	85.463	21.6619
32.209808	85.466	21.3456
32.443211	85.463	21.0258
32.678310	85.456	20.7229
32.915108	85.446	20.4499
33.153625	85.438	20.2160
33.393871	85.433	20.0070
33.635857	85.436	19.8121
33.879597	85.445	19.6004
34.125103	85.457	19.3640
34.372387	85.469	19.0943
34.621464	85.478	18.8051
34.872345	85.483	18.5143
35.125042	85.484	18.2379
35.379574	85.484	17.9914
35.635948	85.486	17.7666
35.894180	85.491	17.5544
36.154285	85.499	17.3335
36.416275	85.508	17.0916
36.680161	85.515	16.8309
36.945961	85.518	16.5593
37.213688	85.517	16.3020
37.483353	85.513	16.0714
37.754974	85.510	15.8705
38.028561	85.509	15.6917
38.304131	85.513	15.5068
38.581699	85.519	15.2977
38.861279	85.524	15.0555
39.142883	85.526	14.7836
39.426529	85.521	14.5080
39.712231	85.511	14.2534
40.000000	85.499	14.0340
40.289856	85.488	13.8532
40.581814	85.482	13.6952
40.875885	85.482	13.5325
41.172089	85.486	13.3472
41.470440	85.491	13.1317
41.770950	85.494	12.8906
42.073643	85.493	12.6401
42.378525	85.490	12.3982
42.685616	85.486	12.1729
42.994934	85.482	11.9630
43.306492	85.481	11.7606
43.620308	85.482	11.5549
43.936401	85.484	11.3359
44.254780	85.486	11.0997
44.575470	85.487	10.8490
44.898483	85.484	10.5925
45.223835	85.477	10.3427
45.551544	85.467	10.1125
45.881630	85.457	9.9103
46.214108	85.448	9.7358
46.548996	85.443	9.5765
46.886307	85.443	9.4111
47.226067	85.447	9.2188
47.568283	85.450	8.9910
47.912983	85.450	8.7376
48.260181	85.445	8.4820
48.609894	85.436	8.2483
48.962143	85.426	8.0477
49.316940	85.418	7.8733
49.674313	85.415	7.7055
50.034271	85.414	7.5254
50.396843	85.415	7.3265
50.762039	85.414	7.1150
51.129883	85.412	6.9005
51.500389	85.409	6.6865
51.873581	85.406	6.4691
52.249481	85.400	6.2465
52.628101	85.392	6.0280
53.009464	85.382	5.8315
53.393593	85.372	5.6682
53.780506	85.365	5.5272
54.170223	85.363	5.3794
54.562763	85.363	5.1999
54.958145	85.359	4.9915
55.356396	85.351	4.7848
55.757530	85.340	4.6116
56.161572	85.332	4.4737
56.568542	85.331	4.3366
56.978462	85.335	4.1582
57.391350	85.337	3.9275
57.807232	85.331	3.6752
58.226128	85.319	3.4482
58.648056	85.305	3.2716
59.073048	85.297	3.1323
59.501114	85.297	2.9897
59.932281	85.302	2.8046
60.366577	85.307	2.5642
60.804020	85.305	2.2896
61.244629	85.293	2.0229
61.688435	85.277	1.8036
62.135452	85.262	1.6396
62.585712	85.255	1.4977
63.039234	85.254	1.3307
63.496040	85.253	1.1174
63.956161	85.247	0.8756
64.419617	85.235	0.6408
64.886421	85.221	0.4328
65.356621	85.206	0.2514
65.830215	85.194	0.0878
66.307251	85.185	-0.0730
66.787743	85.179	-0.2526
67.271713	85.172	-0.4648
67.759193	85.161	-0.6903
68.250206	85.145	-0.8906
68.744774	85.130	-1.0548
69.242928	85.120	-1.2173
69.744690	85.112	-1.4078
70.250084	85.099	-1.6104
70.759148	85.085	-1.7928
71.271896	85.073	-1.9614
71.788361	85.063	-2.1442
72.308571	85.049	-2.3353
72.832550	85.034	-2.5040
73.360321	85.021	-2.6538
73.891922	85.011	-2.8174
74.427376	85.000	-2.9958
74.966705	84.985	-3.1587
75.509949	84.973	-3.3067
76.057121	84.961	-3.4682
76.608261	84.947	-3.6337
77.163399	84.933	-3.7719
77.722557	84.923	-3.9048
78.285767	84.916	-4.0789
78.853058	84.903	-4.2749
79.424461	84.886	-4.4397
80.000000	84.874	-4.5852
80.579712	84.864	-4.7600
81.163628	84.849	-4.9521
