* Measurement data measured by REW V5.20.7
* Source: 마이크(Realtek High Definition Audi, MICROPHONE (마스), L, volume: 0.050
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 5, 2023 5:30:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Craftears C4 R
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.145 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.144928	84.926	40.4438
20.290907	84.934	40.2595
20.437943	84.943	40.0018
20.586044	84.950	39.7549
20.735220	84.956	39.5040
20.885475	84.962	39.2470
21.036821	84.965	38.9853
21.189262	84.968	38.7186
21.342808	84.970	38.4481
21.497467	84.973	38.1734
21.653246	84.975	37.8991
21.810154	84.975	37.6257
21.968201	84.976	37.3522
22.127390	84.977	37.0808
22.287735	84.980	36.8072
22.449242	84.984	36.5250
22.611917	84.990	36.2348
22.775772	84.998	35.9248
22.940815	85.008	35.5950
23.107054	85.018	35.2433
23.274498	85.027	34.8655
23.443153	85.035	34.4722
23.613033	85.041	34.0642
23.784142	85.044	33.6522
23.956491	85.046	33.2492
24.130091	85.047	32.8572
24.304947	85.048	32.4911
24.481071	85.049	32.1475
24.658470	85.053	31.8279
24.837156	85.059	31.5296
25.017136	85.070	31.2374
25.198421	85.085	30.9514
25.381020	85.104	30.6532
25.564941	85.125	30.3441
25.750195	85.146	30.0185
25.936790	85.166	29.6784
26.124741	85.185	29.3342
26.314051	85.200	28.9880
26.504732	85.213	28.6559
26.696796	85.223	28.3382
26.890253	85.230	28.0439
27.085112	85.235	27.7698
27.281382	85.242	27.5140
27.479073	85.248	27.2715
27.678198	85.256	27.0368
27.878765	85.263	26.8078
28.080786	85.270	26.5824
28.284271	85.277	26.3641
28.489231	85.284	26.1536
28.695675	85.291	25.9524
28.903616	85.299	25.7575
29.113064	85.310	25.5612
29.324028	85.322	25.3526
29.536524	85.336	25.1205
29.750557	85.349	24.8557
29.966141	85.361	24.5550
30.183289	85.366	24.2283
30.402010	85.366	23.8885
30.622314	85.358	23.5574
30.844217	85.344	23.2581
31.067726	85.327	23.0020
31.292856	85.310	22.7948
31.519617	85.297	22.6226
31.748020	85.291	22.4700
31.978081	85.291	22.3032
32.209808	85.294	22.1127
32.443211	85.298	21.8832
32.678310	85.299	21.6352
32.915108	85.295	21.3800
33.153625	85.287	21.1573
33.393871	85.280	20.9741
33.635857	85.278	20.8396
33.879597	85.287	20.7224
34.125103	85.306	20.5862
34.372387	85.334	20.3955
34.621464	85.363	20.1138
34.872345	85.385	19.7587
35.125042	85.395	19.3484
35.379574	85.389	18.9547
35.635948	85.372	18.6287
35.894180	85.350	18.3993
36.154285	85.335	18.2765
36.416275	85.334	18.1954
36.680161	85.347	18.0999
36.945961	85.373	17.9241
37.213688	85.397	17.6302
37.483353	85.411	17.2576
37.754974	85.408	16.8583
38.028561	85.388	16.5155
38.304131	85.362	16.2972
38.581699	85.344	16.1882
38.861279	85.344	16.1403
39.142883	85.367	16.0595
39.426529	85.404	15.8379
39.712231	85.438	15.4569
40.000000	85.456	14.9540
40.289856	85.449	14.4138
40.581814	85.418	13.9623
40.875885	85.378	13.6785
41.172089	85.346	13.5514
41.470440	85.334	13.5151
41.770950	85.345	13.4668
42.073643	85.371	13.3080
42.378525	85.393	13.0214
