* Measurement data measured by REW V5.20.7
* Source: ???(Realtek High Definition Audi, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13-Oct-2022 18:29:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Craftears C6 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	76.330	-6.6519
20.600000	76.283	-7.0434
20.900000	76.199	-7.6406
21.200001	76.156	-7.9734
21.400000	76.156	-8.1500
21.799999	76.198	-8.6477
22.000000	76.226	-9.0433
22.400000	76.264	-10.0888
22.700001	76.266	-10.9532
23.000000	76.250	-11.7692
23.299999	76.228	-12.5162
23.600000	76.209	-13.2340
24.000000	76.183	-14.2245
24.299999	76.152	-15.0042
24.700001	76.082	-15.9965
25.000000	76.009	-16.6005
25.400000	75.905	-17.1446
25.799999	75.818	-17.4679
26.200001	75.753	-17.7407
26.500000	75.710	-17.9681
26.900000	75.648	-18.2716
27.200001	75.603	-18.4578
27.600000	75.563	-18.6747
28.000000	75.560	-19.0515
28.500000	75.575	-20.1123
29.000000	75.520	-21.8195
29.500000	75.345	-23.5622
30.000000	75.110	-24.6508
30.400000	74.964	-25.0385
30.700001	74.908	-25.2582
31.100000	74.894	-25.7914
31.500000	74.902	-26.7482
32.000000	74.872	-28.3334
32.500000	74.779	-29.8106
33.000000	74.679	-30.8304
33.500000	74.627	-31.5242
34.000000	74.626	-32.2030
34.500000	74.641	-32.9770
35.000000	74.651	-33.7547
35.500000	74.661	-34.4907
36.000000	74.670	-35.2890
36.500000	74.654	-36.2257
37.000000	74.584	-37.1613
37.500000	74.464	-37.8233
38.200001	74.294	-38.0761
38.700001	74.232	-38.0698
39.500000	74.213	-38.5945
40.000000	74.183	-39.3972
40.599998	74.083	-40.4742
41.200001	73.943	-41.2343
41.799999	73.833	-41.6303
42.500000	73.793	-42.1468
43.099998	73.782	-43.0352
43.700001	73.723	-44.1461
44.400002	73.594	-45.1517
45.000000	73.495	-45.6398
45.500000	73.442	-46.0017
46.200001	73.381	-46.6618
46.799999	73.314	-47.2813
47.500000	73.230	-47.9151
48.200001	73.154	-48.5303
48.700001	73.101	-48.9866
49.400002	73.026	-49.5804
50.000000	72.974	-50.0501
50.799999	72.924	-50.7741
51.500000	72.873	-51.5207
52.200001	72.806	-52.2239
