* Measurement data measured by REW V5.20.7
* Source: ???(Realtek High Definition Audi, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13-Oct-2022 23:01:01
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: RHA CL2 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	67.935	65.4865
20.600000	68.010	65.4427
20.900000	68.169	65.3541
21.200001	68.342	65.2050
21.400000	68.460	64.9866
21.799999	68.683	64.1863
22.000000	68.776	63.6175
22.400000	68.896	62.3200
22.700001	68.935	61.4026
23.000000	68.951	60.6477
23.299999	68.965	60.0226
23.600000	68.984	59.4503
24.000000	69.013	58.6789
24.299999	69.030	58.1144
24.700001	69.050	57.4979
25.000000	69.084	57.1655
25.400000	69.184	56.7332
25.799999	69.341	55.9267
26.200001	69.485	54.4947
26.500000	69.536	53.1414
26.900000	69.500	51.4258
27.200001	69.415	50.5794
27.600000	69.305	50.2772
28.000000	69.301	50.6165
28.500000	69.478	50.8411
29.000000	69.702	50.0080
29.500000	69.807	48.5849
30.000000	69.802	47.6759
30.400000	69.811	47.5754
30.700001	69.866	47.6712
31.100000	69.994	47.6238
31.500000	70.134	47.1730
32.000000	70.247	46.2634
32.500000	70.292	45.5550
33.000000	70.353	45.2595
33.500000	70.484	44.9493
34.000000	70.641	44.1242
34.500000	70.739	42.8211
35.000000	70.746	41.5016
35.500000	70.696	40.6003
36.000000	70.652	40.1869
36.500000	70.652	40.0613
37.000000	70.706	39.9535
37.500000	70.796	39.6660
38.200001	70.918	38.8299
38.700001	70.963	38.0917
39.500000	70.977	37.3334
40.000000	71.008	37.1603
40.599998	71.086	36.9048
41.200001	71.162	36.4274
41.799999	71.215	35.9788
42.500000	71.301	35.6191
43.099998	71.415	35.0514
43.700001	71.504	34.0458
44.400002	71.525	32.7242
45.000000	71.498	31.8060
45.500000	71.470	31.1958
46.200001	71.429	30.5626
46.799999	71.417	30.2597
47.500000	71.467	29.8758
48.200001	71.530	29.0302
48.700001	71.528	28.2882
49.400002	71.464	27.6439
50.000000	71.427	27.5965
50.799999	71.469	27.6535
51.500000	71.541	27.3701
52.200001	71.597	26.8365
53.000000	71.631	26.0788
53.799999	71.625	25.2960
54.500000	71.602	24.7632
55.200001	71.596	24.3447
56.000000	71.618	23.7742
57.000000	71.649	22.8501
