* Measurement data measured by REW V5.20.7
* Source: ???(Realtek High Definition Audi, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13-Oct-2022 23:03:21
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: RHA CL2 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	68.213	57.6095
20.600000	68.080	58.7471
20.900000	67.900	60.8682
21.200001	67.979	62.9110
21.400000	68.151	63.7484
21.799999	68.595	63.7289
22.000000	68.778	62.8755
22.400000	68.946	60.1622
22.700001	68.891	58.1449
23.000000	68.732	56.8691
23.299999	68.567	56.5034
23.600000	68.475	56.7990
24.000000	68.527	57.4785
24.299999	68.661	57.6438
24.700001	68.860	57.2069
25.000000	68.974	56.6430
25.400000	69.082	56.0462
25.799999	69.203	55.8164
26.200001	69.379	55.6628
26.500000	69.533	55.3607
26.900000	69.718	54.6412
27.200001	69.821	54.0073
27.600000	69.921	53.2882
28.000000	70.022	52.7779
28.500000	70.186	52.0251
29.000000	70.320	50.6871
29.500000	70.325	49.1410
30.000000	70.226	48.3785
30.400000	70.191	48.5473
30.700001	70.246	48.8403
31.100000	70.416	48.8018
31.500000	70.600	47.8734
32.000000	70.676	45.8159
32.500000	70.520	44.2597
33.000000	70.307	44.5560
33.500000	70.326	46.2611
34.000000	70.657	47.4382
34.500000	71.058	46.7381
35.000000	71.289	44.6193
35.500000	71.302	42.5234
36.000000	71.218	41.2898
36.500000	71.162	40.6426
37.000000	71.142	39.9166
37.500000	71.088	39.0084
38.200001	70.947	38.1658
38.700001	70.885	37.9082
39.500000	70.856	36.8782
40.000000	70.759	36.0032
40.599998	70.563	35.8597
41.200001	70.501	37.0934
41.799999	70.740	38.3826
42.500000	71.214	37.8784
43.099998	71.479	35.6907
43.700001	71.500	33.4284
44.400002	71.375	32.3723
45.000000	71.383	32.6207
45.500000	71.512	32.6131
46.200001	71.701	31.4762
46.799999	71.734	30.0014
47.500000	71.659	28.7448
48.200001	71.571	28.0895
48.700001	71.527	27.8079
49.400002	71.496	27.4927
50.000000	71.487	27.1292
50.799999	71.444	26.5653
51.500000	71.385	26.4439
52.200001	71.391	26.5978
53.000000	71.475	26.3537
53.799999	71.537	25.4606
54.500000	71.534	24.4025
55.200001	71.463	23.3464
56.000000	71.330	22.6735
57.000000	71.279	22.6126
58.000000	71.373	22.0336
59.000000	71.445	21.0260
60.000000	71.514	20.0691
60.799999	71.538	19.1935
61.500000	71.506	18.5845
62.200001	71.450	18.3256
63.000000	71.395	18.3847
64.000000	71.379	18.7374
65.000000	71.460	18.8991
66.000000	71.584	18.2368
67.000000	71.654	16.9431
68.000000	71.665	15.4972
69.000000	71.611	14.1674
70.000000	71.511	13.4846
71.000000	71.473	13.4187
72.000000	71.498	13.2178
73.000000	71.498	12.8657
74.000000	71.490	12.7420
75.000000	71.526	12.5972
76.199997	71.559	11.9700
77.500000	71.512	11.4759
78.800003	71.514	11.4871
80.000000	71.555	11.0852
81.199997	71.535	10.4482
82.500000	71.488	9.8830
83.800003	71.433	9.2629
85.000000	71.379	8.8985
86.199997	71.377	8.6466
87.500000	71.384	8.1510
88.500000	71.364	7.8492
90.000000	71.334	7.5546
91.199997	71.301	7.2442
92.500000	71.247	6.8784
93.800003	71.197	6.5594
95.000000	71.177	6.2296
96.199997	71.163	5.7875
97.500000	71.137	5.4033
98.800003	71.124	5.1628
100.000000	71.119	4.9143
101.500000	71.104	4.5694
103.000000	71.088	4.1827
104.400002	71.059	3.7861
106.000000	71.017	3.4789
107.500000	70.986	3.2410
109.000000	70.947	2.9373
110.599998	70.892	2.6205
112.000000	70.853	2.3408
113.800003	70.812	1.8981
115.000000	70.780	1.6209
117.199997	70.726	1.3736
118.000000	70.715	1.3189
120.599998	70.685	0.9887
122.000000	70.663	0.8081
124.099998	70.630	0.5451
125.000000	70.608	0.4656
126.500000	70.570	0.4083
128.000000	70.533	0.3385
131.500000	70.434	0.0241
132.000000	70.424	-0.0157
134.000000	70.396	-0.1915
136.000000	70.370	-0.2888
138.000000	70.338	-0.3750
140.000000	70.293	-0.5356
143.000000	70.209	-0.8707
145.000000	70.168	-0.9650
147.500000	70.141	-1.0771
150.000000	70.102	-1.1082
152.500000	70.061	-1.0819
155.000000	70.015	-1.0882
157.500000	69.974	-1.1254
160.000000	69.943	-1.1856
162.500000	69.915	-1.2560
165.000000	69.881	-1.3509
167.500000	69.852	-1.5162
170.000000	69.829	-1.7206
172.500000	69.806	-1.8338
175.000000	69.774	-1.8562
177.500000	69.729	-1.8417
180.000000	69.684	-1.8487
182.500000	69.643	-1.9167
185.000000	69.605	-1.9895
187.500000	69.569	-2.0201
190.000000	69.534	-1.9651
192.500000	69.504	-1.9308
195.000000	69.472	-1.9567
197.500000	69.439	-1.9655
200.000000	69.409	-1.9389
203.000000	69.371	-1.9004
206.000000	69.333	-1.9000
209.000000	69.298	-1.9093
212.000000	69.264	-1.8554
214.000000	69.239	-1.7961
218.000000	69.189	-1.6947
220.000000	69.164	-1.6616
224.000000	69.108	-1.5646
227.000000	69.065	-1.4548
230.000000	69.029	-1.3766
233.000000	68.997	-1.3289
236.000000	68.964	-1.2449
240.000000	68.919	-1.0766
243.000000	68.888	-0.9773
247.000000	68.846	-0.8577
250.000000	68.813	-0.7656
254.000000	68.767	-0.6593
258.000000	68.729	-0.5382
262.000000	68.698	-0.3854
265.000000	68.669	-0.2544
269.000000	68.629	-0.0435
272.000000	68.603	0.1213
276.000000	68.571	0.2963
280.000000	68.539	0.4404
285.000000	68.504	0.6282
290.000000	68.471	0.8554
295.000000	68.435	1.0910
300.000000	68.399	1.3229
304.000000	68.371	1.4986
307.000000	68.350	1.6547
311.000000	68.320	1.8899
315.000000	68.291	2.1280
320.000000	68.255	2.4453
325.000000	68.225	2.8072
330.000000	68.205	3.1746
335.000000	68.195	3.5138
340.000000	68.187	3.8182
345.000000	68.181	4.0899
350.000000	68.173	4.3149
355.000000	68.155	4.5348
360.000000	68.135	4.7271
365.000000	68.112	4.9385
370.000000	68.087	5.1797
375.000000	68.063	5.4242
382.000000	68.026	5.7703
387.000000	68.003	5.9765
395.000000	67.969	6.2968
400.000000	67.951	6.5513
406.000000	67.935	6.8857
412.000000	67.915	7.2045
418.000000	67.891	7.5317
425.000000	67.870	7.9055
431.000000	67.851	8.2194
437.000000	67.831	8.5511
444.000000	67.810	8.9827
450.000000	67.789	9.3504
455.000000	67.771	9.6360
462.000000	67.755	10.0235
468.000000	67.746	10.3559
475.000000	67.731	10.7537
482.000000	67.713	11.1528
487.000000	67.703	11.4298
494.000000	67.692	11.8345
500.000000	67.682	12.1955
508.000000	67.669	12.6867
515.000000	67.662	13.1063
522.000000	67.657	13.5050
530.000000	67.650	13.9754
538.000000	67.641	14.4819
545.000000	67.634	14.9068
552.000000	67.624	15.3027
560.000000	67.612	15.7905
570.000000	67.603	16.4233
580.000000	67.592	17.0511
590.000000	67.579	17.6629
600.000000	67.577	18.2975
608.000000	67.579	18.8176
615.000000	67.578	19.2639
622.000000	67.574	19.7069
630.000000	67.569	20.2239
640.000000	67.572	20.8504
650.000000	67.576	21.4722
660.000000	67.578	22.1231
670.000000	67.584	22.7819
680.000000	67.595	23.4215
690.000000	67.610	24.0753
700.000000	67.623	24.7576
710.000000	67.639	25.4050
720.000000	67.656	26.0478
730.000000	67.673	26.7304
740.000000	67.695	27.4162
750.000000	67.722	28.1058
762.000000	67.751	28.9229
775.000000	67.778	29.8050
788.000000	67.807	30.6931
800.000000	67.841	31.5280
812.000000	67.880	32.3685
825.000000	67.928	33.2709
838.000000	67.983	34.1631
850.000000	68.031	34.9708
862.000000	68.077	35.7509
875.000000	68.137	36.6064
885.000000	68.188	37.2575
900.000000	68.266	38.2028
912.000000	68.332	38.9607
925.000000	68.405	39.7628
938.000000	68.482	40.5415
950.000000	68.556	41.2358
962.000000	68.633	41.9187
975.000000	68.718	42.6731
988.000000	68.806	43.3836
1000.000000	68.889	43.9831
1015.000000	69.001	44.7123
1030.000000	69.117	45.4196
1044.000000	69.223	46.0381
1060.000000	69.342	46.7134
1075.000000	69.449	47.3294
1090.000000	69.551	47.9184
1106.000000	69.662	48.4869
1120.000000	69.761	48.9471
1138.000000	69.887	49.5164
1150.000000	69.969	49.8729
1172.000000	70.118	50.4900
1180.000000	70.172	50.6973
1206.000000	70.354	51.3251
1220.000000	70.457	51.6577
1241.000000	70.618	52.1555
1250.000000	70.687	52.3535
1265.000000	70.801	52.6632
1280.000000	70.915	52.9707
1315.000000	71.177	53.6697
1320.000000	71.215	53.7632
1340.000000	71.365	54.1348
1360.000000	71.521	54.4993
1380.000000	71.681	54.8410
1400.000000	71.847	55.1832
1430.000000	72.096	55.7106
1450.000000	72.257	56.0717
1475.000000	72.456	56.4926
1500.000000	72.657	56.8880
1525.000000	72.855	57.2582
1550.000000	73.047	57.6012
1575.000000	73.238	57.9526
1600.000000	73.430	58.2812
1625.000000	73.623	58.5884
1650.000000	73.817	58.8832
1675.000000	74.012	59.1523
1700.000000	74.209	59.3882
1725.000000	74.411	59.5897
1750.000000	74.617	59.7698
1775.000000	74.826	59.9200
1800.000000	75.038	60.0290
1825.000000	75.255	60.1107
1850.000000	75.475	60.1570
1875.000000	75.697	60.1574
1900.000000	75.922	60.1146
1925.000000	76.148	60.0277
1950.000000	76.376	59.9064
1975.000000	76.604	59.7465
2000.000000	76.831	59.5335
2030.000000	77.103	59.1997
2060.000000	77.373	58.7809
2090.000000	77.641	58.2748
2120.000000	77.904	57.6961
2140.000000	78.075	57.2770
2180.000000	78.405	56.4163
2200.000000	78.567	56.0232
2240.000000	78.918	55.3247
2270.000000	79.220	54.6964
2300.000000	79.540	53.7779
2330.000000	79.852	52.4990
2360.000000	80.135	50.9074
2400.000000	80.447	48.4267
2430.000000	80.616	46.3809
2470.000000	80.723	43.6926
2500.000000	80.711	42.1375
2540.000000	80.676	41.3690
2580.000000	80.838	41.7018
2620.000000	81.234	41.4472
2650.000000	81.563	40.3340
2690.000000	81.927	37.9657
2720.000000	82.129	35.8992
2760.000000	82.319	33.0885
2800.000000	82.444	30.3667
2850.000000	82.536	27.1944
2900.000000	82.581	24.3028
2950.000000	82.598	21.6898
3000.000000	82.599	19.3413
3040.000000	82.597	17.6301
3070.000000	82.598	16.4313
3110.000000	82.604	14.9334
3150.000000	82.621	13.5280
3200.000000	82.659	11.8592
3250.000000	82.721	10.2415
3300.000000	82.806	8.6314
3350.000000	82.916	6.9870
3400.000000	83.050	5.2485
3450.000000	83.210	3.3512
