* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 6:52:57
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.328	-165.4385
20.600000	100.327	-165.8011
20.900000	100.321	-166.4437
21.200001	100.311	-167.0437
21.400000	100.302	-167.4270
21.799999	100.278	-168.1981
22.000000	100.263	-168.5978
22.400000	100.230	-169.4159
22.700001	100.204	-170.0394
23.000000	100.177	-170.6726
23.299999	100.151	-171.3166
23.600000	100.127	-171.9720
24.000000	100.098	-172.8604
24.299999	100.079	-173.5300
24.700001	100.056	-174.4138
25.000000	100.040	-175.0612
25.400000	100.023	-175.8984
25.799999	100.010	-176.7077
26.200001	100.000	-177.4928
26.500000	99.992	-178.0654
26.900000	99.979	-178.8024
27.200001	99.966	-179.3308
27.600000	99.946	-179.9992
28.000000	99.924	179.3721
28.500000	99.895	178.6311
29.000000	99.862	177.9253
29.500000	99.825	177.2465
30.000000	99.784	176.5890
30.400000	99.750	176.0723
30.700001	99.725	175.6860
31.100000	99.689	175.1674
31.500000	99.652	174.6425
32.000000	99.603	173.9800
32.500000	99.553	173.3195
33.000000	99.504	172.6694
33.500000	99.460	172.0303
34.000000	99.420	171.3976
34.500000	99.381	170.7693
35.000000	99.343	170.1513
35.500000	99.305	169.5544
36.000000	99.268	168.9858
36.500000	99.231	168.4442
37.000000	99.195	167.9236
37.500000	99.158	167.4196
38.200001	99.100	166.7433
38.700001	99.054	166.2839
39.500000	98.978	165.5855
40.000000	98.930	165.1622
40.599998	98.871	164.6559
41.200001	98.812	164.1446
41.799999	98.752	163.6299
42.500000	98.683	163.0341
43.099998	98.626	162.5349
43.700001	98.572	162.0480
44.400002	98.512	161.4912
45.000000	98.461	161.0237
45.500000	98.418	160.6495
46.200001	98.358	160.1630
46.799999	98.308	159.7759
47.500000	98.252	159.3325
48.200001	98.195	158.8922
48.700001	98.152	158.5919
49.400002	98.093	158.1954
50.000000	98.044	157.8577
50.799999	97.978	157.3891
51.500000	97.918	156.9769
52.200001	97.858	156.5796
53.000000	97.791	156.1400
53.799999	97.724	155.7083
54.500000	97.665	155.3403
55.200001	97.605	154.9901
56.000000	97.537	154.6182
57.000000	97.453	154.1841
58.000000	97.368	153.7665
59.000000	97.281	153.3561
60.000000	97.191	152.9517
60.799999	97.119	152.6426
61.500000	97.060	152.3787
62.200001	97.003	152.1138
63.000000	96.938	151.8165
64.000000	96.859	151.4711
65.000000	96.781	151.1472
66.000000	96.704	150.8330
67.000000	96.624	150.5367
68.000000	96.543	150.2585
69.000000	96.463	149.9831
70.000000	96.382	149.7075
71.000000	96.303	149.4422
72.000000	96.225	149.1859
73.000000	96.148	148.9388
74.000000	96.072	148.7073
75.000000	95.996	148.4927
76.199997	95.905	148.2510
77.500000	95.808	147.9949
78.800003	95.711	147.7508
80.000000	95.622	147.5292
81.199997	95.534	147.3232
82.500000	95.440	147.1304
83.800003	95.349	146.9491
85.000000	95.267	146.7968
86.199997	95.188	146.6484
87.500000	95.102	146.4849
88.500000	95.034	146.3717
90.000000	94.934	146.2349
91.199997	94.857	146.1351
92.500000	94.775	146.0217
93.800003	94.694	145.9108
95.000000	94.622	145.8256
96.199997	94.552	145.7446
97.500000	94.477	145.6580
98.800003	94.402	145.5887
100.000000	94.332	145.5245
101.500000	94.244	145.4290
103.000000	94.151	145.3364
104.400002	94.067	145.2820
106.000000	93.978	145.2226
107.500000	93.895	145.1517
109.000000	93.809	145.0759
110.599998	93.717	145.0087
112.000000	93.640	144.9550
113.800003	93.545	144.9149
115.000000	93.482	144.9309
117.199997	93.358	145.0975
118.000000	93.314	145.2041
120.599998	93.194	145.3371
122.000000	93.113	145.1798
124.099998	92.978	145.0390
125.000000	92.926	145.0168
126.500000	92.847	145.0108
128.000000	92.769	145.0448
131.500000	92.577	145.2141
132.000000	92.548	145.2378
134.000000	92.431	145.3292
136.000000	92.313	145.4360
138.000000	92.190	145.5764
140.000000	92.060	145.7624
143.000000	91.848	146.1649
145.000000	91.696	146.5615
147.500000	91.492	147.2850
150.000000	91.274	148.3902
152.500000	91.071	150.0965
155.000000	90.954	152.5932
157.500000	91.043	155.5888
160.000000	91.392	157.9533
162.500000	91.856	158.5005
165.000000	92.212	157.3051
167.500000	92.371	155.4271
170.000000	92.376	153.7221
172.500000	92.299	152.4542
175.000000	92.189	151.5833
177.500000	92.071	151.0022
180.000000	91.954	150.6198
182.500000	91.841	150.3782
185.000000	91.734	150.2358
187.500000	91.633	150.1706
190.000000	91.538	150.1632
192.500000	91.450	150.1895
195.000000	91.367	150.2441
197.500000	91.289	150.3217
200.000000	91.215	150.4154
203.000000	91.129	150.5483
206.000000	91.048	150.7002
209.000000	90.971	150.8677
212.000000	90.896	151.0432
214.000000	90.847	151.1627
218.000000	90.754	151.4064
220.000000	90.710	151.5314
224.000000	90.623	151.7925
227.000000	90.559	151.9865
230.000000	90.496	152.1826
233.000000	90.434	152.3894
236.000000	90.374	152.5923
240.000000	90.295	152.8623
243.000000	90.238	153.0752
247.000000	90.162	153.3647
250.000000	90.105	153.5863
254.000000	90.031	153.8903
258.000000	89.958	154.1936
262.000000	89.889	154.5041
265.000000	89.838	154.7392
269.000000	89.772	155.0586
272.000000	89.727	155.3029
276.000000	89.668	155.6345
280.000000	89.612	155.9733
285.000000	89.547	156.4000
290.000000	89.486	156.8309
295.000000	89.432	157.2726
300.000000	89.383	157.7211
304.000000	89.349	158.0621
307.000000	89.328	158.2975
311.000000	89.301	158.5844
315.000000	89.274	158.8465
320.000000	89.237	159.1409
325.000000	89.195	159.4187
330.000000	89.151	159.7027
335.000000	89.106	160.0007
340.000000	89.057	160.3163
345.000000	89.007	160.6399
350.000000	88.958	160.9702
355.000000	88.909	161.3092
360.000000	88.860	161.6506
365.000000	88.813	161.9851
370.000000	88.768	162.3283
375.000000	88.723	162.6820
382.000000	88.659	163.1727
387.000000	88.613	163.5291
395.000000	88.541	164.1206
400.000000	88.497	164.5134
406.000000	88.447	165.0117
412.000000	88.403	165.5421
418.000000	88.372	166.0799
425.000000	88.351	166.6566
431.000000	88.340	167.0665
437.000000	88.329	167.4084
444.000000	88.308	167.7633
450.000000	88.283	168.0610
455.000000	88.259	168.3178
462.000000	88.224	168.6961
468.000000	88.193	169.0312
475.000000	88.159	169.4351
482.000000	88.127	169.8457
487.000000	88.105	170.1411
494.000000	88.075	170.5673
500.000000	88.052	170.9417
508.000000	88.021	171.4309
515.000000	87.994	171.8494
522.000000	87.969	172.2653
530.000000	87.941	172.7481
538.000000	87.916	173.2339
545.000000	87.894	173.6549
552.000000	87.872	174.0757
560.000000	87.848	174.5579
570.000000	87.822	175.1549
580.000000	87.797	175.7491
590.000000	87.774	176.3476
600.000000	87.753	176.9413
608.000000	87.737	177.4210
615.000000	87.722	177.8366
622.000000	87.709	178.2466
630.000000	87.695	178.7149
640.000000	87.679	179.3038
650.000000	87.665	179.8923
660.000000	87.652	-179.5206
670.000000	87.642	-178.9402
680.000000	87.634	-178.3707
690.000000	87.626	-177.8017
700.000000	87.619	-177.2335
710.000000	87.616	-176.6803
720.000000	87.613	-176.1534
730.000000	87.613	-175.6530
740.000000	87.614	-175.1914
750.000000	87.613	-174.7862
762.000000	87.599	-174.4081
775.000000	87.533	-174.0719
788.000000	87.396	-173.2701
800.000000	87.311	-171.7420
812.000000	87.348	-170.1466
825.000000	87.452	-168.9515
838.000000	87.544	-168.1481
850.000000	87.610	-167.5272
862.000000	87.666	-166.9392
875.000000	87.722	-166.3194
885.000000	87.763	-165.8422
900.000000	87.825	-165.1357
912.000000	87.876	-164.5895
925.000000	87.932	-164.0242
938.000000	87.991	-163.4909
950.000000	88.048	-163.0156
962.000000	88.107	-162.5632
975.000000	88.170	-162.1029
988.000000	88.233	-161.6713
1000.000000	88.293	-161.2980
1015.000000	88.372	-160.8611
1030.000000	88.451	-160.4650
1044.000000	88.523	-160.1344
1060.000000	88.604	-159.7961
1075.000000	88.678	-159.5172
1090.000000	88.753	-159.2813
1106.000000	88.839	-159.0623
1120.000000	88.914	-158.8928
1138.000000	89.008	-158.7123
1150.000000	89.067	-158.6142
1172.000000	89.173	-158.4670
1180.000000	89.209	-158.4238
1206.000000	89.322	-158.3218
1220.000000	89.379	-158.2814
1241.000000	89.459	-158.2370
1250.000000	89.492	-158.2224
1265.000000	89.545	-158.2009
1280.000000	89.594	-158.1824
1315.000000	89.698	-158.1552
1320.000000	89.712	-158.1526
1340.000000	89.763	-158.1373
1360.000000	89.806	-158.1164
1380.000000	89.848	-158.0947
1400.000000	89.892	-158.0658
1430.000000	89.956	-158.0125
1450.000000	89.995	-157.9634
1475.000000	90.042	-157.8853
1500.000000	90.087	-157.8033
1525.000000	90.129	-157.7171
1550.000000	90.169	-157.6159
1575.000000	90.208	-157.5038
1600.000000	90.247	-157.3796
1625.000000	90.284	-157.2467
1650.000000	90.321	-157.1076
1675.000000	90.358	-156.9609
1700.000000	90.394	-156.8064
1725.000000	90.428	-156.6490
1750.000000	90.461	-156.4854
1775.000000	90.493	-156.3173
1800.000000	90.526	-156.1507
1825.000000	90.559	-155.9782
1850.000000	90.593	-155.8004
1875.000000	90.627	-155.6176
1900.000000	90.662	-155.4335
1925.000000	90.696	-155.2554
1950.000000	90.731	-155.0773
1975.000000	90.766	-154.8932
2000.000000	90.802	-154.7087
2030.000000	90.845	-154.4930
2060.000000	90.888	-154.2770
2090.000000	90.933	-154.0638
2120.000000	90.979	-153.8559
2140.000000	91.011	-153.7158
2180.000000	91.074	-153.4341
2200.000000	91.105	-153.2951
2240.000000	91.168	-153.0210
2270.000000	91.215	-152.8232
2300.000000	91.263	-152.6374
2330.000000	91.312	-152.4554
2360.000000	91.362	-152.2745
2400.000000	91.430	-152.0416
2430.000000	91.483	-151.8727
2470.000000	91.555	-151.6564
2500.000000	91.610	-151.5029
2540.000000	91.685	-151.3079
2580.000000	91.761	-151.1281
2620.000000	91.838	-150.9630
2650.000000	91.897	-150.8475
2690.000000	91.976	-150.7054
2720.000000	92.036	-150.6088
2760.000000	92.117	-150.4939
2800.000000	92.198	-150.3948
2850.000000	92.302	-150.2973
2900.000000	92.406	-150.2311
2950.000000	92.512	-150.1911
3000.000000	92.619	-150.1790
3040.000000	92.705	-150.1961
3070.000000	92.770	-150.2219
