* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 6:55:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.489	-177.9982
20.600000	101.481	-178.2554
20.900000	101.462	-178.7102
21.200001	101.439	-179.1322
21.400000	101.421	-179.4019
21.799999	101.381	-179.9493
22.000000	101.359	179.7622
22.400000	101.311	179.1594
22.700001	101.271	178.6896
23.000000	101.231	178.2066
23.299999	101.191	177.7130
23.600000	101.151	177.2103
24.000000	101.103	176.5273
24.299999	101.070	176.0074
24.700001	101.029	175.3082
25.000000	101.001	174.7839
25.400000	100.967	174.0916
25.799999	100.935	173.4151
26.200001	100.907	172.7610
26.500000	100.886	172.2878
26.900000	100.858	171.6808
27.200001	100.837	171.2431
27.600000	100.808	170.6810
28.000000	100.780	170.1411
28.500000	100.743	169.4966
29.000000	100.703	168.8897
29.500000	100.660	168.3248
30.000000	100.616	167.7979
30.400000	100.581	167.3952
30.700001	100.555	167.0990
31.100000	100.520	166.7069
31.500000	100.483	166.3154
32.000000	100.436	165.8255
32.500000	100.386	165.3344
33.000000	100.337	164.8419
33.500000	100.288	164.3505
34.000000	100.241	163.8639
34.500000	100.194	163.3826
35.000000	100.147	162.9025
35.500000	100.102	162.4199
36.000000	100.056	161.9378
36.500000	100.010	161.4654
37.000000	99.964	161.0115
37.500000	99.918	160.5796
38.200001	99.855	160.0088
38.700001	99.810	159.6191
39.500000	99.739	159.0105
40.000000	99.693	158.6388
40.599998	99.634	158.2137
41.200001	99.574	157.8206
41.799999	99.515	157.4474
42.500000	99.448	157.0114
43.099998	99.391	156.6340
43.700001	99.335	156.2623
44.400002	99.270	155.8313
45.000000	99.216	155.4555
45.500000	99.170	155.1434
46.200001	99.106	154.7253
46.799999	99.054	154.3862
47.500000	98.998	153.9962
48.200001	98.943	153.6086
48.700001	98.904	153.3412
49.400002	98.848	152.9867
50.000000	98.800	152.6948
50.799999	98.735	152.3133
51.500000	98.676	151.9882
52.200001	98.616	151.6722
53.000000	98.547	151.3161
53.799999	98.479	150.9608
54.500000	98.418	150.6501
55.200001	98.358	150.3431
56.000000	98.290	150.0058
57.000000	98.206	149.6084
58.000000	98.120	149.2431
59.000000	98.032	148.9240
60.000000	97.945	148.6181
60.799999	97.875	148.3629
61.500000	97.815	148.1367
62.200001	97.756	147.9088
63.000000	97.690	147.6454
64.000000	97.608	147.3290
65.000000	97.528	147.0448
66.000000	97.453	146.7799
67.000000	97.378	146.5231
68.000000	97.300	146.2825
69.000000	97.219	146.0581
70.000000	97.138	145.8419
71.000000	97.058	145.6324
72.000000	96.980	145.4251
73.000000	96.904	145.2182
74.000000	96.830	145.0189
75.000000	96.756	144.8286
76.199997	96.668	144.6164
77.500000	96.571	144.4101
78.800003	96.474	144.2149
80.000000	96.386	144.0369
81.199997	96.298	143.8633
82.500000	96.206	143.6871
83.800003	96.115	143.5210
85.000000	96.032	143.3773
86.199997	95.951	143.2463
87.500000	95.865	143.1187
88.500000	95.801	143.0273
90.000000	95.706	142.8961
91.199997	95.629	142.7999
92.500000	95.546	142.7152
93.800003	95.464	142.6425
95.000000	95.389	142.5683
96.199997	95.313	142.4946
97.500000	95.233	142.4272
98.800003	95.156	142.3630
