* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 6:58:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_FInal
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.559	-179.3034
20.600000	101.551	-179.5736
20.900000	101.532	179.9460
21.200001	101.509	179.4938
21.400000	101.492	179.2034
21.799999	101.451	178.6184
22.000000	101.429	178.3156
22.400000	101.381	177.6966
22.700001	101.344	177.2238
23.000000	101.307	176.7416
23.299999	101.271	176.2485
23.600000	101.238	175.7444
24.000000	101.197	175.0581
24.299999	101.168	174.5386
24.700001	101.133	173.8502
25.000000	101.108	173.3441
25.400000	101.078	172.6890
25.799999	101.050	172.0586
26.200001	101.025	171.4522
26.500000	101.006	171.0129
26.900000	100.978	170.4479
27.200001	100.956	170.0401
27.600000	100.925	169.5169
28.000000	100.891	169.0152
28.500000	100.847	168.4142
29.000000	100.800	167.8400
29.500000	100.749	167.2922
30.000000	100.697	166.7666
30.400000	100.657	166.3535
30.700001	100.626	166.0426
31.100000	100.586	165.6225
31.500000	100.545	165.1967
32.000000	100.490	164.6660
32.500000	100.435	164.1490
33.000000	100.382	163.6486
33.500000	100.334	163.1569
34.000000	100.288	162.6679
34.500000	100.242	162.1869
35.000000	100.195	161.7231
35.500000	100.148	161.2784
36.000000	100.103	160.8442
36.500000	100.058	160.4128
37.000000	100.012	159.9866
37.500000	99.963	159.5745
38.200001	99.891	159.0276
38.700001	99.839	158.6506
39.500000	99.757	158.0547
40.000000	99.705	157.6879
40.599998	99.642	157.2570
41.200001	99.580	156.8357
41.799999	99.518	156.4244
42.500000	99.448	155.9589
43.099998	99.389	155.5696
43.700001	99.331	155.1885
44.400002	99.263	154.7609
45.000000	99.204	154.4116
45.500000	99.156	154.1271
46.200001	99.088	153.7318
46.799999	99.029	153.4014
47.500000	98.961	153.0336
48.200001	98.896	152.6757
48.700001	98.851	152.4204
49.400002	98.788	152.0678
50.000000	98.734	151.7740
50.799999	98.664	151.3868
51.500000	98.601	151.0514
52.200001	98.537	150.7336
53.000000	98.463	150.3987
53.799999	98.392	150.0731
54.500000	98.327	149.7823
55.200001	98.260	149.5002
56.000000	98.182	149.2122
57.000000	98.091	148.8756
58.000000	98.000	148.5184
59.000000	97.905	148.1713
60.000000	97.807	147.8349
60.799999	97.728	147.5698
61.500000	97.659	147.3540
62.200001	97.590	147.1612
63.000000	97.515	146.9652
64.000000	97.425	146.7269
65.000000	97.334	146.5025
66.000000	97.243	146.3337
67.000000	97.160	146.1688
68.000000	97.074	145.9761
69.000000	96.982	145.7951
70.000000	96.888	145.6467
71.000000	96.798	145.5488
72.000000	96.719	145.4691
73.000000	96.649	145.3423
74.000000	96.580	145.1639
75.000000	96.505	144.9723
76.199997	96.409	144.7578
77.500000	96.297	144.5694
78.800003	96.182	144.4490
80.000000	96.071	144.3969
81.199997	95.959	144.4838
82.500000	95.856	144.6567
83.800003	95.762	144.8507
85.000000	95.693	145.0378
86.199997	95.639	145.1018
87.500000	95.578	145.0568
88.500000	95.531	145.0227
90.000000	95.473	144.9352
91.199997	95.427	144.8090
92.500000	95.369	144.6530
93.800003	95.291	144.4997
95.000000	95.203	144.4814
96.199997	95.122	144.5657
97.500000	95.050	144.6393
98.800003	94.985	144.6263
100.000000	94.921	144.5942
101.500000	94.840	144.5963
103.000000	94.762	144.6511
104.400002	94.694	144.7155
106.000000	94.616	144.7324
107.500000	94.538	144.7193
109.000000	94.457	144.7484
110.599998	94.379	144.8545
112.000000	94.316	144.9981
113.800003	94.238	145.2176
115.000000	94.188	145.3461
117.199997	94.099	145.4083
118.000000	94.065	145.3769
120.599998	93.971	145.4907
122.000000	93.965	145.5887
124.099998	93.953	145.5497
125.000000	93.936	145.5187
126.500000	93.895	145.4636
128.000000	93.844	145.3881
131.500000	93.708	145.1376
132.000000	93.688	145.1089
134.000000	93.605	145.0313
136.000000	93.517	145.0023
138.000000	93.425	145.0146
140.000000	93.334	145.0585
143.000000	93.199	145.1909
145.000000	93.110	145.3344
147.500000	93.005	145.5656
150.000000	92.916	145.8519
152.500000	92.844	146.1883
155.000000	92.789	146.5074
157.500000	92.748	146.7120
160.000000	92.710	146.7627
162.500000	92.665	146.7060
165.000000	92.604	146.6139
167.500000	92.527	146.5258
170.000000	92.441	146.4724
172.500000	92.350	146.4643
175.000000	92.256	146.5120
177.500000	92.162	146.6148
180.000000	92.072	146.7457
182.500000	91.984	146.8986
185.000000	91.897	147.0739
187.500000	91.812	147.2567
190.000000	91.729	147.4450
192.500000	91.648	147.6547
195.000000	91.569	147.8951
197.500000	91.491	148.1579
200.000000	91.414	148.4346
203.000000	91.325	148.8065
206.000000	91.245	149.2379
209.000000	91.179	149.7137
212.000000	91.127	150.1925
214.000000	91.099	150.4844
218.000000	91.057	150.9619
220.000000	91.039	151.1477
224.000000	90.997	151.4167
227.000000	90.957	151.5540
230.000000	90.910	151.6773
233.000000	90.858	151.8180
236.000000	90.804	151.9777
240.000000	90.730	152.2112
243.000000	90.672	152.4113
247.000000	90.593	152.7054
250.000000	90.534	152.9424
254.000000	90.458	153.2600
258.000000	90.384	153.5804
262.000000	90.310	153.8960
265.000000	90.256	154.1373
269.000000	90.190	154.4721
272.000000	90.143	154.7337
276.000000	90.082	155.0952
280.000000	90.022	155.4414
285.000000	89.949	155.8493
290.000000	89.881	156.2904
295.000000	89.816	156.7422
300.000000	89.754	157.1821
304.000000	89.706	157.5344
307.000000	89.672	157.8003
311.000000	89.628	158.1553
315.000000	89.584	158.5046
320.000000	89.533	158.9495
325.000000	89.484	159.3926
330.000000	89.433	159.8293
335.000000	89.383	160.2687
340.000000	89.334	160.7071
345.000000	89.286	161.1469
350.000000	89.238	161.5813
355.000000	89.192	162.0145
360.000000	89.145	162.4488
365.000000	89.100	162.8898
370.000000	89.056	163.3261
375.000000	89.012	163.7422
382.000000	88.954	164.3238
387.000000	88.914	164.7505
395.000000	88.852	165.4304
400.000000	88.815	165.8456
406.000000	88.771	166.3337
412.000000	88.727	166.8205
418.000000	88.686	167.3149
425.000000	88.642	167.9014
431.000000	88.605	168.4054
437.000000	88.571	168.8850
444.000000	88.534	169.4388
450.000000	88.504	169.9188
455.000000	88.480	170.3228
462.000000	88.449	170.8911
468.000000	88.423	171.3694
475.000000	88.393	171.9144
482.000000	88.365	172.4581
487.000000	88.346	172.8467
494.000000	88.320	173.3914
500.000000	88.300	173.8608
508.000000	88.275	174.4722
515.000000	88.253	174.9956
522.000000	88.233	175.5258
530.000000	88.211	176.1420
538.000000	88.190	176.7457
545.000000	88.173	177.2603
552.000000	88.157	177.7724
560.000000	88.141	178.3676
570.000000	88.122	179.1205
580.000000	88.105	179.8632
590.000000	88.089	-179.4142
600.000000	88.075	-178.6834
608.000000	88.065	-178.1037
615.000000	88.055	-177.5993
622.000000	88.047	-177.0878
630.000000	88.041	-176.5085
640.000000	88.034	-175.8002
650.000000	88.028	-175.0881
660.000000	88.026	-174.3710
670.000000	88.025	-173.6601
680.000000	88.023	-172.9583
690.000000	88.023	-172.2623
700.000000	88.026	-171.5715
710.000000	88.031	-170.8824
720.000000	88.038	-170.1949
730.000000	88.045	-169.5112
740.000000	88.055	-168.8337
750.000000	88.068	-168.1709
762.000000	88.083	-167.3914
775.000000	88.100	-166.5522
788.000000	88.118	-165.7355
800.000000	88.131	-164.9780
812.000000	88.138	-164.1833
825.000000	88.140	-163.1878
838.000000	88.168	-161.9969
850.000000	88.243	-160.9306
862.000000	88.339	-160.1090
875.000000	88.431	-159.4545
885.000000	88.491	-159.0203
900.000000	88.564	-158.3960
912.000000	88.609	-157.8763
925.000000	88.658	-157.2257
938.000000	88.720	-156.5241
950.000000	88.787	-155.9123
962.000000	88.858	-155.3465
975.000000	88.938	-154.7778
988.000000	89.019	-154.2442
1000.000000	89.095	-153.7856
1015.000000	89.188	-153.2703
1030.000000	89.282	-152.7978
1044.000000	89.371	-152.3866
1060.000000	89.469	-151.9516
1075.000000	89.559	-151.5774
1090.000000	89.651	-151.2402
1106.000000	89.755	-150.9262
1120.000000	89.849	-150.6825
1138.000000	89.967	-150.3965
1150.000000	90.046	-150.2287
1172.000000	90.187	-149.9795
1180.000000	90.238	-149.9073
1206.000000	90.391	-149.7320
1220.000000	90.470	-149.6654
1241.000000	90.583	-149.5875
1250.000000	90.630	-149.5568
1265.000000	90.704	-149.5099
1280.000000	90.775	-149.4690
1315.000000	90.930	-149.4122
1320.000000	90.950	-149.4063
1340.000000	91.030	-149.3835
1360.000000	91.101	-149.3663
1380.000000	91.170	-149.3502
1400.000000	91.242	-149.3340
1430.000000	91.346	-149.3111
1450.000000	91.412	-149.2951
1475.000000	91.492	-149.2830
1500.000000	91.568	-149.2752
1525.000000	91.641	-149.2691
1550.000000	91.711	-149.2646
1575.000000	91.778	-149.2552
1600.000000	91.843	-149.2462
1625.000000	91.904	-149.2495
1650.000000	91.964	-149.2562
1675.000000	92.019	-149.2623
1700.000000	92.072	-149.2721
1725.000000	92.121	-149.2867
1750.000000	92.166	-149.3031
1775.000000	92.208	-149.3190
1800.000000	92.247	-149.3310
1825.000000	92.282	-149.3439
1850.000000	92.314	-149.3579
1875.000000	92.341	-149.3666
1900.000000	92.364	-149.3665
1925.000000	92.383	-149.3554
1950.000000	92.397	-149.3237
1975.000000	92.405	-149.2558
2000.000000	92.409	-149.1362
2030.000000	92.413	-148.9001
2060.000000	92.425	-148.5516
2090.000000	92.455	-148.1328
2120.000000	92.510	-147.7422
2140.000000	92.555	-147.5537
2180.000000	92.640	-147.3864
2200.000000	92.670	-147.3691
2240.000000	92.704	-147.3170
2270.000000	92.711	-147.1730
2300.000000	92.715	-146.9021
2330.000000	92.728	-146.5119
2360.000000	92.758	-146.0416
2400.000000	92.833	-145.4280
2430.000000	92.905	-145.0812
2470.000000	93.001	-144.7892
2500.000000	93.061	-144.6360
2540.000000	93.129	-144.4095
2580.000000	93.198	-144.0838
2620.000000	93.286	-143.7279
2650.000000	93.363	-143.5280
2690.000000	93.468	-143.4091
2720.000000	93.537	-143.4079
2760.000000	93.611	-143.4457
2800.000000	93.669	-143.4546
2850.000000	93.733	-143.3604
2900.000000	93.801	-143.1859
2950.000000	93.873	-143.0193
3000.000000	93.942	-142.8751
3040.000000	93.991	-142.7283
3070.000000	94.026	-142.5822
3110.000000	94.075	-142.3339
3150.000000	94.133	-142.0324
3200.000000	94.220	-141.6258
3250.000000	94.325	-141.2424
3300.000000	94.444	-140.9347
3350.000000	94.568	-140.7315
3400.000000	94.692	-140.6239
3450.000000	94.815	-140.5785
3500.000000	94.934	-140.5659
3550.000000	95.045	-140.5462
3600.000000	95.150	-140.4825
3650.000000	95.253	-140.3470
3700.000000	95.361	-140.1207
3750.000000	95.482	-139.8111
3820.000000	95.691	-139.3152
3870.000000	95.869	-139.0110
3950.000000	96.194	-138.8023
4000.000000	96.413	-138.8985
4060.000000	96.679	-139.2471
4120.000000	96.944	-139.8318
4180.000000	97.203	-140.6348
4250.000000	97.493	-141.8420
4310.000000	97.722	-143.1098
4370.000000	97.925	-144.5794
4440.000000	98.129	-146.5378
4500.000000	98.273	-148.4232
4550.000000	98.369	-150.1330
4620.000000	98.458	-152.7090
4680.000000	98.486	-155.0349
4750.000000	98.456	-157.7953
4820.000000	98.357	-160.5083
4870.000000	98.245	-162.3635
4940.000000	98.036	-164.7759
5000.000000	97.818	-166.6298
5080.000000	97.481	-168.7579
5150.000000	97.155	-170.2836
5220.000000	96.806	-171.4844
5300.000000	96.390	-172.4585
5380.000000	95.960	-173.0265
5450.000000	95.572	-173.1984
5520.000000	95.164	-173.0033
5600.000000	94.669	-171.9437
5700.000000	94.223	-168.7087
5800.000000	94.212	-166.4161
5900.000000	94.080	-166.0656
6000.000000	93.798	-165.0483
6080.000000	93.592	-163.6837
6150.000000	93.446	-162.2706
6220.000000	93.333	-160.7276
6300.000000	93.243	-158.8524
6400.000000	93.190	-156.3961
6500.000000	93.201	-153.8681
6600.000000	93.279	-151.3089
6700.000000	93.427	-148.7576
6800.000000	93.654	-146.2599
6900.000000	93.981	-143.8629
7000.000000	94.413	-141.6258
7100.000000	94.945	-139.6392
7200.000000	95.580	-138.0213
7300.000000	96.325	-136.9324
7400.000000	97.186	-136.5930
7500.000000	98.163	-137.3125
7620.000000	99.461	-140.2047
7750.000000	100.856	-146.8807
7880.000000	101.857	-157.9781
8000.000000	102.137	-171.1609
8120.000000	101.686	175.6740
8250.000000	100.527	164.6370
8380.000000	99.024	158.0773
8500.000000	97.611	155.3433
8620.000000	96.311	154.8292
8750.000000	95.076	155.9359
8850.000000	94.257	157.5923
9000.000000	93.240	160.9214
9120.000000	92.599	164.0422
