* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 5:02:07
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_AET07
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	78.544	-165.3279
20.600000	78.575	-165.4497
20.900000	78.635	-165.7289
21.200001	78.684	-166.1579
21.400000	78.706	-166.5153
21.799999	78.723	-167.3322
22.000000	78.719	-167.7563
22.400000	78.695	-168.5833
22.700001	78.668	-169.1920
23.000000	78.638	-169.8205
23.299999	78.601	-170.4804
23.600000	78.552	-171.1440
24.000000	78.468	-171.9457
24.299999	78.400	-172.4094
24.700001	78.322	-172.8223
25.000000	78.287	-173.0492
25.400000	78.273	-173.3996
25.799999	78.272	-173.9273
26.200001	78.252	-174.5633
26.500000	78.219	-174.9747
26.900000	78.168	-175.2943
27.200001	78.147	-175.3710
27.600000	78.167	-175.4332
28.000000	78.231	-175.7458
28.500000	78.305	-176.7069
29.000000	78.298	-178.0055
29.500000	78.204	-179.0970
30.000000	78.082	-179.6943
30.400000	78.000	-179.8848
30.700001	77.955	-179.9281
31.100000	77.917	-179.9061
31.500000	77.911	-179.8455
32.000000	77.955	-179.9039
32.500000	78.031	179.5881
33.000000	78.064	178.5722
33.500000	78.005	177.4611
34.000000	77.875	176.8359
34.500000	77.764	176.8405
35.000000	77.734	177.0654
35.500000	77.767	176.9756
36.000000	77.796	176.4222
36.500000	77.779	175.6147
37.000000	77.712	174.8305
37.500000	77.610	174.2258
38.200001	77.450	173.8206
38.700001	77.358	173.8487
39.500000	77.312	174.0356
40.000000	77.336	173.9138
40.599998	77.366	173.3868
41.200001	77.351	172.6439
41.799999	77.285	172.0480
42.500000	77.200	171.8031
43.099998	77.165	171.7908
43.700001	77.154	171.6867
44.400002	77.132	171.4880
45.000000	77.117	171.3760
45.500000	77.123	171.1999
46.200001	77.127	170.5872
46.799999	77.079	169.8645
47.500000	76.975	169.2318
48.200001	76.876	168.8591
48.700001	76.817	168.6390
49.400002	76.739	168.4290
50.000000	76.694	168.3987
50.799999	76.689	168.3035
51.500000	76.692	167.9525
52.200001	76.660	167.5583
53.000000	76.597	167.3803
53.799999	76.552	167.4516
54.500000	76.538	167.5089
55.200001	76.532	167.4066
56.000000	76.506	167.1004
57.000000	76.434	166.7271
58.000000	76.357	166.4310
59.000000	76.275	166.1274
60.000000	76.199	165.8944
60.799999	76.146	165.6481
61.500000	76.091	165.4229
62.200001	76.033	165.2854
63.000000	75.979	165.1841
64.000000	75.920	165.0387
65.000000	75.875	164.9343
66.000000	75.845	164.7294
67.000000	75.800	164.5145
68.000000	75.767	164.4074
69.000000	75.737	164.1610
70.000000	75.675	163.9334
71.000000	75.612	163.8190
72.000000	75.546	163.6162
73.000000	75.462	163.4246
74.000000	75.382	163.2960
75.000000	75.310	163.1794
76.199997	75.239	163.1516
77.500000	75.193	163.1873
78.800003	75.160	163.3304
80.000000	75.160	163.4404
81.199997	75.149	163.2026
82.500000	75.078	162.8470
83.800003	74.986	162.5320
85.000000	74.893	162.3062
86.199997	74.812	162.2200
87.500000	74.738	162.2379
88.500000	74.686	162.3999
90.000000	74.634	162.8183
91.199997	74.603	163.1237
92.500000	74.578	163.3463
93.800003	74.545	163.2670
95.000000	74.488	163.1152
96.199997	74.433	163.0080
97.500000	74.389	162.8663
98.800003	74.348	162.7198
100.000000	74.311	162.6295
101.500000	74.259	162.5760
103.000000	74.193	162.5943
104.400002	74.128	162.6978
106.000000	74.069	162.8234
107.500000	74.020	162.8555
109.000000	73.977	162.9981
110.599998	73.954	163.1877
112.000000	73.932	163.3082
113.800003	73.879	163.3330
115.000000	73.822	163.2637
117.199997	73.716	162.9519
118.000000	73.678	162.7674
120.599998	73.568	162.8543
122.000000	73.583	163.2314
