* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 4:59:05
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_AET07
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	79.866	-166.1915
20.600000	79.874	-166.3003
20.900000	79.896	-166.5291
21.200001	79.925	-166.8511
21.400000	79.943	-167.1416
21.799999	79.967	-167.9049
22.000000	79.967	-168.3592
22.400000	79.938	-169.3278
22.700001	79.893	-170.0255
23.000000	79.837	-170.6379
23.299999	79.782	-171.1536
23.600000	79.736	-171.5972
24.000000	79.699	-172.1508
24.299999	79.686	-172.6013
24.700001	79.681	-173.2913
25.000000	79.678	-173.8622
25.400000	79.667	-174.6414
25.799999	79.653	-175.3866
26.200001	79.640	-176.0930
26.500000	79.629	-176.6152
26.900000	79.606	-177.3079
27.200001	79.578	-177.7976
27.600000	79.526	-178.3436
28.000000	79.470	-178.7042
28.500000	79.424	-178.9386
29.000000	79.415	-179.1715
29.500000	79.423	-179.6188
30.000000	79.411	179.7361
30.400000	79.378	179.2085
30.700001	79.346	178.8593
31.100000	79.302	178.4535
31.500000	79.266	178.0596
32.000000	79.224	177.4965
32.500000	79.169	176.8747
33.000000	79.101	176.3327
33.500000	79.041	175.9550
34.000000	79.009	175.6598
34.500000	79.003	175.2714
35.000000	78.999	174.7097
35.500000	78.973	174.0726
36.000000	78.922	173.5467
36.500000	78.869	173.2302
37.000000	78.839	173.0441
37.500000	78.833	172.8096
38.200001	78.825	172.2078
38.700001	78.787	171.6832
39.500000	78.686	171.1063
40.000000	78.633	170.9282
40.599998	78.600	170.6776
41.200001	78.571	170.2278
41.799999	78.521	169.6964
