* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 4:54:06
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_AEX70
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	78.548	-164.7530
20.600000	78.537	-165.0918
20.900000	78.507	-165.6590
21.200001	78.467	-166.0942
21.400000	78.440	-166.3171
21.799999	78.400	-166.7142
22.000000	78.388	-166.9452
22.400000	78.372	-167.5582
22.700001	78.353	-168.1546
23.000000	78.319	-168.8094
23.299999	78.270	-169.4250
23.600000	78.218	-169.9392
24.000000	78.166	-170.4517
24.299999	78.154	-170.7869
24.700001	78.176	-171.3369
25.000000	78.203	-171.9118
25.400000	78.226	-172.8808
25.799999	78.210	-173.8949
26.200001	78.161	-174.7120
26.500000	78.119	-175.1176
26.900000	78.080	-175.4202
27.200001	78.074	-175.5728
27.600000	78.092	-175.8336
28.000000	78.120	-176.2621
28.500000	78.134	-176.9885
29.000000	78.110	-177.7253
29.500000	78.065	-178.3368
30.000000	78.020	-178.8458
30.400000	77.988	-179.2461
30.700001	77.965	-179.5648
31.100000	77.931	179.9868
31.500000	77.891	179.5342
32.000000	77.835	179.0032
32.500000	77.783	178.5263
33.000000	77.742	178.0714
33.500000	77.713	177.5918
34.000000	77.686	177.0763
34.500000	77.654	176.5674
35.000000	77.620	176.1102
35.500000	77.591	175.6954
36.000000	77.566	175.2682
36.500000	77.534	174.8084
37.000000	77.488	174.3795
37.500000	77.431	174.0654
38.200001	77.366	173.7936
38.700001	77.337	173.5703
39.500000	77.287	173.0141
40.000000	77.241	172.6707
40.599998	77.190	172.3643
41.200001	77.164	172.0453
41.799999	77.145	171.5834
42.500000	77.101	171.0130
43.099998	77.062	170.6938
43.700001	77.047	170.4383
44.400002	77.039	170.0072
45.000000	77.010	169.5921
45.500000	76.972	169.3398
46.200001	76.919	169.1100
46.799999	76.874	168.9240
47.500000	76.813	168.7491
48.200001	76.761	168.6457
48.700001	76.736	168.5153
49.400002	76.701	168.1487
50.000000	76.653	167.7401
50.799999	76.565	167.2496
51.500000	76.482	166.9816
52.200001	76.419	166.8962
53.000000	76.394	166.8142
53.799999	76.382	166.4908
54.500000	76.341	166.1442
55.200001	76.278	165.9665
56.000000	76.218	165.9520
57.000000	76.168	165.8086
58.000000	76.071	165.4391
59.000000	75.933	165.4578
60.000000	75.869	165.7378
60.799999	75.869	165.7119
61.500000	75.879	165.4740
62.200001	75.884	165.0723
63.000000	75.862	164.5327
64.000000	75.801	164.0148
65.000000	75.723	163.6780
66.000000	75.625	163.5652
67.000000	75.540	163.7088
68.000000	75.486	163.7972
69.000000	75.439	163.6599
70.000000	75.373	163.3289
71.000000	75.275	163.0154
72.000000	75.170	162.9908
73.000000	75.108	163.1665
74.000000	75.088	163.2034
75.000000	75.062	163.0253
76.199997	74.995	162.7654
77.500000	74.895	162.6979
78.800003	74.809	162.8618
80.000000	74.767	163.1347
81.199997	74.762	163.1930
82.500000	74.715	163.0609
83.800003	74.651	163.1349
85.000000	74.604	163.1086
86.199997	74.533	162.9197
87.500000	74.443	162.8965
88.500000	74.409	162.8945
90.000000	74.359	162.7107
91.199997	74.338	162.8299
92.500000	74.350	162.6268
93.800003	74.243	162.3479
95.000000	74.108	162.8097
96.199997	74.024	163.4395
97.500000	73.955	163.9946
98.800003	73.908	164.4017
100.000000	73.875	164.6056
101.500000	73.841	164.8252
103.000000	73.851	165.0510
104.400002	73.886	164.9890
106.000000	73.897	164.6854
107.500000	73.881	164.4164
109.000000	73.845	164.1821
110.599998	73.798	164.1302
112.000000	73.775	164.1465
113.800003	73.739	164.0514
115.000000	73.697	163.9985
117.199997	73.611	164.0392
118.000000	73.582	164.0408
120.599998	73.473	163.9891
122.000000	73.411	164.0252
124.099998	73.334	164.0720
125.000000	73.301	164.0512
126.500000	73.240	164.0290
128.000000	73.185	164.0726
131.500000	73.103	164.2133
132.000000	73.092	164.2563
134.000000	73.046	164.5278
136.000000	72.994	164.8582
138.000000	72.920	165.1951
140.000000	72.831	165.5148
143.000000	72.687	165.8877
145.000000	72.608	166.1630
147.500000	72.544	166.6034
150.000000	72.492	167.2626
152.500000	72.423	168.2272
155.000000	72.377	169.2273
157.500000	72.382	170.0660
160.000000	72.473	170.8418
162.500000	72.593	171.4545
165.000000	72.675	171.9346
167.500000	72.745	172.0391
170.000000	72.809	171.6922
172.500000	72.863	171.2343
175.000000	72.890	170.8929
177.500000	72.881	170.6505
180.000000	72.847	170.3687
182.500000	72.798	170.0743
185.000000	72.749	169.8952
187.500000	72.702	169.8752
190.000000	72.658	169.9360
192.500000	72.614	169.9805
195.000000	72.575	170.0271
197.500000	72.548	170.0690
200.000000	72.516	170.1122
203.000000	72.466	170.2545
206.000000	72.415	170.4468
209.000000	72.365	170.6266
212.000000	72.324	170.7891
214.000000	72.300	170.9019
218.000000	72.260	171.1531
220.000000	72.245	171.2816
224.000000	72.218	171.5730
227.000000	72.191	171.8064
230.000000	72.151	171.9848
233.000000	72.112	172.1417
236.000000	72.080	172.2805
240.000000	72.045	172.5200
243.000000	72.027	172.7946
247.000000	71.995	173.1604
250.000000	71.963	173.4037
254.000000	71.929	173.6747
258.000000	71.901	173.9245
262.000000	71.872	174.1964
265.000000	71.847	174.3844
269.000000	71.816	174.6709
272.000000	71.793	174.8997
276.000000	71.766	175.1989
280.000000	71.753	175.5325
285.000000	71.733	175.9015
290.000000	71.710	176.2215
295.000000	71.690	176.4724
300.000000	71.676	176.7329
304.000000	71.665	177.0201
307.000000	71.660	177.2457
311.000000	71.655	177.5494
315.000000	71.641	177.8758
320.000000	71.614	178.2264
325.000000	71.595	178.5366
330.000000	71.586	178.8592
335.000000	71.578	179.1619
340.000000	71.572	179.4630
345.000000	71.561	179.7245
350.000000	71.542	-179.9886
355.000000	71.524	-179.6187
360.000000	71.504	-179.2576
365.000000	71.481	-178.8812
370.000000	71.469	-178.5167
375.000000	71.458	-178.2520
382.000000	71.432	-177.9682
387.000000	71.424	-177.6637
395.000000	71.410	-177.0792
400.000000	71.396	-176.7658
406.000000	71.382	-176.4108
412.000000	71.367	-176.0511
418.000000	71.356	-175.6940
425.000000	71.350	-175.2847
431.000000	71.346	-174.9140
437.000000	71.336	-174.5367
444.000000	71.323	-174.1114
450.000000	71.316	-173.7906
455.000000	71.312	-173.5354
462.000000	71.312	-173.1438
468.000000	71.309	-172.7870
475.000000	71.304	-172.3819
482.000000	71.296	-171.9671
487.000000	71.293	-171.6558
494.000000	71.295	-171.2484
500.000000	71.293	-170.9244
508.000000	71.284	-170.4893
515.000000	71.279	-170.1066
522.000000	71.280	-169.7175
530.000000	71.290	-169.2449
538.000000	71.292	-168.7781
545.000000	71.287	-168.4137
552.000000	71.286	-168.0225
560.000000	71.288	-167.4902
570.000000	71.281	-166.8938
580.000000	71.288	-166.3603
590.000000	71.295	-165.7557
600.000000	71.297	-165.1888
608.000000	71.300	-164.7627
615.000000	71.308	-164.3608
622.000000	71.316	-163.9387
630.000000	71.325	-163.4859
640.000000	71.334	-162.9323
650.000000	71.342	-162.3622
660.000000	71.355	-161.7534
670.000000	71.363	-161.1571
680.000000	71.374	-160.6040
690.000000	71.386	-160.0564
700.000000	71.395	-159.4523
710.000000	71.414	-158.8473
720.000000	71.441	-158.2848
730.000000	71.460	-157.7357
740.000000	71.480	-157.1584
750.000000	71.502	-156.5500
762.000000	71.526	-155.8179
775.000000	71.557	-155.0860
788.000000	71.596	-154.3565
800.000000	71.625	-153.6618
812.000000	71.660	-152.9882
825.000000	71.707	-152.2157
838.000000	71.758	-151.4099
850.000000	71.810	-150.7280
862.000000	71.864	-150.0872
875.000000	71.918	-149.3945
885.000000	71.957	-148.8416
900.000000	72.018	-148.0154
912.000000	72.075	-147.2901
925.000000	72.157	-146.3961
938.000000	72.278	-145.6327
950.000000	72.400	-145.1899
962.000000	72.499	-144.8690
975.000000	72.577	-144.5118
988.000000	72.644	-144.1713
1000.000000	72.717	-143.8745
1015.000000	72.826	-143.3949
1030.000000	72.934	-142.8960
1044.000000	73.028	-142.5008
1060.000000	73.136	-142.0888
1075.000000	73.239	-141.7455
1090.000000	73.345	-141.4689
1106.000000	73.464	-141.1655
1120.000000	73.569	-140.9404
1138.000000	73.698	-140.7296
1150.000000	73.779	-140.5970
1172.000000	73.926	-140.3727
1180.000000	73.981	-140.3015
1206.000000	74.153	-140.1193
1220.000000	74.243	-140.0338
1241.000000	74.370	-139.9146
1250.000000	74.420	-139.8660
1265.000000	74.502	-139.7969
1280.000000	74.585	-139.7467
1315.000000	74.766	-139.6211
1320.000000	74.792	-139.6018
1340.000000	74.893	-139.5243
1360.000000	74.987	-139.4298
1380.000000	75.076	-139.3399
1400.000000	75.162	-139.2756
1430.000000	75.302	-139.2108
1450.000000	75.398	-139.1558
1475.000000	75.509	-139.0656
1500.000000	75.611	-138.9739
1525.000000	75.715	-138.8714
1550.000000	75.823	-138.7638
1575.000000	75.930	-138.6589
1600.000000	76.034	-138.5387
1625.000000	76.135	-138.4425
1650.000000	76.237	-138.3613
1675.000000	76.342	-138.2634
1700.000000	76.445	-138.1400
1725.000000	76.542	-138.0141
1750.000000	76.640	-137.8725
1775.000000	76.744	-137.7106
1800.000000	76.849	-137.5347
1825.000000	76.960	-137.3609
1850.000000	77.082	-137.1867
1875.000000	77.218	-137.0406
1900.000000	77.362	-136.9649
