* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 4:54:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_AEX70
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	79.755	-167.2558
20.600000	79.741	-167.5390
20.900000	79.716	-168.0107
21.200001	79.700	-168.3837
21.400000	79.698	-168.6234
21.799999	79.700	-169.2023
22.000000	79.700	-169.5742
22.400000	79.680	-170.4474
22.700001	79.643	-171.1151
23.000000	79.593	-171.6957
23.299999	79.545	-172.1570
23.600000	79.510	-172.5334
24.000000	79.496	-173.0200
24.299999	79.502	-173.4700
24.700001	79.513	-174.2238
25.000000	79.510	-174.8486
25.400000	79.486	-175.6275
25.799999	79.454	-176.2289
26.200001	79.435	-176.6696
26.500000	79.435	-176.9746
26.900000	79.445	-177.4473
27.200001	79.448	-177.8717
27.600000	79.432	-178.4733
28.000000	79.395	-178.9918
28.500000	79.342	-179.4155
29.000000	79.312	-179.7070
29.500000	79.306	179.8974
30.000000	79.294	179.3062
30.400000	79.265	178.7776
30.700001	79.235	178.4066
31.100000	79.192	177.9695
31.500000	79.155	177.5649
32.000000	79.115	177.0273
32.500000	79.073	176.4425
33.000000	79.028	175.8802
33.500000	78.990	175.3696
34.000000	78.963	174.8588
34.500000	78.934	174.3216
35.000000	78.898	173.8199
35.500000	78.864	173.4120
36.000000	78.843	173.0360
36.500000	78.828	172.5781
37.000000	78.797	172.0331
37.500000	78.739	171.5349
38.200001	78.638	171.1207
38.700001	78.581	170.9626
39.500000	78.520	170.6259
40.000000	78.486	170.3193
40.599998	78.441	169.8876
41.200001	78.393	169.4054
41.799999	78.338	168.9241
42.500000	78.276	168.4621
43.099998	78.245	168.1365
43.700001	78.235	167.7621
44.400002	78.229	167.1738
45.000000	78.204	166.6043
45.500000	78.163	166.2153
46.200001	78.103	165.9332
46.799999	78.078	165.8124
47.500000	78.069	165.4424
48.200001	78.012	164.8199
48.700001	77.926	164.4813
49.400002	77.788	164.4224
50.000000	77.703	164.6120
50.799999	77.644	164.7360
51.500000	77.602	164.5812
52.200001	77.545	164.3320
53.000000	77.479	164.0921
53.799999	77.433	163.8452
54.500000	77.400	163.5262
55.200001	77.357	163.1588
56.000000	77.295	162.8339
57.000000	77.225	162.5975
58.000000	77.160	162.3683
59.000000	77.077	162.1914
60.000000	76.996	162.0893
60.799999	76.936	161.9373
61.500000	76.881	161.7744
62.200001	76.829	161.6038
63.000000	76.773	161.3508
64.000000	76.694	161.0444
65.000000	76.624	160.9061
66.000000	76.579	160.7848
67.000000	76.532	160.5999
68.000000	76.466	160.4050
69.000000	76.379	160.2993
70.000000	76.295	160.2606
71.000000	76.215	160.1454
72.000000	76.135	159.9919
73.000000	76.067	159.7899
74.000000	75.993	159.5844
75.000000	75.929	159.6144
76.199997	75.900	159.6926
77.500000	75.856	159.6817
78.800003	75.799	159.7388
80.000000	75.728	159.6098
81.199997	75.606	159.4105
82.500000	75.470	159.5334
83.800003	75.411	159.6528
85.000000	75.398	159.5726
86.199997	75.395	159.3257
87.500000	75.359	159.0579
88.500000	75.307	159.0248
90.000000	75.231	159.2069
91.199997	75.175	159.2739
92.500000	75.098	159.2713
93.800003	75.023	159.2645
95.000000	74.961	159.2195
96.199997	74.899	159.1887
97.500000	74.834	159.2044
98.800003	74.763	159.2555
100.000000	74.695	159.3715
101.500000	74.620	159.4489
103.000000	74.531	159.4405
104.400002	74.447	159.5033
106.000000	74.364	159.6772
107.500000	74.306	159.8891
109.000000	74.249	160.0303
110.599998	74.163	160.1972
112.000000	74.078	160.4330
113.800003	73.972	160.7853
115.000000	73.905	161.0439
117.199997	73.798	161.5940
118.000000	73.765	161.8102
120.599998	73.647	162.5510
122.000000	73.579	163.1626
124.099998	73.522	164.2017
125.000000	73.509	164.6363
126.500000	73.500	165.3976
128.000000	73.517	166.2142
131.500000	73.662	167.8291
132.000000	73.692	167.9996
134.000000	73.823	168.4158
136.000000	73.942	168.4493
138.000000	74.037	168.2837
140.000000	74.107	167.9607
143.000000	74.155	167.3196
145.000000	74.172	166.8436
