* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 4:49:10
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Crystal
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	79.843	-166.9757
20.600000	79.842	-167.3016
20.900000	79.838	-167.8781
21.200001	79.826	-168.4107
21.400000	79.814	-168.7408
21.799999	79.784	-169.3723
22.000000	79.767	-169.6838
22.400000	79.734	-170.2992
22.700001	79.712	-170.7641
23.000000	79.694	-171.2487
23.299999	79.679	-171.7641
23.600000	79.666	-172.3152
24.000000	79.648	-173.1011
24.299999	79.632	-173.7104
24.700001	79.604	-174.5092
25.000000	79.579	-175.0654
25.400000	79.545	-175.7188
25.799999	79.519	-176.2738
26.200001	79.506	-176.7774
26.500000	79.503	-177.1611
26.900000	79.499	-177.7121
27.200001	79.491	-178.1497
27.600000	79.468	-178.7253
28.000000	79.435	-179.2314
28.500000	79.395	-179.7351
29.000000	79.369	179.8092
29.500000	79.353	179.2589
30.000000	79.326	178.5811
30.400000	79.287	178.0256
30.700001	79.249	177.6509
31.100000	79.196	177.2317
31.500000	79.150	176.8764
32.000000	79.104	176.4386
32.500000	79.063	175.9664
33.000000	79.020	175.5112
33.500000	78.986	175.1122
34.000000	78.967	174.7064
34.500000	78.951	174.2115
35.000000	78.918	173.6694
35.500000	78.870	173.2238
36.000000	78.827	172.9242
36.500000	78.806	172.6385
37.000000	78.791	172.2049
37.500000	78.754	171.6514
38.200001	78.656	171.0277
38.700001	78.587	170.7963
39.500000	78.519	170.4412
40.000000	78.482	170.1052
40.599998	78.430	169.6882
41.200001	78.382	169.3105
41.799999	78.343	168.8858
42.500000	78.289	168.3407
43.099998	78.237	167.9648
43.700001	78.197	167.6505
44.400002	78.159	167.2102
45.000000	78.114	166.7771
45.500000	78.064	166.4498
46.200001	77.985	166.0749
46.799999	77.911	165.8414
47.500000	77.833	165.7241
48.200001	77.791	165.6544
48.700001	77.781	165.4769
49.400002	77.759	165.0034
50.000000	77.717	164.5584
50.799999	77.651	164.0723
51.500000	77.589	163.7137
52.200001	77.520	163.5259
53.000000	77.472	163.5717
53.799999	77.468	163.4672
54.500000	77.437	163.1597
55.200001	77.365	163.0239
56.000000	77.301	163.1644
57.000000	77.271	163.1031
58.000000	77.203	162.6286
59.000000	77.081	162.1730
60.000000	76.956	161.9537
60.799999	76.888	161.7924
61.500000	76.841	161.5672
62.200001	76.796	161.3788
63.000000	76.775	161.2083
64.000000	76.772	160.6585
65.000000	76.690	159.9679
66.000000	76.564	159.8915
67.000000	76.498	160.1508
68.000000	76.466	160.1660
69.000000	76.413	160.0118
70.000000	76.348	159.8572
71.000000	76.279	159.6498
72.000000	76.193	159.4663
73.000000	76.106	159.4612
74.000000	76.045	159.5251
75.000000	75.995	159.4805
76.199997	75.925	159.3164
77.500000	75.835	159.0547
78.800003	75.738	158.8306
80.000000	75.673	158.5872
81.199997	75.599	158.2105
82.500000	75.491	158.1528
83.800003	75.432	158.4517
85.000000	75.400	158.6594
86.199997	75.366	158.7838
87.500000	75.306	158.7743
88.500000	75.247	158.7770
90.000000	75.164	158.7124
91.199997	75.102	158.6235
92.500000	75.039	158.4766
93.800003	74.961	158.3380
95.000000	74.881	158.3593
96.199997	74.809	158.4070
97.500000	74.725	158.4357
98.800003	74.638	158.5078
100.000000	74.568	158.6013
101.500000	74.491	158.6351
103.000000	74.393	158.6005
104.400002	74.274	158.6773
106.000000	74.136	158.9571
107.500000	74.017	159.2297
109.000000	73.889	159.5254
110.599998	73.747	160.0072
112.000000	73.624	160.5445
113.800003	73.455	161.3295
115.000000	73.332	162.0285
117.199997	73.156	163.9672
118.000000	73.124	164.8880
120.599998	73.215	168.8596
122.000000	73.477	171.1462
124.099998	74.026	172.7723
125.000000	74.239	172.6938
126.500000	74.509	171.8504
128.000000	74.674	170.5683
131.500000	74.804	167.5725
132.000000	74.805	167.1946
134.000000	74.766	165.8657
136.000000	74.679	164.9496
138.000000	74.579	164.3668
140.000000	74.476	163.9529
143.000000	74.325	163.5227
145.000000	74.245	163.2924
147.500000	74.158	163.0766
150.000000	74.070	163.0269
152.500000	73.979	163.0720
155.000000	73.888	163.1214
157.500000	73.806	163.2395
160.000000	73.735	163.3390
162.500000	73.653	163.4272
165.000000	73.586	163.5544
167.500000	73.538	163.6819
170.000000	73.496	163.8272
172.500000	73.442	163.9909
175.000000	73.382	164.1842
177.500000	73.324	164.4016
180.000000	73.272	164.5979
182.500000	73.218	164.7367
185.000000	73.170	164.8555
187.500000	73.128	164.9899
190.000000	73.082	165.2369
192.500000	73.037	165.5182
195.000000	72.988	165.7305
197.500000	72.944	165.9041
200.000000	72.909	166.0885
203.000000	72.868	166.3315
206.000000	72.829	166.5903
209.000000	72.796	166.8008
212.000000	72.753	166.9802
214.000000	72.716	167.1284
218.000000	72.652	167.5179
220.000000	72.628	167.7291
224.000000	72.568	168.1848
227.000000	72.514	168.6310
230.000000	72.477	169.1132
233.000000	72.465	169.5892
236.000000	72.474	170.0197
240.000000	72.499	170.4149
243.000000	72.511	170.5519
247.000000	72.505	170.6489
250.000000	72.490	170.7126
254.000000	72.462	170.8318
258.000000	72.432	171.0308
262.000000	72.397	171.1852
265.000000	72.368	171.2660
269.000000	72.334	171.4951
272.000000	72.314	171.7476
276.000000	72.289	172.0476
280.000000	72.259	172.3244
285.000000	72.221	172.6617
290.000000	72.185	173.0266
295.000000	72.160	173.3983
300.000000	72.129	173.7160
304.000000	72.106	173.9857
307.000000	72.094	174.1750
311.000000	72.080	174.4233
315.000000	72.067	174.6783
320.000000	72.053	175.0402
325.000000	72.039	175.4338
330.000000	72.015	175.7598
335.000000	71.990	176.1087
340.000000	71.974	176.4816
345.000000	71.959	176.7791
350.000000	71.935	177.1097
355.000000	71.908	177.4697
360.000000	71.897	177.7574
365.000000	71.887	178.0555
370.000000	71.866	178.4267
375.000000	71.844	178.7828
382.000000	71.820	179.1925
387.000000	71.800	179.4737
395.000000	71.782	179.9937
400.000000	71.769	-179.6866
406.000000	71.754	-179.3698
412.000000	71.733	-179.0519
418.000000	71.707	-178.6542
425.000000	71.692	-178.1406
431.000000	71.685	-177.6930
437.000000	71.675	-177.3104
444.000000	71.663	-176.9717
450.000000	71.662	-176.6796
455.000000	71.662	-176.3817
462.000000	71.655	-175.9208
468.000000	71.647	-175.5523
475.000000	71.639	-175.1298
482.000000	71.630	-174.6971
487.000000	71.625	-174.4032
494.000000	71.620	-173.9968
500.000000	71.616	-173.6436
508.000000	71.605	-173.2108
515.000000	71.601	-172.8593
522.000000	71.605	-172.4655
530.000000	71.606	-171.9622
538.000000	71.602	-171.4945
545.000000	71.595	-171.1130
552.000000	71.591	-170.6927
560.000000	71.592	-170.2241
570.000000	71.592	-169.6784
580.000000	71.593	-169.1064
590.000000	71.601	-168.4889
600.000000	71.606	-167.9426
608.000000	71.608	-167.5095
615.000000	71.609	-167.1110
622.000000	71.611	-166.6988
630.000000	71.617	-166.2255
640.000000	71.627	-165.6727
650.000000	71.640	-165.1117
660.000000	71.643	-164.5231
670.000000	71.648	-163.9295
680.000000	71.663	-163.2976
690.000000	71.674	-162.7237
700.000000	71.677	-162.1822
710.000000	71.691	-161.6082
720.000000	71.712	-161.0209
730.000000	71.728	-160.4414
740.000000	71.746	-159.8793
750.000000	71.769	-159.3234
762.000000	71.793	-158.6394
775.000000	71.818	-157.8844
788.000000	71.856	-157.1257
800.000000	71.897	-156.4874
812.000000	71.934	-155.8422
825.000000	71.975	-155.1721
838.000000	72.014	-154.5729
850.000000	72.057	-154.0484
862.000000	72.097	-153.5453
875.000000	72.115	-153.0156
885.000000	72.116	-152.5407
900.000000	72.123	-151.5263
912.000000	72.148	-150.6294
925.000000	72.184	-149.5734
938.000000	72.279	-148.3389
950.000000	72.431	-147.4292
962.000000	72.579	-146.9318
975.000000	72.701	-146.5910
988.000000	72.793	-146.2845
1000.000000	72.874	-145.9940
1015.000000	72.993	-145.5793
1030.000000	73.107	-145.1598
1044.000000	73.202	-144.7979
1060.000000	73.314	-144.4209
1075.000000	73.417	-144.1190
1090.000000	73.521	-143.8626
1106.000000	73.639	-143.6199
1120.000000	73.743	-143.4206
1138.000000	73.868	-143.2021
1150.000000	73.947	-143.0945
1172.000000	74.095	-142.9165
1180.000000	74.149	-142.8526
1206.000000	74.312	-142.6515
1220.000000	74.395	-142.5635
1241.000000	74.523	-142.4807
1250.000000	74.576	-142.4485
1265.000000	74.658	-142.3902
1280.000000	74.738	-142.3372
1315.000000	74.921	-142.2235
1320.000000	74.945	-142.2043
1340.000000	75.040	-142.1268
1360.000000	75.131	-142.0583
1380.000000	75.223	-142.0092
1400.000000	75.315	-141.9403
1430.000000	75.450	-141.8068
1450.000000	75.541	-141.7404
1475.000000	75.652	-141.6593
1500.000000	75.758	-141.5520
1525.000000	75.868	-141.4650
1550.000000	75.975	-141.3801
1575.000000	76.081	-141.3017
1600.000000	76.187	-141.2245
1625.000000	76.295	-141.1283
1650.000000	76.404	-141.0461
1675.000000	76.512	-140.9874
1700.000000	76.619	-140.9423
1725.000000	76.727	-140.9035
1750.000000	76.831	-140.8796
1775.000000	76.934	-140.8490
1800.000000	77.042	-140.8142
1825.000000	77.150	-140.8173
1850.000000	77.257	-140.8266
1875.000000	77.364	-140.8405
1900.000000	77.473	-140.8937
1925.000000	77.581	-140.9606
1950.000000	77.688	-141.0487
1975.000000	77.792	-141.1584
2000.000000	77.896	-141.2716
2030.000000	78.023	-141.4346
2060.000000	78.147	-141.6346
2090.000000	78.269	-141.8540
2120.000000	78.390	-142.0748
2140.000000	78.470	-142.2361
2180.000000	78.629	-142.6292
2200.000000	78.705	-142.8538
2240.000000	78.855	-143.3155
2270.000000	78.966	-143.6592
2300.000000	79.073	-144.0323
2330.000000	79.177	-144.4413
2360.000000	79.280	-144.8732
2400.000000	79.415	-145.4822
2430.000000	79.513	-145.9661
2470.000000	79.638	-146.6524
2500.000000	79.726	-147.1868
2540.000000	79.838	-147.9198
2580.000000	79.946	-148.6780
2620.000000	80.043	-149.4623
2650.000000	80.110	-150.0710
2690.000000	80.196	-150.8971
2720.000000	80.256	-151.5273
2760.000000	80.328	-152.3756
2800.000000	80.391	-153.2268
2850.000000	80.458	-154.3009
2900.000000	80.513	-155.3670
2950.000000	80.557	-156.4207
3000.000000	80.590	-157.4671
3040.000000	80.611	-158.2929
3070.000000	80.624	-158.8940
3110.000000	80.634	-159.6773
3150.000000	80.639	-160.4471
3200.000000	80.640	-161.3832
3250.000000	80.635	-162.2867
3300.000000	80.623	-163.1705
3350.000000	80.603	-164.0230
3400.000000	80.576	-164.8400
3450.000000	80.549	-165.6135
3500.000000	80.522	-166.3398
3550.000000	80.490	-167.0257
3600.000000	80.453	-167.6751
3650.000000	80.413	-168.2721
3700.000000	80.370	-168.8163
3750.000000	80.322	-169.3145
3820.000000	80.243	-169.8714
3870.000000	80.182	-170.1542
3950.000000	80.094	-170.3828
4000.000000	80.058	-170.4051
4060.000000	80.038	-170.4148
4120.000000	80.042	-170.5173
4180.000000	80.056	-170.7409
4250.000000	80.068	-171.1145
4310.000000	80.064	-171.4990
4370.000000	80.046	-171.8926
4440.000000	80.012	-172.3315
4500.000000	79.981	-172.6929
4550.000000	79.953	-172.9871
4620.000000	79.913	-173.4052
4680.000000	79.884	-173.7649
4750.000000	79.850	-174.1692
4820.000000	79.812	-174.5791
4870.000000	79.783	-174.8812
4940.000000	79.744	-175.3091
5000.000000	79.706	-175.6798
5080.000000	79.650	-176.1713
5150.000000	79.601	-176.6029
5220.000000	79.551	-177.0427
5300.000000	79.490	-177.5197
5380.000000	79.424	-177.9701
5450.000000	79.365	-178.3556
5520.000000	79.307	-178.7268
5600.000000	79.241	-179.1252
5700.000000	79.154	-179.5819
5800.000000	79.070	-179.9762
5900.000000	78.989	179.6583
6000.000000	78.911	179.3375
6080.000000	78.854	179.1350
6150.000000	78.813	178.9944
6220.000000	78.783	178.8801
6300.000000	78.763	178.7438
6400.000000	78.750	178.5250
6500.000000	78.745	178.2649
6600.000000	78.751	177.9738
6700.000000	78.777	177.6683
6800.000000	78.831	177.3184
6900.000000	78.924	176.8705
7000.000000	79.060	176.3011
7100.000000	79.228	175.5816
7200.000000	79.421	174.6526
7300.000000	79.637	173.4200
7400.000000	79.865	171.8057
7500.000000	80.095	169.7768
7620.000000	80.366	166.7645
7750.000000	80.633	162.7770
7880.000000	80.789	158.0042
