* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 4:46:24
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Deep
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	78.471	-165.5048
20.600000	78.482	-165.7690
20.900000	78.500	-166.2440
21.200001	78.507	-166.7038
21.400000	78.505	-167.0015
21.799999	78.489	-167.5932
22.000000	78.477	-167.8894
22.400000	78.446	-168.4695
22.700001	78.421	-168.8932
23.000000	78.396	-169.3176
23.299999	78.373	-169.7530
23.600000	78.352	-170.2032
24.000000	78.326	-170.8203
24.299999	78.308	-171.2812
24.700001	78.287	-171.8766
25.000000	78.277	-172.3113
25.400000	78.272	-172.8994
25.799999	78.271	-173.5305
26.200001	78.267	-174.2065
26.500000	78.257	-174.7143
26.900000	78.231	-175.3429
27.200001	78.207	-175.7549
27.600000	78.177	-176.2320
28.000000	78.152	-176.6757
28.500000	78.122	-177.2457
29.000000	78.080	-177.7936
29.500000	78.030	-178.2156
30.000000	77.997	-178.5171
30.400000	77.990	-178.7836
30.700001	77.992	-179.0601
31.100000	77.990	-179.5472
31.500000	77.971	179.8929
32.000000	77.921	179.2495
32.500000	77.865	178.7658
33.000000	77.826	178.3662
33.500000	77.803	177.9193
34.000000	77.777	177.4029
34.500000	77.738	176.9161
35.000000	77.694	176.5350
35.500000	77.663	176.2258
36.000000	77.644	175.8896
36.500000	77.626	175.4747
37.000000	77.596	175.0239
37.500000	77.552	174.6252
38.200001	77.493	174.2216
38.700001	77.465	173.9564
39.500000	77.428	173.3379
40.000000	77.387	172.8967
40.599998	77.322	172.5070
41.200001	77.276	172.2812
41.799999	77.258	172.0022
42.500000	77.233	171.4760
43.099998	77.188	171.0427
43.700001	77.140	170.7431
44.400002	77.093	170.4311
45.000000	77.041	170.1588
45.500000	76.988	170.0359
46.200001	76.933	170.0425
46.799999	76.917	169.9958
47.500000	76.901	169.6796
48.200001	76.855	169.2571
48.700001	76.812	169.0102
49.400002	76.756	168.7136
50.000000	76.711	168.4306
50.799999	76.643	168.0612
51.500000	76.585	167.8324
52.200001	76.541	167.6531
53.000000	76.503	167.4265
53.799999	76.467	167.2007
54.500000	76.441	167.0197
55.200001	76.420	166.7943
56.000000	76.384	166.4524
57.000000	76.305	166.1153
58.000000	76.232	166.0144
59.000000	76.181	165.8098
60.000000	76.107	165.4735
60.799999	76.039	165.2739
61.500000	75.985	165.1236
62.200001	75.935	164.9606
63.000000	75.878	164.7669
64.000000	75.802	164.5725
65.000000	75.737	164.5187
66.000000	75.701	164.4381
67.000000	75.661	164.1948
68.000000	75.603	163.9764
69.000000	75.545	163.7673
70.000000	75.474	163.5620
71.000000	75.406	163.5413
72.000000	75.375	163.5441
73.000000	75.360	163.3951
74.000000	75.340	163.1573
75.000000	75.301	162.8704
76.199997	75.213	162.7030
77.500000	75.117	162.8537
78.800003	75.039	162.9647
80.000000	74.958	162.9316
81.199997	74.874	162.8574
82.500000	74.795	162.7590
83.800003	74.752	162.6761
85.000000	74.739	162.4528
86.199997	74.701	162.1615
87.500000	74.634	162.1618
88.500000	74.595	162.2800
90.000000	74.530	162.3669
91.199997	74.467	162.4267
92.500000	74.406	162.4585
93.800003	74.351	162.4097
95.000000	74.301	162.4004
96.199997	74.260	162.4507
97.500000	74.221	162.5471
98.800003	74.179	162.6935
100.000000	74.143	162.8514
101.500000	74.098	162.9168
103.000000	74.030	162.9248
104.400002	73.971	163.0096
106.000000	73.922	163.0757
107.500000	73.879	163.1269
109.000000	73.841	163.1933
110.599998	73.805	163.2324
112.000000	73.778	163.1922
113.800003	73.734	163.0344
115.000000	73.695	162.9753
117.199997	73.641	163.0994
118.000000	73.630	163.1407
120.599998	73.554	163.1664
122.000000	73.491	163.2844
124.099998	73.408	163.4837
125.000000	73.376	163.5432
126.500000	73.326	163.6267
128.000000	73.280	163.7404
131.500000	73.212	164.0591
132.000000	73.204	164.0879
134.000000	73.163	164.1378
136.000000	73.102	164.1683
138.000000	73.034	164.2867
140.000000	72.970	164.4778
143.000000	72.881	164.8407
145.000000	72.822	165.0524
147.500000	72.749	165.3441
150.000000	72.693	165.5786
152.500000	72.620	165.8007
155.000000	72.535	166.0947
157.500000	72.449	166.4192
160.000000	72.369	166.7782
162.500000	72.283	167.3676
165.000000	72.217	168.3371
167.500000	72.193	169.5423
170.000000	72.234	170.7926
172.500000	72.350	171.7869
175.000000	72.510	172.2154
177.500000	72.648	172.0200
180.000000	72.721	171.4524
182.500000	72.725	170.8320
185.000000	72.696	170.4202
187.500000	72.662	170.2020
190.000000	72.617	170.0836
192.500000	72.566	170.0281
195.000000	72.518	170.0079
197.500000	72.477	170.0557
200.000000	72.436	170.1589
203.000000	72.381	170.2970
206.000000	72.334	170.4296
209.000000	72.298	170.5777
212.000000	72.258	170.7991
214.000000	72.232	170.9826
218.000000	72.195	171.3192
220.000000	72.177	171.4655
224.000000	72.135	171.7474
227.000000	72.102	171.9347
230.000000	72.074	172.1177
233.000000	72.051	172.3320
236.000000	72.034	172.5840
240.000000	71.995	172.9014
243.000000	71.949	173.0977
247.000000	71.900	173.3709
250.000000	71.882	173.6115
254.000000	71.857	173.9590
258.000000	71.825	174.2979
262.000000	71.799	174.6178
265.000000	71.785	174.8624
269.000000	71.766	175.1355
272.000000	71.752	175.3438
276.000000	71.738	175.6718
280.000000	71.723	175.9671
285.000000	71.711	176.2788
290.000000	71.693	176.5628
295.000000	71.672	176.8412
300.000000	71.655	177.1623
304.000000	71.645	177.4436
307.000000	71.640	177.6665
311.000000	71.629	177.9727
315.000000	71.609	178.2213
320.000000	71.582	178.4971
325.000000	71.570	178.8333
330.000000	71.569	179.1974
335.000000	71.561	179.5235
340.000000	71.542	179.8534
345.000000	71.525	-179.8188
350.000000	71.512	-179.4852
355.000000	71.498	-179.1501
360.000000	71.484	-178.8692
365.000000	71.471	-178.5585
370.000000	71.460	-178.2140
375.000000	71.445	-177.9317
382.000000	71.431	-177.5043
387.000000	71.431	-177.1709
395.000000	71.416	-176.7539
400.000000	71.402	-176.4210
406.000000	71.388	-176.0166
412.000000	71.375	-175.6251
418.000000	71.360	-175.2595
425.000000	71.348	-174.8834
431.000000	71.338	-174.4967
437.000000	71.327	-174.0730
444.000000	71.316	-173.6600
450.000000	71.309	-173.3583
455.000000	71.302	-173.0768
462.000000	71.299	-172.6277
468.000000	71.298	-172.2728
475.000000	71.289	-171.8931
482.000000	71.280	-171.4817
487.000000	71.276	-171.2169
494.000000	71.275	-170.8604
500.000000	71.276	-170.5053
508.000000	71.273	-169.9543
515.000000	71.281	-169.5176
522.000000	71.285	-169.1060
530.000000	71.284	-168.6507
538.000000	71.285	-168.2416
545.000000	71.290	-167.8580
552.000000	71.298	-167.4173
560.000000	71.299	-166.9205
570.000000	71.302	-166.3582
580.000000	71.305	-165.8099
590.000000	71.303	-165.2761
600.000000	71.303	-164.6753
608.000000	71.315	-164.1336
615.000000	71.330	-163.6970
622.000000	71.342	-163.3351
630.000000	71.351	-162.9314
640.000000	71.362	-162.3740
650.000000	71.374	-161.7912
660.000000	71.384	-161.1754
670.000000	71.398	-160.5363
680.000000	71.405	-159.9417
690.000000	71.412	-159.3904
700.000000	71.421	-158.8234
710.000000	71.441	-158.2209
720.000000	71.468	-157.6009
730.000000	71.492	-157.0172
740.000000	71.516	-156.4413
750.000000	71.542	-155.8414
762.000000	71.575	-155.1170
775.000000	71.609	-154.3390
788.000000	71.639	-153.5704
800.000000	71.674	-152.8734
812.000000	71.717	-152.1632
825.000000	71.761	-151.4110
838.000000	71.811	-150.6796
850.000000	71.863	-149.9835
862.000000	71.922	-149.3230
875.000000	71.983	-148.6134
885.000000	72.023	-148.0584
900.000000	72.085	-147.2523
912.000000	72.145	-146.5479
925.000000	72.229	-145.6713
938.000000	72.348	-144.8555
950.000000	72.471	-144.3357
962.000000	72.571	-143.9889
975.000000	72.655	-143.6590
988.000000	72.738	-143.3333
1000.000000	72.823	-143.0025
1015.000000	72.927	-142.4864
1030.000000	73.032	-142.0078
1044.000000	73.129	-141.6116
1060.000000	73.235	-141.1774
1075.000000	73.337	-140.8466
1090.000000	73.443	-140.5560
1106.000000	73.562	-140.2552
1120.000000	73.665	-140.0290
1138.000000	73.798	-139.7989
1150.000000	73.888	-139.6477
1172.000000	74.047	-139.4214
1180.000000	74.103	-139.3547
1206.000000	74.279	-139.1476
1220.000000	74.372	-139.0646
1241.000000	74.505	-138.9746
1250.000000	74.558	-138.9332
1265.000000	74.643	-138.8616
1280.000000	74.725	-138.8105
1315.000000	74.916	-138.7094
1320.000000	74.944	-138.6927
1340.000000	75.053	-138.6147
1360.000000	75.149	-138.5476
1380.000000	75.240	-138.5005
1400.000000	75.338	-138.4300
1430.000000	75.485	-138.3275
1450.000000	75.581	-138.2738
1475.000000	75.697	-138.1969
1500.000000	75.813	-138.1161
1525.000000	75.928	-138.0633
1550.000000	76.039	-138.0194
1575.000000	76.149	-137.9519
1600.000000	76.263	-137.8814
1625.000000	76.378	-137.8282
1650.000000	76.490	-137.7832
1675.000000	76.604	-137.7371
1700.000000	76.717	-137.7074
1725.000000	76.829	-137.6759
1750.000000	76.938	-137.6750
1775.000000	77.047	-137.6943
1800.000000	77.156	-137.7338
1825.000000	77.268	-137.7833
1850.000000	77.379	-137.8338
1875.000000	77.489	-137.9004
1900.000000	77.599	-137.9951
1925.000000	77.707	-138.1153
1950.000000	77.814	-138.2597
1975.000000	77.919	-138.4243
2000.000000	78.020	-138.5988
2030.000000	78.139	-138.8154
2060.000000	78.259	-139.0539
2090.000000	78.376	-139.3251
2120.000000	78.492	-139.6303
2140.000000	78.567	-139.8497
2180.000000	78.717	-140.3084
2200.000000	78.790	-140.5481
2240.000000	78.927	-141.0381
2270.000000	79.028	-141.4259
2300.000000	79.126	-141.8530
2330.000000	79.218	-142.3162
2360.000000	79.309	-142.7952
2400.000000	79.421	-143.4502
2430.000000	79.498	-143.9576
2470.000000	79.596	-144.6532
2500.000000	79.666	-145.1799
2540.000000	79.751	-145.8905
2580.000000	79.829	-146.6151
2620.000000	79.900	-147.3288
2650.000000	79.947	-147.8601
2690.000000	80.005	-148.5697
2720.000000	80.044	-149.1030
2760.000000	80.089	-149.8122
2800.000000	80.128	-150.5006
2850.000000	80.168	-151.3327
2900.000000	80.201	-152.1493
2950.000000	80.228	-152.9410
3000.000000	80.244	-153.6887
3040.000000	80.251	-154.2605
3070.000000	80.254	-154.6727
3110.000000	80.258	-155.2035
3150.000000	80.259	-155.7104
3200.000000	80.257	-156.3059
3250.000000	80.253	-156.8579
3300.000000	80.244	-157.3565
3350.000000	80.234	-157.8118
3400.000000	80.228	-158.2027
3450.000000	80.231	-158.5332
3500.000000	80.246	-158.8335
3550.000000	80.271	-159.1354
3600.000000	80.301	-159.4525
3650.000000	80.334	-159.7913
3700.000000	80.366	-160.1472
3750.000000	80.398	-160.5164
3820.000000	80.440	-161.0259
3870.000000	80.467	-161.3855
3950.000000	80.508	-161.9788
4000.000000	80.533	-162.3659
4060.000000	80.565	-162.8565
4120.000000	80.598	-163.3725
4180.000000	80.634	-163.9265
4250.000000	80.672	-164.6232
4310.000000	80.696	-165.2704
4370.000000	80.711	-165.9611
4440.000000	80.717	-166.8231
4500.000000	80.714	-167.6212
4550.000000	80.706	-168.3324
4620.000000	80.682	-169.3839
4680.000000	80.648	-170.3124
4750.000000	80.589	-171.4109
4820.000000	80.511	-172.4838
4870.000000	80.445	-173.2236
4940.000000	80.339	-174.2188
5000.000000	80.237	-175.0295
5080.000000	80.085	-176.0481
5150.000000	79.938	-176.8659
5220.000000	79.785	-177.5943
5300.000000	79.603	-178.2948
5380.000000	79.418	-178.8651
5450.000000	79.254	-179.2796
5520.000000	79.091	-179.6237
5600.000000	78.913	-179.9647
5700.000000	78.686	179.6586
5800.000000	78.445	179.4004
5900.000000	78.204	179.3859
6000.000000	77.976	179.5651
6080.000000	77.801	179.7967
6150.000000	77.654	-179.9163
6220.000000	77.518	-179.5438
6300.000000	77.377	-179.0455
6400.000000	77.229	-178.3112
6500.000000	77.110	-177.4751
6600.000000	77.027	-176.5912
6700.000000	76.978	-175.7055
6800.000000	76.972	-174.8531
6900.000000	77.022	-174.0626
7000.000000	77.131	-173.3854
7100.000000	77.284	-172.8631
7200.000000	77.474	-172.5345
7300.000000	77.702	-172.4866
7400.000000	77.965	-172.8087
7500.000000	78.253	-173.5793
7620.000000	78.624	-175.2244
7750.000000	79.015	-178.0101
7880.000000	79.279	178.0817
8000.000000	79.371	173.5277
8120.000000	79.289	168.3621
8250.000000	78.984	162.4777
8380.000000	78.451	156.6883
8500.000000	77.755	151.7161
8620.000000	76.856	147.4670
8750.000000	75.661	144.2302
8850.000000	74.620	143.0457
9000.000000	72.955	143.6867
9120.000000	71.636	146.3095
9250.000000	70.319	151.1662
9380.000000	69.204	157.8038
9500.000000	68.426	165.1586
9620.000000	67.970	173.2156
9750.000000	67.905	-178.1366
9880.000000	68.249	-170.6899
10000.000000	68.780	-165.7240
10150.000000	69.467	-162.4526
10300.000000	69.954	-161.6223
10440.000000	70.166	-161.7795
10600.000000	70.174	-161.7510
10750.000000	70.051	-160.9107
10900.000000	69.895	-159.2265
11060.000000	69.761	-156.6506
11200.000000	69.712	-153.8912
11380.000000	69.767	-149.8839
11500.000000	69.885	-147.0460
11720.000000	70.302	-141.7852
11800.000000	70.523	-139.9057
12060.000000	71.520	-134.2081
12200.000000	72.248	-131.6324
12410.000000	73.640	-129.0190
12500.000000	74.368	-128.6194
12650.000000	75.761	-129.5146
12800.000000	77.290	-133.3663
13150.000000	79.851	-159.6591
13200.000000	79.924	-165.0766
13400.000000	79.277	174.0171
13600.000000	77.466	159.7587
13800.000000	75.244	153.3024
14000.000000	73.210	151.9602
14300.000000	70.896	154.6311
14500.000000	69.805	157.8809
14750.000000	68.879	162.5650
15000.000000	68.389	167.1487
15250.000000	68.305	171.0062
15500.000000	68.640	173.4129
15750.000000	69.341	173.4077
16000.000000	70.215	169.7676
16250.000000	70.930	161.2821
16500.000000	71.060	148.4017
16750.000000	70.317	134.4902
17000.000000	68.787	123.6008
17250.000000	66.839	117.2629
17500.000000	64.855	114.7618
17750.000000	63.039	114.7292
18000.000000	61.427	116.0690
18250.000000	60.005	118.0594
18500.000000	58.733	120.2082
18750.000000	57.545	122.3193
19000.000000	56.376	124.4850
19250.000000	55.155	127.1830
19500.000000	53.869	130.8503
19750.000000	52.645	134.9712
20000.000000	51.755	137.8676
