* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 4:44:41
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Deep
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	79.923	-166.6486
20.600000	79.916	-167.0108
20.900000	79.899	-167.6356
21.200001	79.875	-168.1707
21.400000	79.857	-168.4817
21.799999	79.822	-169.0601
22.000000	79.807	-169.3546
22.400000	79.780	-169.9809
22.700001	79.762	-170.4939
23.000000	79.743	-171.0440
23.299999	79.720	-171.6133
23.600000	79.696	-172.1817
24.000000	79.664	-172.9107
24.299999	79.643	-173.4250
24.700001	79.622	-174.0724
25.000000	79.612	-174.5421
25.400000	79.604	-175.1621
25.799999	79.598	-175.7772
26.200001	79.591	-176.3725
26.500000	79.583	-176.7950
26.900000	79.571	-177.3224
27.200001	79.560	-177.6981
27.600000	79.545	-178.1894
28.000000	79.527	-178.6859
28.500000	79.495	-179.3142
29.000000	79.452	-179.9242
29.500000	79.399	179.5079
30.000000	79.342	178.9827
30.400000	79.296	178.5860
30.700001	79.263	178.3002
31.100000	79.221	177.9326
31.500000	79.184	177.5728
32.000000	79.147	177.1085
32.500000	79.116	176.5981
33.000000	79.087	176.0424
33.500000	79.058	175.4814
34.000000	79.029	174.9578
34.500000	79.004	174.4714
35.000000	78.981	173.9904
35.500000	78.955	173.5024
36.000000	78.922	173.0414
36.500000	78.882	172.6486
37.000000	78.843	172.3230
37.500000	78.805	172.0256
38.200001	78.748	171.6185
38.700001	78.703	171.3561
39.500000	78.639	170.9642
40.000000	78.605	170.6566
40.599998	78.555	170.2020
41.200001	78.490	169.7629
41.799999	78.424	169.4256
42.500000	78.370	169.0715
43.099998	78.337	168.6575
43.700001	78.292	168.1643
44.400002	78.218	167.6968
45.000000	78.160	167.4796
45.500000	78.130	167.3376
46.200001	78.104	167.0239
46.799999	78.072	166.6625
47.500000	78.020	166.3096
48.200001	77.977	166.0196
48.700001	77.949	165.7658
49.400002	77.895	165.3736
50.000000	77.838	165.1335
50.799999	77.778	164.9415
51.500000	77.743	164.7145
52.200001	77.705	164.4069
53.000000	77.653	164.0448
53.799999	77.589	163.6934
54.500000	77.521	163.4523
55.200001	77.452	163.3342
56.000000	77.388	163.3140
57.000000	77.343	163.2911
58.000000	77.320	162.9815
59.000000	77.255	162.4175
60.000000	77.147	162.0362
60.799999	77.069	161.8903
61.500000	77.015	161.7722
62.200001	76.965	161.6404
63.000000	76.912	161.5235
64.000000	76.870	161.3845
65.000000	76.835	161.0085
66.000000	76.754	160.6283
67.000000	76.674	160.5546
68.000000	76.626	160.3893
