* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 4:41:22
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Final
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	78.674	-166.8586
20.600000	78.636	-167.2969
20.900000	78.556	-168.0124
21.200001	78.483	-168.5197
21.400000	78.442	-168.7646
21.799999	78.380	-169.1593
22.000000	78.359	-169.3618
22.400000	78.336	-169.8280
22.700001	78.331	-170.2548
23.000000	78.333	-170.7658
23.299999	78.336	-171.3595
23.600000	78.339	-172.0249
24.000000	78.336	-172.9886
24.299999	78.325	-173.7267
24.700001	78.298	-174.6690
25.000000	78.272	-175.3064
25.400000	78.234	-176.0377
25.799999	78.199	-176.6397
26.200001	78.169	-177.1434
26.500000	78.149	-177.4742
26.900000	78.120	-177.8598
27.200001	78.096	-178.1022
27.600000	78.063	-178.3527
28.000000	78.033	-178.5222
28.500000	78.009	-178.6699
29.000000	78.001	-178.8549
29.500000	77.998	-179.1762
30.000000	77.985	-179.6568
30.400000	77.958	179.8905
30.700001	77.928	179.5475
31.100000	77.878	179.1257
31.500000	77.824	178.7584
32.000000	77.760	178.3531
32.500000	77.706	177.9562
33.000000	77.658	177.5409
33.500000	77.615	177.1200
34.000000	77.579	176.7043
34.500000	77.548	176.2765
35.000000	77.517	175.8208
35.500000	77.480	175.3596
36.000000	77.438	174.9389
36.500000	77.396	174.5768
37.000000	77.360	174.2416
37.500000	77.327	173.8868
38.200001	77.275	173.3300
38.700001	77.228	172.9208
39.500000	77.143	172.3359
40.000000	77.090	172.0294
40.599998	77.036	171.6928
41.200001	76.990	171.3467
41.799999	76.946	170.9865
42.500000	76.896	170.5882
43.099998	76.856	170.2766
43.700001	76.815	169.9886
44.400002	76.764	169.7263
45.000000	76.725	169.5913
45.500000	76.703	169.4948
46.200001	76.686	169.2653
46.799999	76.667	168.9262
47.500000	76.621	168.4217
48.200001	76.544	167.9766
48.700001	76.481	167.8012
49.400002	76.417	167.7317
50.000000	76.397	167.6294
50.799999	76.379	167.2177
51.500000	76.336	166.7759
52.200001	76.281	166.4626
53.000000	76.228	166.2157
53.799999	76.183	165.9892
54.500000	76.148	165.7743
55.200001	76.109	165.4987
56.000000	76.044	165.1732
57.000000	75.952	164.9684
58.000000	75.892	164.8492
59.000000	75.845	164.4770
60.000000	75.757	164.0109
60.799999	75.670	163.8035
61.500000	75.601	163.7203
62.200001	75.539	163.6772
63.000000	75.475	163.6768
64.000000	75.411	163.7111
65.000000	75.364	163.6909
66.000000	75.324	163.5632
67.000000	75.279	163.3759
68.000000	75.232	163.1423
69.000000	75.167	162.9061
70.000000	75.101	162.8449
71.000000	75.064	162.7842
72.000000	75.029	162.5575
73.000000	74.982	162.2679
74.000000	74.917	161.9218
75.000000	74.821	161.7176
76.199997	74.718	161.8668
77.500000	74.657	162.0131
78.800003	74.561	161.9380
80.000000	74.421	162.1683
81.199997	74.310	162.6977
82.500000	74.256	163.1810
83.800003	74.253	163.1367
85.000000	74.212	162.7711
86.199997	74.167	162.7477
87.500000	74.172	162.7641
88.500000	74.162	162.7708
90.000000	74.142	163.0321
91.199997	74.128	163.2124
92.500000	74.095	163.2497
93.800003	74.048	163.2328
95.000000	74.020	163.0587
96.199997	73.976	162.7495
97.500000	73.922	162.5871
98.800003	73.879	162.5551
100.000000	73.840	162.6312
101.500000	73.795	162.7339
103.000000	73.729	162.6685
104.400002	73.640	162.5937
106.000000	73.543	162.5758
107.500000	73.470	162.5590
109.000000	73.406	162.5876
110.599998	73.344	162.6680
112.000000	73.285	162.7803
113.800003	73.208	162.9867
115.000000	73.158	163.1222
117.199997	73.057	163.4124
118.000000	73.021	163.5473
120.599998	72.898	163.9273
122.000000	72.816	164.1447
124.099998	72.696	164.5715
125.000000	72.645	164.7860
126.500000	72.561	165.2731
128.000000	72.488	165.9830
131.500000	72.411	168.4249
132.000000	72.417	168.8303
134.000000	72.505	170.3965
136.000000	72.704	171.4341
138.000000	72.937	171.4977
140.000000	73.113	170.8516
143.000000	73.223	169.4974
145.000000	73.215	168.7086
147.500000	73.155	167.9938
150.000000	73.082	167.5327
152.500000	73.000	167.3314
155.000000	72.931	167.2604
157.500000	72.860	167.1433
160.000000	72.793	167.0693
162.500000	72.729	167.0832
165.000000	72.670	167.2289
167.500000	72.619	167.3535
170.000000	72.564	167.4636
172.500000	72.512	167.6175
175.000000	72.460	167.7952
177.500000	72.413	167.9773
180.000000	72.375	168.1490
