* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 4:42:42
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Final
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	79.771	-167.6445
20.600000	79.762	-167.9587
20.900000	79.742	-168.5033
21.200001	79.716	-168.9780
21.400000	79.698	-169.2623
21.799999	79.664	-169.8144
22.000000	79.648	-170.1062
22.400000	79.618	-170.7421
22.700001	79.596	-171.2693
23.000000	79.571	-171.8348
23.299999	79.544	-172.4209
23.600000	79.515	-173.0094
24.000000	79.475	-173.7712
24.299999	79.449	-174.3121
24.700001	79.421	-174.9909
25.000000	79.406	-175.4775
25.400000	79.395	-176.1161
25.799999	79.390	-176.7613
26.200001	79.386	-177.4122
26.500000	79.380	-177.8903
26.900000	79.366	-178.4935
27.200001	79.352	-178.9135
27.600000	79.334	-179.4408
28.000000	79.316	-179.9605
28.500000	79.286	179.3704
29.000000	79.238	178.7191
29.500000	79.174	178.1755
30.000000	79.111	177.7795
30.400000	79.074	177.5184
30.700001	79.055	177.3100
31.100000	79.037	176.9679
31.500000	79.019	176.5406
32.000000	78.986	175.9287
32.500000	78.939	175.3123
33.000000	78.886	174.7540
33.500000	78.836	174.2653
34.000000	78.793	173.8322
34.500000	78.756	173.4382
35.000000	78.725	173.0672
35.500000	78.700	172.6917
36.000000	78.678	172.2829
36.500000	78.650	171.8376
37.000000	78.611	171.3964
37.500000	78.561	171.0132
38.200001	78.491	170.5879
38.700001	78.446	170.2964
39.500000	78.374	169.7562
40.000000	78.323	169.4165
40.599998	78.263	169.0375
41.200001	78.212	168.6310
41.799999	78.158	168.1750
42.500000	78.090	167.6860
43.099998	78.043	167.3380
43.700001	78.008	166.9527
44.400002	77.959	166.4366
45.000000	77.902	166.0920
45.500000	77.860	165.9292
46.200001	77.825	165.7431
46.799999	77.803	165.4841
47.500000	77.761	165.1271
48.200001	77.709	164.8239
48.700001	77.670	164.6201
49.400002	77.608	164.3257
50.000000	77.545	164.1197
50.799999	77.468	163.9290
51.500000	77.412	163.7478
52.200001	77.363	163.5253
53.000000	77.314	163.2033
53.799999	77.259	162.7916
54.500000	77.200	162.5310
55.200001	77.167	162.3767
56.000000	77.157	161.9268
57.000000	77.052	161.1224
58.000000	76.895	161.1780
59.000000	76.840	161.4945
60.000000	76.799	161.3831
60.799999	76.744	161.2224
61.500000	76.688	161.0922
62.200001	76.631	161.0081
63.000000	76.580	160.9577
64.000000	76.542	160.7845
65.000000	76.503	160.3917
66.000000	76.423	159.9856
67.000000	76.328	159.9283
68.000000	76.278	159.9574
69.000000	76.224	159.6895
70.000000	76.129	159.4831
71.000000	76.052	159.4489
72.000000	75.997	159.2986
73.000000	75.935	159.1369
74.000000	75.885	159.0941
75.000000	75.848	159.0616
76.199997	75.795	158.9724
77.500000	75.684	158.7916
78.800003	75.511	158.8721
80.000000	75.379	159.1034
81.199997	75.296	158.9795
82.500000	75.177	158.5393
