* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 4:39:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	78.324	-166.1136
20.600000	78.333	-166.3384
20.900000	78.349	-166.7642
21.200001	78.362	-167.2353
21.400000	78.366	-167.5734
21.799999	78.361	-168.2967
22.000000	78.351	-168.6688
22.400000	78.319	-169.3925
22.700001	78.290	-169.9001
23.000000	78.262	-170.3792
23.299999	78.238	-170.8463
23.600000	78.218	-171.3206
24.000000	78.196	-171.9865
24.299999	78.180	-172.5084
24.700001	78.155	-173.2000
25.000000	78.133	-173.6818
25.400000	78.108	-174.2506
25.799999	78.095	-174.7639
26.200001	78.094	-175.2934
26.500000	78.096	-175.7325
26.900000	78.088	-176.3620
27.200001	78.072	-176.8233
27.600000	78.040	-177.3575
28.000000	78.010	-177.7740
28.500000	77.992	-178.2263
29.000000	77.989	-178.7888
29.500000	77.975	-179.5203
30.000000	77.928	179.7193
30.400000	77.872	179.2145
30.700001	77.828	178.9233
31.100000	77.776	178.6241
31.500000	77.737	178.3649
32.000000	77.705	178.0018
32.500000	77.681	177.5461
33.000000	77.656	177.0103
33.500000	77.625	176.4326
34.000000	77.587	175.8556
34.500000	77.539	175.3266
35.000000	77.487	174.8877
35.500000	77.440	174.5529
36.000000	77.407	174.2838
36.500000	77.389	174.0120
37.000000	77.379	173.6890
37.500000	77.366	173.3213
38.200001	77.338	172.7890
38.700001	77.315	172.3979
39.500000	77.262	171.7089
40.000000	77.212	171.2858
40.599998	77.138	170.8794
41.200001	77.067	170.5942
41.799999	77.010	170.3351
42.500000	76.950	169.9620
43.099998	76.894	169.6106
43.700001	76.833	169.3030
44.400002	76.765	169.0177
45.000000	76.715	168.8085
45.500000	76.677	168.6627
46.200001	76.638	168.5091
46.799999	76.628	168.3319
47.500000	76.623	167.8925
48.200001	76.581	167.2930
48.700001	76.526	166.9564
49.400002	76.450	166.7157
50.000000	76.406	166.5546
50.799999	76.353	166.2061
51.500000	76.291	165.8961
52.200001	76.230	165.6571
53.000000	76.166	165.4139
53.799999	76.110	165.2475
54.500000	76.082	165.1003
55.200001	76.059	164.8428
56.000000	76.019	164.5794
57.000000	75.997	164.3664
58.000000	75.970	163.7646
59.000000	75.841	163.2610
60.000000	75.696	163.3596
60.799999	75.608	163.5118
61.500000	75.537	163.6004
62.200001	75.473	163.6489
63.000000	75.403	163.5519
64.000000	75.290	163.3228
65.000000	75.194	163.2715
66.000000	75.152	163.0459
67.000000	75.107	162.6722
68.000000	75.081	162.4688
69.000000	75.080	162.1358
70.000000	75.036	161.7389
71.000000	74.954	161.6386
72.000000	74.875	161.6876
73.000000	74.777	161.6534
74.000000	74.656	161.7144
75.000000	74.561	161.7964
76.199997	74.454	161.6373
77.500000	74.348	161.8214
78.800003	74.318	162.1221
80.000000	74.297	162.5251
81.199997	74.263	163.0597
82.500000	74.218	163.8557
83.800003	74.182	164.1628
85.000000	74.090	163.9983
86.199997	73.973	163.6505
87.500000	73.849	163.3735
88.500000	73.796	163.3173
90.000000	73.766	163.5044
91.199997	73.762	163.8683
92.500000	73.728	164.5949
93.800003	73.701	165.3915
95.000000	73.617	165.9182
96.199997	73.518	166.6511
97.500000	73.478	167.1019
98.800003	73.418	167.1579
100.000000	73.385	167.5307
101.500000	73.453	167.8412
103.000000	73.463	167.7241
104.400002	73.414	167.9875
106.000000	73.327	168.3669
107.500000	73.223	168.9927
109.000000	73.168	169.7461
110.599998	73.180	170.6857
112.000000	73.296	171.5755
113.800003	73.557	172.1808
115.000000	73.735	172.1181
117.199997	73.963	171.3156
118.000000	74.012	170.9430
120.599998	74.083	169.5278
122.000000	74.059	168.8281
124.099998	73.995	168.1021
125.000000	73.964	167.8688
126.500000	73.911	167.5230
128.000000	73.852	167.2108
131.500000	73.731	166.8617
132.000000	73.719	166.8425
134.000000	73.681	166.7493
136.000000	73.628	166.5590
138.000000	73.558	166.4224
140.000000	73.493	166.2782
143.000000	73.406	166.1600
145.000000	73.364	166.0673
147.500000	73.305	165.9332
150.000000	73.241	165.9565
152.500000	73.191	166.1059
155.000000	73.138	166.1763
157.500000	73.066	166.1427
160.000000	72.988	166.1588
162.500000	72.933	166.3037
165.000000	72.889	166.4678
167.500000	72.831	166.6201
170.000000	72.771	166.7784
172.500000	72.731	166.9182
175.000000	72.694	167.0795
177.500000	72.656	167.3236
180.000000	72.618	167.4877
182.500000	72.570	167.6341
185.000000	72.525	167.8762
187.500000	72.486	168.0717
190.000000	72.435	168.1474
192.500000	72.385	168.2607
195.000000	72.357	168.4831
197.500000	72.339	168.7133
200.000000	72.313	168.8928
203.000000	72.273	169.0413
206.000000	72.231	169.2216
209.000000	72.196	169.4676
212.000000	72.170	169.6823
214.000000	72.153	169.7934
218.000000	72.103	170.0815
220.000000	72.078	170.2585
224.000000	72.047	170.5717
227.000000	72.030	170.8120
230.000000	72.010	171.0305
