* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 4:37:59
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	79.557	-167.8029
20.600000	79.543	-167.9576
20.900000	79.520	-168.2539
21.200001	79.513	-168.6043
21.400000	79.512	-168.8964
21.799999	79.502	-169.6216
22.000000	79.486	-170.0293
22.400000	79.433	-170.8215
22.700001	79.382	-171.3111
23.000000	79.334	-171.6781
23.299999	79.303	-171.9585
23.600000	79.293	-172.2141
24.000000	79.309	-172.6169
24.299999	79.335	-173.0117
24.700001	79.372	-173.6540
25.000000	79.396	-174.1868
25.400000	79.423	-174.9263
25.799999	79.442	-175.6971
26.200001	79.447	-176.5133
26.500000	79.434	-177.1334
26.900000	79.385	-177.8909
27.200001	79.331	-178.3336
27.600000	79.249	-178.7023
28.000000	79.183	-178.8754
28.500000	79.135	-179.0698
29.000000	79.097	-179.4724
29.500000	79.029	179.9950
30.000000	78.933	179.5958
30.400000	78.863	179.4300
30.700001	78.824	179.3399
31.100000	78.790	179.1695
31.500000	78.763	178.9185
32.000000	78.732	178.5930
32.500000	78.725	178.3441
33.000000	78.769	178.0089
33.500000	78.845	177.3242
34.000000	78.897	176.2979
34.500000	78.899	175.2792
35.000000	78.884	174.5417
35.500000	78.902	173.9642
36.000000	78.945	173.1939
36.500000	78.955	172.1320
37.000000	78.889	171.1159
37.500000	78.768	170.5676
38.200001	78.628	170.6581
38.700001	78.598	170.8817
39.500000	78.597	170.7772
40.000000	78.576	170.4977
40.599998	78.523	170.1490
41.200001	78.457	169.8640
41.799999	78.395	169.6308
42.500000	78.343	169.2864
43.099998	78.303	168.7679
43.700001	78.235	168.1152
44.400002	78.122	167.5041
45.000000	78.035	167.1903
45.500000	77.984	166.9476
46.200001	77.924	166.5381
46.799999	77.873	166.2096
47.500000	77.831	165.8957
48.200001	77.808	165.5209
48.700001	77.791	165.1852
49.400002	77.749	164.7032
50.000000	77.698	164.3752
50.799999	77.629	164.1330
51.500000	77.587	164.0052
52.200001	77.557	163.7921
53.000000	77.510	163.4541
53.799999	77.450	163.1266
54.500000	77.394	162.8350
55.200001	77.332	162.5598
56.000000	77.263	162.3062
57.000000	77.182	162.0504
58.000000	77.120	161.9735
59.000000	77.101	161.7909
60.000000	77.051	161.3464
60.799999	76.978	161.1262
61.500000	76.913	161.0319
62.200001	76.843	160.9594
63.000000	76.752	160.9918
64.000000	76.675	161.1927
65.000000	76.648	160.9663
66.000000	76.557	160.2584
67.000000	76.408	159.9811
68.000000	76.334	159.9889
69.000000	76.293	159.6880
70.000000	76.234	159.4372
71.000000	76.197	159.3647
72.000000	76.177	159.2382
73.000000	76.136	159.0782
74.000000	76.078	159.1009
75.000000	76.034	159.1956
76.199997	75.975	159.1722
77.500000	75.898	159.0972
78.800003	75.796	158.8676
80.000000	75.687	158.8494
81.199997	75.616	158.8559
82.500000	75.545	158.7521
83.800003	75.484	158.7291
85.000000	75.440	158.6995
86.199997	75.399	158.6259
87.500000	75.331	158.4921
88.500000	75.262	158.4752
90.000000	75.158	158.5228
91.199997	75.079	158.6181
92.500000	75.021	158.6606
93.800003	74.962	158.5416
95.000000	74.904	158.5270
96.199997	74.864	158.5449
97.500000	74.816	158.5698
98.800003	74.775	158.7505
100.000000	74.757	158.8822
101.500000	74.728	158.8351
103.000000	74.661	158.7391
104.400002	74.585	158.7181
106.000000	74.496	158.7724
107.500000	74.438	158.8199
109.000000	74.386	158.7106
110.599998	74.317	158.6584
112.000000	74.265	158.7474
113.800003	74.200	158.9188
115.000000	74.151	159.0709
117.199997	74.050	159.2849
118.000000	74.011	159.3074
120.599998	73.878	159.2897
122.000000	73.818	159.2779
124.099998	73.733	159.3570
125.000000	73.697	159.4603
126.500000	73.638	159.6803
128.000000	73.572	159.9218
131.500000	73.387	160.6483
132.000000	73.359	160.7637
134.000000	73.239	161.2834
136.000000	73.132	161.7817
138.000000	73.025	162.1398
140.000000	72.908	162.7331
143.000000	72.819	164.7000
145.000000	72.853	166.3868
147.500000	73.010	168.2072
150.000000	73.247	169.0557
152.500000	73.520	169.2128
155.000000	73.740	168.6506
157.500000	73.817	167.6176
160.000000	73.768	166.6139
162.500000	73.701	165.8540
165.000000	73.629	165.2498
167.500000	73.543	164.8824
170.000000	73.462	164.6833
172.500000	73.395	164.5482
175.000000	73.323	164.4454
177.500000	73.245	164.4792
180.000000	73.180	164.6474
182.500000	73.128	164.7926
185.000000	73.072	164.8837
187.500000	73.015	164.9797
190.000000	72.966	165.0864
192.500000	72.921	165.2182
195.000000	72.882	165.3828
197.500000	72.847	165.5542
200.000000	72.809	165.7375
203.000000	72.755	165.9637
206.000000	72.706	166.2190
209.000000	72.674	166.4827
212.000000	72.645	166.6743
214.000000	72.617	166.7886
218.000000	72.560	167.1002
220.000000	72.536	167.2607
224.000000	72.483	167.5162
227.000000	72.441	167.7064
230.000000	72.414	167.9519
233.000000	72.395	168.2200
236.000000	72.366	168.4795
240.000000	72.321	168.7379
243.000000	72.280	168.9052
247.000000	72.226	169.2236
250.000000	72.199	169.4706
254.000000	72.178	169.7757
258.000000	72.152	170.1270
262.000000	72.115	170.4622
265.000000	72.083	170.6591
269.000000	72.043	170.9257
272.000000	72.024	171.1614
276.000000	72.007	171.4537
280.000000	71.983	171.7681
285.000000	71.952	172.1830
290.000000	71.927	172.5517
295.000000	71.904	172.9023
300.000000	71.882	173.2159
304.000000	71.871	173.4906
307.000000	71.865	173.7065
311.000000	71.850	174.0151
315.000000	71.827	174.3037
320.000000	71.802	174.5862
325.000000	71.784	174.9207
330.000000	71.771	175.2578
335.000000	71.756	175.5984
340.000000	71.734	175.8978
345.000000	71.712	176.1882
350.000000	71.695	176.5127
355.000000	71.678	176.8755
