* Measurement data measured by REW V5.20.5
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 22-Feb-2023 19:56:10
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Cowon EG2 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.252	-142.3078
20.600000	91.252	-142.4355
20.900000	91.258	-142.6804
21.200001	91.280	-142.9283
21.400000	91.305	-143.1285
21.799999	91.361	-143.7189
22.000000	91.384	-144.1209
22.400000	91.401	-145.0791
22.700001	91.383	-145.8300
23.000000	91.342	-146.5128
23.299999	91.290	-147.0667
23.600000	91.241	-147.4775
24.000000	91.204	-147.8730
24.299999	91.203	-148.1507
24.700001	91.230	-148.6239
25.000000	91.258	-149.0962
25.400000	91.290	-149.8600
25.799999	91.304	-150.6792
26.200001	91.301	-151.4429
26.500000	91.293	-151.9412
26.900000	91.282	-152.5105
27.200001	91.277	-152.8913
27.600000	91.277	-153.3874
28.000000	91.282	-153.9063
28.500000	91.284	-154.5942
29.000000	91.276	-155.2781
29.500000	91.258	-155.9052
30.000000	91.239	-156.4577
30.400000	91.227	-156.8572
30.700001	91.221	-157.1432
31.100000	91.216	-157.5201
31.500000	91.213	-157.9066
32.000000	91.210	-158.4204
32.500000	91.202	-158.9665
33.000000	91.188	-159.5111
33.500000	91.173	-160.0128
34.000000	91.165	-160.4607
34.500000	91.167	-160.8828
35.000000	91.174	-161.3118
35.500000	91.181	-161.7486
36.000000	91.187	-162.1728
36.500000	91.195	-162.5806
37.000000	91.204	-162.9914
37.500000	91.212	-163.4153
38.200001	91.212	-163.9928
38.700001	91.207	-164.3694
39.500000	91.201	-164.9426
40.000000	91.196	-165.2995
40.599998	91.190	-165.7121
41.200001	91.188	-166.1197
41.799999	91.187	-166.5604
42.500000	91.178	-167.0888
43.099998	91.169	-167.4846
43.700001	91.171	-167.8658
44.400002	91.179	-168.4396
45.000000	91.165	-169.0029
45.500000	91.135	-169.3795
46.200001	91.100	-169.6648
46.799999	91.099	-169.8311
47.500000	91.119	-170.1648
48.200001	91.126	-170.5895
48.700001	91.126	-170.8391
49.400002	91.139	-171.1335
50.000000	91.158	-171.4647
50.799999	91.166	-172.0494
51.500000	91.146	-172.5135
52.200001	91.124	-172.8548
53.000000	91.111	-173.2191
53.799999	91.100	-173.6279
54.500000	91.090	-173.9982
55.200001	91.080	-174.3892
56.000000	91.067	-174.8516
57.000000	91.055	-175.4236
58.000000	91.038	-176.0621
59.000000	90.995	-176.5437
60.000000	90.978	-176.7733
60.799999	90.986	-177.0316
61.500000	90.986	-177.3253
62.200001	90.979	-177.5903
63.000000	90.974	-177.8621
64.000000	90.973	-178.2646
65.000000	90.965	-178.7325
66.000000	90.950	-179.1865
67.000000	90.936	-179.6010
68.000000	90.927	-179.9828
69.000000	90.923	179.6588
70.000000	90.921	179.2866
71.000000	90.914	178.9116
72.000000	90.903	178.5622
73.000000	90.893	178.2148
