* Measurement data measured by REW V5.20.5
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 22-Feb-2023 19:57:29
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Cowon EG2 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.296	-133.7760
20.600000	91.302	-134.2919
20.900000	91.303	-135.2915
21.200001	91.275	-136.2140
21.400000	91.242	-136.7272
21.799999	91.167	-137.5019
22.000000	91.134	-137.7694
22.400000	91.095	-138.1474
22.700001	91.098	-138.4228
23.000000	91.122	-138.7972
23.299999	91.157	-139.3209
23.600000	91.191	-139.9869
24.000000	91.219	-140.9966
24.299999	91.227	-141.7508
24.700001	91.227	-142.6525
25.000000	91.227	-143.2342
25.400000	91.238	-143.9194
25.799999	91.262	-144.5712
26.200001	91.291	-145.2334
26.500000	91.309	-145.7320
26.900000	91.324	-146.3674
27.200001	91.330	-146.8040
27.600000	91.337	-147.3346
28.000000	91.347	-147.8381
28.500000	91.364	-148.4953
29.000000	91.371	-149.2060
29.500000	91.363	-149.9154
30.000000	91.346	-150.5559
30.400000	91.335	-151.0219
30.700001	91.331	-151.3681
31.100000	91.328	-151.8554
31.500000	91.324	-152.3817
32.000000	91.309	-153.0558
32.500000	91.287	-153.6823
33.000000	91.270	-154.2393
33.500000	91.267	-154.7713
34.000000	91.279	-155.3339
34.500000	91.294	-155.9353
35.000000	91.303	-156.5377
35.500000	91.306	-157.1000
36.000000	91.307	-157.6039
36.500000	91.309	-158.0518
37.000000	91.315	-158.4596
37.500000	91.324	-158.8492
38.200001	91.339	-159.4036
38.700001	91.348	-159.8244
39.500000	91.356	-160.5531
40.000000	91.356	-161.0326
40.599998	91.349	-161.6013
41.200001	91.339	-162.1468
41.799999	91.331	-162.6862
42.500000	91.317	-163.3061
43.099998	91.302	-163.7681
43.700001	91.297	-164.1508
44.400002	91.310	-164.6208
45.000000	91.319	-165.1062
45.500000	91.316	-165.5061
46.200001	91.308	-165.9623
46.799999	91.310	-166.3106
47.500000	91.314	-166.7742
48.200001	91.307	-167.2210
48.700001	91.304	-167.4796
49.400002	91.315	-167.8633
50.000000	91.323	-168.3054
50.799999	91.307	-168.9216
51.500000	91.288	-169.3242
52.200001	91.288	-169.7053
53.000000	91.293	-170.2832
53.799999	91.278	-170.8740
54.500000	91.262	-171.2800
55.200001	91.257	-171.6522
56.000000	91.256	-172.1129
57.000000	91.250	-172.6573
58.000000	91.249	-173.1930
59.000000	91.235	-173.7621
60.000000	91.213	-174.2282
60.799999	91.205	-174.5803
61.500000	91.198	-174.9438
62.200001	91.184	-175.3346
63.000000	91.160	-175.7265
64.000000	91.143	-176.1127
65.000000	91.147	-176.5455
66.000000	91.150	-177.0480
67.000000	91.149	-177.5096
68.000000	91.150	-177.9307
69.000000	91.152	-178.3603
70.000000	91.145	-178.7903
71.000000	91.132	-179.1804
72.000000	91.121	-179.5743
73.000000	91.105	-179.9900
74.000000	91.089	179.6212
75.000000	91.079	179.2461
76.199997	91.073	178.7650
77.500000	91.061	178.2310
78.800003	91.044	177.7498
80.000000	91.030	177.3412
81.199997	91.016	176.9324
82.500000	91.002	176.5042
83.800003	90.992	176.0613
85.000000	90.986	175.6316
86.199997	90.979	175.1674
87.500000	90.960	174.6880
88.500000	90.944	174.3717
90.000000	90.924	173.9301
91.199997	90.910	173.5536
92.500000	90.891	173.1272
93.800003	90.871	172.7141
95.000000	90.856	172.3318
96.199997	90.844	171.9420
97.500000	90.832	171.5137
98.800003	90.817	171.0994
100.000000	90.802	170.7440
101.500000	90.785	170.3249
103.000000	90.769	169.9119
104.400002	90.753	169.5195
106.000000	90.733	169.0764
107.500000	90.715	168.6681
109.000000	90.696	168.2544
110.599998	90.675	167.8219
112.000000	90.657	167.4483
113.800003	90.634	166.9697
115.000000	90.617	166.6644
117.199997	90.584	166.1694
118.000000	90.573	166.0082
120.599998	90.549	165.3752
